max 3.08x + 8.51y + -8.4z
-5.35x + 4.77y + -8.06z <= 828.37
-3.47x + -8.22y + -4.99z <= 947.39
4.2x + -3.39y + -7.97z <= 527.92
-3.43x + -4.56y + 5.47z <= 506.48
-1.85x + -0.37y + -9.3z <= 185.49
-8.49x + -3.69y + -2.79z <= 754.64
4.37x + 2.36y + -3.17z <= 361.34
-7.4x + 5.63y + 1.34z <= 206.8
-0.05x + -5.76y + -1.52z <= 610.45
-1.7x + -9.47y + -0.37z <= 556.05
5.98x + 0.96y + 7.79z <= 893.88
-0.24x + -4.51y + 5.95z <= 183.78
4.53x + -6.98y + -7.91z <= 524.03
-6.32x + 5.65y + 3.97z <= 515.27
-0.41x + -6.23y + 8.59z <= 812.01
9.05x + -2.05y + 6.91z <= 564.29
3.33x + 2.82y + 0.35z <= 263.76
8.98x + 9.21y + 5.17z <= 239.5
6.04x + 4.72y + 7.09z <= 594.65
-8.6x + 5.66y + 9.14z <= 667.95
2.18x + 2.92y + 9.97z <= 898.36
-3.3x + 1.42y + 5.72z <= 310.43
-5.93x + 1.43y + 9.77z <= 802.97
1.27x + 1.67y + 7.73z <= 942.31
-2.25x + 5.89y + -3.44z <= 659.35
-4.47x + 8.51y + -7.73z <= 690.19
5.25x + -4.3y + -2.54z <= 205.76
-8.08x + 3.28y + -3.34z <= 371.65
-0.98x + -1.15y + 6.85z <= 243.67
-7.69x + -0.62y + 7.35z <= 153.3
7.63x + 7.33y + -2.82z <= 153.51
-5.44x + 0.39y + -5.46z <= 726.52
9.06x + 3.98y + 9.79z <= 287.87
8.45x + 2.2y + -5.82z <= 587.81
3.18x + 2.5y + -8.33z <= 290.7
-6.27x + -6.5y + -2.15z <= 716.73
-0.8x + -2.51y + 7.67z <= 932.86
-9.8x + 4.48y + 8.36z <= 616.65
-7.94x + 3.33y + 1.17z <= 198.75
-6.72x + 8.92y + -0.35z <= 125.06
9.02x + -2.52y + 2.32z <= 669.98
-1.16x + 5.06y + 4.92z <= 825.34
5.63x + 1.68y + -2.3z <= 925.8
-7.87x + -0.78y + 5.9z <= 690.25
-5.24x + 2.18y + 3.21z <= 331.85
-6.32x + 8.85y + -7.17z <= 291.37
-4.24x + -7.43y + 2.62z <= 334.29
-0.64x + 2.74y + -9.77z <= 404.31
2.32x + 6.31y + -8.57z <= 107.2
8.11x + -7.48y + -6.34z <= 973.8
7.88x + 4.98y + 8.51z <= 671.57
-2.34x + -1.95y + -8.45z <= 553.83
-1.79x + -4.72y + -2.06z <= 420.38
3.86x + 9.18y + -5.75z <= 653.75
6.16x + -5.41y + 3.54z <= 927.59
-1.26x + -5.09y + 6.32z <= 713.05
5.8x + -9.92y + -6.31z <= 358.28
0.34x + -1.54y + 2.05z <= 128.74
2.87x + -1.75y + 2.26z <= 804.05
4.53x + 4.62y + -8.32z <= 725.82
9.49x + -0.42y + -2.82z <= 275.97
5.21x + -6.5y + -4.27z <= 554.71
-3.35x + -9.29y + 7.06z <= 949.63
4.38x + -9.47y + -3.79z <= 647.34
2.38x + -9.89y + 3.44z <= 798.15
9.14x + -8.32y + -0.06z <= 260.53
3.9x + 0.83y + 3.83z <= 567.59
-5.69x + 1.68y + -1.56z <= 280.64
-1.28x + -7.87y + -4.02z <= 269.7
-9.04x + -8.28y + 8.9z <= 427.06
6.5x + 7.95y + -3.5z <= 440.47
1.6x + 7.04y + -5.59z <= 404.86
7.94x + 0.89y + -8.4z <= 602.41
0.09x + 1.04y + -3.47z <= 382.67
-5.41x + -7.84y + -0.78z <= 469.11
-4.17x + 6.13y + -8.58z <= 367.04
-9.39x + -6.82y + 9.81z <= 600.59
0.78x + -8.19y + 9.92z <= 357.03
-8.54x + -6.17y + 1.07z <= 821.88
-0.47x + 4.7y + 3.89z <= 927.32
6.41x + 7.64y + 7.62z <= 116.47
8.77x + 4.69y + -5.0z <= 369.35
-7.22x + -9.67y + -6.12z <= 933.63
-6.04x + -6.24y + -1.42z <= 807.08
-4.15x + -9.95y + -5.83z <= 725.76
-4.69x + -9.24y + -6.3z <= 811.35
8.52x + -8.62y + 3.03z <= 757.12
9.86x + -0.31y + -3.14z <= 685.46
-0.23x + -9.3y + 4.0z <= 331.02
4.51x + 4.9y + 8.04z <= 787.59
-8.65x + 9.71y + 8.85z <= 400.41
2.7x + 9.11y + -7.71z <= 869.7
-3.13x + 9.38y + -6.43z <= 970.38
-9.63x + 8.03y + 5.98z <= 700.77
1.05x + -7.71y + -6.52z <= 728.41
-8.28x + 6.78y + 0.37z <= 311.5
-0.86x + -3.62y + -6.44z <= 202.33
1.02x + -5.26y + 5.93z <= 210.81
-8.5x + -4.65y + -9.1z <= 182.89
3.22x + -9.78y + 5.94z <= 643.56
9.54x + -6.94y + -0.85z <= 760.69
2.01x + -6.75y + 0.21z <= 777.33
9.22x + -7.69y + -2.33z <= 628.46
6.17x + -3.39y + 3.43z <= 718.65
2.09x + -4.83y + 1.59z <= 128.86
1.24x + 9.31y + 0.79z <= 297.89
2.34x + 0.43y + -4.8z <= 249.27
7.54x + -0.03y + 3.12z <= 140.46
-8.25x + -3.22y + 5.53z <= 122.5
-3.02x + 7.53y + 1.14z <= 307.65
-2.97x + -7.6y + 0.34z <= 143.25
-7.31x + 6.93y + 1.42z <= 262.27
-8.12x + 5.01y + -3.36z <= 454.56
1.92x + -3.42y + -5.61z <= 290.36
3.87x + 2.66y + -2.33z <= 555.26
-7.43x + 6.01y + 8.13z <= 757.87
8.2x + 5.95y + -7.91z <= 346.48
9.25x + 1.98y + -6.64z <= 795.61
0.61x + 0.12y + 4.16z <= 524.68
-3.55x + -7.02y + -2.81z <= 639.03
-9.12x + 4.31y + -6.55z <= 731.87
8.67x + 9.89y + -2.29z <= 220.75
-8.16x + -0.81y + 0.74z <= 688.84
4.46x + 8.8y + -2.98z <= 342.85
0.65x + -8.51y + -2.45z <= 399.13
8.36x + -2.65y + -2.51z <= 944.08
-4.71x + -9.56y + 5.07z <= 263.43
-7.92x + 3.32y + 4.92z <= 726.31
-2.12x + 3.81y + -8.09z <= 266.05
5.64x + -8.83y + -1.25z <= 338.08
8.4x + -2.37y + 0.82z <= 330.67
9.65x + 7.8y + -4.63z <= 257.76
4.09x + 6.62y + -9.18z <= 417.96
8.45x + 4.62y + -2.45z <= 260.49
2.72x + 1.28y + -7.75z <= 560.2
0.47x + -8.84y + 1.98z <= 467.18
-3.81x + 5.18y + 6.31z <= 153.05
-4.98x + -7.83y + 7.51z <= 166.35
-9.51x + 6.83y + 8.04z <= 619.6
8.43x + 5.01y + -6.66z <= 493.31
6.01x + -7.87y + -3.51z <= 386.41
2.28x + 8.52y + 4.32z <= 280.22
-0.26x + 3.79y + 8.21z <= 569.18
9.45x + -6.2y + -8.43z <= 774.4
-8.46x + 1.18y + -4.36z <= 323.65
4.47x + -6.34y + 1.02z <= 731.43
1.96x + -7.82y + 3.52z <= 494.93
5.14x + -8.91y + -2.01z <= 697.82
-6.95x + -4.81y + -5.03z <= 966.67
4.66x + -0.11y + -1.04z <= 911.82
2.26x + 4.33y + -9.7z <= 196.28
-4.01x + -1.21y + -1.03z <= 239.6
6.61x + 9.57y + 9.36z <= 517.77
7.48x + 7.37y + -3.07z <= 432.82
0.66x + -6.5y + 2.38z <= 685.9
-0.58x + -1.78y + 8.67z <= 881.61
-0.46x + 6.7y + -1.35z <= 310.02
6.99x + -5.22y + -0.41z <= 310.11
6.3x + 0.78y + -9.12z <= 297.0
4.95x + 7.66y + -5.86z <= 376.99
6.03x + 6.63y + 1.66z <= 385.74
0.1x + -4.12y + -4.72z <= 927.72
5.18x + -7.86y + -4.97z <= 538.77
-1.23x + 6.27y + -4.62z <= 326.95
0.4x + 7.13y + -9.05z <= 447.28
-2.92x + 8.25y + -2.96z <= 395.4
-7.9x + -0.52y + 6.7z <= 230.0
5.79x + -5.06y + 6.75z <= 635.83
2.87x + -4.54y + -2.65z <= 485.02
0.1x + -2.15y + -5.84z <= 733.04
6.49x + 7.07y + -1.93z <= 402.56
9.3x + 1.6y + -2.17z <= 203.26
6.26x + 9.16y + 9.83z <= 136.82
-1.82x + 0.53y + 7.59z <= 488.95
-6.57x + -7.25y + 7.77z <= 708.33
-1.91x + 6.66y + -2.39z <= 940.81
2.52x + 5.88y + 5.2z <= 930.81
0.62x + -2.17y + 6.03z <= 457.51
-7.8x + -7.49y + 8.94z <= 346.91
-5.11x + -6.58y + -3.23z <= 463.02
-9.1x + -7.56y + -1.59z <= 819.94
-9.26x + 0.78y + -5.88z <= 210.36
3.5x + 9.13y + -7.76z <= 592.49
-6.55x + -8.5y + -6.71z <= 309.02
3.53x + 5.52y + -0.7z <= 818.46
2.53x + 6.29y + -2.21z <= 821.94
-7.8x + -1.07y + 8.36z <= 328.75
8.4x + -9.82y + 5.96z <= 408.7
-2.33x + -9.24y + 0.23z <= 703.72
-4.64x + 7.07y + -1.99z <= 380.59
-0.63x + -0.88y + -7.12z <= 708.83
-9.01x + -8.31y + 6.3z <= 322.73
-0.13x + -6.98y + 8.83z <= 502.11
1.03x + 5.55y + -5.65z <= 871.05
3.6x + -8.02y + -3.4z <= 821.24
0.52x + 1.12y + 4.92z <= 406.96
-6.11x + 8.39y + 4.6z <= 428.12
5.69x + -2.49y + 5.44z <= 635.76
7.13x + 7.52y + -3.33z <= 181.03
0.91x + 1.49y + 2.22z <= 170.23
-9.42x + -4.14y + -9.52z <= 481.13
2.11x + 6.37y + 0.43z <= 183.9
-9.37x + -9.72y + -5.94z <= 984.9
-7.54x + -3.68y + 4.95z <= 601.14
-9.55x + -8.03y + 5.58z <= 876.25
-9.38x + 2.11y + -2.09z <= 334.17
-6.24x + -3.91y + 5.0z <= 939.85
2.86x + -0.57y + -5.47z <= 184.02
-0.94x + -9.82y + 7.01z <= 823.2
-3.08x + 6.59y + -9.71z <= 909.1
-4.78x + 4.92y + -7.69z <= 197.71
1.19x + -8.38y + 6.24z <= 837.18
-0.92x + 9.07y + -1.82z <= 241.85
-7.42x + -8.01y + 3.24z <= 962.07
-7.33x + -0.7y + -2.13z <= 848.89
6.44x + -5.6y + -5.86z <= 404.08
-7.23x + 2.84y + 2.46z <= 390.59
-3.26x + 6.95y + -9.19z <= 802.05
-9.33x + 6.04y + 3.91z <= 378.84
-4.09x + 5.87y + 9.13z <= 223.92
0.91x + -6.28y + 2.3z <= 437.59
-5.84x + 1.04y + -5.01z <= 773.64
-6.16x + 2.63y + 3.44z <= 365.86
8.75x + -9.23y + -0.01z <= 938.93
9.72x + 0.1y + -7.66z <= 308.01
-1.75x + 4.69y + -8.38z <= 757.14
-2.3x + 5.01y + 4.51z <= 716.16
4.0x + -5.0y + -3.91z <= 872.4
5.57x + -1.84y + -5.67z <= 136.61
-7.6x + 8.92y + 8.01z <= 278.54
-0.37x + 9.81y + -8.74z <= 273.8
9.82x + 9.5y + 5.94z <= 302.39
1.03x + 8.99y + -9.03z <= 941.19
-0.45x + 0.91y + 2.05z <= 205.16
5.38x + -9.9y + 7.51z <= 669.24
-1.61x + 8.97y + 1.82z <= 705.35
-5.88x + -4.05y + 9.37z <= 286.25
-0.53x + 0.67y + -1.98z <= 122.55
-5.76x + 8.56y + -7.66z <= 127.55
-5.84x + -6.33y + 7.68z <= 492.92
-2.47x + -9.21y + 2.83z <= 302.82
9.9x + -6.21y + -0.16z <= 965.95
-8.78x + -6.97y + -8.96z <= 355.32
-3.92x + -8.01y + 6.49z <= 797.63
7.21x + -0.3y + -9.22z <= 934.09
9.48x + 1.84y + -7.38z <= 859.1
4.55x + -5.71y + 9.18z <= 631.83
-3.6x + -1.79y + -2.96z <= 451.03
4.51x + -0.97y + -3.7z <= 905.14
-1.15x + -3.72y + 0.39z <= 834.9
9.73x + 2.17y + 0.63z <= 979.24
9.58x + -1.09y + -0.31z <= 168.02
-4.45x + -9.82y + 7.89z <= 421.59
-4.03x + -0.58y + -7.87z <= 785.97
0.63x + -9.54y + -4.26z <= 205.68
7.26x + -1.74y + -5.79z <= 605.97
0.41x + 6.4y + -5.25z <= 776.81
3.94x + -9.72y + -5.25z <= 920.92
-1.51x + -7.87y + 5.4z <= 373.48
1.15x + -1.12y + -5.1z <= 369.88
3.72x + -4.22y + -2.31z <= 738.66
7.87x + 5.99y + 3.37z <= 945.05
1.56x + -9.73y + 2.94z <= 541.23
4.2x + -9.96y + -2.41z <= 333.27
-1.62x + -8.75y + -5.71z <= 913.84
2.81x + 7.43y + -5.86z <= 439.76
-7.96x + 6.14y + -3.38z <= 943.14
-5.03x + -4.47y + -0.53z <= 777.58
5.17x + 6.37y + 8.88z <= 686.97
7.98x + 9.19y + -9.61z <= 689.19
9.99x + -2.63y + -6.58z <= 958.28
-9.18x + -5.7y + 7.4z <= 112.79
-8.21x + 8.97y + 0.09z <= 681.92
-9.73x + 0.86y + -8.89z <= 153.18
5.08x + -2.05y + 5.89z <= 613.45
5.27x + -9.72y + 6.67z <= 340.08
-8.3x + 8.56y + 1.0z <= 942.56
-8.97x + 4.26y + -7.69z <= 912.28
3.56x + -1.14y + -3.67z <= 679.45
3.34x + -4.48y + 6.84z <= 420.13
-5.62x + 7.8y + -7.0z <= 612.72
0.98x + -6.13y + 2.15z <= 258.92
5.18x + 8.49y + -3.23z <= 904.47
-9.2x + 5.52y + -9.39z <= 263.28
-1.13x + 5.22y + 5.31z <= 175.1
3.22x + -8.45y + -8.84z <= 912.97
4.81x + 5.21y + -2.64z <= 164.69
7.87x + -9.62y + -2.01z <= 880.96
-2.28x + 8.19y + 9.62z <= 171.25
9.74x + 6.43y + 0.64z <= 858.14
9.31x + 5.33y + -7.43z <= 940.5
0.8x + -6.39y + -5.89z <= 373.77
4.31x + -6.26y + -0.96z <= 259.31
-8.66x + -4.34y + -5.84z <= 614.55
7.74x + -0.59y + 6.81z <= 454.42
2.6x + -6.75y + 5.99z <= 595.28
-1.17x + 9.01y + 3.82z <= 297.56
9.83x + 9.66y + 5.12z <= 416.29
-0.77x + 0.74y + -8.16z <= 775.29
8.68x + 4.3y + 3.06z <= 325.26
-0.65x + 7.79y + -4.13z <= 356.12
0.7x + 4.81y + 0.1z <= 462.19
6.46x + -9.08y + 2.24z <= 530.67
-1.03x + -7.59y + -4.33z <= 723.02
4.43x + 1.37y + -6.08z <= 309.85
-3.65x + -0.66y + 4.22z <= 638.89
6.38x + -9.67y + -1.95z <= 768.31
1.54x + 8.94y + 9.0z <= 931.64
-5.33x + -5.92y + -1.71z <= 501.58
9.73x + 4.79y + -4.03z <= 917.26
9.17x + -5.24y + -8.42z <= 703.62
-0.97x + -6.19y + 9.97z <= 889.28
-9.23x + -4.51y + 9.55z <= 588.07
-7.81x + -9.94y + 3.61z <= 839.55
-0.4x + 9.04y + 7.63z <= 777.02
9.39x + -8.89y + 1.54z <= 922.6
-4.9x + -4.34y + -0.31z <= 500.09
6.11x + -3.23y + -7.08z <= 328.37
-9.75x + -3.95y + -4.63z <= 403.93
4.93x + -4.2y + 7.03z <= 225.01
-5.24x + 0.35y + -0.61z <= 713.98
5.46x + -6.98y + 8.46z <= 444.76
3.47x + 8.22y + -8.42z <= 528.05
4.77x + -3.36y + 4.87z <= 143.19
7.06x + -8.43y + 3.42z <= 775.45
8.43x + 8.57y + -9.47z <= 493.11
0.77x + -9.82y + -0.22z <= 787.52
8.15x + -0.13y + -4.1z <= 620.05
-1.31x + 7.27y + -4.37z <= 342.24
-5.53x + -0.19y + 4.04z <= 421.73
-7.46x + -4.77y + 1.76z <= 782.98
0.85x + -6.32y + -7.78z <= 320.17
4.88x + 6.51y + -6.32z <= 139.53
8.97x + 2.24y + -2.36z <= 128.08
-2.32x + 4.25y + -9.83z <= 219.9
7.05x + 2.94y + 2.14z <= 926.08
-2.38x + -4.96y + -2.68z <= 845.31
-2.06x + -5.25y + 7.19z <= 466.29
-7.66x + -1.97y + 3.24z <= 878.12
8.12x + 2.73y + 5.71z <= 400.19
4.71x + 9.65y + 4.27z <= 939.74
-7.49x + -8.84y + 2.57z <= 824.21
8.64x + 6.24y + -6.05z <= 988.57
-4.29x + 1.13y + 2.76z <= 300.83
4.24x + 1.16y + -9.93z <= 834.5
6.69x + 4.67y + 2.11z <= 659.94
-6.33x + 7.62y + -8.36z <= 998.02
-6.56x + -8.84y + 4.39z <= 235.86
2.69x + -6.26y + 6.24z <= 149.88
1.8x + -5.12y + 5.85z <= 720.9
4.86x + -3.72y + -3.92z <= 648.73
-7.9x + 1.43y + 2.49z <= 185.37
-6.15x + 3.4y + -7.42z <= 258.77
3.53x + 6.8y + 5.44z <= 667.43
-6.74x + -4.6y + -7.58z <= 536.54
-0.14x + -9.85y + 0.75z <= 412.39
-5.9x + 7.74y + -1.54z <= 880.71
-3.78x + -5.81y + 6.15z <= 789.12
-3.04x + 3.2y + 8.01z <= 438.97
-9.11x + 9.84y + 0.94z <= 188.73
-1.05x + 6.27y + -9.56z <= 628.1
-0.64x + -2.87y + 3.23z <= 531.82
-4.7x + 9.57y + -0.43z <= 205.07
-3.36x + 4.29y + 1.93z <= 180.0
-7.56x + -8.6y + -2.84z <= 710.76
-9.39x + -8.65y + -5.24z <= 904.83
-3.02x + -9.73y + 3.83z <= 510.03
-8.14x + 0.4y + -9.86z <= 505.99
-3.69x + 3.9y + -4.4z <= 313.14
-9.74x + 3.25y + 7.17z <= 533.63
3.06x + 2.81y + 9.99z <= 794.03
-8.62x + 8.98y + 8.96z <= 302.52
-6.19x + -7.12y + -5.55z <= 250.91
10.0x + -1.64y + 0.64z <= 246.31
8.85x + -1.55y + -4.79z <= 555.23
5.99x + -7.37y + -8.89z <= 912.58
-8.72x + -2.46y + -3.62z <= 558.53
8.01x + 2.34y + 8.66z <= 318.37
-9.89x + 0.31y + -5.79z <= 290.17
-9.27x + 1.63y + 1.4z <= 280.96
-0.03x + 5.03y + -2.59z <= 926.55
-6.81x + 8.88y + 4.04z <= 409.71
-4.46x + 7.88y + -9.46z <= 876.14
-8.93x + -6.97y + 7.55z <= 796.66
-1.26x + -0.64y + -3.04z <= 849.85
-3.41x + 1.18y + 4.49z <= 498.32
-1.28x + -7.06y + -9.61z <= 517.65
0.14x + -2.34y + -5.93z <= 607.83
3.04x + 2.78y + -0.68z <= 279.93
-5.05x + -2.9y + 5.74z <= 876.17
-2.96x + -4.78y + -0.96z <= 608.3
6.53x + 3.86y + -3.56z <= 895.38
5.13x + 8.99y + 4.91z <= 858.96
6.4x + -6.88y + 8.72z <= 752.95
-1.11x + -9.04y + 7.18z <= 421.62
7.9x + 4.44y + -6.03z <= 286.78
0.46x + 4.58y + -8.47z <= 135.74
-7.68x + -4.48y + -3.28z <= 481.41
-5.07x + 9.45y + -8.28z <= 806.51
-9.84x + 7.94y + -4.41z <= 399.0
9.5x + -9.2y + 6.27z <= 808.73
-0.54x + 6.58y + -5.98z <= 726.82
9.86x + 6.44y + -9.29z <= 513.11
-7.2x + 3.64y + 0.45z <= 571.4
-5.84x + -9.15y + 0.8z <= 745.11
-7.04x + -4.28y + -5.38z <= 250.29
-6.99x + 5.66y + 9.27z <= 283.57
1.33x + 5.5y + 0.99z <= 954.28
-5.02x + 6.02y + -0.94z <= 877.07
-3.14x + -0.64y + -5.04z <= 853.61
-7.01x + -3.39y + 7.34z <= 271.13
-1.06x + 9.28y + 8.66z <= 198.19
0.55x + 4.34y + 6.21z <= 988.21
-1.27x + 7.99y + 5.13z <= 206.49
1.07x + 3.65y + -1.25z <= 934.09
-2.38x + -4.56y + 3.03z <= 821.56
0.19x + 4.51y + -3.47z <= 865.6
-1.82x + 1.64y + -4.83z <= 326.47
5.76x + 9.46y + 0.62z <= 601.28
8.82x + -6.17y + 7.42z <= 734.6
-6.91x + 1.28y + 4.04z <= 569.32
-7.02x + -0.05y + -4.72z <= 828.39
-8.03x + 1.12y + 2.83z <= 870.06
7.75x + -5.75y + -9.17z <= 536.54
-7.14x + 0.57y + -2.63z <= 391.82
-4.75x + -1.95y + 2.43z <= 426.68
-9.73x + -0.95y + -6.8z <= 886.48
1.84x + -2.63y + -8.98z <= 834.71
-6.42x + -0.98y + 9.67z <= 668.13
-4.16x + -9.35y + -9.42z <= 724.13
-8.33x + 6.21y + 6.51z <= 866.19
-4.66x + 2.46y + -3.82z <= 385.8
-0.47x + -7.62y + -8.38z <= 416.82
0.46x + -0.76y + 8.08z <= 998.13
1.03x + 7.27y + 7.08z <= 868.81
8.02x + -9.22y + -5.83z <= 955.6
-1.98x + 1.24y + 9.11z <= 408.76
5.15x + -3.59y + 9.01z <= 922.47
1.48x + -9.06y + 9.95z <= 347.06
-0.75x + 0.69y + -4.51z <= 128.34
1.77x + -3.24y + -2.38z <= 404.84
4.05x + -8.3y + -0.25z <= 331.54
9.65x + 5.75y + 2.93z <= 514.95
-6.44x + -2.08y + -4.33z <= 469.49
-0.23x + -7.73y + -4.68z <= 287.17
1.7x + -2.54y + 5.55z <= 355.74
0.41x + -0.03y + -3.91z <= 218.63
-7.68x + 4.22y + -3.07z <= 741.16
-3.47x + -8.45y + 9.89z <= 745.89
-5.84x + -1.02y + -6.02z <= 363.18
0.29x + 9.33y + 8.93z <= 808.37
6.72x + 0.45y + -5.37z <= 171.52
-2.98x + -4.39y + -2.67z <= 381.37
-6.93x + 5.83y + 2.2z <= 821.25
5.21x + 6.88y + 1.82z <= 448.85
7.98x + 3.42y + -6.8z <= 406.96
-3.49x + 7.16y + -2.36z <= 239.35
5.69x + -2.16y + 4.01z <= 840.87
0.24x + 5.05y + -0.74z <= 464.79
-1.89x + -4.57y + -2.91z <= 103.74
-4.06x + 8.27y + 3.23z <= 522.16
-8.26x + 0.29y + 7.03z <= 841.72
2.16x + 5.46y + 0.48z <= 803.05
2.27x + -7.84y + -1.75z <= 375.55
7.25x + -7.27y + -1.49z <= 872.63
-5.71x + 9.99y + -1.25z <= 323.02
-7.07x + -6.14y + 4.33z <= 230.47
3.52x + 5.27y + 1.29z <= 717.62
-2.58x + 7.12y + 3.96z <= 711.21
1.62x + -5.63y + 6.83z <= 593.42
-1.22x + 8.33y + -1.19z <= 192.14
0.62x + -4.35y + 9.52z <= 639.94
-2.51x + -2.14y + 1.32z <= 223.54
2.43x + -0.75y + -3.31z <= 315.53
-6.69x + -4.93y + 0.15z <= 299.46
-1.22x + -7.41y + -6.5z <= 569.8
-4.28x + -1.44y + 1.31z <= 234.61
3.14x + -7.28y + 6.34z <= 702.84
0.42x + 0.45y + -3.85z <= 590.22
-8.21x + 0.02y + -2.53z <= 750.95
8.69x + -8.79y + 4.71z <= 572.46
-5.42x + 3.81y + -7.55z <= 153.95
0.16x + -3.45y + -0.35z <= 503.95
-3.96x + 7.68y + 4.73z <= 275.85
4.64x + -0.14y + -6.26z <= 739.41
7.64x + 8.38y + 7.08z <= 309.53
-9.55x + 7.6y + 4.49z <= 162.3
-0.53x + 4.39y + -6.93z <= 914.24
7.21x + -7.14y + -3.28z <= 816.14
-9.98x + 5.97y + -1.46z <= 627.91
-3.67x + 9.74y + 9.66z <= 140.01
9.24x + 7.09y + 5.89z <= 189.98
-6.84x + -0.79y + -1.47z <= 775.43
6.3x + -9.32y + -9.83z <= 362.2
3.13x + 6.5y + 6.54z <= 723.6
-7.26x + 1.32y + -3.21z <= 515.15
8.58x + -6.6y + 7.23z <= 216.02
-9.37x + -0.55y + -0.09z <= 858.2
-1.14x + -0.19y + 8.57z <= 883.05
-1.52x + 8.72y + -6.81z <= 325.13
1.56x + -4.15y + 1.84z <= 699.79
4.72x + 2.38y + 0.68z <= 186.45
1.23x + -8.13y + 2.32z <= 215.77
4.27x + -5.65y + -2.39z <= 857.26
1.39x + -3.37y + -5.63z <= 887.75
1.28x + -3.18y + -6.83z <= 479.34
8.24x + -7.49y + -1.93z <= 111.84
-2.18x + -2.95y + 4.51z <= 792.28
0.87x + -6.43y + -1.29z <= 101.07
-0.64x + -1.51y + 7.42z <= 744.79
4.68x + 4.78y + 7.61z <= 381.53
7.94x + -0.45y + -9.26z <= 142.93
-1.05x + 5.92y + -4.21z <= 134.66
-4.83x + 1.92y + 2.77z <= 640.83
2.18x + 3.64y + 9.86z <= 336.65
-4.16x + -7.47y + -1.56z <= 809.7
-7.18x + 6.24y + 0.59z <= 367.6
-9.8x + 1.44y + 3.72z <= 429.87
2.18x + -3.33y + 6.77z <= 511.24
-2.83x + -0.48y + 4.82z <= 829.7
5.79x + -4.51y + 4.72z <= 460.17
1.45x + -3.91y + -5.47z <= 642.13
-5.94x + -8.58y + 4.17z <= 898.71
-7.73x + 9.1y + 4.33z <= 868.8
4.22x + 6.77y + -9.97z <= 847.0
4.98x + -2.45y + 6.94z <= 721.96
2.04x + -9.62y + -6.29z <= 438.33
1.72x + -3.81y + 2.33z <= 289.76
-6.07x + -6.05y + -0.22z <= 565.28
6.75x + -9.26y + 7.76z <= 967.55
-1.95x + 3.59y + -7.8z <= 828.73
1.81x + -3.68y + 6.96z <= 463.47
7.12x + 2.51y + -3.45z <= 240.9
6.0x + -9.46y + -7.39z <= 484.16
-6.51x + 0.88y + 1.84z <= 775.7
2.11x + 6.22y + 6.02z <= 117.74
-0.27x + -6.5y + 1.48z <= 389.6
-3.35x + -3.2y + -8.94z <= 522.27
-2.1x + 4.21y + 7.3z <= 399.09
-7.88x + 9.6y + 6.33z <= 675.64
3.67x + 7.61y + 3.48z <= 968.4
-9.71x + -7.36y + -6.92z <= 839.22
-0.68x + -8.41y + -3.58z <= 978.77
8.21x + 0.95y + 5.13z <= 933.02
9.95x + -2.29y + -3.84z <= 994.98
1.03x + 8.09y + -2.9z <= 131.8
-5.06x + -3.05y + -6.66z <= 615.8
8.7x + 5.67y + -3.61z <= 130.5
6.15x + 9.74y + 7.47z <= 246.15
8.06x + 3.84y + 1.63z <= 729.45
5.58x + -5.88y + -5.61z <= 717.79
8.77x + -8.45y + 1.31z <= 239.24
-2.26x + 2.18y + 0.41z <= 455.7
4.73x + 9.33y + -8.14z <= 545.0
-7.21x + 2.23y + -7.24z <= 334.73
-5.28x + -8.68y + -0.69z <= 232.05
-6.52x + 2.75y + -4.86z <= 502.99
5.63x + -6.32y + -7.97z <= 124.31
3.12x + 6.63y + 6.3z <= 716.15
-4.19x + 7.17y + -0.43z <= 540.53
-3.66x + 5.33y + -2.31z <= 868.99
8.22x + 6.08y + -9.24z <= 400.71
4.25x + 7.94y + -8.09z <= 615.33
4.11x + -4.61y + -2.6z <= 592.73
-2.6x + -0.53y + 6.63z <= 258.02
-4.06x + 5.19y + 5.39z <= 945.42
-4.03x + 6.98y + -5.63z <= 755.81
-1.3x + 5.18y + 0.81z <= 510.81
-8.41x + -5.84y + -1.06z <= 434.74
-2.32x + -5.31y + 0.4z <= 987.9
7.54x + 7.53y + -1.85z <= 670.91
-3.96x + 1.23y + -4.23z <= 995.36
-3.27x + 5.25y + -5.34z <= 438.38
-1.94x + 7.67y + -0.71z <= 687.53
6.19x + 2.83y + 7.34z <= 600.01
3.53x + -2.08y + -7.17z <= 921.11
6.37x + -3.58y + 7.87z <= 629.28
-6.56x + -5.33y + -8.51z <= 232.32
8.25x + -2.32y + -5.79z <= 159.86
-6.05x + 9.64y + -5.02z <= 240.78
5.74x + -6.39y + 1.47z <= 840.51
-2.69x + 2.99y + 4.95z <= 122.86
3.49x + -7.38y + -4.48z <= 578.61
-9.11x + 4.17y + -2.66z <= 503.96
6.98x + -5.95y + 0.74z <= 845.6
-7.78x + -3.7y + 1.5z <= 610.71
-2.2x + 0.42y + -2.8z <= 451.13
6.79x + -4.24y + 3.41z <= 614.33
1.01x + -2.17y + 4.54z <= 361.16
3.99x + -5.63y + -1.0z <= 545.83
2.03x + 5.06y + -0.17z <= 942.35
0.7x + 2.35y + -5.73z <= 286.96
-4.32x + 1.03y + -9.44z <= 469.94
-6.32x + 7.76y + -5.45z <= 549.44
