max 7.81x + -1.37y + 3.03z
2.29x + 0.53y + 2.37z <= 431.02
-2.12x + -4.02y + -8.51z <= 628.43
3.59x + -7.18y + -4.56z <= 890.53
-1.32x + 2.76y + 9.88z <= 477.62
-5.36x + -1.27y + -2.65z <= 571.53
-4.01x + -3.81y + 8.02z <= 885.59
-4.31x + 3.05y + -3.97z <= 989.61
-5.24x + -1.84y + 7.06z <= 868.4
5.65x + -4.27y + -8.09z <= 322.69
-5.84x + 0.33y + -3.97z <= 604.39
-9.92x + 3.1y + 8.35z <= 367.13
1.75x + 8.61y + -9.99z <= 912.67
0.35x + -4.13y + -4.92z <= 707.64
9.59x + -2.42y + 7.35z <= 583.28
0.18x + 7.85y + -7.24z <= 301.68
-5.22x + 7.5y + 3.38z <= 149.93
6.0x + -8.73y + -9.66z <= 999.76
-5.13x + -6.33y + -5.63z <= 144.45
-2.44x + 5.53y + 2.81z <= 329.83
-3.53x + 3.58y + 0.65z <= 575.75
5.02x + 9.52y + -1.96z <= 475.43
-0.67x + -6.56y + -8.84z <= 175.47
-7.67x + -8.77y + -4.76z <= 645.1
-5.88x + -4.73y + 7.0z <= 673.42
0.32x + -2.69y + 6.79z <= 848.86
-0.02x + -7.51y + 2.76z <= 292.31
6.88x + -2.88y + 8.91z <= 468.89
-8.35x + 6.65y + 3.07z <= 968.57
0.73x + -2.11y + -0.84z <= 827.72
-5.64x + 0.65y + 9.4z <= 922.86
0.52x + -6.07y + 4.59z <= 904.07
9.32x + 3.12y + 5.84z <= 366.5
4.0x + -4.92y + 1.95z <= 251.58
-0.71x + -3.36y + -2.06z <= 405.41
-0.57x + -6.89y + 6.0z <= 562.65
-8.75x + -4.94y + -4.01z <= 702.0
-1.37x + 1.18y + -9.77z <= 170.02
-6.65x + -4.01y + -5.02z <= 742.75
-5.38x + -5.32y + -7.9z <= 482.03
7.39x + 8.07y + 8.66z <= 389.83
0.3x + 5.3y + -6.59z <= 685.2
-7.22x + -6.8y + -4.62z <= 900.75
-6.82x + -6.56y + -7.25z <= 813.29
8.67x + -8.95y + -6.09z <= 937.58
-0.92x + -9.84y + -8.55z <= 780.68
3.44x + 2.87y + 7.1z <= 919.59
-6.31x + -0.61y + -0.13z <= 189.01
-6.49x + -8.61y + 4.62z <= 535.64
9.86x + -2.16y + -0.63z <= 102.19
7.51x + -3.03y + -7.59z <= 763.93
-1.83x + 2.93y + 4.31z <= 738.77
0.09x + 3.76y + 3.18z <= 987.4
-2.76x + 8.6y + 1.66z <= 863.43
-7.52x + 0.8y + -6.14z <= 449.8
3.58x + 8.07y + 2.59z <= 805.3
8.3x + -9.19y + -8.99z <= 938.75
-2.86x + -7.12y + 6.78z <= 153.08
2.97x + 4.04y + -9.0z <= 197.35
-2.99x + -1.78y + -2.02z <= 719.93
-0.9x + -0.77y + 7.98z <= 477.84
-1.54x + 9.29y + -1.4z <= 422.48
9.86x + -3.54y + 9.34z <= 995.44
-6.02x + 0.03y + 7.56z <= 873.38
-3.59x + -0.74y + 3.03z <= 484.66
-6.55x + 8.85y + -4.98z <= 773.91
9.27x + -3.17y + -3.05z <= 895.26
-3.81x + -3.75y + -3.08z <= 904.41
0.65x + -8.5y + 4.86z <= 179.18
-7.15x + -9.26y + 3.47z <= 401.46
7.59x + -0.48y + 3.47z <= 123.88
-5.97x + 7.16y + -1.48z <= 394.67
3.02x + -1.97y + 9.37z <= 935.3
-1.86x + -6.77y + -1.35z <= 156.91
3.12x + -3.67y + -9.64z <= 439.13
5.0x + 3.98y + 8.01z <= 699.36
4.48x + -1.74y + 8.88z <= 888.14
1.07x + -9.2y + -4.7z <= 951.86
7.97x + -4.53y + -7.83z <= 691.94
-8.82x + 2.22y + 4.35z <= 314.56
-8.18x + 3.35y + 8.77z <= 969.47
-5.63x + 4.18y + -8.8z <= 820.63
9.36x + -9.99y + -7.97z <= 565.74
-8.88x + 9.17y + -0.14z <= 802.06
2.82x + -7.79y + -3.59z <= 534.96
0.11x + -2.88y + 4.8z <= 605.2
-4.95x + -7.41y + -6.89z <= 216.3
5.43x + 2.0y + -6.47z <= 434.57
1.01x + -2.38y + 2.66z <= 928.31
-7.47x + 7.61y + -5.57z <= 773.96
7.8x + -0.4y + 7.92z <= 128.2
4.12x + 7.15y + 6.26z <= 440.59
2.7x + -8.42y + 1.83z <= 334.84
-1.81x + 6.39y + 8.36z <= 652.73
3.49x + 3.85y + -5.3z <= 246.97
1.93x + 9.36y + 0.07z <= 575.97
3.79x + -2.82y + 3.08z <= 705.23
6.3x + -4.27y + -2.93z <= 153.49
-4.08x + 1.92y + 4.5z <= 834.96
3.77x + 8.64y + -6.67z <= 557.98
9.69x + 8.36y + -3.46z <= 545.08
-7.19x + 4.7y + -7.47z <= 182.52
-4.36x + -1.07y + -0.89z <= 472.0
7.27x + 9.82y + 9.7z <= 559.28
2.49x + 2.69y + 5.4z <= 648.26
-1.16x + 6.48y + 2.05z <= 381.53
-8.12x + 7.85y + -5.93z <= 307.21
-0.65x + 9.96y + 2.45z <= 484.07
-2.71x + -3.52y + 7.36z <= 923.2
3.99x + 2.69y + -4.69z <= 271.8
7.55x + -1.11y + 9.2z <= 528.2
-2.38x + -1.39y + -1.87z <= 575.33
-7.88x + -6.65y + 3.28z <= 317.51
0.65x + -5.84y + 0.04z <= 486.21
-5.79x + -3.09y + -3.97z <= 150.75
4.87x + -7.24y + 3.69z <= 132.2
1.56x + 6.68y + -4.7z <= 130.95
2.27x + 0.96y + -8.14z <= 547.63
-7.76x + -6.91y + 9.38z <= 751.42
6.45x + 0.77y + 9.98z <= 457.9
-5.75x + 8.58y + 3.67z <= 921.35
6.3x + -1.55y + 3.06z <= 646.71
-5.16x + 8.85y + -9.35z <= 512.98
6.5x + 8.43y + -6.53z <= 676.02
3.35x + -2.46y + 9.28z <= 573.0
-9.89x + -1.77y + 2.65z <= 373.0
8.65x + -5.82y + -4.66z <= 786.61
8.91x + -1.56y + -6.84z <= 596.81
-6.26x + -7.42y + -9.32z <= 346.2
8.04x + -9.99y + 1.38z <= 200.97
-7.77x + -2.6y + -5.27z <= 926.53
-0.76x + -3.18y + 8.9z <= 393.46
-9.6x + 8.57y + -0.96z <= 187.0
7.42x + -6.16y + -4.79z <= 151.62
-0.23x + -0.28y + 0.63z <= 108.39
-2.34x + 7.57y + 7.06z <= 295.14
6.32x + -9.61y + -1.94z <= 321.08
6.58x + 1.01y + 6.0z <= 418.84
-3.4x + 0.34y + 8.74z <= 943.91
9.7x + 4.93y + 7.14z <= 284.36
-0.36x + 9.65y + 5.38z <= 663.22
-0.79x + -0.72y + -7.83z <= 436.81
6.85x + 3.47y + 9.96z <= 964.13
3.57x + 5.48y + 8.1z <= 159.44
-7.65x + 3.4y + 0.13z <= 711.9
4.46x + -3.85y + 4.52z <= 843.02
-3.92x + 2.63y + 2.4z <= 438.73
-7.46x + -6.37y + -2.33z <= 916.67
4.84x + 7.1y + -0.89z <= 897.83
-5.48x + -4.06y + 3.2z <= 959.65
9.07x + -7.06y + -8.51z <= 734.99
3.73x + 1.08y + 5.03z <= 855.03
1.66x + -8.14y + 7.17z <= 140.59
5.79x + -5.18y + -8.81z <= 597.36
-4.48x + 2.1y + -9.26z <= 603.02
2.34x + 4.23y + 5.99z <= 634.27
1.61x + 3.53y + -4.92z <= 864.22
2.28x + -5.64y + -7.78z <= 628.56
-7.25x + 0.9y + 3.72z <= 993.85
-8.94x + 9.78y + 0.64z <= 873.05
-9.16x + 9.88y + 8.19z <= 262.81
2.54x + 5.88y + -4.03z <= 741.7
9.01x + 8.22y + -3.73z <= 242.27
2.03x + -4.17y + 3.34z <= 425.12
8.21x + -4.97y + 7.62z <= 754.33
3.5x + 1.78y + -2.78z <= 964.18
0.1x + -9.06y + -3.78z <= 572.25
9.68x + -5.94y + -9.34z <= 196.87
-1.78x + -9.35y + 7.13z <= 732.14
9.28x + 8.29y + 7.77z <= 875.89
-9.71x + -4.19y + 1.84z <= 763.13
6.39x + 5.74y + 4.17z <= 854.91
-1.01x + 0.17y + 3.87z <= 371.18
-7.39x + -9.66y + -0.45z <= 604.18
8.18x + -6.19y + -0.14z <= 673.96
-9.36x + 9.54y + 1.6z <= 992.23
-3.7x + 7.61y + -1.59z <= 901.9
5.33x + 6.9y + -1.33z <= 294.25
-0.98x + 6.34y + 1.71z <= 318.47
-4.64x + 7.89y + 5.61z <= 717.83
-0.51x + -5.33y + 1.18z <= 197.94
2.25x + 1.31y + 2.68z <= 284.6
-9.31x + 1.34y + 8.23z <= 963.55
7.15x + -2.78y + -3.62z <= 277.02
-4.03x + 4.42y + 9.71z <= 739.05
-5.31x + -6.01y + -0.61z <= 386.07
6.05x + 0.24y + 1.97z <= 414.27
-2.02x + 6.51y + -1.04z <= 439.96
3.6x + -5.42y + 8.75z <= 852.59
7.87x + 0.01y + -0.97z <= 536.47
2.29x + 7.18y + 1.51z <= 190.49
-0.85x + 2.13y + -1.72z <= 276.57
5.7x + 0.18y + -5.62z <= 859.24
-1.8x + -4.48y + 7.49z <= 576.55
-9.57x + -0.88y + -5.58z <= 753.78
0.3x + 2.22y + -4.7z <= 258.96
9.18x + -7.07y + -6.6z <= 308.41
-1.6x + 1.2y + -2.09z <= 281.62
9.91x + -2.33y + -0.43z <= 926.61
-5.78x + -3.17y + 1.38z <= 795.18
-4.26x + 3.44y + 5.41z <= 355.4
4.24x + -4.41y + 5.16z <= 390.94
-8.05x + 6.61y + -8.52z <= 624.89
-9.83x + 2.5y + -6.15z <= 601.36
6.53x + -9.98y + 9.17z <= 205.9
-2.4x + 1.13y + 1.24z <= 792.58
-6.83x + 9.34y + -9.53z <= 935.33
-5.51x + -8.24y + -5.54z <= 653.18
-0.11x + -0.09y + 9.33z <= 120.78
0.16x + -6.1y + -0.75z <= 342.44
5.5x + -5.9y + 9.69z <= 135.04
4.46x + 5.15y + -2.33z <= 395.1
-8.62x + 0.24y + -3.39z <= 839.46
-6.59x + 4.78y + -0.76z <= 543.1
-1.08x + -8.1y + 6.43z <= 552.35
8.44x + 1.35y + 4.66z <= 806.36
-9.05x + 8.7y + -8.09z <= 908.56
-3.91x + 5.96y + -4.09z <= 275.33
1.28x + 0.4y + -8.33z <= 333.92
4.54x + -1.0y + -1.35z <= 814.65
6.9x + 6.34y + -7.82z <= 184.33
-4.77x + -1.51y + -5.08z <= 939.27
6.0x + 4.28y + -2.76z <= 364.0
7.02x + -6.89y + 1.21z <= 298.18
5.24x + 4.25y + 6.63z <= 334.81
-4.98x + -6.74y + -8.74z <= 159.94
8.73x + -0.33y + -7.99z <= 131.21
3.99x + -5.98y + 5.88z <= 816.64
3.77x + 2.3y + 0.35z <= 963.49
-2.18x + 2.21y + 8.23z <= 837.12
-8.48x + 3.07y + -9.68z <= 974.74
-8.14x + 1.28y + 8.79z <= 654.06
-5.24x + -0.45y + -0.7z <= 485.69
5.64x + -5.93y + -7.49z <= 549.67
1.83x + 3.38y + -2.99z <= 733.16
-1.64x + 9.14y + -7.79z <= 619.52
-2.11x + -8.72y + -3.53z <= 474.98
5.72x + -8.93y + -0.28z <= 785.55
1.07x + -5.7y + -2.25z <= 241.2
8.78x + -9.54y + 3.3z <= 610.86
-1.43x + 8.73y + 8.48z <= 129.97
-5.22x + 3.32y + -2.77z <= 159.78
-6.05x + -0.91y + 0.21z <= 511.23
-7.92x + -1.51y + -6.71z <= 981.79
-5.72x + -6.09y + 0.05z <= 152.42
8.55x + -1.21y + -4.99z <= 993.48
5.12x + 5.72y + 4.04z <= 636.7
-3.52x + -7.21y + 7.14z <= 482.61
3.86x + -3.39y + -0.03z <= 458.59
2.66x + -7.56y + 1.28z <= 185.35
2.67x + -0.19y + -1.6z <= 154.36
1.51x + 7.55y + 3.4z <= 212.85
8.68x + 3.65y + 3.65z <= 685.53
0.25x + -5.74y + 0.97z <= 432.46
8.29x + 1.64y + 9.97z <= 520.93
-3.69x + 3.53y + -2.11z <= 478.41
-5.47x + -3.78y + 1.25z <= 787.56
6.41x + 8.27y + -6.57z <= 149.81
-6.19x + -0.23y + 5.99z <= 142.85
-6.91x + -0.73y + -3.07z <= 957.98
-9.52x + 2.82y + 7.76z <= 437.38
-2.01x + -6.7y + -0.74z <= 315.62
-1.79x + -1.27y + -7.83z <= 122.65
6.86x + -0.74y + 5.47z <= 697.2
5.07x + -2.69y + 4.32z <= 513.78
5.35x + -3.95y + -3.9z <= 113.05
4.06x + -3.99y + -1.54z <= 988.89
6.45x + -7.0y + -4.99z <= 596.08
-9.54x + 4.89y + -0.64z <= 171.7
8.0x + 5.12y + -9.14z <= 398.38
-5.6x + 7.09y + 6.6z <= 377.37
9.71x + -6.69y + -0.68z <= 776.89
-6.86x + -6.39y + 5.55z <= 796.37
2.76x + -3.21y + 8.81z <= 994.93
4.34x + 9.85y + -4.77z <= 517.87
4.48x + 2.17y + -9.26z <= 887.45
2.01x + 3.46y + 3.35z <= 533.51
-6.79x + -5.1y + 8.76z <= 212.66
-3.78x + 7.27y + 4.15z <= 721.64
-3.27x + 1.21y + 2.41z <= 978.9
6.01x + -3.36y + 2.73z <= 712.77
-6.82x + 1.0y + -0.87z <= 920.86
-9.48x + 4.35y + 4.27z <= 462.13
6.04x + 5.31y + -3.37z <= 287.59
0.39x + -3.3y + -9.54z <= 142.91
-5.9x + 7.03y + -3.59z <= 855.12
1.71x + -7.09y + 9.34z <= 624.29
-8.14x + 5.8y + -7.4z <= 662.52
9.4x + -8.26y + -5.4z <= 231.99
-2.94x + -2.65y + -6.22z <= 241.6
-5.87x + 9.0y + -1.54z <= 120.73
8.88x + 0.89y + 6.16z <= 883.5
7.06x + 3.72y + -9.31z <= 401.94
0.48x + 2.6y + -5.37z <= 803.98
8.21x + 3.81y + 5.59z <= 179.97
-6.77x + 9.58y + 5.2z <= 143.08
-9.72x + -5.15y + -2.49z <= 452.02
-0.77x + 7.59y + -1.75z <= 186.69
-4.99x + 8.9y + -9.99z <= 314.9
-8.98x + -9.81y + 3.73z <= 543.66
-0.02x + -3.57y + 3.84z <= 445.89
2.92x + -8.76y + 5.0z <= 121.79
5.09x + -6.16y + -5.39z <= 966.89
1.35x + -0.83y + -9.91z <= 697.12
-0.89x + 9.46y + 8.48z <= 736.34
-0.98x + -2.34y + -5.44z <= 900.49
9.02x + -2.46y + 0.87z <= 789.08
2.21x + 1.84y + -3.06z <= 969.83
6.53x + -8.08y + -4.1z <= 173.78
0.13x + 8.87y + 0.49z <= 709.55
-6.97x + 0.34y + 5.28z <= 833.44
7.94x + 6.91y + -2.03z <= 986.92
-6.54x + 1.9y + 7.27z <= 967.83
-0.2x + -3.63y + 9.35z <= 153.98
3.21x + 5.67y + 0.48z <= 736.44
-8.18x + 9.56y + 9.91z <= 426.44
1.26x + -0.83y + -2.51z <= 685.38
1.78x + 7.89y + -0.81z <= 937.89
-1.52x + 1.73y + 1.0z <= 602.15
-3.15x + 1.77y + 5.16z <= 409.76
-3.74x + -1.99y + -1.47z <= 761.31
-4.85x + -9.15y + 1.45z <= 826.84
7.52x + -7.31y + -7.41z <= 375.06
9.24x + 8.5y + 4.65z <= 813.16
1.74x + -6.22y + -8.23z <= 804.13
-6.42x + 5.66y + 4.64z <= 916.37
-0.98x + -8.48y + -4.56z <= 520.33
-7.22x + 6.45y + -9.34z <= 559.38
-3.22x + -1.68y + -2.09z <= 254.16
8.93x + -1.2y + 0.28z <= 640.83
2.99x + -6.57y + 4.48z <= 439.19
-4.46x + 10.0y + -6.6z <= 245.38
3.59x + -4.04y + 6.76z <= 172.3
-5.2x + -2.71y + 0.96z <= 631.88
2.18x + -8.92y + -6.11z <= 499.87
-8.03x + 8.76y + -0.81z <= 491.86
-5.86x + -6.11y + 9.64z <= 996.36
-0.09x + -0.44y + 2.08z <= 791.73
6.49x + 3.34y + 6.57z <= 552.24
-4.42x + 0.51y + 1.96z <= 425.02
-9.59x + 8.52y + -5.02z <= 594.36
-6.0x + -2.98y + 0.33z <= 429.45
-7.07x + -4.0y + -9.14z <= 712.89
-8.15x + -0.32y + 4.16z <= 378.37
-8.52x + -1.13y + 2.53z <= 632.17
-9.7x + 9.86y + -4.47z <= 459.81
-1.41x + 9.59y + -1.83z <= 816.27
9.98x + 6.65y + 0.61z <= 469.27
2.24x + -2.39y + -1.87z <= 294.13
7.58x + 0.55y + -4.96z <= 557.7
-3.61x + 5.93y + -3.48z <= 917.46
6.29x + -7.17y + -6.8z <= 429.72
-3.01x + -3.97y + -3.49z <= 183.91
-9.1x + 2.33y + 8.67z <= 983.04
-0.27x + 9.81y + -1.81z <= 544.66
9.95x + 6.49y + 6.87z <= 268.72
9.99x + -4.96y + -4.83z <= 622.43
-0.19x + 2.47y + 1.61z <= 477.47
-7.16x + 4.24y + -9.78z <= 860.96
3.5x + -9.71y + 4.7z <= 341.44
1.46x + 9.12y + 7.06z <= 292.95
-5.23x + -8.63y + 3.45z <= 586.11
-1.15x + -6.64y + 2.81z <= 573.5
-7.3x + -2.57y + 4.69z <= 464.74
6.04x + 9.01y + 5.64z <= 474.3
7.94x + -8.24y + -3.83z <= 120.79
6.42x + 9.88y + -6.72z <= 794.0
-8.5x + -3.79y + -5.03z <= 391.61
-2.08x + -3.89y + 1.5z <= 731.25
0.15x + 8.78y + 6.14z <= 644.55
8.36x + -5.45y + -1.53z <= 116.17
7.95x + -7.47y + 4.05z <= 674.58
8.46x + -6.31y + -1.59z <= 437.88
-3.74x + -2.31y + 8.25z <= 329.85
-0.44x + -5.03y + -5.04z <= 765.24
-0.85x + -1.05y + 3.84z <= 675.13
2.54x + 4.88y + 0.51z <= 306.05
0.21x + -2.07y + 5.32z <= 590.02
-5.4x + 1.44y + 3.57z <= 208.23
-8.82x + -7.2y + 2.1z <= 942.26
-2.06x + -7.29y + -4.1z <= 259.13
-8.22x + -9.13y + -3.56z <= 896.62
-2.19x + 4.85y + -1.79z <= 662.62
-8.57x + 4.68y + -3.22z <= 534.22
3.08x + 6.89y + 7.0z <= 806.77
-4.05x + -1.68y + 0.34z <= 674.17
1.33x + 5.59y + 8.72z <= 820.5
9.82x + 8.66y + -7.44z <= 628.59
6.8x + 7.38y + 4.61z <= 197.19
-0.98x + -3.18y + 1.09z <= 372.47
1.67x + -3.38y + 1.97z <= 220.19
-0.43x + 3.54y + -4.32z <= 207.75
-4.11x + 0.46y + -7.11z <= 669.08
-2.36x + 9.78y + 4.42z <= 481.56
-9.63x + 2.06y + -2.09z <= 116.63
-9.72x + -9.1y + -1.32z <= 866.17
5.81x + -0.5y + -2.31z <= 205.41
7.79x + 5.88y + 8.02z <= 752.91
1.27x + -4.12y + 1.61z <= 187.95
-6.24x + -1.6y + 8.81z <= 494.51
-8.08x + -1.15y + -7.76z <= 976.94
-4.49x + -5.03y + 8.95z <= 820.68
-4.28x + -2.37y + 8.5z <= 911.66
4.38x + -8.37y + -0.71z <= 195.66
5.87x + 7.49y + -9.38z <= 873.26
-8.85x + -7.33y + 2.12z <= 483.53
9.48x + -1.02y + -8.58z <= 647.44
5.13x + -4.1y + -4.27z <= 861.6
-5.78x + 9.9y + 9.66z <= 741.96
7.84x + 8.06y + -2.64z <= 378.75
3.95x + 4.18y + -5.97z <= 937.97
-5.1x + 7.59y + -8.91z <= 779.1
-0.43x + 3.5y + 9.16z <= 435.99
3.71x + -9.29y + -0.09z <= 992.81
-9.76x + 0.41y + -7.73z <= 399.87
-3.45x + -8.27y + -7.19z <= 155.54
-8.84x + 8.69y + 9.67z <= 465.43
-1.15x + 3.82y + -5.27z <= 326.21
-6.88x + -2.29y + -7.78z <= 692.59
-8.17x + -6.21y + 3.59z <= 773.6
-8.04x + 6.98y + 7.64z <= 543.66
-6.33x + -2.11y + 5.68z <= 500.83
-0.51x + -3.28y + 7.44z <= 801.22
-2.57x + -9.94y + -1.48z <= 882.4
5.36x + 4.25y + -2.93z <= 957.94
-2.58x + 2.4y + -7.86z <= 735.84
-5.22x + 4.67y + 7.75z <= 507.7
-3.42x + -2.44y + 6.29z <= 845.56
4.48x + 7.96y + -2.7z <= 239.95
-9.45x + -1.5y + -5.56z <= 638.49
-5.85x + -0.78y + -1.98z <= 575.43
-4.3x + 2.9y + -8.77z <= 164.04
-9.67x + -9.03y + 5.61z <= 934.14
-9.02x + 0.56y + 0.68z <= 616.55
-0.13x + -1.71y + -1.22z <= 879.98
-3.65x + 5.28y + 5.67z <= 110.22
5.65x + 9.46y + 9.56z <= 461.51
-2.31x + 8.19y + 0.82z <= 347.91
-9.89x + 9.34y + 3.85z <= 637.12
8.78x + 7.89y + -9.32z <= 929.9
-2.78x + -6.73y + -9.77z <= 392.09
8.51x + 0.01y + -7.89z <= 979.79
-9.84x + 2.07y + -1.12z <= 180.06
4.84x + -4.33y + 7.1z <= 262.74
0.88x + -0.5y + -8.28z <= 947.8
5.94x + -3.21y + 2.07z <= 210.93
-4.38x + -8.12y + 7.83z <= 718.57
-7.2x + -1.15y + 8.51z <= 770.3
-7.54x + -8.94y + 8.63z <= 458.17
-1.17x + -3.28y + 7.4z <= 727.95
4.69x + -2.53y + 1.18z <= 467.8
6.71x + -3.0y + -4.29z <= 663.62
4.51x + 7.78y + 4.98z <= 103.67
-6.29x + 0.17y + -7.2z <= 318.35
1.69x + 6.57y + -6.42z <= 666.18
-9.36x + -0.81y + -9.9z <= 174.61
1.01x + -4.26y + -7.67z <= 989.11
-9.38x + 6.0y + -4.29z <= 159.26
6.35x + 5.95y + -6.29z <= 163.07
-2.64x + 6.11y + -2.03z <= 412.75
-7.32x + -3.59y + -7.26z <= 432.74
-3.29x + -7.34y + -2.83z <= 873.92
-2.59x + -2.78y + 7.61z <= 367.62
-6.07x + -6.87y + -1.76z <= 383.64
-7.66x + 7.63y + -1.76z <= 853.15
-7.31x + 3.93y + -2.83z <= 711.65
-7.43x + 4.25y + -9.77z <= 869.74
-4.03x + -1.73y + -9.28z <= 808.03
6.46x + 9.24y + -7.23z <= 526.73
5.34x + 0.61y + -4.7z <= 816.15
5.02x + 0.02y + -5.4z <= 439.86
-6.1x + 7.03y + -5.19z <= 590.23
-6.19x + 0.07y + -0.43z <= 273.81
2.89x + -9.67y + 8.37z <= 283.13
5.86x + 9.53y + -3.59z <= 198.13
-3.77x + 1.73y + 7.38z <= 396.59
-5.08x + 0.11y + 2.58z <= 254.32
0.05x + 0.56y + -5.72z <= 405.62
-1.96x + -9.98y + 1.16z <= 805.14
-0.59x + 0.59y + 6.46z <= 508.11
2.84x + 2.35y + -6.41z <= 574.55
5.89x + -4.47y + -3.42z <= 604.45
2.44x + -1.3y + -3.48z <= 428.37
-7.22x + -0.45y + 6.78z <= 327.54
-1.77x + -1.11y + 7.03z <= 182.45
-5.33x + -1.15y + 8.98z <= 736.95
1.37x + 9.58y + -7.12z <= 323.78
7.81x + 6.84y + -1.03z <= 547.22
7.1x + -5.45y + -3.65z <= 926.53
9.43x + -4.0y + 4.95z <= 380.18
1.03x + -7.83y + 7.31z <= 559.46
-2.63x + 0.91y + -9.01z <= 712.88
2.8x + -3.14y + -5.44z <= 736.91
0.19x + -3.54y + -3.02z <= 880.81
-3.45x + 6.51y + 7.54z <= 632.26
5.67x + -7.88y + 7.85z <= 462.85
5.75x + 2.61y + 8.42z <= 293.15
1.59x + 2.74y + 8.96z <= 980.83
9.73x + -3.12y + 3.32z <= 193.7
2.24x + -6.02y + -6.28z <= 144.34
-1.62x + -7.88y + -5.51z <= 114.72
3.33x + -3.05y + 0.58z <= 525.26
4.92x + -2.9y + 7.19z <= 724.66
-4.63x + 8.45y + -9.7z <= 583.28
7.58x + 0.63y + -5.09z <= 190.23
4.66x + -9.06y + 1.7z <= 315.08
4.99x + -7.32y + 1.01z <= 844.04
5.72x + 1.43y + -3.35z <= 712.47
8.07x + 5.82y + 0.28z <= 493.58
-0.93x + 1.73y + 2.14z <= 354.32
1.16x + 9.41y + 6.99z <= 810.32
2.6x + -3.08y + -3.07z <= 645.67
-5.83x + -0.23y + -4.93z <= 739.92
6.86x + -8.64y + 5.13z <= 517.21
5.26x + -5.11y + -7.9z <= 744.75
-6.0x + -5.21y + -6.12z <= 560.79
0.77x + -3.6y + 8.71z <= 752.05
-2.13x + 9.44y + 5.91z <= 268.19
-1.12x + -3.25y + -7.76z <= 234.87
7.49x + -1.6y + 5.74z <= 569.7
-7.12x + 7.88y + 1.24z <= 276.6
-8.39x + 7.65y + -3.21z <= 465.61
-0.82x + 8.6y + 8.51z <= 939.08
-0.73x + 7.81y + -5.55z <= 740.97
-7.42x + 5.0y + 5.17z <= 594.65
-5.75x + -1.49y + -2.49z <= 210.78
6.04x + -5.32y + 1.65z <= 421.56
1.16x + 4.76y + -3.37z <= 726.63
-2.96x + 3.09y + -3.33z <= 553.14
5.15x + 8.51y + 8.32z <= 101.6
8.01x + 4.39y + 7.1z <= 946.71
-6.24x + -7.9y + -0.44z <= 465.25
1.59x + 1.97y + -5.9z <= 838.21
7.76x + -4.92y + -1.37z <= 726.93
1.05x + 4.87y + -0.11z <= 876.82
6.04x + -0.84y + 1.47z <= 109.82
-2.56x + 7.84y + -3.07z <= 358.06
3.98x + 8.72y + -5.65z <= 893.13
-5.77x + -2.69y + 9.22z <= 619.31
-5.37x + -5.74y + 4.13z <= 399.06
-2.16x + 3.64y + -4.75z <= 728.69
3.05x + -3.99y + -2.18z <= 546.34
9.61x + 7.39y + -1.8z <= 122.22
8.29x + 9.05y + 8.84z <= 705.18
4.02x + -4.22y + 4.18z <= 829.06
5.14x + -4.68y + 0.26z <= 189.93
-3.97x + 2.78y + -6.9z <= 815.39
-3.36x + -4.36y + -9.7z <= 221.03
6.16x + -0.27y + 3.94z <= 489.95
-1.66x + -8.07y + -2.11z <= 817.14
-4.94x + -5.6y + 5.09z <= 811.12
0.16x + -9.89y + 3.84z <= 500.82
-5.38x + 7.59y + -4.85z <= 969.19
8.68x + -0.52y + -6.46z <= 359.56
6.3x + 9.81y + 3.07z <= 632.78
7.22x + 5.55y + 8.64z <= 209.68
2.06x + -8.91y + -4.15z <= 281.67
0.68x + 5.18y + -5.13z <= 786.27
1.97x + 5.27y + 6.68z <= 362.61
9.51x + 8.67y + 5.68z <= 494.63
6.53x + -7.4y + -2.35z <= 184.28
-9.95x + -2.8y + -0.71z <= 421.39
4.16x + 4.38y + -1.58z <= 330.39
-0.54x + -1.46y + -5.59z <= 826.1
3.7x + 3.76y + 8.51z <= 922.2
6.63x + 6.49y + 9.38z <= 818.28
2.98x + 9.9y + 2.43z <= 723.05
4.46x + 5.34y + -1.64z <= 571.19
5.55x + 3.02y + -8.27z <= 847.18
-3.83x + 3.05y + -4.77z <= 111.89
3.5x + -1.27y + 2.39z <= 180.34
1.45x + -4.54y + 5.41z <= 640.7
-5.97x + -1.17y + -5.05z <= 978.22
6.46x + -4.26y + 8.64z <= 656.16
-2.85x + 7.97y + 3.84z <= 491.3
-1.57x + -4.98y + 8.28z <= 690.28
-0.98x + -7.78y + 6.52z <= 394.16
6.07x + 5.44y + -4.07z <= 212.22
-0.82x + -3.6y + 5.7z <= 718.7
1.05x + -9.38y + 7.87z <= 955.74
2.87x + 9.95y + 5.57z <= 913.22
-5.44x + 9.19y + 9.36z <= 416.93
0.14x + -5.0y + 7.23z <= 357.91
-0.51x + 1.13y + 4.23z <= 704.25
8.1x + 3.71y + 9.62z <= 539.52
9.68x + 0.27y + -2.66z <= 729.57
-1.43x + 7.63y + 2.55z <= 784.31
2.72x + -6.87y + -1.83z <= 104.78
0.73x + -9.57y + -7.99z <= 776.2
4.53x + 2.16y + -5.77z <= 839.02
4.69x + 2.99y + 5.68z <= 780.04
-0.68x + -2.21y + -6.84z <= 968.89
5.69x + -4.86y + -0.69z <= 163.97
1.94x + 3.15y + 2.33z <= 721.41
-7.93x + 2.53y + -3.98z <= 194.99
