max 4.18x + -6.67y + -3.92z
1.85x + -1.23y + 5.99z <= 541.52
4.96x + -9.35y + -8.41z <= 720.42
-8.36x + -1.96y + 7.47z <= 308.9
-8.72x + -9.79y + -1.99z <= 161.86
0.15x + 3.85y + 3.78z <= 853.75
-7.53x + 2.27y + -3.74z <= 684.44
5.43x + 2.21y + 7.69z <= 222.41
-4.12x + -8.09y + -2.18z <= 157.58
2.25x + 7.06y + -6.5z <= 696.05
8.64x + -6.75y + -5.2z <= 636.23
-6.56x + 4.07y + 0.83z <= 898.49
-6.05x + 4.3y + 6.58z <= 699.45
-1.65x + -8.77y + 6.45z <= 472.42
-1.41x + 9.38y + -7.73z <= 943.58
5.93x + -7.22y + -5.95z <= 500.78
9.83x + 8.38y + 2.67z <= 480.49
-8.35x + -4.89y + -7.58z <= 118.99
1.08x + -8.96y + 5.86z <= 556.34
2.74x + -1.17y + 8.14z <= 529.14
6.48x + -3.36y + -0.4z <= 847.83
-9.24x + -5.41y + 3.34z <= 153.66
6.93x + -7.11y + 0.28z <= 810.93
-8.5x + -8.61y + -2.24z <= 393.48
0.67x + 4.15y + 3.65z <= 940.82
9.55x + 0.44y + 7.95z <= 977.5
-9.23x + 2.43y + -2.7z <= 838.55
3.78x + 7.53y + -1.82z <= 372.5
5.85x + -9.67y + -4.56z <= 334.91
-3.23x + 0.79y + -4.03z <= 629.52
-8.01x + -7.18y + 9.4z <= 149.98
-7.86x + 3.35y + -7.94z <= 396.79
-9.15x + 0.34y + -2.78z <= 634.69
-2.77x + 2.78y + 6.53z <= 588.34
0.97x + -4.29y + -3.33z <= 695.57
-4.62x + 2.95y + -8.75z <= 177.17
5.24x + -4.61y + 1.52z <= 289.3
-4.49x + 4.77y + 9.52z <= 665.57
-1.09x + -9.05y + -6.74z <= 153.76
8.59x + 6.06y + -3.32z <= 146.8
-9.61x + 3.06y + -3.84z <= 130.97
-3.77x + -5.53y + 3.93z <= 873.25
-9.96x + 8.47y + 9.47z <= 986.24
9.2x + 4.94y + 1.24z <= 743.65
-7.28x + 4.46y + 6.47z <= 690.83
-0.06x + -0.02y + 3.38z <= 838.51
1.55x + -9.06y + 2.32z <= 155.97
8.7x + -1.03y + 3.97z <= 290.56
-0.43x + 9.67y + 1.48z <= 634.17
-4.85x + -2.59y + -9.01z <= 251.45
-5.12x + 2.25y + -6.38z <= 550.12
-6.44x + -2.18y + -9.34z <= 313.8
-1.51x + 0.93y + -5.04z <= 773.79
1.24x + 4.97y + 8.58z <= 798.74
-1.61x + 2.0y + 9.35z <= 672.88
5.81x + 7.42y + 6.51z <= 295.92
-8.39x + -5.57y + 9.65z <= 210.98
-6.18x + -0.59y + -1.43z <= 494.65
6.49x + 3.5y + -4.04z <= 986.84
-3.5x + -9.9y + -9.37z <= 199.37
-7.3x + -0.89y + -6.68z <= 961.08
9.79x + -4.68y + -1.32z <= 816.51
-6.54x + 3.17y + -7.77z <= 426.47
7.45x + -6.26y + 0.21z <= 404.43
0.93x + -4.74y + 5.12z <= 754.14
7.29x + -7.53y + -6.05z <= 433.54
-1.27x + 2.57y + 7.41z <= 476.42
5.47x + -4.11y + 1.06z <= 280.28
-5.93x + -7.39y + 7.73z <= 804.82
-4.25x + -5.27y + -5.4z <= 608.29
3.68x + 9.9y + 0.43z <= 115.81
5.9x + -9.62y + 5.47z <= 123.05
0.96x + -2.98y + 5.39z <= 842.2
-2.27x + -5.42y + 8.49z <= 886.08
3.92x + -2.36y + -0.73z <= 323.07
-5.7x + -0.01y + 4.99z <= 158.41
1.9x + -0.37y + -8.08z <= 421.04
3.22x + 6.9y + 2.71z <= 199.6
3.86x + -0.67y + 7.41z <= 902.98
-2.76x + 6.64y + -9.02z <= 318.15
-7.98x + 4.77y + -4.41z <= 589.21
7.97x + -8.84y + -4.74z <= 234.43
8.71x + -7.19y + 8.84z <= 338.58
7.92x + -6.79y + -9.06z <= 640.1
8.18x + -6.3y + 3.57z <= 359.75
1.92x + 3.84y + -1.59z <= 331.98
-9.42x + -3.64y + -1.91z <= 100.52
2.38x + -4.99y + 1.9z <= 687.4
-5.7x + 3.07y + -7.18z <= 140.4
-7.72x + -8.47y + -5.01z <= 647.04
5.48x + -3.5y + -9.85z <= 142.31
4.55x + -4.17y + -6.4z <= 821.12
4.3x + -7.49y + -0.79z <= 993.28
7.4x + 8.97y + 6.28z <= 464.45
4.95x + -4.82y + -6.17z <= 766.83
1.48x + -1.6y + -1.21z <= 865.22
6.96x + 9.8y + -4.93z <= 488.66
-3.31x + -6.29y + -1.33z <= 638.84
7.72x + -9.23y + -0.23z <= 169.3
-5.57x + -2.37y + 7.96z <= 845.75
1.4x + 0.77y + -9.94z <= 184.18
0.17x + -8.47y + 8.71z <= 899.29
0.79x + 7.85y + 3.47z <= 741.67
1.7x + 2.23y + 1.12z <= 777.05
-5.0x + -6.19y + -1.81z <= 456.07
1.05x + 0.94y + -7.91z <= 126.66
4.41x + -0.56y + 3.12z <= 288.54
4.64x + -5.89y + 0.8z <= 348.85
9.2x + -1.23y + 4.96z <= 433.89
-7.36x + 8.97y + -2.52z <= 677.15
-9.82x + -9.97y + -9.23z <= 184.51
-3.83x + -5.86y + -3.89z <= 573.47
2.35x + 0.72y + 2.19z <= 900.41
-6.06x + 2.23y + -1.54z <= 150.13
7.73x + 0.38y + 6.23z <= 628.41
2.58x + 5.93y + -8.71z <= 615.63
3.74x + 4.65y + 4.88z <= 847.37
4.61x + 1.85y + -1.11z <= 747.92
4.45x + -2.9y + -6.36z <= 430.79
-9.73x + -8.09y + 9.66z <= 137.65
7.08x + -4.95y + 6.25z <= 678.11
3.97x + 7.47y + 1.08z <= 698.75
-6.81x + 6.74y + 4.2z <= 847.16
2.48x + 6.27y + 3.23z <= 617.4
4.82x + -5.94y + -3.87z <= 817.5
-6.8x + 2.12y + 2.23z <= 834.22
2.78x + -5.58y + -9.61z <= 887.26
-5.19x + 4.9y + 4.0z <= 521.39
-7.54x + 4.74y + 4.44z <= 921.61
6.13x + 5.31y + -0.02z <= 734.04
0.77x + 7.1y + 2.88z <= 523.1
5.19x + 6.92y + 3.73z <= 187.5
-2.3x + 4.79y + -3.13z <= 721.24
3.55x + -4.38y + 7.36z <= 257.89
-4.26x + -1.94y + 7.59z <= 866.88
1.67x + 1.91y + 1.04z <= 452.03
2.24x + 2.67y + 4.6z <= 805.41
5.23x + -4.97y + 5.87z <= 694.28
5.95x + 8.94y + 7.37z <= 505.45
-2.23x + 1.68y + -8.28z <= 379.53
2.65x + -2.61y + -4.99z <= 219.77
-7.84x + -5.42y + 8.1z <= 861.06
4.05x + -1.51y + -8.49z <= 507.44
6.19x + 9.93y + -2.14z <= 624.4
-5.46x + 5.01y + 8.23z <= 163.9
-5.36x + 9.99y + -1.44z <= 158.04
0.91x + 9.06y + 7.71z <= 417.32
-8.82x + -6.28y + -4.05z <= 262.16
-3.98x + -0.4y + 6.35z <= 496.05
0.35x + -9.86y + 3.6z <= 646.23
-9.47x + -1.38y + -5.33z <= 341.17
2.81x + 8.43y + 0.16z <= 879.69
-6.34x + -7.01y + 0.15z <= 386.17
4.8x + -6.96y + -8.16z <= 693.64
0.92x + 8.69y + 9.95z <= 232.0
1.13x + 5.11y + 2.63z <= 909.91
9.47x + 8.87y + -9.26z <= 642.51
-8.59x + 9.15y + 4.79z <= 528.85
2.92x + 7.29y + 1.47z <= 272.37
6.97x + 9.09y + -2.57z <= 387.37
-9.07x + 0.95y + -8.27z <= 853.46
4.93x + -8.11y + 5.22z <= 283.73
4.61x + 6.38y + -5.94z <= 177.43
-8.13x + 3.34y + -0.24z <= 948.46
2.07x + 4.75y + 0.23z <= 682.0
2.36x + -3.2y + -8.09z <= 512.22
-1.13x + 0.35y + -0.65z <= 150.87
-7.2x + -1.28y + 3.06z <= 595.84
3.98x + 3.97y + 4.98z <= 691.8
-8.49x + -4.95y + -9.61z <= 713.07
7.1x + -2.28y + -2.71z <= 960.38
1.86x + -5.62y + 4.48z <= 675.19
-8.05x + 7.07y + 7.73z <= 112.24
-2.3x + 1.55y + 0.48z <= 148.55
0.73x + -9.61y + 2.06z <= 788.65
7.2x + -1.26y + 3.02z <= 769.58
-5.67x + -0.6y + -8.3z <= 461.17
-7.8x + 7.4y + 0.35z <= 878.09
-1.67x + -9.16y + -2.66z <= 529.53
7.05x + 5.85y + 7.51z <= 975.64
-1.23x + 1.3y + 9.65z <= 852.93
-6.2x + -2.57y + -5.01z <= 491.16
-3.32x + 4.48y + -0.52z <= 964.14
3.65x + -0.6y + 9.32z <= 327.68
-9.3x + 9.58y + -0.48z <= 425.36
-8.84x + 7.19y + -4.54z <= 736.95
0.2x + 4.86y + -8.05z <= 981.95
-9.15x + 4.95y + 2.87z <= 933.31
5.18x + -7.88y + -5.03z <= 981.56
-9.66x + 3.68y + -7.48z <= 203.77
6.25x + -1.97y + -9.16z <= 201.06
9.43x + 7.93y + 9.21z <= 965.1
-8.22x + -2.18y + -9.66z <= 396.09
9.21x + -2.02y + -6.45z <= 983.01
-2.26x + 4.91y + 5.18z <= 850.74
2.62x + -1.17y + -9.76z <= 971.88
3.12x + 3.12y + 1.67z <= 544.53
-4.13x + -7.29y + 1.12z <= 816.43
9.0x + 0.05y + -6.65z <= 309.19
3.11x + -6.64y + 9.99z <= 872.64
-8.14x + -9.67y + -2.84z <= 471.7
8.56x + -3.5y + -5.36z <= 228.15
-1.59x + 6.33y + -0.26z <= 373.71
-3.68x + 1.48y + -1.96z <= 222.45
-7.18x + -4.66y + -3.31z <= 106.08
5.46x + -2.07y + -4.13z <= 355.19
-4.35x + -0.05y + -7.19z <= 563.6
6.17x + 1.01y + 4.12z <= 467.25
-5.26x + 8.59y + -1.74z <= 313.71
-1.11x + 6.34y + -8.94z <= 905.04
9.61x + 4.83y + -1.34z <= 970.62
-4.49x + 3.45y + -9.82z <= 544.8
4.28x + -7.18y + -9.45z <= 514.03
-4.34x + -8.98y + 5.04z <= 438.48
4.14x + 3.76y + -1.01z <= 161.47
-0.09x + -2.28y + -3.53z <= 805.68
-7.15x + -0.94y + -3.91z <= 563.31
9.65x + -0.86y + 5.42z <= 535.46
-0.97x + -6.16y + -0.4z <= 895.99
-9.81x + -8.35y + 3.82z <= 116.58
5.38x + 2.14y + -9.5z <= 433.07
-4.12x + -3.19y + -3.17z <= 761.65
-7.78x + 6.65y + -0.63z <= 734.96
7.68x + 2.31y + 5.36z <= 974.44
7.46x + 8.21y + 7.4z <= 945.16
6.89x + -3.17y + -8.17z <= 636.77
4.63x + 1.72y + 7.47z <= 911.03
7.62x + 8.7y + 6.31z <= 477.68
1.56x + 7.13y + 1.09z <= 803.07
-5.07x + 7.1y + 6.42z <= 195.97
5.07x + 1.54y + 0.89z <= 794.05
0.43x + -8.36y + 0.85z <= 917.05
5.91x + 8.5y + 3.81z <= 611.69
2.57x + 5.46y + 0.73z <= 470.97
-3.85x + 5.08y + -5.54z <= 364.71
9.13x + 9.89y + 8.97z <= 554.71
8.21x + -7.96y + 4.11z <= 598.02
-7.7x + -3.91y + -6.71z <= 211.47
8.35x + 4.12y + 6.01z <= 967.48
-2.79x + 5.0y + -8.41z <= 823.46
6.53x + 2.88y + -4.65z <= 955.21
-3.47x + -9.8y + 8.77z <= 420.65
-0.27x + 6.6y + 1.58z <= 143.14
-9.69x + -5.89y + -2.94z <= 842.98
-5.22x + -1.84y + 2.87z <= 101.0
-3.76x + -2.55y + 9.98z <= 930.19
0.64x + -0.46y + 0.85z <= 845.85
9.06x + 4.59y + -6.19z <= 725.37
-3.46x + -3.68y + 7.35z <= 740.67
-4.22x + -7.69y + -1.34z <= 139.19
2.28x + -7.84y + -0.02z <= 336.05
7.7x + -4.97y + 5.71z <= 740.04
-9.35x + 7.68y + -7.49z <= 374.87
5.65x + -1.55y + -4.04z <= 965.79
8.31x + 3.95y + 2.3z <= 967.77
5.67x + -3.27y + 5.3z <= 414.57
6.64x + -4.05y + -2.38z <= 743.87
5.41x + -4.02y + 3.5z <= 811.33
-8.81x + -8.41y + -5.95z <= 612.96
-8.07x + 0.06y + -1.78z <= 674.01
-1.11x + 8.72y + -0.97z <= 575.32
7.58x + -3.58y + 8.96z <= 477.22
-6.14x + 4.25y + -3.52z <= 345.1
6.3x + -8.98y + -7.71z <= 200.33
-7.58x + -8.19y + 0.9z <= 711.45
6.4x + -5.02y + 3.49z <= 180.07
9.55x + -3.36y + 7.24z <= 768.68
6.01x + 2.79y + -6.78z <= 466.78
2.38x + 1.13y + 3.45z <= 807.43
9.95x + 0.07y + -1.7z <= 256.06
-7.95x + -4.01y + 9.06z <= 898.09
-2.51x + -6.8y + 2.93z <= 633.29
-6.12x + -7.28y + 6.89z <= 131.62
-3.04x + -7.39y + 6.92z <= 246.67
9.97x + 5.75y + -1.12z <= 342.33
5.64x + -9.68y + 2.45z <= 127.77
-0.15x + 3.34y + 1.64z <= 867.99
2.29x + 6.57y + 7.84z <= 443.98
-9.59x + -1.84y + -2.47z <= 988.37
5.71x + 4.92y + -4.13z <= 524.54
5.26x + 9.62y + -6.61z <= 267.58
-7.56x + -3.8y + -8.76z <= 390.07
5.81x + -7.75y + 6.83z <= 757.4
4.56x + -2.74y + 9.75z <= 583.37
4.34x + 2.55y + -2.65z <= 367.14
9.26x + 0.81y + 0.81z <= 752.64
3.94x + 3.01y + 9.6z <= 181.3
3.87x + 4.6y + 4.92z <= 817.15
-8.21x + -4.03y + 3.5z <= 220.37
-7.54x + -3.04y + -1.75z <= 701.91
-1.73x + 6.24y + -1.44z <= 731.57
-3.69x + 9.81y + -8.79z <= 308.45
7.16x + 0.53y + 2.65z <= 549.96
-6.35x + -9.61y + 0.32z <= 794.05
-3.03x + -9.72y + -7.62z <= 390.65
3.0x + -9.87y + -9.59z <= 802.53
0.51x + -5.32y + -0.54z <= 995.1
7.19x + 5.93y + -2.09z <= 982.53
-1.34x + 9.52y + 2.98z <= 388.96
4.95x + 4.45y + 5.06z <= 158.27
-6.23x + 1.22y + 4.37z <= 606.63
4.7x + 1.67y + -1.02z <= 144.12
-0.84x + -0.58y + -9.79z <= 683.03
-8.42x + -7.28y + 7.18z <= 575.36
-5.12x + 6.96y + -9.9z <= 997.43
3.09x + -5.53y + -1.28z <= 777.9
-3.54x + 2.83y + -0.86z <= 488.94
-8.0x + 8.47y + -2.57z <= 619.53
-7.25x + 8.64y + 1.36z <= 825.79
9.88x + -7.23y + 0.64z <= 451.48
-7.92x + -5.64y + 2.42z <= 395.18
1.79x + -0.05y + -8.85z <= 401.37
9.26x + -8.39y + -6.87z <= 638.74
-6.74x + -7.62y + -0.47z <= 714.54
0.73x + -0.48y + 2.54z <= 786.22
3.7x + -5.21y + -8.9z <= 599.79
-0.52x + -5.42y + -5.25z <= 229.74
-5.66x + 2.59y + -3.65z <= 257.23
8.5x + 9.32y + -6.85z <= 544.01
-9.43x + -2.81y + -5.26z <= 379.04
0.97x + -8.23y + 8.69z <= 598.44
4.37x + -2.35y + -3.92z <= 916.76
9.4x + -2.71y + -0.86z <= 177.42
3.78x + -1.02y + -6.24z <= 924.35
4.69x + -6.58y + 0.18z <= 550.45
4.55x + 3.44y + -8.09z <= 574.31
7.07x + 3.21y + 1.14z <= 411.29
8.42x + -3.56y + -8.19z <= 465.96
7.62x + -5.87y + 7.88z <= 175.06
-4.29x + 9.98y + -0.83z <= 640.95
-3.46x + 1.59y + -3.5z <= 995.43
-4.79x + -1.08y + 2.8z <= 973.31
-8.52x + -1.1y + 4.08z <= 846.13
2.96x + 5.18y + 8.83z <= 978.77
-8.17x + 9.91y + -7.33z <= 425.17
-1.57x + 3.94y + 3.32z <= 541.71
-9.19x + -5.13y + 9.03z <= 675.96
6.89x + 5.3y + 7.74z <= 718.96
9.22x + 5.45y + -6.96z <= 187.95
2.55x + -6.57y + -6.79z <= 327.38
5.55x + 3.89y + -1.14z <= 922.01
-6.52x + -3.29y + -7.38z <= 411.53
-2.65x + -5.04y + 4.81z <= 847.04
5.29x + -6.44y + -3.35z <= 670.68
-2.25x + -7.69y + 9.26z <= 318.63
5.6x + -1.9y + -7.1z <= 301.76
2.18x + 7.12y + -6.18z <= 487.08
5.9x + 1.68y + 0.53z <= 483.07
7.03x + -4.66y + -3.31z <= 645.75
3.07x + 8.4y + -1.47z <= 901.69
-3.97x + -9.79y + 3.88z <= 513.3
-7.16x + 3.78y + 0.19z <= 812.61
-1.27x + 5.87y + 1.76z <= 538.48
5.62x + 2.33y + -5.09z <= 268.47
1.68x + -1.15y + -2.53z <= 282.58
-5.91x + 0.67y + -1.93z <= 947.67
2.18x + -8.88y + -4.68z <= 456.33
-4.29x + 0.63y + -3.76z <= 403.08
9.62x + 3.93y + -2.58z <= 339.37
-4.53x + 6.45y + -1.94z <= 757.64
8.59x + -5.21y + -2.73z <= 217.07
-5.35x + 6.75y + -1.2z <= 130.63
8.99x + -5.47y + 6.64z <= 543.04
-5.94x + -9.54y + 2.5z <= 944.76
3.35x + -0.44y + 3.24z <= 492.48
3.72x + 5.17y + 5.55z <= 981.79
0.48x + -0.02y + 9.63z <= 338.9
-9.7x + -7.43y + 3.63z <= 392.02
-0.44x + 7.05y + -8.15z <= 774.73
-1.61x + 7.6y + 5.27z <= 282.92
6.58x + 6.09y + 8.52z <= 417.88
-5.27x + 6.59y + -0.02z <= 311.18
4.33x + 7.62y + -2.24z <= 942.89
3.53x + 1.76y + 4.6z <= 143.87
2.32x + -5.64y + -2.42z <= 554.81
9.2x + -9.95y + -1.12z <= 236.04
3.12x + 3.29y + -4.99z <= 351.81
3.19x + -2.95y + -1.31z <= 916.26
-3.34x + -3.91y + 6.7z <= 226.8
4.58x + -8.24y + 6.09z <= 333.32
4.78x + -8.77y + 8.92z <= 301.95
6.71x + -6.45y + 1.23z <= 515.39
5.69x + -9.29y + -5.56z <= 454.86
-7.73x + -7.36y + -7.83z <= 254.14
7.29x + 5.19y + -4.6z <= 786.6
-0.44x + 2.99y + 0.89z <= 232.89
9.41x + 5.67y + -3.06z <= 966.88
-6.73x + -1.41y + -3.66z <= 169.32
2.31x + -2.19y + 5.15z <= 450.19
-9.78x + 8.12y + -1.04z <= 167.13
-7.9x + -2.05y + 9.49z <= 647.49
-9.63x + 8.79y + 3.9z <= 889.57
-7.43x + 8.27y + 7.56z <= 473.56
-3.42x + 7.28y + -1.98z <= 428.16
9.92x + -9.95y + -6.05z <= 303.11
-1.26x + -6.44y + -3.08z <= 148.56
-8.9x + -9.96y + 7.13z <= 279.36
3.23x + 2.42y + 5.73z <= 990.78
-4.63x + -2.67y + 5.25z <= 261.62
6.19x + -7.76y + -1.43z <= 184.77
3.83x + -2.05y + 3.82z <= 856.47
7.63x + -0.29y + -3.16z <= 103.46
8.19x + 6.85y + 2.78z <= 493.98
-8.29x + -8.59y + 9.68z <= 167.93
9.4x + -6.11y + -1.38z <= 943.68
3.91x + -7.74y + 4.0z <= 586.33
-8.32x + -1.54y + -8.47z <= 791.09
9.39x + 9.68y + 3.67z <= 701.04
4.93x + -0.39y + -7.79z <= 285.93
2.66x + -2.77y + 3.54z <= 602.4
4.51x + 0.82y + -1.34z <= 371.65
-8.61x + -8.98y + -3.46z <= 564.48
0.29x + -8.95y + 0.57z <= 291.03
-5.84x + -9.11y + -6.6z <= 504.31
2.55x + -0.94y + 7.45z <= 711.83
0.07x + 3.97y + 9.15z <= 439.69
8.26x + 0.59y + 5.33z <= 396.53
-3.24x + -1.06y + 3.33z <= 807.45
0.11x + -1.69y + -9.57z <= 956.67
-3.09x + 3.75y + -9.75z <= 422.68
-8.14x + -5.03y + -3.6z <= 139.68
2.34x + -3.22y + -6.78z <= 810.57
5.7x + 7.89y + 7.43z <= 797.44
7.23x + -0.14y + 4.91z <= 110.69
8.85x + 2.15y + 5.38z <= 696.13
3.79x + 2.43y + -9.33z <= 687.31
9.09x + -8.31y + -4.87z <= 649.74
9.13x + -4.09y + -6.11z <= 689.53
7.65x + 8.41y + 2.81z <= 453.52
-8.11x + -9.07y + -2.26z <= 380.99
-1.12x + -3.23y + 3.45z <= 536.15
5.49x + -8.87y + 1.44z <= 535.92
5.79x + -6.05y + -5.45z <= 362.33
8.37x + -1.88y + 5.45z <= 866.31
-7.13x + 9.9y + 8.51z <= 825.86
4.84x + -4.33y + 5.58z <= 951.29
-0.83x + 7.91y + -8.42z <= 403.19
-6.49x + 5.92y + 8.71z <= 488.25
-5.13x + 1.86y + -0.7z <= 606.16
-9.85x + 1.87y + -2.09z <= 124.72
-1.79x + -4.89y + 2.75z <= 105.32
-0.01x + -3.51y + -9.9z <= 516.85
7.03x + -6.51y + 9.65z <= 677.23
7.26x + 6.33y + -9.79z <= 694.84
8.88x + 5.8y + 7.88z <= 425.54
7.32x + -1.27y + -3.51z <= 633.3
-6.51x + 7.88y + -2.68z <= 969.41
2.52x + 5.47y + -0.86z <= 532.64
7.39x + -7.28y + -7.41z <= 774.32
-9.9x + -0.42y + -4.08z <= 757.4
5.95x + -1.75y + -3.61z <= 763.65
8.98x + 6.73y + 4.35z <= 221.69
4.11x + 2.62y + 9.45z <= 449.29
2.59x + 8.47y + 7.12z <= 300.45
0.81x + -8.45y + -3.08z <= 100.48
4.14x + 2.03y + -5.74z <= 998.45
-5.53x + -1.07y + -0.79z <= 422.89
6.11x + -2.37y + 2.35z <= 376.54
2.17x + 4.1y + 1.95z <= 277.63
-9.94x + -9.23y + 3.74z <= 583.54
-8.67x + -7.41y + 9.99z <= 940.41
6.41x + -7.62y + -9.76z <= 185.12
5.43x + 1.56y + 0.66z <= 398.99
-0.01x + -7.76y + 5.21z <= 213.74
2.16x + -6.45y + 3.87z <= 829.54
-8.55x + 6.3y + -0.08z <= 598.92
0.14x + -3.79y + 2.3z <= 241.1
5.09x + -4.96y + -5.27z <= 642.87
1.95x + 8.23y + 5.43z <= 847.21
-7.33x + -2.83y + 5.05z <= 845.76
-3.77x + -4.08y + -4.06z <= 176.56
-3.32x + 4.89y + 4.52z <= 753.87
-1.07x + 4.14y + -5.32z <= 358.35
-8.26x + -9.58y + 3.16z <= 130.07
-4.42x + -0.59y + 1.84z <= 801.39
1.09x + -2.83y + -0.92z <= 127.32
-9.98x + 2.99y + 6.58z <= 267.55
-2.3x + -3.28y + 7.09z <= 321.05
-5.04x + -4.31y + -4.35z <= 294.05
-4.92x + 2.17y + 8.07z <= 840.55
-9.52x + 0.78y + 5.87z <= 124.07
9.72x + -3.83y + 0.53z <= 102.35
3.15x + 1.77y + -6.4z <= 694.06
9.27x + 6.29y + -6.04z <= 866.55
1.37x + 0.08y + 4.09z <= 600.73
3.01x + -0.54y + -3.78z <= 474.27
-0.92x + -8.72y + 7.53z <= 675.48
6.48x + 7.84y + 9.48z <= 741.69
3.43x + -4.61y + 0.84z <= 148.33
-8.53x + -9.45y + 1.57z <= 153.13
1.0x + 1.83y + -3.43z <= 697.77
-4.11x + -1.11y + 4.33z <= 775.3
-3.06x + -5.18y + -9.22z <= 777.52
-4.44x + 9.65y + -8.37z <= 542.84
8.0x + -6.67y + 3.08z <= 224.08
6.18x + 0.28y + -2.17z <= 142.99
-0.28x + 8.48y + -4.81z <= 874.46
-9.02x + 9.81y + -7.47z <= 334.57
-4.38x + 5.24y + 6.17z <= 366.9
-8.14x + 1.88y + -9.39z <= 105.86
7.42x + 0.86y + 2.96z <= 421.18
7.92x + -5.83y + -8.69z <= 225.04
-2.99x + 9.43y + 8.29z <= 534.43
3.54x + 4.55y + -1.63z <= 740.57
4.3x + -1.43y + -7.44z <= 378.6
5.81x + -5.63y + 4.23z <= 913.78
2.94x + -4.71y + 6.67z <= 944.16
-9.86x + 9.95y + -6.06z <= 253.05
6.57x + 1.91y + -8.32z <= 535.12
5.47x + -8.4y + -5.32z <= 318.04
-4.47x + 9.8y + 5.34z <= 138.43
3.71x + 2.71y + -7.73z <= 447.21
-3.53x + 1.48y + 5.53z <= 415.2
-2.64x + -6.24y + -3.98z <= 484.37
-7.3x + -4.49y + 0.38z <= 290.26
5.14x + 2.57y + 5.46z <= 403.68
1.41x + 1.29y + 6.42z <= 808.73
-5.05x + -7.29y + -9.06z <= 104.18
-1.7x + 9.34y + -0.89z <= 244.21
2.37x + 4.33y + 1.9z <= 827.97
6.05x + -6.77y + 0.34z <= 956.65
6.63x + 4.51y + 8.87z <= 627.8
-3.16x + -8.45y + -2.48z <= 207.54
4.74x + -2.63y + 1.9z <= 781.38
-1.83x + 2.6y + 4.45z <= 782.38
5.09x + 7.63y + -4.87z <= 490.41
7.7x + 7.3y + 2.39z <= 559.16
-7.74x + 9.2y + -9.5z <= 838.06
3.1x + -3.19y + 9.43z <= 785.79
-0.36x + -4.06y + -6.29z <= 904.97
-5.42x + 4.61y + 2.94z <= 545.79
-0.94x + -9.51y + 4.29z <= 485.36
-0.26x + -6.18y + -1.81z <= 435.48
-2.16x + -1.11y + -7.9z <= 284.61
-8.93x + -4.22y + -1.9z <= 136.81
6.09x + -2.97y + -5.01z <= 886.51
-4.31x + -1.19y + 5.09z <= 664.83
8.66x + -4.86y + -4.8z <= 343.5
-8.37x + 6.33y + -3.73z <= 269.81
-3.45x + 4.36y + 8.66z <= 447.04
2.14x + 5.05y + -9.96z <= 239.72
-5.69x + -2.47y + -6.81z <= 531.18
-1.11x + -8.22y + 9.26z <= 638.73
4.64x + -5.76y + -9.84z <= 860.66
8.74x + 2.03y + -8.9z <= 890.26
-0.32x + 9.69y + -1.47z <= 474.89
-5.3x + 7.95y + -8.68z <= 653.02
0.54x + 6.8y + 5.71z <= 949.74
-7.44x + 1.33y + -7.7z <= 377.63
8.98x + -3.87y + 6.7z <= 344.23
-0.1x + -1.46y + 3.21z <= 829.07
2.5x + -1.37y + -0.61z <= 269.76
4.37x + -1.15y + -2.74z <= 681.97
-2.9x + 2.74y + -8.51z <= 566.18
0.36x + 0.35y + 2.31z <= 292.75
-4.98x + 3.49y + 6.01z <= 288.19
-7.68x + 7.12y + 0.9z <= 985.56
4.34x + -3.83y + -3.16z <= 648.61
7.3x + -9.65y + 7.11z <= 777.45
0.97x + 8.77y + 4.6z <= 690.67
-1.77x + 1.52y + -7.95z <= 928.12
5.32x + 5.15y + 1.36z <= 790.92
-9.97x + 8.66y + -4.33z <= 202.32
3.12x + -3.4y + -3.12z <= 507.54
-7.3x + -9.33y + -6.11z <= 893.06
-4.06x + -3.57y + 4.56z <= 215.7
-4.8x + -4.85y + 7.17z <= 773.18
8.69x + 6.11y + 2.37z <= 410.44
-5.67x + 3.86y + 5.47z <= 121.77
-5.75x + 7.05y + -6.66z <= 850.86
-8.03x + 3.43y + 2.28z <= 259.93
5.03x + 2.94y + -9.42z <= 480.26
0.43x + -2.84y + -1.81z <= 942.47
-0.12x + 9.67y + 2.77z <= 291.94
0.9x + 3.55y + 4.68z <= 648.81
3.83x + -9.24y + -0.74z <= 302.62
-9.48x + -3.98y + 5.14z <= 363.55
7.34x + -5.19y + -9.8z <= 953.13
-8.25x + -0.02y + 9.94z <= 694.94
3.99x + 5.75y + 0.84z <= 652.44
2.09x + 8.88y + 2.99z <= 940.04
5.73x + 9.52y + 8.89z <= 225.75
3.49x + -6.85y + -6.99z <= 642.45
4.44x + -3.82y + -6.78z <= 589.69
-2.58x + -0.42y + -3.5z <= 866.61
2.73x + -3.94y + 0.28z <= 246.51
-3.54x + -0.92y + 0.82z <= 527.61
-2.87x + 9.69y + -4.44z <= 314.89
1.47x + 5.65y + 2.58z <= 359.45
2.79x + -8.78y + 8.67z <= 473.42
6.85x + -9.01y + 3.08z <= 294.66
-1.92x + -2.72y + -1.22z <= 254.06
3.39x + -1.27y + 7.38z <= 550.73
7.42x + -6.08y + 1.44z <= 881.5
7.23x + -0.11y + -1.39z <= 739.21
9.92x + -5.83y + -0.82z <= 737.83
-8.29x + 2.02y + 7.57z <= 334.9
