max 1.54x + 1.48y + 4.93z
-1.89x + 3.87y + -4.39z <= 873.4
2.26x + -5.04y + 4.44z <= 900.13
8.4x + -7.25y + -1.82z <= 669.21
7.94x + -4.63y + -8.06z <= 114.46
8.26x + -8.56y + -6.66z <= 774.16
5.62x + 0.57y + -9.79z <= 723.08
-2.25x + 3.32y + 2.81z <= 951.6
-4.41x + 2.14y + 9.67z <= 843.97
-7.73x + -2.3y + 5.73z <= 523.95
0.83x + -8.65y + 0.07z <= 639.97
-5.59x + 2.23y + -5.43z <= 606.4
5.35x + -3.06y + 8.06z <= 335.43
9.89x + -1.12y + -1.34z <= 810.36
-3.5x + -0.02y + -4.12z <= 704.69
7.19x + -0.98y + 4.39z <= 655.29
5.19x + -9.37y + -3.29z <= 891.36
-3.01x + -6.33y + -2.31z <= 254.37
-5.66x + 8.15y + -5.41z <= 687.89
2.22x + -6.19y + -6.66z <= 934.0
-7.72x + -1.03y + -4.1z <= 654.66
4.04x + -7.58y + -7.1z <= 926.06
-9.12x + -4.09y + -4.53z <= 804.86
6.87x + 5.56y + -5.12z <= 932.33
-9.93x + 0.33y + 8.92z <= 110.78
7.21x + 8.05y + 9.61z <= 493.82
-2.25x + 1.24y + 1.12z <= 205.67
-8.37x + -8.49y + -1.8z <= 420.64
-5.51x + 5.03y + 0.57z <= 445.35
-9.93x + -0.15y + -7.23z <= 894.99
-8.37x + 2.87y + -3.47z <= 731.01
8.95x + 4.89y + 9.75z <= 295.79
-2.99x + 1.17y + -6.63z <= 287.49
-5.46x + -1.71y + -1.34z <= 110.26
-4.27x + -4.08y + -5.21z <= 737.75
-8.14x + -5.18y + -2.42z <= 634.25
2.95x + -5.12y + 9.25z <= 311.69
-2.43x + 6.34y + 4.97z <= 175.83
-9.16x + -6.44y + -6.19z <= 497.4
-2.74x + 3.57y + -8.25z <= 332.89
-2.22x + 5.91y + -2.46z <= 966.48
7.95x + -3.92y + 4.4z <= 318.58
-7.08x + -2.39y + 1.42z <= 382.71
-8.04x + -9.58y + 7.49z <= 844.14
2.68x + -0.5y + -1.13z <= 466.8
-8.93x + 0.79y + 6.93z <= 554.84
7.04x + -9.47y + -9.37z <= 294.41
1.98x + 4.18y + 2.78z <= 568.7
-6.94x + -0.22y + 3.74z <= 185.39
-5.1x + 8.65y + -0.68z <= 297.54
-9.8x + 9.89y + 0.09z <= 578.38
5.38x + -8.95y + 4.78z <= 983.41
0.94x + 5.28y + -4.55z <= 169.0
5.37x + 0.18y + -7.98z <= 303.89
5.29x + -2.87y + 8.27z <= 434.0
-2.33x + 4.32y + -9.29z <= 258.37
-2.5x + 8.17y + 9.86z <= 566.13
8.2x + 9.16y + -0.63z <= 269.17
1.23x + 5.29y + -5.29z <= 517.4
-0.49x + 8.44y + -6.38z <= 124.83
-7.56x + 5.96y + 6.17z <= 115.97
1.48x + 8.7y + -0.1z <= 971.76
-5.37x + 2.17y + 0.6z <= 119.29
-8.42x + -2.0y + -3.14z <= 955.89
8.35x + -3.32y + 6.69z <= 576.62
-8.34x + -4.19y + -2.9z <= 858.41
-1.48x + -0.19y + 2.75z <= 873.92
5.76x + -2.95y + 5.16z <= 471.19
6.87x + 6.54y + 9.83z <= 335.17
-3.1x + -7.47y + 3.24z <= 777.74
7.06x + -8.52y + 9.3z <= 309.22
-3.19x + 0.56y + 4.18z <= 128.33
8.49x + 6.83y + 3.31z <= 925.27
-5.72x + -6.49y + -1.69z <= 825.09
-5.71x + -1.79y + 5.69z <= 443.64
0.84x + -6.94y + 0.68z <= 582.0
6.41x + 3.15y + 7.52z <= 817.68
9.09x + 4.93y + -8.29z <= 118.57
-5.49x + 5.1y + -9.86z <= 745.05
0.48x + 4.73y + 8.66z <= 397.56
-8.3x + 2.04y + -3.04z <= 787.91
-2.29x + -8.91y + -1.18z <= 175.41
-6.08x + -9.52y + 8.85z <= 302.79
2.73x + -0.63y + 3.15z <= 731.97
-2.71x + 6.78y + -3.64z <= 581.17
0.95x + -2.76y + 1.78z <= 607.62
0.72x + -3.83y + -0.44z <= 437.15
-8.36x + -2.61y + 6.65z <= 843.52
-6.17x + 9.39y + -9.05z <= 408.59
2.9x + -0.95y + -5.33z <= 342.63
5.34x + 4.41y + -6.98z <= 993.79
8.23x + 1.28y + -9.18z <= 249.73
-8.48x + -5.03y + 8.03z <= 264.52
5.79x + -3.17y + -7.53z <= 539.39
-3.4x + -2.97y + -3.88z <= 781.12
-3.48x + -5.46y + 7.72z <= 451.38
3.45x + 1.81y + 8.02z <= 158.3
-2.12x + 9.57y + 4.47z <= 287.65
9.09x + 7.49y + -1.86z <= 910.46
6.0x + 3.97y + 2.21z <= 387.77
-6.19x + -8.76y + -2.74z <= 683.78
-5.67x + -0.6y + 4.75z <= 940.01
-2.27x + -9.66y + -6.93z <= 878.23
8.13x + -9.3y + -8.37z <= 852.43
6.61x + 1.21y + 7.32z <= 942.45
2.02x + -7.87y + 1.31z <= 450.1
-6.04x + 4.56y + -6.53z <= 441.27
-3.84x + 4.67y + -4.13z <= 133.15
3.98x + -4.04y + 1.08z <= 464.29
8.54x + -10.0y + 7.52z <= 419.13
9.32x + -5.16y + -2.69z <= 426.21
8.35x + 9.06y + -6.37z <= 350.61
8.59x + -7.3y + -5.47z <= 566.99
0.22x + 7.64y + 6.26z <= 707.76
-2.84x + -1.23y + 5.64z <= 900.96
6.34x + -2.48y + 1.76z <= 471.45
-5.99x + -3.96y + -7.95z <= 379.0
-1.18x + -2.85y + 8.41z <= 536.47
4.51x + 3.78y + -2.28z <= 399.42
-3.6x + -9.21y + -9.9z <= 676.5
9.24x + -7.87y + -8.67z <= 662.15
-8.7x + 3.83y + 9.3z <= 553.77
-5.03x + -5.16y + -1.36z <= 458.73
-5.14x + -4.77y + 4.89z <= 297.49
2.16x + 0.94y + -8.4z <= 246.93
6.19x + 3.84y + 4.32z <= 839.7
-5.22x + 6.2y + -1.11z <= 920.74
6.61x + -0.09y + 5.8z <= 154.29
3.77x + -3.31y + -9.99z <= 276.57
6.17x + -3.16y + -6.97z <= 394.41
1.94x + 8.35y + 8.7z <= 618.06
9.31x + -3.45y + -6.24z <= 748.64
-6.11x + -1.59y + -1.63z <= 132.44
5.12x + -2.24y + -8.7z <= 767.35
-7.7x + 7.56y + -6.37z <= 502.06
-3.71x + 4.0y + 6.74z <= 958.56
9.37x + -2.45y + -9.11z <= 863.07
6.48x + -7.9y + -7.76z <= 266.46
3.96x + 4.59y + -7.12z <= 537.85
3.08x + -5.83y + 6.38z <= 493.32
-5.69x + 2.09y + -4.9z <= 781.61
-7.84x + -3.26y + 0.37z <= 839.23
-3.92x + 5.91y + 5.07z <= 746.79
-5.87x + 8.09y + -3.06z <= 342.0
6.62x + -7.31y + 5.17z <= 165.31
6.76x + 8.31y + -6.2z <= 937.96
-4.32x + -9.62y + -1.15z <= 290.15
4.94x + -6.64y + 7.0z <= 835.3
-4.67x + -4.91y + 5.04z <= 625.52
-4.38x + 3.74y + 1.84z <= 817.33
4.42x + -5.13y + 7.77z <= 271.16
2.63x + 8.52y + 2.25z <= 828.31
8.29x + -4.38y + 8.84z <= 126.51
-9.15x + 8.66y + -6.01z <= 565.2
3.65x + -8.81y + -8.27z <= 782.58
-8.72x + 0.39y + 5.72z <= 457.11
-4.16x + -7.97y + -1.29z <= 339.1
-0.1x + -0.63y + -3.97z <= 314.47
-2.5x + 5.39y + 0.34z <= 124.43
-4.04x + -6.42y + 9.38z <= 579.06
6.2x + 5.25y + -5.46z <= 296.53
-6.87x + -0.1y + 9.5z <= 783.33
1.32x + 7.3y + 2.28z <= 282.84
1.6x + 3.81y + -2.04z <= 507.91
1.87x + -4.14y + 7.04z <= 306.33
-3.29x + 6.98y + -6.49z <= 566.67
-0.12x + -2.15y + -9.77z <= 611.39
7.11x + -9.1y + 2.87z <= 823.29
6.8x + 6.8y + 4.38z <= 438.04
-9.04x + -8.72y + -9.28z <= 348.51
6.78x + -9.18y + 6.85z <= 454.81
-2.06x + 7.03y + 4.13z <= 565.35
9.8x + -4.75y + 1.88z <= 338.91
-4.34x + -7.66y + -5.91z <= 380.48
0.8x + -1.26y + 8.31z <= 246.28
2.83x + -1.73y + 10.0z <= 860.61
4.13x + 6.77y + 4.41z <= 281.77
8.29x + -3.38y + 0.93z <= 760.76
-5.15x + -8.83y + 8.94z <= 639.96
-6.11x + 7.82y + -7.0z <= 168.09
-6.64x + -2.58y + 2.23z <= 243.02
8.33x + 6.68y + 4.62z <= 345.53
-5.29x + 1.47y + 5.46z <= 844.96
-0.79x + -2.19y + -2.78z <= 183.86
-5.15x + -2.09y + -2.16z <= 135.36
1.62x + -7.62y + 1.49z <= 979.95
-0.88x + -0.84y + 7.7z <= 196.02
0.7x + -9.9y + 9.08z <= 212.47
-8.09x + 2.37y + 7.75z <= 333.36
-4.94x + 9.57y + -8.91z <= 499.03
2.78x + -4.94y + -5.7z <= 178.42
4.22x + 7.09y + 6.83z <= 870.42
4.14x + -7.81y + -8.24z <= 536.3
-9.53x + -9.98y + -0.87z <= 466.07
9.3x + -6.71y + -9.24z <= 500.74
9.52x + -6.34y + 4.87z <= 458.91
-4.39x + 2.4y + 9.97z <= 445.21
-2.32x + 4.45y + 6.55z <= 102.87
-3.41x + 2.6y + 0.2z <= 186.71
-6.28x + -1.69y + -2.57z <= 180.57
-9.96x + 9.36y + -2.62z <= 737.59
5.62x + 5.19y + -8.85z <= 876.42
-7.64x + -7.33y + 4.38z <= 852.87
-0.99x + -9.39y + 5.5z <= 607.72
-7.46x + 3.93y + -1.55z <= 486.39
-3.92x + 6.27y + -0.95z <= 640.59
1.0x + -3.31y + 3.92z <= 685.58
-8.09x + 7.46y + -4.71z <= 722.36
1.24x + 1.28y + 1.67z <= 939.97
0.97x + 5.17y + 3.68z <= 628.94
-5.78x + 0.71y + -0.34z <= 448.82
2.29x + -3.35y + -0.74z <= 359.92
8.9x + 0.96y + -4.3z <= 881.55
-7.42x + -7.7y + 9.68z <= 899.52
-9.8x + 0.31y + 3.81z <= 151.99
-0.88x + -7.47y + 6.39z <= 112.84
-7.71x + -8.99y + 2.74z <= 914.11
-2.51x + -0.24y + -3.56z <= 296.63
-8.95x + 9.86y + -1.44z <= 479.12
5.07x + 2.75y + 8.12z <= 342.53
7.81x + 6.39y + 5.73z <= 724.13
3.77x + -9.04y + -9.81z <= 972.2
-3.66x + -1.44y + 7.31z <= 834.77
-8.89x + 6.89y + -9.77z <= 455.45
3.41x + 7.29y + -7.64z <= 995.6
3.32x + 2.57y + -7.0z <= 359.31
1.01x + 5.69y + 2.29z <= 899.67
-5.88x + -4.18y + -2.53z <= 434.34
-5.44x + -6.09y + 6.65z <= 962.58
-7.93x + -4.24y + 9.9z <= 968.82
8.41x + -5.31y + 6.8z <= 425.28
0.13x + 7.75y + -9.18z <= 668.02
9.45x + 9.97y + 2.02z <= 592.46
6.53x + 9.31y + 2.51z <= 470.24
9.89x + -6.93y + -1.54z <= 806.05
2.39x + -7.51y + -9.44z <= 918.9
8.97x + 2.4y + 2.02z <= 226.89
-1.72x + 7.95y + 1.25z <= 320.32
-1.66x + 0.66y + -5.05z <= 292.29
7.17x + -7.91y + 8.26z <= 183.67
3.58x + 1.72y + 7.29z <= 423.87
-5.81x + -3.97y + 8.42z <= 921.66
-6.93x + -7.65y + 9.68z <= 462.17
6.02x + 0.8y + -7.27z <= 778.03
5.35x + 3.88y + -0.16z <= 972.55
0.03x + -0.42y + -2.03z <= 740.29
9.64x + -3.3y + 0.26z <= 159.92
8.7x + 4.51y + -9.35z <= 360.09
0.56x + 0.18y + -1.09z <= 561.88
6.98x + -6.15y + -9.25z <= 870.96
-8.49x + -2.73y + -1.98z <= 964.07
-9.85x + 5.94y + -1.87z <= 912.32
4.73x + 3.03y + 6.51z <= 787.79
1.57x + -9.43y + -8.47z <= 427.96
-1.57x + -3.12y + -2.99z <= 348.63
-0.21x + 3.77y + 2.5z <= 173.28
-8.47x + -0.66y + -1.76z <= 899.97
-0.35x + -2.59y + -7.48z <= 265.4
-6.77x + 6.66y + 0.28z <= 394.99
4.3x + -0.78y + -2.38z <= 921.29
-5.26x + 7.92y + 8.09z <= 647.02
1.42x + -8.91y + 2.31z <= 799.44
8.53x + 4.37y + 6.69z <= 423.57
9.32x + 7.03y + -4.21z <= 965.93
7.34x + 7.06y + 9.08z <= 612.39
7.22x + -2.16y + -7.01z <= 884.93
-1.85x + 8.47y + -6.59z <= 994.03
5.93x + -6.19y + 2.44z <= 465.46
9.19x + -1.84y + -1.62z <= 321.28
8.13x + 1.05y + 5.03z <= 917.81
6.22x + 5.54y + 3.72z <= 702.92
4.71x + 7.83y + 0.71z <= 163.72
-6.7x + -8.44y + -6.13z <= 152.81
3.55x + -5.62y + 7.8z <= 832.06
9.66x + -3.56y + 0.06z <= 934.16
-2.37x + -5.06y + 8.38z <= 189.33
6.19x + -5.24y + 4.53z <= 695.34
4.53x + 8.1y + -7.85z <= 449.05
0.77x + -2.51y + 9.31z <= 699.62
-3.53x + -6.22y + -9.11z <= 765.5
-9.06x + -1.29y + 7.91z <= 966.23
-1.62x + -2.69y + -3.7z <= 689.67
-7.32x + 4.85y + 2.24z <= 958.19
6.58x + 3.31y + 3.3z <= 232.13
-4.24x + 7.38y + -2.69z <= 451.75
-4.32x + -4.11y + 0.9z <= 695.07
3.05x + 3.25y + 0.61z <= 709.24
-4.67x + 6.63y + 8.87z <= 885.56
5.36x + 5.94y + 1.22z <= 483.1
-1.34x + -1.21y + 3.87z <= 934.1
-6.12x + -9.4y + -4.82z <= 968.47
-8.46x + 3.43y + -6.58z <= 439.67
7.44x + -4.38y + 5.35z <= 800.23
2.9x + 5.81y + 5.57z <= 538.3
8.84x + 4.46y + 7.21z <= 177.09
6.35x + -1.13y + -7.94z <= 722.66
-2.16x + -2.57y + 9.4z <= 428.42
7.0x + 1.7y + -0.02z <= 962.69
1.49x + 9.1y + 7.25z <= 444.06
7.43x + 7.84y + -0.34z <= 747.81
4.78x + -6.84y + -2.86z <= 823.67
3.47x + 2.91y + 2.07z <= 956.89
0.93x + 9.92y + 2.87z <= 562.37
-3.11x + 5.86y + 1.0z <= 833.94
-6.9x + 8.32y + 6.92z <= 791.46
7.96x + 7.18y + -3.93z <= 497.22
2.09x + 5.86y + 3.93z <= 732.43
4.48x + -2.63y + 7.8z <= 850.52
5.31x + 2.98y + -4.04z <= 358.24
5.54x + 2.88y + -1.89z <= 691.7
5.32x + 9.63y + 3.32z <= 773.55
2.26x + -7.36y + -4.55z <= 840.18
1.23x + 9.59y + 1.07z <= 508.92
1.95x + -5.38y + 4.66z <= 205.61
-7.11x + -8.83y + -0.22z <= 205.78
-8.05x + -4.12y + 3.74z <= 990.27
-0.99x + -9.6y + -2.13z <= 628.13
1.76x + -5.19y + -7.68z <= 601.58
2.57x + -6.75y + 3.13z <= 820.18
-6.66x + 8.02y + -8.48z <= 765.89
-2.53x + -6.28y + -5.49z <= 208.92
-2.41x + -9.34y + 8.02z <= 847.5
8.12x + -5.86y + 5.18z <= 772.27
-7.04x + -2.74y + 4.66z <= 744.65
-9.44x + 5.15y + -8.47z <= 648.03
-7.69x + 8.26y + 4.52z <= 356.63
1.39x + 9.21y + 4.43z <= 271.22
1.72x + -6.09y + 6.74z <= 474.01
7.07x + -0.25y + 5.1z <= 460.25
-3.38x + -6.69y + 2.47z <= 898.34
-1.76x + -4.61y + -1.55z <= 997.01
5.33x + -9.73y + 7.86z <= 561.52
7.96x + -4.12y + 2.5z <= 257.34
6.33x + -8.91y + 0.42z <= 711.25
7.04x + -6.31y + 1.77z <= 484.99
-2.03x + -3.84y + 7.89z <= 124.48
3.9x + -7.6y + -4.36z <= 567.93
-1.85x + 7.32y + -5.42z <= 958.34
2.51x + -1.64y + -8.21z <= 491.77
-4.24x + -9.01y + 0.69z <= 249.06
-6.03x + -3.08y + 1.88z <= 519.45
9.07x + 5.33y + -9.67z <= 205.01
6.89x + -3.07y + 0.97z <= 790.6
0.25x + -6.27y + 4.7z <= 100.46
1.29x + 1.92y + 2.72z <= 596.62
3.3x + -4.15y + -0.34z <= 468.26
-6.31x + -8.42y + -2.92z <= 571.51
-7.89x + -4.92y + 8.75z <= 598.88
5.45x + -3.56y + 3.9z <= 492.93
4.12x + -1.2y + 5.79z <= 314.74
-1.85x + 9.53y + 6.78z <= 749.74
6.88x + 3.6y + 3.16z <= 711.0
-1.05x + 1.13y + 8.94z <= 479.77
3.68x + 1.92y + -4.84z <= 555.75
-1.04x + 7.82y + -3.75z <= 714.84
5.47x + 0.48y + -1.91z <= 823.93
-8.66x + 5.45y + -7.22z <= 293.81
-5.76x + -9.21y + -2.27z <= 644.94
1.79x + -0.95y + -0.31z <= 162.98
-8.87x + 7.87y + 7.57z <= 725.01
3.33x + -4.51y + 7.56z <= 186.39
2.52x + 7.64y + -5.38z <= 122.46
-2.8x + 7.24y + -2.92z <= 283.51
8.28x + 9.56y + 1.77z <= 486.06
5.51x + -4.35y + 0.41z <= 190.43
8.68x + -2.88y + 0.8z <= 838.39
3.67x + -2.24y + -6.18z <= 324.43
7.76x + 6.6y + -0.91z <= 765.43
-3.45x + 1.96y + -8.29z <= 141.55
-7.29x + -4.89y + -0.97z <= 741.19
6.92x + -7.47y + 6.58z <= 440.2
2.8x + 8.18y + -0.23z <= 810.39
7.9x + -8.91y + 1.14z <= 878.66
-5.7x + -1.02y + 7.86z <= 858.71
3.52x + -9.48y + 0.83z <= 108.92
-6.87x + 1.57y + -1.62z <= 803.18
-6.49x + -6.28y + -7.27z <= 471.6
0.35x + -6.65y + -5.55z <= 717.87
-4.63x + 1.5y + 1.69z <= 879.33
7.88x + -7.45y + 9.69z <= 160.07
-1.43x + 6.63y + -0.38z <= 649.2
-2.5x + 4.67y + 9.52z <= 583.96
-7.93x + -4.33y + -4.95z <= 798.41
-5.61x + 9.33y + 3.89z <= 669.29
-1.86x + 2.68y + -0.69z <= 220.32
0.15x + -1.04y + -0.39z <= 309.44
-4.77x + -0.91y + -9.52z <= 504.75
-5.85x + -2.26y + -7.94z <= 688.16
3.67x + -7.0y + -9.53z <= 266.77
-1.83x + -9.96y + 1.62z <= 947.7
1.4x + 7.64y + 7.03z <= 780.38
-9.02x + 3.26y + -5.02z <= 936.21
1.44x + 2.13y + -6.81z <= 506.29
-6.62x + 9.17y + -4.71z <= 907.96
7.93x + 4.29y + 2.16z <= 451.91
7.81x + 2.8y + 4.37z <= 172.82
8.72x + -6.63y + 8.58z <= 717.92
-7.66x + 0.07y + 3.91z <= 973.65
9.23x + 9.13y + 6.03z <= 250.31
-5.82x + 3.85y + 6.28z <= 171.81
9.02x + -7.4y + -0.22z <= 682.49
-4.41x + -9.48y + -1.4z <= 154.41
9.51x + -6.57y + -8.83z <= 552.5
9.7x + -6.53y + -9.96z <= 489.89
9.85x + -4.2y + -7.16z <= 217.66
0.96x + -5.73y + 2.86z <= 672.32
-3.83x + -8.29y + -0.1z <= 995.96
-4.13x + -3.67y + -0.79z <= 924.96
5.62x + 3.28y + 5.25z <= 185.31
-9.59x + 2.99y + 0.13z <= 226.73
-4.16x + 5.7y + -1.05z <= 633.3
5.4x + 2.02y + 4.92z <= 721.71
-2.27x + -5.41y + -2.69z <= 134.77
-9.7x + 3.07y + 1.86z <= 450.15
-7.74x + -8.25y + 5.25z <= 496.96
6.07x + -0.43y + 7.21z <= 655.0
9.38x + 6.14y + 1.08z <= 137.72
-4.91x + -3.07y + -3.36z <= 381.67
7.09x + -0.25y + 0.15z <= 342.67
7.41x + 4.85y + -0.68z <= 833.24
-2.33x + 7.65y + 7.73z <= 205.87
5.74x + -4.66y + 3.01z <= 532.68
2.01x + -7.52y + -9.27z <= 641.15
-7.79x + -4.7y + -4.57z <= 780.99
-9.62x + 5.63y + 8.81z <= 560.88
8.15x + 9.98y + -0.19z <= 378.78
-0.57x + 1.63y + 4.47z <= 203.34
-2.99x + 7.95y + 9.4z <= 441.83
3.32x + -0.87y + -5.14z <= 495.56
2.44x + -1.26y + 1.44z <= 731.48
-9.61x + 3.66y + 8.04z <= 566.46
1.91x + 6.98y + -3.84z <= 885.7
4.29x + -6.0y + -7.94z <= 566.63
-9.03x + -1.0y + -8.56z <= 190.29
7.24x + 2.12y + -1.12z <= 559.7
-5.19x + 8.74y + 8.97z <= 648.29
-6.6x + -4.66y + -8.89z <= 825.74
-2.69x + 3.39y + 7.16z <= 456.92
1.65x + 7.66y + 4.56z <= 725.6
5.73x + 1.61y + 5.97z <= 741.53
-7.91x + 6.58y + 4.95z <= 976.68
-9.73x + 0.61y + 7.21z <= 747.1
-2.69x + -4.07y + -4.68z <= 205.62
0.27x + 0.79y + -8.04z <= 773.13
-9.44x + -2.37y + 8.16z <= 622.09
-8.27x + 7.57y + -2.6z <= 482.37
5.49x + 2.68y + -7.69z <= 275.64
5.82x + 8.85y + 5.26z <= 777.78
-7.72x + 0.78y + 4.06z <= 115.72
-2.01x + -1.29y + -8.41z <= 672.48
-5.34x + -6.52y + 6.61z <= 168.12
1.76x + -4.44y + -8.05z <= 493.79
-7.16x + -2.98y + -2.2z <= 612.63
-9.63x + 2.75y + -8.12z <= 987.89
5.9x + 3.85y + 9.35z <= 461.13
9.65x + -5.85y + -9.19z <= 422.28
2.92x + -0.19y + -2.7z <= 191.12
-8.32x + 7.9y + 7.52z <= 574.27
3.6x + 1.47y + 2.62z <= 359.32
4.46x + -0.58y + -6.32z <= 868.59
-9.2x + -7.07y + -8.41z <= 447.07
-6.61x + -0.21y + -7.11z <= 880.83
9.29x + 7.1y + 2.82z <= 286.96
-9.41x + -1.47y + 9.28z <= 563.27
-8.78x + 6.14y + -1.7z <= 377.64
3.16x + 6.69y + 7.47z <= 500.64
5.68x + -7.7y + -1.68z <= 350.52
-9.44x + 3.34y + -0.23z <= 510.57
3.54x + -1.56y + 6.47z <= 334.07
-5.95x + 5.68y + 3.68z <= 557.8
0.85x + -5.32y + -7.63z <= 312.96
-7.11x + 2.41y + 7.79z <= 249.39
-3.48x + 1.77y + 0.91z <= 165.06
5.49x + -3.01y + 4.37z <= 182.72
-5.01x + -3.97y + -1.13z <= 181.57
0.31x + -7.2y + -2.79z <= 131.26
8.33x + -0.26y + -0.38z <= 102.27
-9.1x + -9.13y + 2.52z <= 498.22
6.1x + -1.89y + 3.83z <= 734.94
6.88x + -3.83y + 6.43z <= 899.48
1.41x + 7.09y + -9.45z <= 884.72
-9.28x + 3.72y + -4.68z <= 435.38
-1.95x + -2.34y + 7.62z <= 278.09
-2.98x + 4.24y + -0.53z <= 613.83
-1.13x + 6.75y + 4.25z <= 863.71
6.98x + -9.88y + 4.95z <= 976.54
8.95x + 8.58y + 3.36z <= 267.3
8.13x + 1.41y + -0.07z <= 415.68
5.36x + -5.89y + 0.12z <= 751.0
0.34x + 4.85y + -4.89z <= 203.87
0.02x + -7.17y + -5.41z <= 291.79
6.33x + 1.14y + -9.26z <= 567.83
-4.49x + -6.61y + -0.61z <= 796.67
-5.66x + 6.87y + 6.37z <= 318.04
2.26x + 7.47y + 1.18z <= 329.36
-7.76x + 7.58y + 8.7z <= 568.06
-8.67x + 7.74y + -7.27z <= 894.93
2.92x + 8.83y + 0.03z <= 339.98
-3.31x + 8.99y + 0.99z <= 848.38
7.5x + -4.8y + 0.69z <= 168.76
-7.72x + -6.18y + 7.91z <= 999.08
-8.9x + -2.04y + -6.12z <= 184.54
6.5x + -4.03y + -1.7z <= 777.79
-3.48x + -5.32y + 4.72z <= 350.47
-5.57x + 6.21y + -1.3z <= 447.95
-2.81x + -5.08y + -3.5z <= 299.66
7.9x + 7.03y + -0.61z <= 900.95
9.6x + -6.6y + 3.28z <= 932.5
3.23x + -0.87y + -8.05z <= 948.81
5.87x + -0.45y + 5.4z <= 727.05
-9.34x + -9.77y + -4.51z <= 740.28
-5.55x + -2.77y + -8.79z <= 364.49
9.33x + 7.23y + 2.08z <= 525.23
3.21x + -4.78y + 2.19z <= 810.92
-1.63x + 5.93y + 4.58z <= 149.12
-2.23x + -5.0y + -4.82z <= 566.15
8.39x + 9.92y + 7.26z <= 789.68
9.47x + 7.49y + 5.43z <= 901.87
-9.25x + 0.42y + 7.41z <= 774.24
2.53x + -0.99y + -3.83z <= 951.25
-8.85x + -3.16y + -6.06z <= 170.69
-5.57x + -2.76y + -7.62z <= 430.63
-2.01x + -4.34y + -0.87z <= 682.38
-9.39x + 4.07y + -2.69z <= 339.08
5.7x + 2.58y + 8.25z <= 200.73
-8.28x + 1.01y + 2.73z <= 725.08
5.73x + 8.28y + -0.6z <= 697.4
6.63x + -3.93y + -1.02z <= 271.14
0.74x + 0.23y + 4.66z <= 826.18
7.77x + 9.04y + 7.72z <= 794.44
-9.97x + -2.47y + 7.3z <= 806.38
5.76x + -9.51y + 4.16z <= 269.07
6.79x + 2.73y + -9.91z <= 108.44
3.37x + 2.11y + -5.29z <= 653.62
3.06x + 4.91y + -4.62z <= 289.31
-7.69x + -0.84y + 5.65z <= 162.06
-3.11x + -0.61y + 2.04z <= 183.6
2.02x + -0.13y + 1.58z <= 741.91
8.85x + -5.13y + 7.93z <= 115.66
-3.43x + 5.77y + -3.95z <= 481.3
-0.43x + -5.11y + 4.77z <= 746.27
0.69x + 4.05y + 4.1z <= 359.05
8.12x + 0.63y + -7.02z <= 654.13
-9.77x + -6.97y + 9.98z <= 779.27
-5.65x + -3.01y + -9.68z <= 418.99
-8.06x + 9.45y + 4.56z <= 700.01
-3.94x + 8.54y + 1.37z <= 804.84
0.91x + -6.91y + -7.5z <= 271.63
5.31x + 3.98y + -1.28z <= 242.05
-3.12x + -3.86y + 9.33z <= 715.19
2.3x + 1.38y + 4.53z <= 497.31
8.25x + 7.47y + -2.48z <= 272.59
6.86x + -5.13y + 2.89z <= 370.8
2.93x + 8.64y + -2.95z <= 497.79
9.28x + -3.12y + 5.34z <= 691.19
-1.33x + 3.29y + 6.53z <= 924.86
-8.22x + -0.12y + -3.14z <= 571.33
-4.62x + 2.24y + 1.6z <= 641.59
-6.69x + -3.58y + 0.01z <= 630.8
3.71x + 5.5y + 5.36z <= 122.63
8.67x + -5.2y + 3.58z <= 750.54
7.26x + 2.09y + 7.96z <= 271.09
-3.17x + 2.4y + -2.71z <= 971.62
-7.18x + -1.81y + -5.32z <= 627.2
9.53x + -3.24y + 8.1z <= 249.32
6.57x + -7.64y + 6.89z <= 432.73
-3.36x + 6.7y + 2.13z <= 594.8
-7.15x + 5.99y + -3.28z <= 827.24
6.84x + -6.97y + 2.81z <= 549.44
-7.0x + 1.12y + 4.3z <= 186.77
-0.39x + -4.72y + -0.65z <= 837.71
1.79x + -0.36y + -8.19z <= 590.63
4.79x + -5.48y + 5.16z <= 781.69
2.24x + -1.96y + 4.58z <= 505.45
5.47x + 8.52y + 4.73z <= 185.34
8.98x + 1.83y + 9.59z <= 641.8
-8.88x + -3.63y + -2.33z <= 558.99
3.72x + 2.49y + 6.68z <= 567.92
7.22x + 2.77y + -2.62z <= 486.9
-8.12x + -3.38y + -5.46z <= 119.37
1.73x + 6.44y + 8.65z <= 983.62
-5.99x + 0.21y + 4.65z <= 975.25
2.29x + -3.61y + -4.63z <= 777.61
4.87x + -5.05y + -2.32z <= 386.76
5.13x + -5.94y + -4.58z <= 870.95
6.48x + -5.71y + 0.61z <= 904.62
-5.15x + -1.25y + -7.87z <= 563.25
-9.24x + 6.69y + 9.87z <= 455.42
2.78x + 9.64y + 9.97z <= 347.13
-10.0x + -9.37y + -5.95z <= 632.73
-8.58x + 0.71y + 6.52z <= 197.4
6.89x + 2.97y + -6.76z <= 744.27
-0.2x + -4.22y + 6.19z <= 610.77
-0.78x + 3.86y + -7.61z <= 894.98
-2.33x + -3.22y + 2.85z <= 365.04
-5.25x + -5.88y + -8.01z <= 860.56
