max 4.33x + 3.98y + 6.22z
-4.69x + -7.38y + 0.14z <= 206.38
4.77x + -4.77y + -0.79z <= 689.31
-3.17x + 7.44y + -8.55z <= 842.69
-2.01x + -5.14y + 0.5z <= 951.01
-8.78x + -4.09y + -2.59z <= 484.22
2.09x + 0.43y + -3.86z <= 680.82
8.78x + -0.07y + -9.06z <= 152.45
-9.52x + 7.76y + 2.28z <= 884.83
5.22x + 7.97y + 8.39z <= 519.49
-2.92x + -7.74y + 2.2z <= 793.05
0.78x + 3.53y + 8.39z <= 141.17
-6.0x + 3.17y + 4.39z <= 315.89
-3.46x + 6.84y + -5.73z <= 942.57
-8.23x + 9.97y + 3.44z <= 652.94
-6.95x + -1.04y + -9.7z <= 495.27
-4.55x + 8.09y + 7.42z <= 656.48
-7.61x + 4.16y + 8.82z <= 316.63
-3.44x + 5.45y + -7.69z <= 223.04
-1.61x + 7.65y + 1.43z <= 255.85
-3.64x + -3.59y + -4.15z <= 519.3
-4.43x + 5.19y + -9.25z <= 573.14
5.0x + -2.57y + 7.62z <= 285.0
-1.0x + -7.68y + -9.55z <= 803.36
-6.32x + -0.55y + -5.89z <= 938.29
5.42x + -8.78y + 8.11z <= 983.86
-5.25x + 9.69y + -2.88z <= 740.18
9.54x + -5.14y + -3.64z <= 544.5
9.96x + -9.68y + -8.6z <= 257.01
-3.37x + 4.3y + -8.34z <= 552.15
-9.03x + -0.55y + 1.71z <= 862.34
-8.42x + 4.09y + -6.75z <= 768.45
3.23x + -5.03y + -5.03z <= 517.51
5.72x + 1.89y + -9.21z <= 997.52
-7.38x + 8.76y + 2.75z <= 850.39
-4.25x + -9.27y + -9.48z <= 213.37
-4.41x + 6.98y + 7.79z <= 408.51
-3.61x + -8.75y + -3.6z <= 755.75
-6.92x + 1.29y + -3.94z <= 472.74
-2.71x + -2.18y + -0.28z <= 540.03
-1.1x + 6.0y + 7.31z <= 229.49
-4.15x + -7.73y + -3.65z <= 959.83
-2.81x + -0.49y + -0.31z <= 664.84
-6.06x + 4.9y + -9.5z <= 210.34
-5.97x + 0.26y + 5.23z <= 318.35
-3.35x + 0.24y + -1.18z <= 400.26
6.1x + 7.35y + -3.97z <= 112.37
-7.02x + 6.18y + -9.32z <= 154.21
5.76x + -3.55y + -1.72z <= 306.89
5.91x + 5.5y + -3.46z <= 916.88
8.04x + 3.67y + -8.44z <= 546.87
-0.69x + 3.36y + -4.35z <= 207.22
5.64x + 6.5y + 2.91z <= 244.4
4.96x + -9.91y + -4.87z <= 520.69
7.79x + -7.09y + 4.8z <= 283.72
-4.03x + 8.16y + 6.87z <= 810.34
9.91x + -5.15y + -4.91z <= 726.21
-5.11x + 4.73y + -4.97z <= 456.6
-1.66x + 8.42y + -1.2z <= 400.76
-1.23x + -0.09y + 2.8z <= 206.95
0.52x + -2.89y + 2.39z <= 525.94
6.91x + 4.81y + -9.01z <= 420.68
2.88x + -6.7y + -8.36z <= 213.75
-1.99x + -8.25y + -3.18z <= 413.05
7.12x + 4.04y + 2.88z <= 213.38
7.03x + 4.72y + 3.19z <= 306.12
-1.24x + 2.11y + 6.11z <= 569.14
-2.68x + -1.34y + -0.76z <= 396.74
-0.06x + 7.73y + -0.1z <= 399.15
-2.51x + 3.17y + -6.89z <= 132.5
2.47x + 2.37y + -2.87z <= 862.76
-2.23x + 3.19y + 5.46z <= 712.89
-3.64x + 2.33y + 8.47z <= 607.97
7.99x + -7.9y + 1.66z <= 890.17
-6.03x + 9.77y + -7.12z <= 708.7
9.07x + 0.42y + -1.65z <= 920.32
-9.75x + -6.38y + 9.98z <= 592.31
-0.94x + -5.9y + -6.16z <= 599.09
-3.04x + -4.2y + -2.25z <= 516.2
5.78x + -5.0y + 4.56z <= 281.04
3.61x + -2.0y + -1.54z <= 556.97
2.14x + -4.1y + 6.77z <= 728.45
9.5x + -7.52y + 5.95z <= 939.36
-4.78x + 6.77y + -8.75z <= 162.42
8.27x + 0.17y + 5.41z <= 745.26
8.05x + 3.19y + -1.72z <= 690.49
9.72x + -5.21y + 4.94z <= 329.84
8.15x + 7.5y + 3.73z <= 112.93
2.32x + -2.92y + 0.49z <= 361.74
-6.46x + 4.67y + -5.29z <= 458.44
7.81x + -7.05y + 5.03z <= 726.7
3.03x + -7.73y + -1.56z <= 341.24
-8.74x + -6.74y + 3.67z <= 692.61
6.13x + 8.79y + 5.55z <= 511.34
4.47x + -8.01y + -5.88z <= 961.68
1.62x + -5.32y + -6.85z <= 582.91
-4.51x + -3.26y + -9.39z <= 431.73
-7.96x + 9.65y + -3.45z <= 252.79
7.16x + -8.77y + -2.8z <= 283.1
5.33x + 6.76y + -0.17z <= 380.09
8.84x + 7.24y + -7.48z <= 411.12
1.54x + 0.27y + -8.4z <= 766.91
9.95x + -8.59y + -1.86z <= 948.62
0.14x + -2.84y + 9.82z <= 633.02
8.65x + -8.41y + -4.92z <= 143.21
3.56x + 1.44y + 8.71z <= 949.04
-0.62x + 8.85y + -0.89z <= 468.17
4.72x + -7.09y + -3.26z <= 318.87
2.54x + -9.92y + -8.55z <= 211.25
-9.4x + -0.6y + -2.3z <= 912.11
7.9x + -9.9y + -9.27z <= 395.46
9.24x + 2.62y + -7.36z <= 551.0
-2.62x + 9.41y + -6.37z <= 141.83
-9.52x + 3.59y + 0.34z <= 757.34
-1.42x + -6.73y + -1.56z <= 892.7
-1.72x + 0.12y + 8.58z <= 751.98
-0.92x + 2.1y + -4.24z <= 843.6
-4.46x + 5.83y + -4.14z <= 515.45
-4.88x + 9.96y + 9.22z <= 876.57
8.58x + -3.91y + 6.89z <= 352.12
9.69x + 9.7y + 7.69z <= 446.95
-5.05x + -3.07y + -8.3z <= 722.79
9.25x + -8.29y + -9.3z <= 676.4
-5.46x + -1.2y + 4.75z <= 258.5
0.24x + -5.21y + 5.37z <= 182.49
8.29x + -7.39y + -8.63z <= 909.24
-9.21x + 3.6y + 5.7z <= 198.43
-6.29x + 1.32y + -9.49z <= 664.73
7.48x + -9.51y + 0.82z <= 729.66
-2.92x + -3.25y + -6.91z <= 649.66
-4.83x + -8.24y + 8.8z <= 964.85
1.8x + 7.81y + -8.17z <= 642.32
5.55x + 7.1y + 5.9z <= 943.2
4.09x + 7.21y + 3.75z <= 128.07
7.94x + -9.52y + 9.24z <= 674.22
-8.49x + 8.93y + 2.03z <= 369.03
-7.52x + -6.7y + -5.8z <= 659.7
2.69x + -8.27y + -8.05z <= 709.5
-9.79x + -7.6y + 1.75z <= 726.56
-5.41x + 7.12y + 4.84z <= 812.73
7.73x + 3.78y + 3.02z <= 949.4
-3.52x + 7.78y + 3.21z <= 791.52
-0.16x + 6.96y + -2.87z <= 672.58
7.81x + -9.79y + 4.32z <= 350.52
-1.78x + -2.54y + -6.13z <= 326.91
-0.56x + 2.85y + 6.78z <= 419.63
-8.65x + -1.08y + -2.29z <= 557.72
-4.93x + 5.5y + -6.08z <= 303.89
7.71x + 2.86y + -4.66z <= 246.03
9.37x + -6.97y + -7.84z <= 874.9
6.93x + -3.61y + 9.84z <= 140.28
8.46x + -8.36y + 6.8z <= 163.99
8.11x + 5.12y + 9.22z <= 631.01
2.19x + -3.75y + -7.86z <= 732.49
8.35x + 2.44y + -9.21z <= 880.82
-7.77x + -3.18y + -8.46z <= 922.83
6.74x + -9.74y + -3.57z <= 671.4
-6.79x + 0.05y + -1.68z <= 636.45
4.77x + 5.11y + 0.08z <= 850.95
8.68x + -2.42y + 3.72z <= 829.99
-6.66x + 4.91y + -8.73z <= 531.86
6.31x + -3.33y + 6.94z <= 452.78
6.23x + 2.79y + -8.42z <= 151.34
7.57x + 0.57y + -1.09z <= 216.06
-0.2x + 9.7y + 2.62z <= 423.31
-5.55x + 9.22y + 1.37z <= 105.74
-3.92x + -4.21y + -7.96z <= 365.03
7.5x + -3.46y + 5.53z <= 589.82
-9.25x + -3.47y + -3.43z <= 988.13
5.21x + -4.37y + -1.23z <= 643.7
6.5x + -5.82y + 1.03z <= 795.15
-1.84x + 1.47y + 3.32z <= 575.93
5.51x + -5.11y + -5.19z <= 417.47
5.72x + 6.97y + 0.26z <= 843.56
3.5x + -9.73y + 5.18z <= 697.13
-9.93x + -4.01y + -6.39z <= 204.71
-5.51x + 8.32y + 5.35z <= 701.57
6.45x + -3.89y + 2.88z <= 955.12
-1.94x + -3.09y + 2.42z <= 545.47
3.78x + 7.2y + 0.75z <= 128.36
-5.26x + -6.4y + 8.96z <= 655.48
-9.16x + 4.38y + 1.79z <= 555.9
4.01x + -7.53y + 2.85z <= 890.32
-9.59x + 7.11y + 2.73z <= 386.8
0.72x + -0.88y + 1.69z <= 327.89
-7.19x + -2.33y + 9.5z <= 939.11
7.43x + 4.27y + -4.69z <= 814.15
3.73x + -7.76y + 4.79z <= 209.48
-8.32x + 3.57y + 8.99z <= 215.89
5.25x + -7.77y + 7.02z <= 691.07
6.68x + 8.82y + 0.32z <= 273.77
8.98x + 4.48y + -9.45z <= 560.1
-9.97x + -2.86y + -6.59z <= 931.53
-3.4x + -7.42y + 2.74z <= 811.33
-1.19x + -8.14y + -6.66z <= 507.54
-8.21x + -7.54y + -2.85z <= 932.42
-7.73x + -8.56y + 9.19z <= 706.1
-7.55x + -6.55y + -8.24z <= 509.73
7.71x + -0.16y + 4.38z <= 159.67
-4.98x + -8.96y + -9.57z <= 838.89
8.37x + -4.01y + -3.08z <= 212.14
-1.4x + -4.42y + -8.59z <= 656.84
4.23x + -6.44y + 9.37z <= 107.34
-3.13x + -3.33y + -4.35z <= 400.46
-4.95x + -0.95y + 9.53z <= 804.25
-3.54x + -4.2y + -8.92z <= 519.07
-6.27x + 3.56y + -9.56z <= 238.56
9.41x + -1.08y + 3.13z <= 573.4
-1.71x + -4.71y + 2.04z <= 255.58
0.75x + 6.32y + 2.92z <= 775.1
2.64x + -0.53y + 3.97z <= 509.79
5.17x + -5.65y + -5.46z <= 365.87
4.19x + -1.38y + 1.37z <= 172.41
7.76x + 2.33y + -7.43z <= 450.29
-3.87x + -6.01y + -9.04z <= 322.71
4.99x + -0.23y + 8.63z <= 626.84
1.77x + 7.18y + -7.69z <= 829.97
5.74x + -0.76y + 9.48z <= 528.32
0.2x + 7.08y + 2.23z <= 280.71
7.59x + 3.14y + -8.78z <= 151.37
0.02x + 8.03y + 3.6z <= 457.23
-0.83x + 3.75y + 9.93z <= 588.17
-8.06x + 9.51y + -7.48z <= 481.15
-1.0x + 9.7y + 2.32z <= 185.29
5.28x + -0.05y + -7.62z <= 591.75
4.01x + -8.47y + 2.58z <= 871.9
-6.47x + -5.49y + 9.63z <= 111.72
9.18x + -4.34y + -6.13z <= 332.84
-2.82x + 7.08y + 1.42z <= 230.58
-7.43x + -1.52y + -1.37z <= 185.49
-2.16x + 6.92y + -8.69z <= 129.52
9.36x + -1.73y + -8.66z <= 831.45
-0.58x + -1.01y + -4.75z <= 592.0
-7.67x + 4.72y + 4.36z <= 222.14
7.28x + -8.14y + -0.57z <= 571.26
1.47x + -6.17y + -7.52z <= 937.55
-6.79x + -5.1y + -3.09z <= 984.47
8.75x + 9.48y + 2.62z <= 533.73
0.81x + -3.53y + -2.72z <= 721.26
-2.47x + -3.21y + 5.23z <= 825.46
7.58x + 8.69y + -8.61z <= 627.24
-5.7x + -5.69y + -1.16z <= 903.09
-3.06x + -3.63y + 1.39z <= 687.31
-5.17x + -4.24y + 3.54z <= 647.38
-8.98x + -4.97y + -9.81z <= 377.92
5.04x + 3.93y + 3.21z <= 991.76
-6.19x + 5.04y + -9.38z <= 400.52
8.57x + 6.47y + 4.87z <= 634.11
6.01x + -6.28y + -6.73z <= 126.06
-2.01x + 7.4y + -4.48z <= 841.9
4.05x + 4.47y + 2.16z <= 333.98
2.47x + 3.04y + 6.01z <= 591.69
8.94x + 1.88y + -2.92z <= 607.51
6.15x + 2.74y + 3.81z <= 956.03
-2.07x + 6.03y + -1.29z <= 561.79
2.53x + -2.63y + 6.74z <= 891.32
-6.28x + 4.49y + -9.44z <= 786.0
9.04x + 6.66y + -3.42z <= 299.26
9.54x + 7.23y + 5.72z <= 263.35
-1.98x + -0.51y + 1.63z <= 698.25
0.46x + -2.14y + 3.37z <= 446.79
-1.48x + -9.1y + 3.6z <= 258.66
4.71x + 4.16y + -0.38z <= 632.1
-3.54x + -0.6y + -6.56z <= 393.34
0.13x + 0.53y + 2.04z <= 443.02
-4.01x + 6.12y + 3.13z <= 226.25
-3.14x + -6.32y + -1.71z <= 950.08
-9.87x + -5.5y + -0.47z <= 503.54
-4.95x + -4.68y + -5.74z <= 440.3
-3.09x + -0.38y + 1.85z <= 125.56
4.87x + 6.32y + 3.76z <= 280.74
4.94x + -5.22y + -5.45z <= 694.81
6.42x + -9.56y + -0.71z <= 528.42
7.91x + -1.34y + 7.68z <= 632.57
-4.91x + -3.85y + 4.39z <= 466.3
-1.0x + 4.5y + 2.74z <= 931.54
-5.9x + -7.71y + 4.62z <= 194.68
-7.06x + 0.2y + -7.12z <= 727.83
-3.71x + -5.78y + 7.44z <= 603.8
2.94x + 0.17y + 7.53z <= 523.55
-9.2x + 2.65y + -5.26z <= 486.55
9.24x + -9.72y + 9.0z <= 132.98
2.64x + -3.33y + -0.08z <= 121.43
3.03x + 3.5y + -2.98z <= 203.66
7.02x + -5.28y + 0.4z <= 199.51
-3.21x + -3.36y + 8.37z <= 100.56
9.42x + -6.99y + 6.98z <= 498.1
1.16x + -2.12y + -6.42z <= 700.55
-6.58x + -2.07y + 7.17z <= 917.32
7.0x + -1.68y + -0.61z <= 554.23
0.99x + -1.75y + -4.08z <= 883.64
9.54x + 3.3y + 7.16z <= 661.55
7.24x + 5.9y + 8.55z <= 828.07
8.12x + 9.76y + -8.72z <= 604.43
-4.17x + 7.99y + 5.21z <= 606.04
8.3x + 3.23y + 9.75z <= 563.28
-6.71x + -9.77y + 9.64z <= 578.01
1.23x + -9.04y + 0.7z <= 987.98
-4.11x + -7.9y + 0.04z <= 319.57
-0.34x + 3.69y + 5.4z <= 443.22
2.21x + 4.65y + -6.56z <= 219.2
9.34x + 0.85y + 2.15z <= 285.48
-7.6x + -7.81y + -4.88z <= 200.57
-4.49x + -6.88y + 5.84z <= 638.59
-0.34x + -8.92y + 8.35z <= 850.09
3.02x + 5.33y + -2.89z <= 855.73
2.09x + 0.61y + -8.44z <= 612.87
-8.4x + -1.8y + -9.11z <= 938.24
6.52x + 4.47y + -7.72z <= 145.39
-5.94x + 3.49y + -9.89z <= 917.79
-8.33x + 4.15y + 2.07z <= 990.99
1.45x + 9.29y + 1.47z <= 989.59
-9.11x + 0.87y + -8.19z <= 229.13
0.23x + -4.45y + -7.91z <= 709.34
-1.19x + -0.63y + -7.43z <= 724.41
4.22x + -0.16y + 1.6z <= 529.14
7.75x + -4.76y + 6.44z <= 450.35
-0.45x + -4.92y + -7.47z <= 644.5
-8.1x + -3.32y + -0.94z <= 954.35
-4.53x + -5.39y + 0.18z <= 587.36
-0.62x + -7.87y + -5.23z <= 589.27
4.83x + 7.75y + 3.38z <= 613.85
-2.52x + 4.87y + 8.95z <= 521.75
1.28x + -0.46y + -3.87z <= 713.94
6.96x + 9.65y + 7.48z <= 158.89
6.96x + 6.6y + 8.14z <= 332.49
0.23x + 4.91y + -8.66z <= 889.69
-6.25x + 4.68y + -5.72z <= 427.35
5.98x + 4.16y + 7.72z <= 333.13
-0.35x + -2.33y + -8.41z <= 631.12
9.68x + -9.37y + 7.4z <= 680.41
-9.25x + -4.78y + -6.16z <= 207.03
-9.28x + -8.52y + 1.43z <= 529.58
4.21x + -1.01y + -6.7z <= 974.1
5.84x + 1.52y + -4.03z <= 142.09
9.11x + 3.35y + -2.36z <= 966.17
-6.95x + 7.87y + 6.72z <= 252.21
-0.8x + -9.87y + -8.42z <= 854.92
-5.71x + -3.23y + 8.05z <= 725.98
7.72x + 2.01y + -5.49z <= 444.86
-8.67x + 4.29y + -5.87z <= 146.69
-3.0x + -9.99y + 9.49z <= 202.92
5.17x + 9.46y + -3.77z <= 885.37
4.77x + -0.15y + -6.24z <= 685.95
-0.23x + -0.44y + 1.92z <= 735.88
0.66x + -9.68y + 4.41z <= 622.24
8.75x + -3.5y + -3.47z <= 240.53
4.35x + -9.67y + 7.32z <= 857.55
6.54x + 6.54y + 1.22z <= 178.55
-0.66x + -7.69y + -3.99z <= 863.51
-3.01x + 9.95y + 6.29z <= 252.35
-8.12x + -5.72y + -9.25z <= 187.28
5.54x + -3.65y + 2.07z <= 124.97
-9.47x + -6.08y + 1.91z <= 875.52
5.07x + 1.27y + -6.64z <= 767.98
6.99x + 3.17y + 8.18z <= 841.12
2.46x + -0.33y + -2.24z <= 452.74
-1.55x + 5.84y + -4.61z <= 477.47
-9.21x + -3.49y + -9.71z <= 983.79
-8.75x + -6.16y + -5.81z <= 353.61
8.75x + 5.83y + 0.37z <= 234.44
4.2x + -2.25y + 8.87z <= 492.38
2.01x + -8.08y + -8.26z <= 453.64
-5.97x + 7.73y + -9.64z <= 915.31
3.37x + -9.91y + 8.98z <= 600.27
4.02x + 7.97y + 3.75z <= 100.27
5.13x + -8.95y + 1.61z <= 621.47
7.89x + 2.07y + -8.68z <= 594.69
5.71x + -4.19y + -8.47z <= 814.77
1.5x + 3.89y + -0.47z <= 547.18
-0.84x + 8.22y + 9.58z <= 461.76
-0.08x + 7.7y + 9.8z <= 709.13
-7.8x + 3.57y + -9.57z <= 741.0
3.78x + -5.71y + 9.65z <= 654.06
-2.32x + -0.76y + -4.15z <= 408.84
8.72x + -1.93y + 5.95z <= 252.75
-3.7x + 1.93y + 7.73z <= 578.78
4.84x + 4.11y + -0.71z <= 114.27
5.2x + 5.84y + 3.82z <= 349.9
-4.41x + 0.54y + -9.73z <= 246.35
9.84x + 5.12y + 9.1z <= 999.5
-6.54x + 9.07y + 4.9z <= 138.04
-1.04x + 4.15y + 1.56z <= 679.82
5.43x + 0.78y + 4.47z <= 706.11
-3.92x + 6.92y + 8.75z <= 161.55
6.86x + -4.74y + -5.03z <= 728.21
5.6x + 5.15y + 7.06z <= 101.96
2.4x + -0.88y + -4.88z <= 615.91
5.27x + 2.03y + 9.57z <= 305.26
-1.63x + -7.72y + 7.46z <= 372.65
8.61x + 7.14y + 0.02z <= 318.79
-0.38x + -5.82y + 7.97z <= 876.09
-6.69x + -2.09y + 4.44z <= 763.13
-0.69x + -8.58y + 1.6z <= 355.54
4.53x + 3.16y + 9.23z <= 279.53
9.16x + -2.03y + -3.29z <= 976.38
5.12x + -2.28y + 0.97z <= 549.33
3.66x + 1.61y + -3.82z <= 207.02
-7.84x + -8.47y + -1.98z <= 862.17
0.68x + 0.91y + -5.89z <= 785.32
5.71x + -2.59y + -8.87z <= 325.11
6.51x + -4.31y + 2.2z <= 134.61
8.18x + -5.46y + 0.87z <= 621.67
5.55x + -2.5y + -6.49z <= 362.1
4.37x + 5.22y + 1.3z <= 254.21
-9.74x + 7.58y + -1.71z <= 731.7
9.98x + -8.05y + -4.52z <= 477.22
-6.86x + -0.07y + 7.2z <= 956.06
-1.67x + -4.78y + -9.41z <= 878.77
9.12x + 4.34y + 4.87z <= 916.69
4.12x + -3.41y + -6.88z <= 260.14
-8.44x + -0.02y + 7.1z <= 471.35
-1.04x + -2.2y + 6.76z <= 561.79
6.88x + -5.25y + -1.58z <= 312.76
3.37x + 4.84y + -7.65z <= 136.19
-5.83x + 0.85y + 4.73z <= 429.62
5.71x + 0.96y + -5.38z <= 989.49
6.27x + -1.25y + -5.22z <= 218.56
9.75x + 9.57y + -2.86z <= 499.13
0.77x + -6.32y + 0.32z <= 708.26
5.14x + -1.93y + 6.7z <= 265.68
-6.85x + -1.12y + -9.37z <= 948.78
-4.1x + -8.13y + 2.03z <= 206.02
-3.06x + 0.88y + 3.61z <= 712.92
-8.87x + -3.11y + -2.69z <= 343.14
8.37x + 1.6y + 6.15z <= 699.55
-7.41x + 6.71y + 5.67z <= 335.07
3.0x + 9.0y + 9.48z <= 517.1
2.68x + -6.0y + -8.67z <= 305.91
0.54x + -1.99y + -4.13z <= 670.03
-5.94x + -4.82y + -2.32z <= 305.69
-2.6x + -1.25y + -6.73z <= 474.58
-9.05x + 8.42y + -7.69z <= 231.21
6.46x + -7.25y + -9.23z <= 258.14
-2.73x + -7.34y + 4.46z <= 265.3
8.06x + 5.85y + -5.63z <= 798.87
1.57x + 6.34y + -0.21z <= 635.45
6.85x + 9.83y + 2.2z <= 776.83
5.21x + -3.73y + 7.06z <= 591.2
-4.74x + 2.75y + 8.98z <= 460.85
2.66x + -7.9y + 2.54z <= 795.38
6.99x + -7.84y + 4.69z <= 977.81
2.7x + 8.64y + -2.34z <= 908.1
1.68x + 7.63y + -7.0z <= 930.71
3.56x + 4.96y + 7.68z <= 832.11
-6.93x + 8.28y + 8.3z <= 789.7
1.63x + -6.68y + 7.21z <= 948.75
-8.56x + -2.33y + 5.18z <= 450.38
-6.4x + 1.8y + -9.87z <= 836.5
-3.03x + 7.22y + 4.75z <= 956.49
5.74x + -7.17y + 0.26z <= 936.65
8.89x + -4.42y + 6.54z <= 527.34
-9.65x + -4.24y + 8.9z <= 920.22
8.03x + 5.91y + -2.67z <= 603.66
4.83x + 3.85y + -6.77z <= 966.42
8.71x + 6.29y + 8.75z <= 859.64
5.27x + -0.84y + 1.23z <= 465.29
-2.69x + -1.66y + 0.71z <= 942.11
-8.79x + -7.42y + 8.63z <= 775.95
-0.76x + -4.04y + 0.3z <= 926.95
-4.38x + 7.87y + -8.36z <= 763.56
3.73x + 1.16y + -3.2z <= 246.33
-6.29x + -3.54y + 5.37z <= 252.25
-4.24x + 1.53y + 3.47z <= 572.8
1.66x + -9.41y + 1.69z <= 759.57
-8.94x + -5.59y + 2.65z <= 160.44
4.16x + 0.76y + -1.26z <= 486.69
-3.09x + 3.86y + 4.2z <= 325.59
-0.67x + 6.31y + -8.8z <= 871.12
7.11x + -8.48y + -9.68z <= 440.4
3.15x + -0.2y + 6.07z <= 321.73
-0.94x + 6.38y + 9.89z <= 296.86
-3.93x + -0.11y + 8.2z <= 487.52
-6.16x + 8.41y + -2.69z <= 653.2
2.21x + -6.72y + -2.09z <= 305.29
2.2x + 2.06y + -7.78z <= 271.48
-1.96x + -4.96y + 4.74z <= 236.95
6.76x + -4.87y + 5.14z <= 262.57
3.14x + -7.28y + 6.39z <= 771.46
-7.77x + -1.81y + -8.93z <= 977.08
-7.6x + 4.39y + 4.75z <= 320.27
-8.05x + -6.96y + 6.14z <= 352.24
0.93x + -2.84y + 9.96z <= 685.53
1.08x + 6.31y + -9.93z <= 888.6
-2.89x + 8.55y + -7.17z <= 676.65
8.45x + -1.47y + -2.47z <= 766.95
6.62x + 1.34y + -3.67z <= 941.95
-4.66x + -7.99y + -2.9z <= 691.96
-4.18x + 2.72y + 4.78z <= 873.42
1.76x + 5.15y + 0.3z <= 654.69
-2.27x + 8.36y + -6.79z <= 396.0
8.78x + -2.43y + -0.53z <= 537.19
-1.77x + -4.13y + 9.53z <= 534.66
-7.91x + 1.96y + -0.73z <= 942.5
-8.45x + -7.25y + -0.14z <= 738.75
9.23x + -7.9y + 7.61z <= 441.48
-8.35x + 1.34y + 0.95z <= 430.25
-7.01x + 0.61y + -7.87z <= 580.16
-9.41x + -2.38y + 9.63z <= 259.68
8.99x + 0.39y + 4.33z <= 664.86
1.7x + -8.79y + -9.61z <= 999.16
3.5x + 7.84y + 6.23z <= 601.58
-7.4x + -9.06y + -0.09z <= 701.77
4.44x + -9.53y + 7.44z <= 960.77
5.77x + 2.08y + 8.59z <= 291.69
0.86x + -0.23y + -1.41z <= 269.81
7.24x + 1.82y + -4.38z <= 850.52
3.76x + -3.93y + -8.42z <= 773.38
-2.49x + -5.16y + 6.38z <= 316.81
4.02x + -9.36y + -0.14z <= 147.56
8.15x + 4.27y + 2.32z <= 453.07
1.01x + -5.66y + 6.61z <= 361.46
-0.84x + -6.26y + -2.99z <= 628.93
7.45x + 3.99y + -4.1z <= 988.83
5.81x + -3.94y + 5.33z <= 452.23
1.67x + -7.59y + 8.7z <= 307.75
5.34x + 1.28y + -6.1z <= 702.19
-1.34x + 5.74y + -8.44z <= 194.39
9.74x + -9.82y + 3.21z <= 333.22
0.59x + 0.96y + -6.31z <= 508.13
-6.46x + 0.16y + 1.85z <= 423.18
8.61x + 8.11y + -0.74z <= 623.19
-0.5x + 0.59y + -0.89z <= 840.24
2.27x + -6.24y + -4.26z <= 175.36
9.54x + 0.52y + 9.21z <= 883.34
-7.01x + 5.83y + -5.6z <= 365.97
-4.19x + 5.72y + 3.76z <= 973.44
-1.18x + 9.45y + 1.63z <= 591.44
-0.72x + 2.02y + -7.63z <= 271.15
-8.22x + -6.68y + -5.62z <= 614.36
-3.78x + -8.62y + 6.73z <= 193.3
8.62x + -4.27y + 9.12z <= 841.08
-4.94x + -1.84y + -0.14z <= 219.16
-6.88x + -1.59y + -2.35z <= 139.19
-3.28x + 0.01y + 1.79z <= 564.84
-2.29x + -3.26y + -7.15z <= 117.85
3.91x + -0.03y + -2.57z <= 104.19
-5.26x + 6.62y + 6.59z <= 853.68
-3.44x + -3.61y + -7.52z <= 350.69
-3.57x + 2.87y + -2.58z <= 988.98
-9.86x + -1.37y + -9.11z <= 689.06
-3.21x + -0.22y + 0.7z <= 810.25
-9.14x + -6.46y + 7.5z <= 481.27
9.09x + 5.97y + -5.49z <= 962.38
-3.45x + 5.91y + 4.44z <= 542.2
-3.59x + 0.68y + -0.49z <= 446.94
7.35x + 7.44y + 7.05z <= 957.07
-9.63x + -6.49y + -3.58z <= 196.68
0.63x + -9.13y + -6.03z <= 969.55
8.82x + 1.54y + 7.76z <= 807.97
-8.08x + -8.76y + -7.33z <= 640.18
4.56x + -0.16y + -9.5z <= 622.1
5.84x + -5.28y + -8.66z <= 843.72
-9.14x + 5.92y + -4.31z <= 396.03
-5.42x + 5.18y + 7.34z <= 572.73
-3.13x + -3.27y + -6.72z <= 480.23
7.01x + 7.03y + 0.79z <= 782.38
1.51x + 0.93y + 6.84z <= 943.62
-9.36x + -1.7y + -1.39z <= 713.48
-1.93x + -0.87y + -0.09z <= 947.64
6.03x + -6.78y + 7.67z <= 157.61
3.07x + -6.77y + 7.88z <= 239.27
3.17x + 6.05y + -2.61z <= 427.41
-5.18x + 7.08y + -7.14z <= 429.01
-2.76x + -0.58y + 4.82z <= 607.06
9.1x + -4.0y + 9.0z <= 874.93
-7.01x + 1.22y + -2.52z <= 165.13
0.57x + 2.02y + 6.02z <= 132.77
4.15x + -8.56y + -0.54z <= 213.38
2.42x + 5.47y + -5.44z <= 910.65
1.43x + 3.78y + 10.0z <= 745.57
-0.01x + 8.2y + 9.57z <= 459.23
3.59x + 4.76y + -9.46z <= 741.72
1.69x + 6.2y + -4.03z <= 642.56
7.25x + -5.89y + 4.71z <= 604.61
-4.4x + 4.42y + 1.01z <= 905.73
-2.79x + 2.59y + -5.45z <= 180.98
-5.49x + 9.91y + 5.83z <= 681.29
2.41x + 3.03y + -5.07z <= 237.99
7.61x + -9.75y + 7.74z <= 527.32
-8.27x + 4.93y + 10.0z <= 452.91
0.34x + -2.42y + 1.37z <= 971.71
1.11x + 8.22y + -2.86z <= 948.37
1.33x + 4.29y + -3.8z <= 222.01
1.19x + 7.06y + -1.77z <= 395.05
-5.99x + 2.93y + -0.12z <= 557.97
5.67x + -3.1y + 0.33z <= 615.95
3.4x + 5.25y + 8.69z <= 618.34
-2.27x + 6.43y + -1.56z <= 729.93
4.38x + -8.33y + -9.87z <= 950.56
-8.3x + 5.11y + -7.17z <= 568.28
9.18x + -3.92y + 1.96z <= 551.22
-3.44x + 3.83y + -4.2z <= 259.36
-4.02x + -9.31y + 0.39z <= 356.38
-5.98x + 9.48y + -8.28z <= 367.05
8.31x + 0.5y + 7.86z <= 948.31
