max -7.21x + 3.78y + -1.01z
3.15x + 3.35y + -6.52z <= 340.74
9.33x + -0.47y + 1.26z <= 253.92
6.19x + 1.86y + 2.8z <= 638.78
-4.9x + 4.18y + -3.06z <= 961.48
-9.6x + -9.95y + 6.88z <= 266.54
-4.35x + 6.88y + 2.07z <= 102.87
-5.19x + 6.1y + -0.53z <= 158.41
-5.53x + 0.96y + -0.2z <= 506.71
6.32x + 0.9y + -6.08z <= 323.38
-3.77x + 9.86y + 7.24z <= 529.78
0.58x + -0.39y + 2.55z <= 303.67
3.18x + 1.22y + 7.73z <= 862.32
-3.81x + 0.76y + 2.09z <= 907.73
2.24x + 7.25y + 0.17z <= 752.43
-5.76x + -3.4y + -4.0z <= 837.13
-1.31x + 2.43y + 8.39z <= 915.92
-3.25x + 4.12y + 7.64z <= 812.79
2.66x + 8.68y + -6.43z <= 213.1
-5.94x + -2.6y + 4.73z <= 873.53
0.04x + 4.1y + 9.35z <= 143.13
7.89x + -3.96y + 4.95z <= 527.79
4.87x + 3.04y + 6.16z <= 494.3
-5.78x + -2.81y + -1.49z <= 285.79
6.88x + 3.09y + 8.11z <= 337.0
9.68x + -4.19y + 1.24z <= 331.94
-7.91x + -9.23y + -9.01z <= 665.4
-2.84x + 9.6y + -5.35z <= 939.67
-9.42x + -1.92y + -6.35z <= 765.16
-9.97x + -1.38y + -1.59z <= 433.66
7.88x + -7.17y + 8.21z <= 600.49
8.81x + -3.13y + -3.23z <= 937.86
-2.82x + 8.31y + -8.05z <= 184.2
-8.67x + -8.34y + -3.64z <= 727.35
0.68x + -9.12y + -0.98z <= 766.03
0.23x + 4.13y + -1.36z <= 337.87
-5.37x + -7.69y + -4.26z <= 600.04
1.89x + -4.62y + 5.92z <= 208.8
8.93x + 4.88y + 9.9z <= 914.53
-0.53x + 8.33y + 7.61z <= 312.15
1.42x + 3.42y + 7.33z <= 848.24
-9.28x + -8.74y + 6.16z <= 304.98
8.81x + 2.09y + -7.76z <= 380.89
-6.16x + 7.71y + 0.78z <= 744.36
9.68x + -4.52y + 2.04z <= 769.04
7.48x + 1.92y + 1.8z <= 154.63
1.74x + 1.8y + -3.94z <= 934.44
-9.88x + 6.21y + -1.62z <= 127.82
5.64x + -9.64y + -5.9z <= 543.64
2.12x + -9.15y + -4.44z <= 593.67
0.8x + -0.28y + 1.96z <= 546.94
-7.22x + 5.3y + -1.45z <= 530.14
-1.91x + -1.75y + 1.39z <= 508.81
-7.62x + -6.91y + 0.85z <= 839.41
-3.7x + -7.24y + -6.81z <= 123.05
-2.12x + -7.02y + -2.01z <= 223.79
1.21x + 8.61y + -7.03z <= 733.24
6.02x + 9.97y + -4.33z <= 349.4
-1.71x + -1.09y + 7.79z <= 797.28
-1.83x + -5.76y + -2.12z <= 757.99
0.09x + 4.44y + -8.4z <= 589.73
-4.84x + 0.75y + -3.37z <= 850.88
7.35x + 9.16y + -9.71z <= 492.36
-0.13x + 9.98y + -1.7z <= 222.8
-9.81x + -4.96y + -0.8z <= 735.65
-4.18x + -3.49y + -7.52z <= 991.35
-3.41x + 8.43y + 2.44z <= 232.17
2.65x + 5.98y + 5.25z <= 535.3
0.01x + 9.65y + -0.35z <= 379.33
-7.49x + -8.37y + -6.91z <= 515.15
-0.9x + 9.56y + 8.64z <= 977.26
3.6x + 9.77y + 2.21z <= 192.78
1.8x + 8.44y + 6.17z <= 573.77
10.0x + 0.82y + -7.38z <= 238.87
0.07x + -7.28y + -7.29z <= 334.6
6.49x + 0.19y + -4.75z <= 113.16
7.07x + 5.33y + 0.23z <= 775.94
-8.5x + 0.98y + 2.29z <= 485.97
-1.69x + 0.09y + -3.47z <= 518.74
8.48x + 8.3y + 6.99z <= 735.08
-3.46x + -8.44y + 2.12z <= 767.92
8.81x + 3.1y + -1.45z <= 960.04
-7.63x + 5.78y + 5.18z <= 401.97
9.92x + 7.24y + 1.03z <= 973.97
-6.76x + 3.12y + -2.32z <= 541.73
8.37x + 6.02y + 6.34z <= 635.01
7.29x + 4.47y + 7.33z <= 293.69
-1.77x + -9.31y + 7.92z <= 323.4
9.92x + -9.18y + 1.98z <= 383.98
1.51x + 1.82y + -6.59z <= 399.2
4.58x + 6.48y + -8.18z <= 222.79
-2.17x + -1.21y + 7.7z <= 982.69
-1.67x + 5.17y + -1.11z <= 925.32
6.36x + -6.4y + -3.67z <= 132.17
-5.7x + -2.12y + -2.3z <= 215.17
-0.31x + 1.66y + -9.25z <= 129.8
3.39x + 2.78y + -3.39z <= 256.62
-9.73x + -6.69y + -1.28z <= 747.39
-3.23x + 6.9y + -0.42z <= 417.82
7.45x + 4.08y + 7.62z <= 289.08
-9.86x + -8.26y + -0.2z <= 492.04
-3.24x + 9.2y + -2.79z <= 888.45
9.81x + 8.09y + 4.65z <= 241.79
-2.4x + 4.72y + 5.66z <= 190.5
-3.39x + -1.76y + -5.52z <= 296.15
-7.4x + 9.76y + -2.52z <= 144.8
-5.45x + -1.91y + -7.06z <= 750.89
-2.11x + 0.48y + 7.08z <= 243.0
2.1x + 5.41y + 1.6z <= 365.12
7.56x + -8.56y + 8.31z <= 379.83
-4.3x + 7.06y + 4.2z <= 620.17
-3.85x + -7.48y + 8.12z <= 966.53
-4.7x + -0.09y + -6.59z <= 604.45
9.72x + 6.86y + 1.67z <= 574.7
-7.29x + -1.26y + -4.67z <= 189.02
7.41x + -3.91y + 0.19z <= 527.79
8.76x + 4.64y + -3.83z <= 249.57
4.57x + 0.83y + 1.92z <= 942.54
3.47x + 5.46y + -8.22z <= 665.88
-1.32x + -4.72y + -2.82z <= 297.92
-1.48x + 1.19y + -2.04z <= 925.16
8.73x + -4.82y + -1.28z <= 750.6
-4.66x + -6.11y + 2.78z <= 695.23
-5.03x + 1.18y + -9.58z <= 588.57
-2.89x + 4.78y + 4.54z <= 152.26
0.27x + 4.64y + 9.3z <= 139.09
-9.05x + 4.66y + 8.95z <= 861.9
-7.39x + 6.91y + 1.92z <= 319.4
-3.82x + 8.28y + -0.93z <= 821.69
4.67x + 7.28y + 6.71z <= 788.44
3.28x + 4.77y + 1.75z <= 265.11
-5.91x + -4.25y + 8.87z <= 552.23
-3.32x + -1.67y + -7.03z <= 493.38
8.22x + -2.29y + -1.44z <= 875.19
3.16x + 8.21y + 2.69z <= 896.7
-3.75x + -9.68y + -6.29z <= 829.27
-7.03x + -3.06y + 8.79z <= 283.77
8.04x + -3.89y + -0.46z <= 166.74
-4.04x + -7.39y + -5.63z <= 944.76
6.79x + -0.68y + -1.49z <= 447.48
0.38x + 1.41y + -9.44z <= 350.52
-7.19x + -0.94y + -9.5z <= 909.0
3.6x + -2.51y + -2.68z <= 458.51
5.34x + 1.54y + 3.62z <= 990.29
-2.12x + 3.11y + -8.96z <= 936.78
-1.31x + -6.33y + -5.89z <= 978.14
3.53x + 9.24y + -7.01z <= 556.8
-1.31x + 6.93y + -5.8z <= 157.04
2.59x + 9.96y + 9.66z <= 367.76
-9.89x + 5.12y + -8.27z <= 114.82
-5.89x + -6.26y + 8.71z <= 385.56
-4.7x + -3.67y + 8.45z <= 971.14
-0.06x + -2.96y + -0.34z <= 347.26
7.23x + -6.57y + 2.71z <= 381.24
-2.17x + 3.68y + 7.87z <= 486.97
7.23x + 4.64y + 1.54z <= 188.71
2.45x + -5.37y + -9.58z <= 962.13
7.34x + -6.45y + -3.6z <= 234.15
7.58x + -3.22y + -6.8z <= 919.28
-3.43x + -3.21y + -9.57z <= 481.14
7.11x + -8.36y + 8.58z <= 946.34
-9.45x + 5.13y + -6.73z <= 948.18
-3.54x + -1.88y + -8.73z <= 804.5
1.22x + 5.67y + -2.37z <= 139.78
4.33x + -8.85y + 7.31z <= 115.13
-2.5x + -1.81y + -5.06z <= 495.18
-2.99x + 3.87y + -1.32z <= 684.64
-1.88x + -7.74y + 9.12z <= 443.27
9.56x + 0.6y + 8.21z <= 728.78
6.25x + 4.07y + 2.77z <= 573.38
6.28x + -9.46y + 5.26z <= 421.18
3.99x + 0.67y + 9.73z <= 993.56
8.9x + -8.76y + -8.13z <= 545.04
9.4x + 0.3y + 7.13z <= 189.66
-7.0x + -5.48y + -1.0z <= 991.83
-1.08x + -5.48y + -3.87z <= 359.74
5.27x + 3.86y + -1.74z <= 300.58
6.17x + -2.75y + 9.63z <= 337.08
-2.15x + -2.43y + -4.95z <= 201.3
-9.85x + 4.78y + 9.2z <= 461.46
2.42x + 5.5y + 3.56z <= 263.53
-3.53x + -0.55y + -8.65z <= 294.43
0.44x + -2.32y + -7.61z <= 561.78
-3.34x + -8.09y + -8.15z <= 902.67
6.21x + 9.91y + 5.01z <= 598.08
2.04x + 4.11y + -2.84z <= 798.88
-3.5x + 0.62y + 9.5z <= 702.57
4.4x + -3.2y + 8.05z <= 163.78
-2.22x + -9.77y + -7.99z <= 780.53
3.53x + 3.2y + 9.21z <= 545.46
0.99x + 6.13y + 5.41z <= 751.08
9.5x + 3.58y + 3.41z <= 866.16
8.19x + 0.55y + 0.49z <= 255.7
9.92x + -3.25y + 7.4z <= 192.62
-7.8x + -0.07y + 6.07z <= 114.36
3.54x + -0.37y + -3.71z <= 953.45
1.74x + -0.21y + 4.72z <= 122.45
3.96x + -0.32y + 4.17z <= 764.94
6.1x + -7.79y + -1.14z <= 964.08
3.9x + 4.54y + 3.89z <= 334.36
4.15x + 1.29y + 4.82z <= 100.66
5.91x + 5.62y + 9.74z <= 296.67
-4.93x + -6.79y + 4.15z <= 931.04
-4.75x + 6.54y + 2.5z <= 970.93
8.52x + 3.46y + 2.29z <= 347.1
-7.03x + -7.65y + 6.97z <= 308.28
6.61x + 9.12y + -4.84z <= 132.44
8.57x + 5.05y + -5.79z <= 448.12
-4.2x + 7.03y + 9.17z <= 810.73
9.1x + 2.6y + 8.42z <= 179.32
-1.76x + 6.31y + 0.38z <= 227.73
-3.06x + -8.28y + -8.74z <= 671.97
-8.95x + -5.56y + 5.19z <= 149.86
0.46x + 6.14y + 1.5z <= 650.53
-1.5x + 3.59y + 1.01z <= 785.19
3.39x + 3.29y + -7.7z <= 300.42
-1.72x + 4.74y + -4.23z <= 277.64
-2.79x + -8.08y + -5.65z <= 860.09
4.0x + -0.66y + -4.64z <= 773.57
3.19x + 1.41y + -2.48z <= 131.03
-3.29x + 5.14y + 2.11z <= 768.94
-5.69x + 4.92y + 1.78z <= 211.12
-3.55x + 7.72y + 2.25z <= 241.3
-3.57x + 8.03y + 6.9z <= 120.94
8.09x + -1.56y + -1.14z <= 802.27
5.89x + 6.67y + 4.35z <= 644.93
5.73x + -7.41y + 5.65z <= 724.38
-7.28x + 7.9y + -0.89z <= 589.32
-6.01x + 6.79y + 7.51z <= 722.81
-2.31x + 6.79y + 0.16z <= 955.55
9.13x + 6.46y + 6.03z <= 508.78
-2.54x + 7.62y + -7.75z <= 632.66
-6.68x + 8.58y + 9.01z <= 322.11
-0.58x + -7.67y + 0.16z <= 292.93
3.47x + 9.82y + -8.74z <= 916.56
0.08x + -7.55y + 5.74z <= 176.3
-8.31x + 8.32y + -7.6z <= 767.53
8.81x + 9.32y + -0.48z <= 985.14
0.2x + 1.34y + 8.04z <= 943.35
-3.36x + 4.89y + -0.41z <= 775.1
-2.56x + -2.11y + 0.1z <= 612.65
-2.51x + 1.49y + 0.64z <= 888.95
4.0x + -2.9y + -3.37z <= 472.86
-8.08x + 9.04y + -5.08z <= 826.26
6.39x + -2.43y + -6.9z <= 421.77
-1.52x + 3.14y + 4.51z <= 643.43
7.27x + -2.91y + -2.97z <= 178.07
-7.92x + 3.08y + 5.95z <= 915.39
-7.36x + -7.07y + -7.07z <= 497.5
-6.64x + 7.96y + -1.28z <= 625.31
2.79x + -8.2y + 2.76z <= 706.3
4.02x + 7.19y + 2.86z <= 962.3
-0.44x + -1.84y + -7.43z <= 273.3
-5.82x + 8.84y + 4.62z <= 383.51
-5.6x + -6.06y + 9.57z <= 433.7
-0.83x + -3.59y + -4.89z <= 223.08
-3.54x + 0.82y + -1.88z <= 980.05
1.93x + -9.07y + 0.07z <= 640.68
6.22x + 0.61y + 4.19z <= 112.14
5.09x + 8.42y + 9.61z <= 492.22
3.92x + -6.69y + -6.7z <= 533.37
-7.88x + 0.09y + -7.93z <= 572.4
-4.8x + 1.76y + 8.02z <= 467.24
-1.15x + 4.92y + 1.52z <= 527.17
5.06x + 1.42y + -2.5z <= 899.43
-5.87x + 1.24y + 7.08z <= 200.36
-0.9x + -8.45y + 1.1z <= 693.14
-8.24x + -4.37y + 2.32z <= 122.22
-0.53x + 5.96y + 3.58z <= 150.41
4.83x + -6.87y + 1.95z <= 477.58
7.61x + -1.15y + -0.12z <= 281.57
-5.94x + -6.3y + 2.89z <= 919.24
7.96x + -5.63y + -3.42z <= 921.63
-5.96x + -0.79y + 2.81z <= 778.75
-3.4x + 6.33y + 7.18z <= 173.73
-3.94x + 9.3y + 3.23z <= 218.55
-2.9x + -8.18y + 5.34z <= 682.42
1.28x + 8.25y + -6.85z <= 752.66
0.24x + 3.4y + -3.87z <= 843.12
0.82x + 5.71y + 9.5z <= 907.46
-7.82x + 3.06y + 1.53z <= 228.79
6.99x + 5.91y + 5.05z <= 802.58
-1.46x + 4.44y + 0.08z <= 278.49
4.62x + -5.56y + 7.5z <= 926.03
8.72x + -6.14y + 8.66z <= 458.76
-2.37x + 0.36y + -8.32z <= 281.12
7.98x + -6.27y + -5.75z <= 228.95
-1.2x + -4.0y + 9.37z <= 300.98
1.63x + -2.43y + 9.86z <= 454.27
-0.69x + 4.41y + -1.91z <= 823.6
-7.02x + -3.61y + -8.02z <= 187.51
-3.87x + 1.46y + -4.95z <= 364.41
4.48x + -5.93y + -7.47z <= 231.51
-2.33x + -2.03y + -1.23z <= 447.35
6.85x + -4.25y + 8.57z <= 863.47
7.67x + 0.18y + 5.81z <= 539.12
8.63x + -3.74y + -4.65z <= 962.2
7.45x + -8.22y + -7.12z <= 455.56
-5.35x + -6.86y + -7.43z <= 627.57
-1.1x + 8.72y + 7.06z <= 116.17
-5.53x + -7.17y + -6.51z <= 740.29
-4.08x + -7.61y + -8.1z <= 443.81
4.53x + 1.04y + 6.62z <= 481.84
-5.59x + 8.38y + -2.59z <= 271.68
-6.25x + 0.94y + 2.84z <= 313.01
4.4x + 8.59y + -2.45z <= 584.24
3.53x + -0.43y + 5.32z <= 391.74
4.99x + 6.13y + 1.71z <= 517.58
-5.34x + -8.61y + 1.32z <= 829.35
9.96x + -4.28y + -0.43z <= 917.94
1.18x + 1.14y + -5.89z <= 140.18
-2.35x + -2.98y + 5.85z <= 204.33
7.32x + -5.42y + 7.54z <= 635.48
7.33x + 7.32y + -0.78z <= 645.46
8.22x + 7.14y + -7.82z <= 926.02
-3.6x + 9.43y + 9.35z <= 642.58
6.61x + 6.22y + 0.06z <= 273.43
0.08x + 0.69y + 1.31z <= 953.79
-9.87x + -6.2y + 4.8z <= 359.63
-0.84x + -5.25y + -6.94z <= 833.52
-7.36x + 6.7y + -0.23z <= 161.8
5.93x + -7.95y + -2.98z <= 152.02
0.28x + 2.65y + 4.14z <= 395.48
9.51x + 0.25y + 9.11z <= 660.47
8.0x + -2.05y + -0.77z <= 996.09
0.72x + -7.62y + 7.81z <= 192.44
-4.01x + 3.79y + 7.57z <= 364.59
-1.41x + -1.11y + 4.21z <= 999.95
-5.65x + 8.48y + -1.63z <= 601.82
-3.46x + 5.35y + 1.34z <= 621.4
-2.49x + 1.8y + 1.57z <= 245.3
2.26x + -5.48y + 2.15z <= 221.0
0.94x + -6.19y + -0.22z <= 300.54
-9.42x + 1.47y + -7.41z <= 536.84
1.56x + 1.89y + 6.94z <= 194.09
8.64x + 3.56y + 5.66z <= 203.41
7.14x + 1.18y + 7.36z <= 392.1
-3.48x + 4.45y + 9.56z <= 106.3
8.45x + -6.69y + -6.99z <= 872.2
-5.77x + -2.77y + -3.85z <= 704.62
-1.2x + -9.96y + 5.08z <= 866.21
-8.18x + 2.93y + 1.6z <= 338.6
-9.23x + 0.58y + -9.31z <= 418.33
3.57x + -9.44y + 7.54z <= 635.49
4.0x + 8.18y + -8.0z <= 514.64
5.85x + -8.91y + -7.9z <= 776.45
-4.66x + -2.24y + 3.2z <= 216.54
-8.66x + 0.92y + 4.02z <= 236.42
-1.55x + -5.38y + 9.27z <= 943.16
-2.17x + -3.05y + 5.31z <= 769.59
-6.11x + 2.85y + -5.16z <= 216.03
-0.87x + -2.27y + -9.06z <= 305.6
-1.23x + 1.09y + -4.89z <= 393.07
9.96x + -2.46y + -9.06z <= 723.18
5.99x + -6.79y + 5.83z <= 601.24
2.55x + -6.7y + 2.34z <= 616.03
8.69x + 0.84y + -7.29z <= 123.38
7.91x + 5.04y + -9.01z <= 175.15
-4.63x + 4.31y + -3.72z <= 360.4
0.58x + -2.08y + -4.15z <= 855.7
0.86x + -2.66y + -6.93z <= 645.3
1.1x + -9.29y + 3.58z <= 840.87
-8.21x + -1.5y + 3.5z <= 532.33
-7.86x + -3.21y + -2.47z <= 442.9
9.08x + -6.79y + 7.04z <= 341.17
5.35x + -8.76y + -2.27z <= 874.18
5.19x + -9.2y + -0.47z <= 450.9
5.72x + 3.44y + 5.47z <= 108.87
4.11x + 5.9y + -2.33z <= 988.63
-6.59x + 1.01y + -2.0z <= 141.29
5.63x + -9.29y + 2.77z <= 595.68
-4.88x + 1.43y + 4.14z <= 376.93
-4.13x + 0.83y + 7.85z <= 833.5
-6.48x + -4.01y + -9.55z <= 207.93
-4.84x + -5.66y + 3.92z <= 175.34
6.57x + 9.67y + 9.25z <= 214.39
-2.58x + -9.4y + -5.87z <= 517.2
-6.5x + 7.12y + 8.59z <= 397.09
-9.03x + 4.99y + 2.3z <= 301.51
6.1x + -1.78y + -4.05z <= 380.11
-2.36x + -0.79y + 2.57z <= 476.02
5.48x + -1.7y + -5.07z <= 575.39
-0.22x + 2.84y + 9.23z <= 222.59
-1.83x + -9.09y + 0.19z <= 445.03
-5.97x + 2.37y + -2.8z <= 196.82
2.21x + 9.44y + 3.72z <= 993.99
-8.26x + -5.24y + -2.03z <= 933.58
-0.43x + -6.72y + -1.38z <= 392.24
6.41x + 7.75y + -6.24z <= 104.74
-0.27x + -5.91y + 4.0z <= 695.11
-8.42x + -3.7y + -8.28z <= 922.76
-4.37x + -4.74y + -4.5z <= 241.73
3.19x + -2.5y + 5.4z <= 764.96
0.5x + -9.44y + 6.79z <= 426.07
5.57x + -7.54y + 2.73z <= 551.89
2.52x + 2.3y + 7.31z <= 187.95
7.89x + -2.19y + -7.68z <= 485.13
8.72x + 8.62y + -7.29z <= 891.92
0.09x + -7.82y + 6.48z <= 104.69
2.59x + 3.62y + -9.82z <= 617.99
-0.45x + -6.47y + 9.85z <= 795.93
1.93x + 1.86y + 8.49z <= 326.01
1.17x + 3.83y + 6.1z <= 335.25
-9.87x + 1.26y + -1.13z <= 499.86
1.86x + -1.86y + -1.72z <= 516.38
9.5x + -1.01y + 7.87z <= 728.13
3.31x + -4.23y + 2.49z <= 267.12
-8.07x + -0.26y + -6.75z <= 309.78
-1.48x + 7.48y + -2.23z <= 159.08
4.06x + -0.33y + 4.59z <= 125.75
-2.13x + 5.85y + -7.96z <= 774.18
-1.31x + -3.0y + 3.5z <= 148.18
-3.84x + 8.43y + -3.89z <= 150.84
-6.06x + -7.29y + -1.07z <= 927.87
-0.33x + -8.45y + -1.1z <= 885.59
3.9x + 8.94y + -0.77z <= 435.94
-5.94x + 2.21y + -1.0z <= 898.26
5.51x + -0.12y + -2.67z <= 243.91
5.81x + 0.91y + -6.87z <= 252.09
5.56x + 5.61y + -0.04z <= 254.32
-9.6x + -2.82y + -6.9z <= 198.04
-9.85x + 1.1y + 5.01z <= 855.57
8.48x + 6.27y + -2.64z <= 668.27
-2.86x + 8.42y + -0.85z <= 898.48
1.53x + 6.81y + 5.06z <= 372.8
-9.16x + 1.8y + -1.76z <= 259.1
5.0x + 5.55y + -6.83z <= 592.52
3.18x + 3.52y + -9.78z <= 455.75
4.52x + -7.79y + 0.99z <= 736.32
3.89x + 2.42y + 3.03z <= 182.21
0.43x + 4.55y + 4.81z <= 111.4
-0.02x + -2.9y + -6.15z <= 415.1
-6.76x + 7.18y + -7.77z <= 977.63
-0.58x + 2.8y + -8.04z <= 144.41
5.81x + -4.6y + -2.25z <= 617.19
3.85x + -1.73y + 3.72z <= 185.88
8.01x + -5.18y + 1.86z <= 274.76
5.16x + 2.8y + 2.12z <= 524.39
1.52x + -4.46y + 4.64z <= 942.55
-3.8x + -8.16y + -3.82z <= 417.21
3.12x + -3.93y + -3.13z <= 782.67
6.31x + 9.77y + -0.34z <= 318.46
-0.97x + 8.91y + -2.69z <= 525.04
1.04x + -7.21y + 5.26z <= 209.97
-6.21x + -4.87y + -2.37z <= 895.65
5.98x + 3.43y + -8.98z <= 890.86
2.43x + 7.07y + -1.47z <= 584.84
-0.55x + -6.82y + -7.94z <= 162.46
-8.57x + -1.2y + -0.37z <= 197.29
4.72x + -0.59y + 2.6z <= 195.97
-1.41x + 6.15y + 7.76z <= 539.94
2.25x + -1.01y + -1.49z <= 828.49
-3.9x + -8.93y + -8.07z <= 601.81
0.15x + -2.16y + 6.81z <= 746.32
-4.23x + -8.47y + -0.91z <= 701.25
7.86x + 0.25y + -8.54z <= 181.54
-4.27x + 0.99y + 7.21z <= 700.61
2.5x + -5.38y + -1.94z <= 210.82
5.66x + -9.68y + 3.76z <= 244.33
-4.65x + -4.21y + 1.24z <= 794.61
-3.79x + 7.7y + -3.95z <= 568.59
0.49x + -4.11y + 7.24z <= 131.2
-3.46x + 5.82y + 2.07z <= 160.51
-1.82x + 4.83y + 3.18z <= 257.15
3.47x + -6.27y + 7.28z <= 532.25
1.48x + -4.94y + -0.21z <= 772.93
-0.11x + 1.49y + 2.54z <= 990.66
2.54x + -1.17y + 6.23z <= 321.79
6.37x + -7.74y + -3.75z <= 493.01
3.22x + 6.02y + 1.57z <= 767.28
-6.58x + 0.93y + -9.74z <= 625.79
-4.53x + -5.74y + -4.77z <= 118.76
6.04x + 7.28y + 6.23z <= 454.22
-5.1x + 5.59y + -2.36z <= 746.43
6.87x + 8.12y + 3.92z <= 186.56
7.61x + 7.08y + 2.22z <= 411.21
-2.01x + 1.02y + 4.08z <= 555.11
-6.58x + -8.98y + 7.56z <= 202.29
-3.98x + 2.04y + 6.17z <= 621.03
4.76x + 7.85y + 8.58z <= 518.98
-4.45x + -6.53y + 3.68z <= 110.72
-1.13x + -2.92y + -4.43z <= 831.14
-9.73x + 6.26y + 2.96z <= 929.38
-1.75x + 9.91y + 1.96z <= 200.91
-4.68x + -4.35y + -7.27z <= 350.46
1.92x + -3.79y + -6.57z <= 207.27
-5.91x + -8.02y + -2.49z <= 385.64
-2.12x + 5.18y + -1.91z <= 809.54
-7.84x + -3.95y + 6.93z <= 922.9
-9.06x + 5.26y + 9.78z <= 552.85
5.84x + 5.45y + 2.97z <= 267.42
-8.58x + -8.71y + 4.19z <= 811.7
0.96x + 8.92y + -9.54z <= 114.63
6.4x + -7.07y + -8.5z <= 783.08
-2.92x + -3.27y + -6.29z <= 248.75
1.36x + 0.77y + -5.29z <= 604.19
3.79x + 7.45y + 4.88z <= 556.84
6.31x + -3.65y + 7.91z <= 668.08
-8.71x + -9.32y + -6.03z <= 994.54
7.93x + -0.21y + -1.64z <= 962.98
-7.73x + 3.25y + -5.75z <= 649.96
-5.74x + 2.98y + -1.19z <= 228.69
9.01x + 3.82y + -5.3z <= 370.61
9.44x + 6.55y + -9.29z <= 788.89
-4.44x + 7.57y + -3.92z <= 763.5
-1.62x + 9.02y + -9.51z <= 108.1
0.18x + 3.49y + 2.3z <= 236.69
0.15x + -2.97y + -8.03z <= 709.66
6.7x + -9.98y + -6.73z <= 854.19
1.2x + -1.22y + 0.37z <= 220.85
-8.05x + 5.52y + 6.02z <= 551.6
-6.34x + -2.3y + -5.55z <= 165.2
9.05x + -1.61y + 6.0z <= 960.58
-6.48x + -2.21y + 2.4z <= 341.67
8.01x + -7.36y + -6.51z <= 383.56
-2.18x + -3.28y + -9.95z <= 271.4
5.11x + 4.77y + -6.36z <= 327.78
5.35x + 9.25y + 8.35z <= 448.28
-5.77x + -1.84y + -4.06z <= 905.09
-5.41x + -9.98y + 6.43z <= 602.55
4.35x + 6.44y + -2.44z <= 246.55
2.0x + -4.98y + 7.14z <= 345.69
-4.17x + -3.35y + 5.05z <= 965.64
5.57x + 4.96y + -9.47z <= 624.39
6.55x + -8.88y + 0.66z <= 806.1
0.38x + -5.16y + -9.75z <= 559.84
-9.41x + 8.72y + 4.85z <= 304.74
9.85x + 1.97y + -9.41z <= 669.75
-2.34x + 8.7y + -8.05z <= 431.93
8.47x + -2.51y + 9.52z <= 248.98
-9.13x + 9.81y + -8.84z <= 198.72
3.6x + -5.69y + -9.51z <= 695.5
-6.97x + 3.3y + 8.75z <= 353.35
-0.81x + 0.28y + -5.16z <= 786.63
-8.73x + -1.7y + 3.51z <= 177.91
4.51x + 1.36y + -7.41z <= 220.21
6.2x + -3.96y + 2.44z <= 249.61
-1.43x + -8.91y + -8.69z <= 906.09
-3.8x + 9.9y + -0.39z <= 482.7
-7.55x + -9.06y + 0.84z <= 902.4
-5.09x + 8.9y + -3.75z <= 831.16
-6.43x + 2.51y + -8.93z <= 422.36
3.05x + 9.21y + -2.5z <= 560.1
-9.52x + -2.39y + -8.22z <= 941.84
-5.18x + 5.46y + -7.92z <= 316.8
-4.28x + -4.22y + 9.66z <= 683.66
2.83x + -6.43y + -1.53z <= 692.91
7.42x + -6.16y + 6.05z <= 982.96
9.65x + 8.2y + 3.48z <= 629.55
6.39x + 1.85y + -2.81z <= 613.68
-5.92x + 0.29y + -0.13z <= 276.56
2.24x + 6.17y + 0.36z <= 577.53
2.28x + 6.12y + 2.87z <= 669.06
3.34x + -3.01y + -5.03z <= 437.17
1.75x + -3.28y + 3.39z <= 922.8
-3.31x + 9.66y + -9.56z <= 758.87
1.22x + 8.03y + -4.98z <= 358.11
9.49x + -1.4y + 0.05z <= 708.97
-5.96x + 6.11y + 6.77z <= 725.65
-6.95x + -6.67y + 6.59z <= 160.08
2.69x + 5.89y + 1.87z <= 556.68
7.84x + 0.28y + 5.91z <= 136.31
-0.1x + 1.43y + -3.76z <= 854.53
-5.94x + -4.32y + 5.25z <= 249.0
-0.48x + -3.02y + 9.41z <= 190.53
4.12x + 5.54y + -7.22z <= 992.41
-3.32x + -8.69y + 8.94z <= 156.96
-2.33x + 9.82y + 3.94z <= 783.11
0.75x + 7.79y + 1.93z <= 293.75
2.92x + -0.91y + -6.29z <= 592.71
8.82x + 8.39y + 1.33z <= 765.74
-0.79x + 1.9y + 1.3z <= 263.31
-9.41x + -0.44y + 1.14z <= 557.43
3.62x + -2.79y + 2.16z <= 628.19
6.39x + 8.18y + 2.78z <= 673.64
-2.83x + 6.54y + -7.95z <= 851.72
0.05x + -5.93y + 7.65z <= 976.69
-4.14x + 0.38y + -1.79z <= 937.05
-7.69x + 1.31y + -8.05z <= 423.32
-1.79x + -2.07y + -6.22z <= 513.52
-9.38x + -7.0y + -1.91z <= 314.68
-3.12x + -9.09y + -6.6z <= 927.81
8.88x + 4.42y + -3.26z <= 816.47
1.46x + 8.42y + -3.43z <= 421.58
-8.32x + -5.64y + 0.04z <= 673.89
-1.33x + 3.94y + -2.69z <= 848.36
-7.55x + -5.92y + 8.54z <= 684.51
-6.07x + 9.65y + -6.92z <= 194.76
-6.21x + -5.5y + -7.68z <= 207.6
-1.74x + -7.78y + -0.75z <= 677.6
-6.48x + -5.45y + 2.67z <= 871.03
-0.8x + -2.22y + -4.07z <= 487.32
6.99x + -1.12y + 8.9z <= 457.58
2.86x + -0.32y + 8.84z <= 226.45
-1.42x + 4.03y + -4.29z <= 171.87
