max -3.89x + 5.62y + 2.47z
-0.94x + 0.74y + -0.81z <= 903.14
0.96x + 1.03y + 6.9z <= 224.25
5.78x + 4.48y + 4.0z <= 427.8
-5.06x + 6.72y + 0.46z <= 195.08
9.64x + -6.38y + -9.52z <= 606.77
6.09x + 9.93y + 8.18z <= 435.38
6.72x + 2.28y + 5.35z <= 300.96
1.16x + 4.27y + -2.46z <= 784.09
-7.57x + -3.06y + 5.05z <= 691.85
1.75x + 3.69y + -7.84z <= 314.35
-3.32x + 0.49y + -5.18z <= 386.33
9.21x + -5.53y + -4.22z <= 991.23
7.03x + -4.84y + 9.47z <= 886.89
8.64x + 8.03y + -2.94z <= 613.17
-4.51x + -6.58y + -4.79z <= 803.35
0.49x + 0.37y + 0.91z <= 262.94
1.23x + -0.21y + 5.32z <= 162.38
3.66x + 5.78y + 1.22z <= 228.77
-9.88x + -6.8y + -4.1z <= 356.9
-0.03x + 4.98y + -1.52z <= 555.59
1.55x + -8.94y + -8.74z <= 123.54
0.81x + 5.98y + -2.59z <= 728.5
0.26x + -2.66y + -3.31z <= 169.19
0.94x + -6.56y + 0.15z <= 439.58
-1.16x + 7.81y + -3.22z <= 346.58
1.93x + 4.5y + 9.0z <= 632.29
1.97x + -1.38y + -3.53z <= 609.78
8.05x + 1.93y + -8.53z <= 139.75
-4.92x + 8.92y + -6.89z <= 283.38
-1.88x + -6.11y + 5.2z <= 155.64
-0.26x + -10.0y + -5.32z <= 278.49
7.3x + 2.96y + 0.55z <= 815.08
-6.63x + -8.57y + 8.92z <= 109.13
0.62x + 5.0y + -3.51z <= 754.12
2.02x + -8.15y + -1.5z <= 278.82
9.33x + -4.1y + -5.93z <= 955.03
4.18x + 5.82y + 9.43z <= 700.76
3.09x + 2.12y + 1.5z <= 347.49
-8.65x + -8.87y + -8.57z <= 262.1
-0.2x + -6.15y + -3.12z <= 188.97
3.79x + -8.57y + -2.9z <= 567.11
-5.75x + 2.6y + 8.95z <= 135.64
1.35x + 4.84y + 7.6z <= 799.02
5.46x + 2.07y + -3.7z <= 265.2
6.69x + 6.32y + 8.5z <= 878.45
6.17x + -4.53y + 8.5z <= 696.94
4.94x + -9.51y + -7.36z <= 451.92
-4.45x + -4.6y + -1.14z <= 114.25
4.69x + -1.4y + 8.74z <= 327.32
-3.0x + -5.23y + 4.78z <= 693.19
0.95x + -7.16y + 8.41z <= 701.02
2.35x + -3.65y + 0.7z <= 990.55
-8.24x + -7.86y + -2.16z <= 204.32
-7.9x + -4.28y + -6.05z <= 575.04
2.43x + -5.59y + 9.22z <= 166.51
7.87x + -6.07y + -6.37z <= 414.76
-7.53x + -0.93y + -3.36z <= 238.61
-9.6x + 2.5y + -9.75z <= 862.78
8.35x + -0.69y + -5.98z <= 716.35
8.0x + 4.39y + -0.59z <= 996.15
1.98x + -3.88y + 7.57z <= 118.4
3.1x + 6.63y + 2.72z <= 452.6
1.99x + 1.59y + -8.27z <= 401.89
-4.57x + 2.42y + -4.36z <= 587.55
5.21x + 1.41y + 6.75z <= 329.05
4.52x + -9.81y + -8.97z <= 626.69
5.52x + 5.99y + 1.01z <= 388.54
7.95x + 1.06y + 7.38z <= 774.92
-0.71x + 0.92y + 9.03z <= 149.51
-0.46x + -4.7y + 6.51z <= 804.54
-3.26x + -2.49y + 1.98z <= 259.9
0.97x + -0.13y + -8.51z <= 890.45
-9.19x + 9.55y + 8.29z <= 592.29
1.46x + -4.4y + 3.84z <= 331.55
-1.25x + -5.52y + -6.8z <= 806.12
9.96x + 2.36y + -3.31z <= 460.63
-5.31x + 7.27y + -5.71z <= 770.23
-9.74x + -2.17y + -1.45z <= 776.94
7.14x + -5.95y + -0.44z <= 672.76
4.7x + 2.02y + -5.56z <= 680.54
-9.72x + 0.9y + 8.76z <= 417.72
-7.69x + -6.24y + -3.48z <= 128.1
-0.06x + 8.65y + -7.52z <= 172.45
-8.28x + 2.96y + -3.67z <= 478.96
-9.8x + -7.15y + -3.22z <= 596.64
9.84x + -2.36y + -8.94z <= 967.8
2.88x + 4.75y + 8.15z <= 884.6
-0.78x + -7.45y + 5.1z <= 521.52
2.4x + -2.82y + -7.34z <= 972.57
0.06x + -5.17y + -4.82z <= 141.05
-4.24x + -2.95y + 6.79z <= 670.17
-5.67x + 8.24y + 0.47z <= 640.0
-4.16x + 5.4y + -0.78z <= 712.67
1.33x + -6.43y + -8.34z <= 956.95
-5.25x + 2.74y + -0.53z <= 678.65
-0.54x + -4.58y + -0.94z <= 308.5
3.21x + -1.29y + -6.41z <= 905.74
7.03x + 5.64y + -0.18z <= 380.9
-3.52x + -3.23y + -9.68z <= 605.98
-2.87x + -5.42y + 6.45z <= 574.93
-2.55x + -4.51y + -8.5z <= 935.66
4.48x + 9.14y + -3.53z <= 593.59
5.94x + -2.31y + 2.6z <= 482.92
8.0x + 8.57y + 3.42z <= 247.44
0.45x + 3.78y + 0.41z <= 217.84
-9.15x + -1.74y + 7.85z <= 693.7
5.42x + -0.54y + 5.03z <= 351.69
7.31x + 6.27y + 9.03z <= 359.64
1.54x + 8.77y + -7.77z <= 873.62
5.36x + 6.74y + 7.42z <= 391.48
7.85x + 2.4y + 7.62z <= 842.8
-5.89x + 2.62y + -5.1z <= 692.72
-9.87x + -7.79y + 10.0z <= 114.56
0.07x + 4.85y + -1.07z <= 627.8
0.89x + 8.81y + -5.84z <= 780.98
-5.73x + -8.14y + 5.68z <= 901.31
7.07x + -6.75y + 2.1z <= 258.78
3.63x + 5.9y + -7.89z <= 435.98
-3.48x + -2.8y + -1.32z <= 855.6
0.56x + 0.91y + 5.18z <= 616.3
-1.5x + -9.02y + -4.61z <= 484.28
-2.93x + 4.28y + 9.19z <= 566.0
7.16x + 9.98y + 8.17z <= 738.41
7.79x + 9.14y + 1.0z <= 493.87
-7.07x + -0.19y + -6.85z <= 626.32
9.55x + -7.72y + 7.83z <= 702.26
-8.77x + 6.42y + 1.52z <= 771.06
0.28x + 2.08y + -9.54z <= 941.54
-2.02x + 2.12y + 2.4z <= 381.39
-3.92x + 7.14y + -2.6z <= 802.98
-9.5x + -9.76y + 6.31z <= 423.18
-9.8x + -5.48y + -8.84z <= 955.63
3.74x + 8.88y + 4.21z <= 395.67
-4.67x + -5.0y + -0.71z <= 676.8
-8.92x + 2.34y + -6.19z <= 642.31
-3.46x + -1.26y + -7.48z <= 497.33
8.28x + -5.76y + 3.48z <= 437.3
-4.21x + -5.72y + 3.15z <= 701.93
5.95x + -3.72y + 2.61z <= 564.17
-6.85x + -2.65y + 4.18z <= 341.9
7.89x + 5.3y + -7.75z <= 324.43
2.35x + -3.62y + 3.22z <= 110.1
5.6x + 6.7y + 3.31z <= 977.34
-0.19x + -5.21y + -3.56z <= 673.95
4.95x + 6.45y + -8.22z <= 355.78
5.38x + 8.09y + 5.14z <= 650.4
7.58x + -7.16y + -0.85z <= 767.66
-0.72x + -1.9y + 2.14z <= 653.89
1.75x + -5.36y + -5.05z <= 672.6
8.63x + 6.91y + -3.46z <= 209.02
7.19x + -3.0y + 9.08z <= 237.24
9.79x + -1.26y + -7.66z <= 998.67
-0.11x + 3.16y + -9.31z <= 717.21
8.16x + 3.92y + -5.02z <= 907.81
-2.91x + -5.9y + -7.11z <= 394.83
-9.65x + -3.81y + 8.36z <= 532.91
4.78x + -1.28y + 3.77z <= 714.0
-1.26x + -2.1y + 2.29z <= 886.6
6.49x + 3.17y + 6.33z <= 515.33
7.55x + -8.28y + 4.38z <= 982.0
9.96x + 9.71y + 7.88z <= 689.62
1.39x + -6.11y + 2.12z <= 453.47
7.97x + -5.47y + 7.85z <= 970.12
9.68x + -2.69y + -1.11z <= 951.97
3.97x + 4.86y + -1.01z <= 229.03
2.7x + -1.38y + 6.54z <= 581.92
6.87x + 2.74y + -7.41z <= 789.61
9.58x + 9.22y + -6.25z <= 696.18
1.02x + -4.24y + -5.61z <= 200.68
-3.66x + -9.51y + 9.03z <= 310.38
9.93x + 6.49y + -7.8z <= 340.09
8.01x + -1.41y + -8.85z <= 455.46
-6.17x + -3.83y + 2.51z <= 277.88
-1.56x + -0.59y + 7.1z <= 175.93
-4.59x + -7.02y + -7.17z <= 907.97
4.75x + -2.12y + -4.17z <= 734.13
3.54x + 1.45y + -3.0z <= 207.18
0.89x + -8.91y + -7.03z <= 899.62
-1.09x + -6.59y + -7.58z <= 702.78
-2.83x + 1.06y + 3.1z <= 887.78
0.68x + -8.79y + -4.22z <= 457.41
0.53x + 0.54y + -9.62z <= 654.37
-8.53x + 4.36y + -1.09z <= 680.11
-8.23x + 3.35y + -2.03z <= 955.2
6.26x + 2.7y + -3.69z <= 826.1
-5.68x + -4.49y + 0.81z <= 474.37
3.93x + 7.64y + 0.45z <= 279.44
6.48x + -2.85y + -9.69z <= 316.54
0.89x + 1.3y + 4.61z <= 150.58
-9.45x + -2.78y + 3.76z <= 512.21
9.96x + 4.79y + 3.47z <= 872.37
-9.36x + 1.45y + 0.52z <= 534.79
-7.86x + 9.35y + 6.4z <= 473.75
3.73x + 7.1y + 3.97z <= 281.26
1.84x + 6.68y + -0.69z <= 145.53
-7.32x + 4.23y + 3.53z <= 444.3
4.02x + 8.08y + -7.08z <= 842.78
-6.42x + 4.84y + 0.03z <= 523.14
2.94x + -1.35y + -8.82z <= 317.33
2.37x + -9.8y + 8.5z <= 658.64
-2.55x + -1.61y + -6.44z <= 269.95
-6.16x + -5.83y + 4.22z <= 696.73
-9.08x + -5.16y + 5.57z <= 860.93
-1.13x + -4.6y + -2.54z <= 347.08
-4.15x + -7.54y + 5.56z <= 982.11
5.65x + 2.2y + 6.08z <= 689.35
3.8x + 0.97y + -5.56z <= 548.12
-1.84x + -7.22y + -2.96z <= 332.72
3.81x + 9.86y + 9.05z <= 495.7
-3.88x + 8.16y + -9.81z <= 475.99
6.89x + 5.6y + 4.49z <= 449.17
2.84x + -1.3y + -4.99z <= 542.63
-1.99x + 4.31y + -5.03z <= 567.49
-6.74x + -4.77y + -5.97z <= 699.92
-0.96x + -1.13y + 3.98z <= 150.87
-4.94x + -0.03y + -3.16z <= 600.24
-6.09x + 7.3y + -7.75z <= 545.46
-5.09x + 0.32y + 7.11z <= 823.94
8.35x + -6.31y + -7.88z <= 162.96
7.86x + -7.77y + -2.63z <= 440.9
-9.66x + -2.19y + 6.92z <= 866.36
6.76x + 2.49y + 0.64z <= 822.25
-8.53x + -4.96y + -8.88z <= 847.96
7.94x + -4.36y + 1.09z <= 231.31
1.68x + -6.92y + 5.17z <= 315.08
-2.52x + 2.62y + -8.91z <= 594.56
5.53x + -8.22y + -4.72z <= 962.88
-6.95x + 0.97y + -2.53z <= 621.46
5.9x + -4.02y + -7.17z <= 930.82
-4.71x + -2.89y + 6.18z <= 262.04
2.26x + -5.29y + 4.12z <= 522.79
5.02x + 5.38y + 4.58z <= 211.59
-5.1x + 9.58y + 1.93z <= 689.24
3.13x + 6.95y + 4.62z <= 887.11
9.56x + 9.89y + -9.83z <= 723.33
1.15x + -5.91y + -6.36z <= 221.27
0.78x + -2.67y + -6.12z <= 806.12
3.57x + 4.13y + -6.09z <= 294.69
-5.98x + 7.22y + -7.19z <= 580.52
-5.82x + -6.89y + -0.46z <= 939.19
3.37x + -6.52y + 4.73z <= 385.15
-1.15x + 0.27y + -7.98z <= 114.07
2.21x + 4.52y + 7.22z <= 872.64
-3.38x + -5.8y + 2.27z <= 139.5
-2.86x + -2.43y + -0.47z <= 717.06
8.44x + 7.23y + 6.82z <= 778.05
-3.63x + 1.78y + 9.28z <= 809.89
9.54x + 0.11y + 7.85z <= 232.35
-0.95x + -8.05y + 8.92z <= 248.04
2.13x + -1.14y + -5.79z <= 958.49
-2.34x + 8.02y + -3.51z <= 959.16
-1.72x + -0.33y + 7.63z <= 908.85
7.9x + 5.37y + -3.92z <= 696.34
-3.95x + 7.5y + -5.66z <= 230.75
-0.84x + 8.57y + -1.93z <= 167.72
8.26x + 3.93y + -3.77z <= 809.23
7.37x + 8.05y + -2.69z <= 539.01
-1.53x + -4.56y + 4.5z <= 994.32
0.23x + -9.55y + 5.28z <= 329.16
5.64x + 7.18y + -7.12z <= 762.92
-8.32x + -3.52y + 3.5z <= 632.75
-2.08x + 2.21y + -1.17z <= 645.19
8.22x + -2.5y + 2.95z <= 155.45
2.45x + 9.98y + 5.57z <= 196.28
4.97x + -4.67y + -0.05z <= 464.55
-9.28x + 1.46y + 3.84z <= 800.99
-1.94x + -3.84y + -3.51z <= 683.77
0.33x + -8.46y + 5.47z <= 879.69
-0.33x + -0.72y + -5.55z <= 412.86
4.06x + -4.54y + -6.37z <= 928.93
-1.61x + 4.48y + -7.49z <= 969.06
2.73x + 2.41y + -5.43z <= 188.29
7.72x + 6.19y + 6.12z <= 719.54
7.71x + 9.71y + -3.49z <= 955.43
-3.95x + -7.68y + -4.4z <= 281.07
-2.6x + -0.5y + -2.2z <= 744.71
3.76x + 2.63y + 3.48z <= 792.78
-5.6x + -0.24y + -3.39z <= 309.48
9.91x + 9.2y + -6.91z <= 728.57
9.68x + -3.83y + -7.49z <= 634.2
-5.27x + 4.58y + 7.18z <= 433.15
-0.17x + 7.07y + 8.71z <= 703.77
-0.77x + 4.59y + -5.55z <= 210.92
2.23x + 5.2y + -5.36z <= 521.34
-9.22x + 4.88y + -4.9z <= 234.44
0.58x + -4.24y + -0.25z <= 976.0
2.03x + -9.85y + 8.63z <= 203.99
2.16x + 9.2y + 1.15z <= 211.45
8.29x + -7.55y + 1.57z <= 819.72
-6.12x + 2.32y + 6.75z <= 138.32
-8.86x + 5.82y + -0.42z <= 731.81
2.51x + -6.25y + -9.98z <= 233.93
-6.01x + 7.58y + 0.01z <= 619.17
-1.01x + -9.87y + -5.61z <= 925.24
5.58x + 0.99y + -0.01z <= 433.08
5.99x + -2.94y + -9.77z <= 850.34
-3.26x + 4.41y + -4.17z <= 560.56
8.09x + -4.85y + -9.34z <= 402.62
-8.47x + 1.94y + 6.97z <= 892.11
6.87x + 9.94y + -7.02z <= 500.39
-1.49x + -5.57y + 6.15z <= 968.22
5.61x + -3.09y + -3.35z <= 231.73
-3.22x + 8.05y + -3.71z <= 168.2
-2.28x + 2.29y + -4.66z <= 376.06
-0.5x + 1.38y + 3.34z <= 734.73
2.38x + 1.32y + 0.32z <= 148.54
7.84x + 4.71y + 6.07z <= 646.5
1.68x + 1.65y + 2.55z <= 350.67
-8.25x + 1.03y + -6.94z <= 834.84
-1.06x + 5.04y + -9.72z <= 215.69
2.14x + -2.59y + -3.23z <= 236.72
-4.3x + -1.9y + -6.13z <= 602.29
9.8x + 9.59y + -9.46z <= 602.61
-9.26x + -2.1y + 5.68z <= 811.04
3.75x + 3.27y + -9.26z <= 405.2
-0.23x + 8.52y + -2.56z <= 157.48
3.35x + -6.55y + -2.68z <= 172.95
8.2x + -1.17y + -8.38z <= 262.2
-5.51x + -3.07y + 2.53z <= 597.92
0.25x + -7.28y + 8.55z <= 361.27
5.48x + 2.54y + -3.1z <= 871.7
5.03x + 3.79y + -0.97z <= 284.29
-4.15x + 0.55y + 3.45z <= 159.97
7.84x + -7.55y + 4.93z <= 417.38
-9.41x + 6.75y + -4.82z <= 863.02
-6.25x + -7.84y + 5.38z <= 322.33
-7.31x + -2.54y + -2.12z <= 517.64
-7.86x + 1.44y + 3.36z <= 551.26
-8.58x + 1.92y + -1.58z <= 153.41
1.25x + -0.74y + 0.99z <= 655.63
-1.62x + 6.98y + -6.84z <= 659.21
-3.77x + 0.65y + -4.86z <= 984.41
9.65x + 7.36y + -2.24z <= 396.77
-4.64x + 6.6y + 5.2z <= 982.55
1.61x + 8.39y + 3.32z <= 238.08
-9.16x + -2.7y + -0.38z <= 746.91
3.0x + -0.99y + -9.85z <= 713.9
5.45x + -1.62y + 4.43z <= 251.47
-4.72x + 2.0y + -7.4z <= 219.82
-3.74x + 2.56y + 8.63z <= 160.32
-9.9x + -7.12y + 6.82z <= 151.43
-5.34x + 3.19y + 1.38z <= 954.86
-3.51x + -9.58y + -0.85z <= 865.72
-8.78x + -2.79y + -4.14z <= 217.95
-7.12x + -8.86y + 2.34z <= 726.11
-4.2x + -5.14y + -5.16z <= 372.29
1.09x + 5.73y + -4.42z <= 811.92
-5.93x + 9.15y + 4.66z <= 608.37
2.18x + -9.02y + -5.75z <= 808.4
-2.05x + 7.38y + 1.02z <= 341.05
6.18x + -3.47y + 1.29z <= 748.01
4.41x + -4.25y + 0.4z <= 391.17
-9.95x + -8.41y + 5.33z <= 741.15
-3.19x + 9.31y + -2.15z <= 724.56
-6.58x + -5.66y + 2.44z <= 290.65
-7.97x + 9.68y + 6.79z <= 923.69
-2.28x + 0.17y + -9.7z <= 348.52
-6.23x + -7.42y + -0.73z <= 604.51
1.8x + 6.01y + -4.39z <= 805.22
4.26x + -0.33y + 9.55z <= 411.67
9.84x + 4.67y + -1.27z <= 146.39
-4.21x + -0.27y + 6.11z <= 900.31
9.82x + 3.51y + -2.72z <= 808.88
4.04x + 3.93y + 6.01z <= 298.33
9.82x + -4.6y + -0.53z <= 579.75
-8.37x + -9.6y + -9.26z <= 578.05
-8.69x + -8.5y + -6.5z <= 717.15
-6.89x + -9.55y + 5.71z <= 459.36
-9.35x + 4.39y + 2.86z <= 240.59
-0.89x + -6.87y + -4.57z <= 540.87
-1.26x + -4.09y + -8.22z <= 677.53
-5.24x + -4.17y + 7.73z <= 390.27
-5.08x + -5.83y + 9.22z <= 537.47
-1.98x + -7.03y + 1.38z <= 305.2
-1.44x + -8.55y + -7.98z <= 654.9
7.58x + 4.9y + 8.98z <= 935.06
1.12x + 6.57y + 6.54z <= 876.64
-2.57x + 2.75y + -2.54z <= 771.37
-4.08x + -1.73y + 8.78z <= 156.23
-0.62x + 9.35y + -6.83z <= 550.53
8.02x + -8.2y + 8.41z <= 325.78
-1.99x + 5.64y + 8.22z <= 102.69
-9.78x + -9.08y + -8.69z <= 459.01
-5.91x + -9.03y + 5.6z <= 564.7
8.38x + 6.31y + 6.61z <= 342.23
-9.41x + 1.12y + 4.47z <= 911.36
0.33x + -0.92y + 2.19z <= 161.3
-4.67x + 4.39y + -0.66z <= 962.69
1.38x + -0.77y + -3.62z <= 935.57
-5.33x + 1.52y + -6.81z <= 203.34
-1.45x + 8.24y + -0.18z <= 349.7
5.47x + -2.96y + 4.4z <= 592.02
-2.49x + 2.87y + 9.48z <= 536.67
-3.63x + -3.5y + 0.69z <= 755.4
-6.13x + 6.07y + -2.05z <= 317.1
-9.54x + 8.07y + 4.38z <= 981.35
5.45x + -7.98y + 5.13z <= 640.86
7.88x + -4.03y + 8.14z <= 574.76
8.86x + 7.71y + -2.06z <= 173.97
-2.53x + -7.1y + 2.66z <= 902.33
-3.86x + 7.15y + 5.11z <= 444.28
4.85x + -4.46y + -5.99z <= 818.74
-3.76x + -0.48y + -6.33z <= 908.15
1.0x + 3.11y + 6.74z <= 751.86
-5.27x + -0.81y + 9.0z <= 862.96
7.26x + 8.71y + 8.33z <= 634.6
-3.01x + -6.33y + 4.07z <= 809.89
-4.45x + 5.51y + 0.32z <= 535.72
5.22x + 3.66y + -7.87z <= 341.8
6.04x + 2.8y + 8.84z <= 259.78
5.49x + -8.43y + 6.05z <= 294.86
-0.78x + 1.18y + 6.77z <= 113.68
7.79x + -5.19y + 2.71z <= 112.13
2.13x + 2.32y + 4.32z <= 731.25
-2.8x + 3.98y + 8.81z <= 689.8
-3.83x + 2.65y + -1.79z <= 379.37
-6.3x + 3.58y + 9.76z <= 840.08
9.62x + 1.82y + -2.36z <= 909.85
5.13x + -1.1y + 5.56z <= 531.2
9.34x + -0.46y + 7.82z <= 838.94
-8.66x + -5.8y + -6.79z <= 550.11
-5.18x + 0.82y + 5.64z <= 580.78
6.79x + -0.02y + 4.71z <= 656.94
3.82x + -5.16y + 9.58z <= 757.52
-3.27x + -6.54y + -7.83z <= 491.41
-4.29x + -7.47y + 4.83z <= 277.45
-1.54x + -2.21y + 6.29z <= 265.03
-9.33x + 5.31y + -6.19z <= 319.0
-7.81x + 8.56y + 9.26z <= 527.37
2.45x + -2.83y + 9.61z <= 549.13
-3.59x + 7.27y + -1.57z <= 489.26
1.68x + -7.6y + 6.3z <= 302.18
-0.26x + -0.67y + 7.0z <= 273.07
1.23x + -9.12y + -5.43z <= 206.04
0.73x + -5.12y + -6.97z <= 921.83
5.62x + 3.77y + -8.62z <= 654.71
-3.97x + -9.19y + 3.05z <= 430.63
8.06x + 9.92y + -5.38z <= 249.68
-4.23x + 8.26y + -3.54z <= 432.56
-7.69x + 2.9y + -6.77z <= 901.57
8.68x + 4.78y + -6.1z <= 879.43
2.92x + -8.17y + -1.17z <= 783.69
3.66x + 7.5y + 3.31z <= 904.31
-0.98x + -9.86y + 6.24z <= 712.6
3.13x + 3.31y + -0.75z <= 491.48
-5.81x + 6.06y + -0.68z <= 746.2
-7.48x + 2.03y + -1.16z <= 545.76
-3.39x + -2.63y + 5.49z <= 810.27
5.02x + 4.63y + 2.07z <= 911.44
1.0x + 7.26y + -0.61z <= 337.39
2.88x + -2.71y + 5.76z <= 886.01
-0.39x + 8.48y + -7.37z <= 962.33
0.31x + 0.94y + -8.95z <= 629.72
7.48x + 1.18y + 6.9z <= 986.56
-7.96x + 3.97y + -4.13z <= 257.69
2.23x + 7.09y + -5.9z <= 115.61
5.4x + 0.26y + 9.0z <= 727.45
1.91x + 4.27y + 6.35z <= 677.76
8.51x + -3.35y + -3.51z <= 622.2
-9.57x + 6.9y + -0.45z <= 372.73
9.68x + 0.72y + 2.96z <= 943.51
-0.33x + -6.55y + -3.41z <= 828.31
-0.62x + -2.1y + -1.02z <= 489.94
2.01x + 3.54y + -8.46z <= 732.04
-5.68x + 1.02y + 8.77z <= 956.33
-4.98x + 4.57y + 6.78z <= 614.01
-1.02x + 4.72y + 0.08z <= 400.76
6.18x + -0.44y + -3.99z <= 139.11
-9.96x + 9.48y + 3.62z <= 468.68
1.12x + -1.29y + 4.52z <= 514.23
2.65x + -0.04y + 5.02z <= 134.92
1.62x + -1.46y + -4.07z <= 591.19
0.35x + 8.33y + 3.28z <= 908.98
-8.73x + -2.04y + 0.84z <= 392.71
-7.13x + -8.44y + -6.15z <= 494.49
-3.06x + -5.6y + 2.66z <= 809.71
3.73x + -5.46y + 4.86z <= 821.99
1.65x + -9.87y + -8.35z <= 443.29
-7.67x + 0.72y + -6.69z <= 195.08
-2.4x + 2.23y + 3.65z <= 355.87
-2.21x + 9.22y + -9.28z <= 874.21
-4.64x + 0.86y + -1.14z <= 928.93
-0.04x + 4.9y + -8.75z <= 924.65
-5.52x + 5.55y + -0.12z <= 860.99
-5.74x + -8.88y + -1.28z <= 833.97
3.45x + 0.78y + 9.64z <= 968.77
3.13x + 8.46y + 3.03z <= 608.44
5.9x + 0.76y + -4.34z <= 522.04
2.86x + 0.24y + 4.46z <= 946.01
-0.03x + 8.95y + -2.01z <= 841.33
-2.89x + 5.87y + -3.88z <= 580.72
1.29x + -2.17y + 1.95z <= 563.74
7.14x + -7.16y + -1.36z <= 976.34
-0.36x + 5.3y + 4.41z <= 114.37
5.43x + 9.12y + 3.42z <= 534.14
-0.49x + 5.94y + 3.64z <= 118.84
-9.69x + 6.69y + 9.01z <= 308.85
-2.65x + -7.78y + -3.95z <= 793.34
-8.06x + -1.04y + 3.31z <= 155.14
3.78x + 0.31y + -6.24z <= 538.81
-9.66x + 8.39y + 3.86z <= 143.08
-4.6x + -4.77y + 4.01z <= 104.23
-4.39x + 2.42y + 4.23z <= 525.2
6.42x + -5.93y + -4.57z <= 316.95
0.79x + 3.21y + -2.36z <= 855.6
-0.98x + 7.09y + 3.02z <= 978.35
-4.3x + 3.43y + 6.28z <= 223.23
-10.0x + -4.57y + 7.95z <= 788.12
-2.77x + -0.07y + -5.26z <= 317.01
5.13x + 3.79y + 9.08z <= 127.25
-4.35x + 6.65y + -9.28z <= 165.07
1.65x + -1.8y + -0.72z <= 577.0
-4.59x + 8.86y + 6.82z <= 262.98
-4.96x + -5.79y + -5.14z <= 163.37
7.87x + -1.88y + 3.75z <= 401.72
-3.41x + -4.69y + -3.22z <= 769.52
-1.5x + -2.94y + 5.22z <= 319.22
3.56x + -2.68y + 4.83z <= 624.09
8.3x + 8.01y + -3.64z <= 403.31
5.52x + 4.95y + 5.49z <= 192.02
-1.1x + 4.28y + 6.77z <= 645.44
-7.94x + -0.06y + -1.07z <= 820.16
6.94x + 8.7y + 7.42z <= 506.42
2.52x + 2.12y + 5.16z <= 797.95
-4.67x + 1.7y + -7.31z <= 658.89
6.36x + -7.13y + 7.8z <= 895.03
-9.34x + -3.58y + -6.46z <= 506.94
5.77x + 4.88y + -9.73z <= 468.54
-7.99x + -7.71y + -6.75z <= 514.39
7.03x + -9.13y + -2.09z <= 353.54
-9.14x + -2.09y + 7.97z <= 706.09
2.32x + -3.36y + -9.51z <= 775.42
7.29x + 7.77y + -1.95z <= 640.94
-7.43x + -1.82y + 1.64z <= 747.39
-1.9x + -7.22y + 9.59z <= 666.61
-9.05x + -8.98y + -6.13z <= 672.22
5.87x + -1.51y + -5.72z <= 550.0
-5.04x + 5.83y + -2.13z <= 800.26
-4.86x + -3.98y + -2.12z <= 894.8
1.29x + -1.65y + 9.16z <= 998.16
9.86x + -1.98y + 8.54z <= 763.12
1.18x + 9.5y + -0.69z <= 502.2
0.86x + 0.51y + -4.09z <= 243.45
3.75x + -9.22y + -1.12z <= 966.58
-4.72x + 6.66y + 7.8z <= 609.91
4.6x + -6.33y + -9.0z <= 805.38
3.86x + -4.15y + 5.15z <= 336.71
-2.08x + -9.2y + -8.84z <= 708.96
9.79x + -1.81y + -5.46z <= 373.47
-5.22x + 4.31y + 9.55z <= 917.48
-9.1x + 1.8y + -2.23z <= 388.69
0.21x + -0.78y + -4.51z <= 209.33
-3.53x + 5.87y + -7.28z <= 826.4
-4.55x + -4.09y + -7.63z <= 387.36
8.74x + -3.86y + 0.56z <= 571.13
6.32x + -8.27y + 4.66z <= 998.25
5.4x + 9.99y + 1.01z <= 829.57
-4.39x + 8.79y + 3.85z <= 899.21
-9.64x + -1.51y + 8.54z <= 590.96
6.26x + 0.36y + -0.48z <= 121.23
-1.57x + -1.47y + -9.76z <= 782.86
-5.82x + 6.63y + -8.1z <= 753.81
-9.7x + -5.41y + 5.66z <= 348.4
-7.28x + 1.83y + 6.12z <= 780.3
-8.78x + 2.35y + 1.8z <= 644.65
2.12x + 8.05y + -8.32z <= 812.2
1.6x + 0.19y + -5.85z <= 107.75
-5.34x + 1.66y + -9.4z <= 242.09
-9.12x + -7.62y + -8.13z <= 741.27
-0.95x + -9.0y + -0.59z <= 514.33
-3.95x + -1.96y + 2.05z <= 117.08
2.53x + -9.14y + -8.91z <= 452.06
-7.88x + 2.07y + 1.7z <= 969.73
9.99x + -3.94y + -9.31z <= 691.79
-0.43x + -3.64y + 0.93z <= 382.46
6.01x + 5.74y + 2.12z <= 160.74
7.34x + -9.03y + -3.67z <= 248.88
-5.12x + -1.02y + -1.31z <= 157.54
-8.73x + -9.87y + 2.32z <= 324.44
7.01x + -1.38y + -7.21z <= 178.82
9.5x + 3.05y + 6.55z <= 458.04
0.22x + -2.85y + -9.34z <= 791.9
-7.04x + 3.61y + -6.19z <= 281.63
1.1x + -2.54y + 2.77z <= 323.67
-5.03x + -6.1y + -5.75z <= 601.24
-9.61x + 3.87y + 9.8z <= 551.67
-1.4x + -2.45y + 9.67z <= 160.43
3.59x + 8.38y + -0.03z <= 989.48
9.08x + 5.34y + 9.32z <= 224.84
-9.15x + 4.3y + 1.28z <= 339.15
-3.58x + 4.91y + -0.99z <= 676.6
-5.09x + 7.92y + 3.73z <= 568.92
-2.2x + 9.89y + 9.62z <= 270.36
-8.21x + 5.32y + -5.59z <= 397.01
