max 9.47x + 1.74y + -4.7z
5.61x + 0.27y + 1.16z <= 963.42
6.3x + -7.58y + -0.62z <= 428.39
4.6x + -9.34y + -7.95z <= 375.32
8.88x + 6.98y + 2.85z <= 343.33
1.28x + -0.72y + -1.09z <= 241.0
4.2x + -6.4y + -5.08z <= 113.09
4.42x + 7.48y + -7.57z <= 294.94
-2.25x + 6.3y + -5.35z <= 571.79
-9.43x + -1.5y + -3.26z <= 416.92
-5.23x + -8.4y + -3.37z <= 151.38
-3.34x + 1.52y + 4.81z <= 158.94
-0.26x + -1.71y + -2.61z <= 637.98
9.56x + 6.64y + 5.63z <= 676.14
-5.09x + -7.74y + -9.77z <= 873.83
-7.37x + 5.95y + -9.96z <= 870.86
-2.39x + 4.86y + 2.96z <= 876.13
4.74x + 2.77y + -3.98z <= 305.41
-1.72x + -8.67y + -8.85z <= 783.13
-9.33x + 8.65y + -3.11z <= 243.97
5.8x + -6.33y + -5.69z <= 439.39
-8.88x + 7.69y + 6.0z <= 717.22
5.22x + -5.7y + 1.4z <= 805.93
7.58x + -7.3y + 2.8z <= 852.6
3.99x + 4.91y + 9.11z <= 607.16
-4.06x + 7.42y + -8.33z <= 745.41
-4.34x + 8.6y + 4.79z <= 227.02
-9.07x + -5.66y + -6.3z <= 831.53
4.99x + 1.79y + -1.5z <= 202.49
6.79x + -5.57y + -6.29z <= 684.14
9.17x + -7.96y + 6.88z <= 979.61
-6.53x + 7.51y + -6.64z <= 879.02
-8.36x + -0.77y + -9.9z <= 391.61
8.8x + 4.03y + -5.47z <= 950.82
-0.9x + 2.25y + 5.65z <= 903.62
6.98x + -3.0y + -9.95z <= 864.34
-7.93x + 2.65y + -9.14z <= 730.67
8.09x + -2.95y + -5.42z <= 380.55
-8.03x + 4.63y + -8.56z <= 135.99
4.38x + 2.42y + -7.34z <= 304.78
1.7x + -1.79y + 8.74z <= 658.51
4.41x + -2.71y + 7.41z <= 228.15
-0.41x + 9.64y + 6.23z <= 948.97
6.53x + -6.07y + -5.25z <= 965.58
-2.24x + -5.42y + -0.85z <= 934.3
-5.71x + -0.02y + -9.89z <= 904.13
-3.94x + 3.67y + 4.01z <= 977.33
-8.42x + 8.66y + 6.91z <= 671.06
-6.66x + -2.67y + -2.79z <= 180.79
-5.64x + -7.51y + -5.18z <= 454.08
-8.54x + -7.96y + 4.57z <= 707.98
9.76x + -1.54y + 6.76z <= 269.35
9.07x + -5.03y + -2.06z <= 178.46
-5.25x + -1.97y + 4.99z <= 826.51
6.83x + 1.72y + -2.98z <= 717.24
0.1x + 6.64y + 2.66z <= 112.94
-0.42x + -2.45y + 1.87z <= 558.08
-0.18x + -1.65y + -9.56z <= 118.77
5.02x + -7.76y + -5.04z <= 579.67
3.66x + 9.93y + -6.07z <= 403.02
2.98x + -0.35y + -3.2z <= 720.55
3.11x + -6.31y + 6.86z <= 366.22
-9.87x + -9.89y + -0.36z <= 376.97
3.57x + 7.83y + -4.68z <= 682.07
-7.88x + -4.12y + -6.15z <= 904.81
-6.38x + 3.39y + -7.96z <= 650.08
8.13x + 3.21y + 0.96z <= 964.78
8.96x + -1.94y + -4.56z <= 739.46
-6.88x + 1.24y + 1.45z <= 592.12
8.98x + 1.74y + -0.92z <= 811.05
2.2x + -7.65y + 4.25z <= 526.01
3.3x + -1.75y + -5.49z <= 573.72
-0.77x + -1.32y + 2.1z <= 618.59
-0.59x + -8.19y + 4.0z <= 117.57
2.67x + 6.35y + -4.51z <= 497.32
-7.81x + -6.05y + 3.8z <= 670.49
3.71x + -2.66y + 6.87z <= 910.37
4.95x + 9.59y + -9.2z <= 458.38
-6.19x + -0.42y + -5.84z <= 628.37
2.78x + 1.75y + 0.61z <= 363.58
8.72x + 9.64y + 9.07z <= 190.41
6.93x + -9.43y + -2.0z <= 391.3
-7.61x + 8.08y + -7.23z <= 748.7
-0.97x + 7.62y + 0.95z <= 497.85
-9.45x + -0.59y + -7.64z <= 956.64
4.84x + -5.05y + -3.86z <= 546.53
6.55x + -0.53y + 6.49z <= 358.61
-3.52x + 4.92y + -0.13z <= 939.76
7.4x + -7.57y + -2.05z <= 269.72
-8.47x + -8.97y + -7.45z <= 339.0
3.28x + -6.36y + 4.14z <= 437.59
-9.62x + 4.41y + -2.31z <= 912.37
-3.23x + 0.92y + -1.07z <= 609.72
-1.52x + 3.32y + -8.56z <= 327.88
0.6x + -2.71y + -8.1z <= 552.54
0.68x + -5.82y + 3.64z <= 841.27
6.83x + -0.01y + 9.23z <= 188.54
7.25x + -4.03y + -6.88z <= 230.89
-4.05x + -4.79y + 6.61z <= 555.74
-6.86x + -5.43y + -3.12z <= 682.37
-9.35x + -4.33y + 7.18z <= 959.85
-9.36x + 8.5y + -2.81z <= 167.93
-8.97x + -4.81y + 1.1z <= 421.92
-8.76x + 2.24y + -5.38z <= 654.06
7.73x + 1.14y + -1.53z <= 888.64
-4.02x + -6.49y + 0.97z <= 999.61
3.07x + 5.11y + -0.62z <= 249.02
3.02x + 0.24y + -8.64z <= 162.93
-7.31x + -5.65y + -7.37z <= 774.9
4.39x + 0.05y + 4.62z <= 343.68
1.71x + -3.95y + 4.38z <= 534.69
-5.55x + 5.46y + 2.13z <= 941.54
0.48x + 4.31y + -8.49z <= 508.99
-9.61x + -1.9y + 8.6z <= 792.05
6.59x + -9.36y + 4.36z <= 514.38
-8.07x + 3.21y + -4.06z <= 884.61
5.64x + 6.87y + 1.92z <= 971.18
1.73x + 4.47y + 2.36z <= 157.75
-6.61x + -5.77y + 8.86z <= 550.86
-1.17x + 5.77y + 8.23z <= 985.58
0.91x + 6.8y + -1.55z <= 934.77
-7.87x + 3.8y + -1.38z <= 776.98
-3.7x + 0.81y + -9.17z <= 399.06
-1.41x + -9.3y + 3.51z <= 461.51
5.54x + -5.23y + 4.56z <= 730.91
-4.32x + 7.22y + -3.88z <= 452.42
2.77x + -1.72y + 3.93z <= 930.92
-5.96x + -0.97y + -7.05z <= 783.88
-9.47x + -8.96y + -6.41z <= 243.33
6.0x + -7.55y + 7.69z <= 347.19
1.99x + 6.79y + 8.49z <= 224.84
-4.32x + -7.23y + 3.84z <= 662.22
-5.18x + 9.36y + -0.34z <= 261.01
9.01x + 1.09y + -8.66z <= 501.69
-2.26x + -5.8y + -6.82z <= 862.04
4.64x + -3.75y + 6.61z <= 264.66
2.86x + -2.54y + -6.52z <= 765.79
-7.28x + 9.67y + -0.68z <= 823.38
-4.32x + 9.24y + -0.67z <= 719.07
5.84x + 4.97y + 1.27z <= 199.89
6.16x + -6.49y + -9.64z <= 555.59
-7.82x + -2.97y + 0.5z <= 523.16
-1.47x + -5.99y + 6.04z <= 314.92
-5.98x + -2.24y + 1.14z <= 538.59
-4.19x + -9.01y + 6.6z <= 352.79
-9.75x + 0.93y + -8.74z <= 708.83
8.94x + 3.11y + -1.1z <= 129.72
0.71x + 8.85y + -4.64z <= 399.56
4.49x + -5.35y + -6.38z <= 215.56
7.58x + 4.14y + 8.14z <= 405.44
-3.3x + 9.78y + 6.07z <= 283.4
1.03x + 0.77y + 0.17z <= 682.49
-7.03x + -2.71y + -5.92z <= 619.13
-8.31x + -1.9y + -7.92z <= 706.06
1.73x + 4.95y + 7.24z <= 984.33
-9.1x + -4.66y + 9.97z <= 680.39
9.16x + -7.86y + -7.05z <= 683.37
5.1x + -2.25y + 6.5z <= 255.33
6.4x + -9.11y + -0.75z <= 100.43
3.46x + -1.62y + -3.97z <= 800.09
-2.79x + 7.2y + -2.5z <= 218.38
-7.09x + 9.43y + 1.78z <= 318.25
-7.04x + -8.05y + -5.32z <= 180.98
5.91x + -1.77y + 9.0z <= 353.58
-1.69x + -4.41y + -9.62z <= 563.09
4.57x + 9.23y + -2.56z <= 697.39
-5.26x + -5.72y + -3.81z <= 997.96
4.59x + 5.33y + 3.21z <= 380.62
0.41x + -7.45y + -2.0z <= 351.51
-9.81x + -2.33y + 2.57z <= 743.94
2.25x + 5.93y + 9.85z <= 955.09
-3.47x + -2.04y + -0.99z <= 335.81
-7.34x + 0.74y + -2.08z <= 827.08
3.12x + -3.69y + 0.36z <= 561.32
6.84x + 2.33y + 2.79z <= 881.45
-3.0x + 8.93y + -8.24z <= 183.44
-8.57x + -5.81y + -5.0z <= 995.11
-9.62x + -6.4y + 5.85z <= 678.92
-0.54x + -8.68y + -0.74z <= 812.98
3.45x + 2.97y + -7.53z <= 906.0
6.01x + 2.84y + -9.25z <= 803.69
-8.9x + 7.94y + 1.18z <= 744.07
5.25x + 3.81y + -2.94z <= 552.76
2.1x + -6.57y + -2.57z <= 130.44
6.15x + -9.12y + 2.24z <= 728.0
2.45x + 8.0y + 5.27z <= 944.75
-8.63x + -6.02y + 8.69z <= 457.55
-3.91x + 7.76y + -6.23z <= 857.16
8.96x + -3.81y + 2.04z <= 575.14
9.43x + 7.51y + -7.76z <= 407.43
-8.93x + 4.29y + 7.74z <= 923.17
-6.75x + -4.49y + 9.34z <= 254.31
2.61x + -8.95y + -3.5z <= 416.86
3.26x + 0.13y + -3.79z <= 689.97
-1.31x + -7.05y + -5.3z <= 998.39
-6.19x + -8.91y + 0.7z <= 253.74
7.94x + -5.53y + -8.32z <= 969.41
-2.3x + 0.86y + 3.82z <= 680.98
-4.48x + 3.59y + 5.97z <= 748.18
-0.11x + 2.12y + 9.25z <= 247.96
0.4x + -2.36y + -1.8z <= 916.72
1.4x + 3.03y + -0.68z <= 496.28
5.94x + -4.47y + 2.95z <= 187.3
6.83x + 8.41y + 9.58z <= 926.48
-8.63x + -1.34y + 9.91z <= 906.44
2.44x + -4.92y + 5.83z <= 803.83
-1.84x + -8.63y + 5.81z <= 346.88
-1.62x + 3.33y + 6.8z <= 461.59
3.75x + 3.43y + 3.78z <= 717.24
0.25x + 2.17y + 7.98z <= 820.71
9.22x + 9.36y + 9.13z <= 720.0
-2.71x + 0.07y + 8.06z <= 562.91
4.29x + 7.24y + -8.22z <= 795.43
3.4x + 6.4y + -0.16z <= 348.01
7.76x + -1.96y + 3.89z <= 408.38
-3.38x + -1.85y + -1.86z <= 509.78
-7.89x + -8.04y + -6.44z <= 426.44
-7.09x + -7.79y + 3.87z <= 330.74
9.88x + -3.0y + -1.6z <= 572.66
-9.85x + -8.06y + -1.72z <= 915.02
-0.29x + -5.11y + 8.31z <= 486.38
9.96x + 8.99y + 3.95z <= 179.84
-8.39x + -7.07y + 6.29z <= 954.13
-1.91x + -7.89y + 9.97z <= 939.59
-4.97x + 4.29y + 2.33z <= 151.57
-8.87x + -3.91y + 2.94z <= 552.96
-6.36x + -9.32y + -9.66z <= 504.89
-9.26x + 8.6y + -6.29z <= 647.61
1.76x + 4.42y + -8.21z <= 420.4
8.69x + -5.44y + -2.93z <= 242.23
-4.37x + -9.69y + -7.68z <= 764.93
7.95x + -3.48y + 8.56z <= 509.83
-0.44x + -7.71y + 0.97z <= 579.92
-5.87x + -8.97y + 4.82z <= 786.83
-4.01x + 8.57y + -6.46z <= 154.45
8.83x + -1.72y + -8.78z <= 415.43
0.58x + -8.66y + -3.16z <= 843.28
-9.91x + 6.46y + 6.91z <= 697.25
-3.45x + -6.2y + 2.63z <= 425.66
-2.2x + 1.05y + -6.23z <= 957.28
-8.57x + -8.82y + -8.83z <= 231.41
-2.09x + -5.61y + -4.84z <= 436.78
7.48x + -8.29y + -5.82z <= 519.91
7.74x + -2.13y + 8.75z <= 602.0
-5.57x + 8.1y + 6.81z <= 750.48
-9.42x + -6.1y + 1.09z <= 964.72
-2.05x + -4.25y + -8.53z <= 828.04
4.79x + 6.51y + -6.66z <= 466.53
-9.45x + -7.9y + -8.26z <= 160.71
-0.82x + -5.89y + 9.25z <= 224.51
7.7x + 9.24y + 6.3z <= 637.93
-8.49x + 7.76y + 4.81z <= 316.76
7.55x + -0.44y + -2.6z <= 963.09
-7.66x + 1.09y + -9.38z <= 790.52
-2.82x + 2.3y + 5.77z <= 794.69
-8.98x + 0.2y + -7.83z <= 788.67
1.27x + -6.49y + -4.32z <= 464.58
0.88x + -0.59y + -3.64z <= 528.0
5.39x + -1.77y + 3.26z <= 551.94
-4.49x + -4.44y + -6.73z <= 642.74
1.42x + -9.65y + 2.8z <= 168.04
-6.55x + -3.77y + -9.55z <= 641.62
-8.51x + 1.19y + -2.7z <= 134.47
8.78x + 3.14y + -4.5z <= 595.62
4.0x + 5.73y + -1.33z <= 980.3
-0.57x + -2.9y + 7.5z <= 986.75
-8.83x + 8.4y + -0.98z <= 580.19
5.18x + 9.37y + 2.15z <= 384.54
-2.77x + 5.36y + 9.56z <= 567.37
8.3x + -3.37y + -8.68z <= 860.4
-5.46x + 2.18y + -0.34z <= 194.99
-7.67x + 4.68y + -3.59z <= 831.87
4.75x + 2.67y + -4.88z <= 476.07
1.82x + -3.03y + 9.05z <= 570.4
-8.46x + -3.6y + -8.52z <= 402.13
2.29x + -7.36y + -3.04z <= 995.72
8.2x + -2.67y + -6.84z <= 339.49
9.03x + -5.16y + -4.88z <= 342.58
8.02x + 9.82y + -2.19z <= 422.53
2.7x + 1.89y + -8.44z <= 823.86
4.68x + 7.22y + -9.22z <= 219.43
-9.13x + -0.84y + -7.35z <= 443.93
3.35x + 6.62y + -3.63z <= 192.33
-4.58x + 9.38y + 6.53z <= 121.91
1.0x + 9.43y + -6.24z <= 779.17
-0.15x + 8.16y + -6.9z <= 105.35
-5.75x + 4.35y + -0.8z <= 798.23
0.51x + 2.52y + 4.81z <= 930.59
2.72x + 6.3y + -1.43z <= 451.41
7.51x + -4.87y + 0.04z <= 894.32
-4.26x + 6.64y + 4.5z <= 784.11
-2.76x + 9.24y + -8.92z <= 576.29
7.2x + -7.1y + 9.11z <= 876.99
-4.55x + 7.27y + 2.18z <= 506.35
-9.56x + -1.45y + 7.27z <= 818.29
-5.72x + -4.18y + 1.93z <= 473.98
-0.36x + 8.51y + 0.6z <= 499.29
-9.17x + -0.21y + -6.9z <= 252.1
-0.94x + 7.85y + 7.79z <= 980.72
-3.58x + 2.41y + -8.63z <= 675.71
1.82x + -6.57y + 6.01z <= 396.02
4.72x + -7.44y + 1.24z <= 767.61
6.75x + -9.11y + 9.82z <= 996.53
-4.06x + 3.05y + 2.81z <= 966.38
-5.82x + -6.03y + 3.74z <= 601.31
-0.41x + 9.94y + 0.75z <= 140.11
3.52x + 8.8y + 2.77z <= 812.0
6.41x + 3.88y + 5.82z <= 248.87
-0.84x + 8.9y + -6.53z <= 249.1
9.59x + -6.15y + -6.18z <= 368.0
0.79x + -0.55y + 7.84z <= 466.66
-8.29x + -0.08y + 0.23z <= 265.73
-2.83x + -0.81y + 0.47z <= 516.3
9.31x + 0.11y + -8.05z <= 209.2
-1.74x + 8.79y + 8.22z <= 976.95
6.22x + -5.61y + 7.41z <= 955.1
9.26x + -4.77y + -5.12z <= 251.65
-9.21x + 9.74y + 0.17z <= 399.2
-4.06x + 2.55y + 5.13z <= 953.11
8.36x + -3.77y + -4.88z <= 714.08
-4.18x + 8.18y + 0.07z <= 437.82
4.3x + 9.82y + 1.69z <= 376.76
-2.02x + -0.97y + -9.65z <= 669.02
-2.84x + 3.99y + -9.51z <= 327.98
-7.71x + 5.66y + 8.26z <= 427.74
5.63x + 9.1y + 0.9z <= 808.74
0.59x + 4.13y + -4.69z <= 224.04
-8.09x + -7.83y + -5.2z <= 757.16
-3.66x + -9.79y + 7.16z <= 737.88
-2.83x + 6.42y + 1.5z <= 563.86
-7.11x + 3.5y + -8.18z <= 227.89
3.86x + -4.41y + -0.14z <= 854.29
-4.62x + 1.55y + -0.9z <= 474.13
-7.99x + 8.12y + -9.74z <= 498.53
-1.03x + 7.66y + 2.59z <= 137.26
1.72x + -8.47y + -3.01z <= 923.47
1.48x + 4.25y + -5.68z <= 398.47
3.59x + 6.78y + -4.62z <= 944.55
-7.01x + -1.47y + -7.89z <= 726.74
-9.34x + 2.9y + -0.63z <= 612.55
8.4x + 5.31y + -3.48z <= 257.78
-1.42x + -2.9y + 4.2z <= 592.36
6.28x + 3.1y + -2.41z <= 504.34
-4.34x + 4.16y + -0.24z <= 288.4
-8.11x + 7.91y + -8.02z <= 479.99
-2.87x + 6.63y + -3.91z <= 405.26
0.38x + 8.34y + 5.26z <= 253.21
8.73x + 7.14y + -7.97z <= 350.62
2.39x + 2.06y + -8.75z <= 808.34
8.0x + 0.96y + 8.15z <= 459.67
5.46x + -9.43y + 7.56z <= 555.81
-0.12x + -1.86y + 4.71z <= 968.31
4.27x + 0.77y + 9.89z <= 616.26
-4.36x + -8.91y + 5.77z <= 539.09
-5.65x + 6.44y + 1.51z <= 646.89
-3.33x + 3.89y + 1.37z <= 833.33
-6.7x + -9.49y + 6.83z <= 970.91
8.68x + -0.56y + 7.52z <= 150.09
-1.98x + 2.38y + -7.67z <= 546.76
-3.24x + -7.45y + 4.35z <= 600.31
-7.71x + -3.62y + 8.33z <= 863.49
9.2x + -3.04y + 8.8z <= 725.82
-9.12x + -7.49y + 2.68z <= 357.0
-2.94x + 8.83y + -3.02z <= 719.83
-5.06x + -6.43y + 6.94z <= 507.93
4.4x + 5.86y + 3.11z <= 215.92
1.95x + 7.2y + 7.42z <= 267.07
5.32x + -1.97y + 0.4z <= 202.07
-8.06x + 1.54y + -8.88z <= 548.54
-4.97x + 0.5y + -8.54z <= 818.04
4.21x + -1.72y + 3.84z <= 522.32
5.08x + 5.37y + -3.84z <= 343.37
0.76x + 4.07y + 4.59z <= 474.19
-7.11x + 8.57y + -2.47z <= 441.44
-7.75x + -2.88y + -8.94z <= 722.76
-8.01x + 8.85y + 6.21z <= 316.86
7.67x + -9.22y + 2.65z <= 170.92
-8.25x + 7.37y + 6.39z <= 325.7
4.37x + 9.48y + 0.24z <= 500.03
-6.67x + -5.1y + -8.35z <= 113.28
-4.36x + 8.39y + 4.1z <= 590.45
1.68x + 4.14y + -8.05z <= 887.01
-0.39x + -1.22y + -8.73z <= 485.72
3.9x + 9.23y + -4.49z <= 153.3
-1.34x + -3.93y + -7.13z <= 509.09
0.9x + -5.72y + 2.6z <= 914.65
-0.66x + 5.55y + -6.22z <= 253.92
4.24x + 9.6y + -1.21z <= 784.8
-0.83x + -1.85y + 7.84z <= 819.23
-3.6x + 2.26y + -0.14z <= 798.25
-8.47x + -8.71y + 9.09z <= 256.1
6.72x + 7.41y + -7.88z <= 397.95
-1.71x + 0.5y + 6.09z <= 986.76
-6.08x + -8.69y + -2.97z <= 258.51
-6.06x + -1.51y + 8.75z <= 611.28
2.96x + -1.48y + 0.12z <= 752.54
8.69x + -5.94y + -5.14z <= 332.72
-8.7x + -2.56y + 2.98z <= 372.85
8.91x + 3.25y + -3.92z <= 966.98
-8.54x + 9.5y + 5.9z <= 693.81
1.45x + -2.05y + 4.11z <= 167.82
8.38x + -6.48y + 1.44z <= 647.91
6.27x + 9.08y + -2.04z <= 763.77
-5.93x + -0.12y + -1.67z <= 482.75
8.89x + -8.21y + 2.27z <= 840.95
1.85x + 9.25y + -1.41z <= 899.99
2.74x + -2.5y + 5.18z <= 318.23
-3.69x + -9.38y + 9.58z <= 771.2
-3.88x + -5.85y + 6.98z <= 736.68
-6.73x + -5.65y + 4.12z <= 837.06
1.77x + -3.22y + -6.63z <= 367.35
-2.29x + -9.91y + 2.54z <= 791.28
3.95x + -9.15y + -3.62z <= 326.35
-1.84x + 2.24y + 4.93z <= 460.77
9.73x + -5.76y + 7.07z <= 408.04
-10.0x + 0.44y + 6.88z <= 417.67
-2.66x + 6.02y + 1.11z <= 141.34
0.76x + -2.42y + 3.58z <= 769.73
4.41x + -7.75y + 5.32z <= 948.12
-4.5x + 8.04y + -4.03z <= 936.84
5.27x + 2.09y + -2.28z <= 217.14
-3.01x + -5.93y + -9.99z <= 445.2
-0.05x + -7.49y + 6.32z <= 631.74
5.63x + -9.97y + 2.34z <= 147.31
8.11x + 6.47y + 1.16z <= 347.88
-3.29x + -9.73y + -8.38z <= 447.77
7.55x + -2.46y + -0.13z <= 312.12
-8.15x + 0.19y + 2.6z <= 321.01
-3.27x + 7.65y + -3.44z <= 568.75
-2.89x + -6.87y + 5.71z <= 487.21
-5.58x + -7.34y + 8.7z <= 189.2
7.74x + -6.27y + -6.34z <= 688.62
-6.89x + 0.88y + 1.13z <= 565.71
-9.89x + 2.71y + 5.19z <= 356.91
5.93x + 0.67y + 8.83z <= 762.96
9.75x + -8.21y + 0.71z <= 737.82
-3.16x + -2.13y + 9.77z <= 678.13
-8.4x + 7.98y + 6.12z <= 389.99
-2.61x + 8.36y + -0.46z <= 623.3
-8.62x + -8.16y + -7.86z <= 985.9
-8.86x + 2.81y + -2.48z <= 513.1
-1.92x + 6.86y + -1.54z <= 370.01
-8.12x + 9.21y + 0.5z <= 973.41
-5.49x + 4.06y + 7.21z <= 281.36
0.44x + -2.05y + 2.23z <= 109.02
9.02x + 2.12y + 2.37z <= 206.11
0.87x + -6.9y + -0.37z <= 511.52
-8.85x + -5.92y + 8.84z <= 101.18
-7.62x + 4.78y + -4.17z <= 198.55
-1.81x + -1.58y + -5.65z <= 301.62
7.6x + 8.98y + -2.37z <= 865.29
-8.21x + -3.14y + 7.51z <= 550.67
-4.64x + 7.69y + -2.37z <= 453.52
6.48x + -8.92y + 9.23z <= 630.68
6.89x + -6.94y + -1.15z <= 326.03
4.57x + -7.13y + 8.71z <= 612.73
-8.07x + 4.91y + -7.54z <= 916.9
0.27x + -3.01y + -3.22z <= 923.55
8.69x + 0.95y + 5.6z <= 927.78
1.29x + 6.5y + 7.99z <= 928.93
-2.15x + -0.29y + -1.34z <= 184.45
4.7x + -8.65y + -6.76z <= 468.71
-3.96x + 5.95y + 1.27z <= 135.13
3.39x + 5.43y + -9.4z <= 905.73
-2.32x + 5.27y + 3.71z <= 570.91
-2.02x + 8.62y + 7.23z <= 696.88
-4.19x + 5.03y + 5.87z <= 381.61
-7.25x + 5.12y + -3.84z <= 845.42
0.47x + 8.67y + 5.57z <= 727.22
6.13x + -9.99y + 8.64z <= 858.92
2.14x + -5.4y + -9.06z <= 737.45
-5.72x + -9.95y + -8.73z <= 831.99
1.97x + -1.03y + 9.1z <= 724.38
-7.69x + -8.9y + -0.04z <= 497.98
1.61x + -6.37y + 7.6z <= 870.44
7.36x + 3.4y + -6.19z <= 585.83
-2.69x + 8.22y + -7.38z <= 952.33
8.66x + -1.5y + 0.1z <= 597.82
7.76x + 3.7y + -1.63z <= 658.6
3.15x + -8.98y + -1.25z <= 382.31
-7.01x + -8.4y + 7.89z <= 563.15
0.18x + 7.57y + 1.43z <= 940.76
3.23x + -5.85y + -9.32z <= 552.43
-6.29x + -8.0y + 2.73z <= 888.92
7.44x + 9.57y + 1.73z <= 375.28
7.93x + -6.91y + -9.09z <= 339.44
-8.61x + -1.98y + 5.86z <= 348.53
6.47x + -8.61y + -7.95z <= 962.2
0.64x + 9.99y + 2.14z <= 416.77
-3.11x + 6.55y + 2.24z <= 941.87
-6.91x + 3.11y + 6.74z <= 197.17
3.77x + 4.31y + -1.58z <= 237.32
-9.88x + -4.61y + 1.89z <= 112.94
-2.25x + 5.1y + -0.92z <= 213.4
-4.22x + -2.27y + -7.17z <= 343.24
-6.85x + -5.87y + -5.78z <= 386.34
6.33x + -7.51y + -2.31z <= 488.43
-2.94x + 8.77y + -2.57z <= 679.44
-8.11x + 3.35y + -1.25z <= 423.48
-9.47x + -8.1y + -10.0z <= 144.56
4.5x + 3.0y + 9.75z <= 446.14
-2.29x + 6.2y + 0.47z <= 194.66
0.97x + 0.35y + 8.65z <= 158.85
8.13x + 8.3y + -3.7z <= 947.7
8.78x + -8.58y + -0.15z <= 291.23
-7.87x + 5.5y + -3.87z <= 727.26
1.99x + 1.36y + 9.89z <= 284.25
-7.81x + -6.14y + 6.96z <= 361.92
-2.43x + -7.13y + 6.41z <= 934.55
-0.06x + -1.56y + 9.36z <= 837.21
-9.75x + 8.53y + -6.32z <= 388.12
-4.79x + -5.05y + -4.77z <= 738.48
-1.01x + -1.77y + -2.66z <= 989.52
-2.36x + -8.5y + -8.24z <= 513.81
-8.93x + -3.77y + 2.43z <= 235.32
-2.25x + -6.58y + 5.97z <= 135.8
-2.61x + 8.74y + -8.53z <= 560.4
-5.32x + -4.61y + 4.01z <= 869.0
2.42x + 0.71y + 7.01z <= 974.57
-7.45x + 0.12y + -7.87z <= 518.36
-6.68x + -0.33y + 1.83z <= 370.83
8.41x + -8.5y + -8.67z <= 774.19
-4.32x + 0.86y + -7.63z <= 692.31
-4.07x + -4.22y + 2.06z <= 162.87
-7.68x + 3.18y + 9.65z <= 456.23
-8.37x + 5.82y + 3.62z <= 995.94
5.92x + 1.91y + -4.33z <= 572.02
9.31x + 1.58y + 1.76z <= 110.75
-1.91x + 9.78y + 3.84z <= 361.25
-2.74x + 3.14y + -1.14z <= 145.19
-9.2x + -4.52y + -5.15z <= 654.19
-3.27x + -0.22y + 8.88z <= 926.41
-3.58x + 4.58y + 2.02z <= 754.82
3.46x + -5.16y + 3.17z <= 416.9
-8.48x + -7.45y + 0.39z <= 338.74
1.06x + 4.76y + 0.33z <= 942.58
-4.8x + 9.17y + 6.75z <= 302.73
7.02x + -3.23y + -4.28z <= 892.33
-6.24x + 4.46y + 6.09z <= 955.87
4.51x + 5.48y + -8.77z <= 565.56
-9.51x + -5.48y + -4.51z <= 404.15
-4.46x + 3.93y + -7.5z <= 960.65
1.81x + -7.31y + 2.98z <= 887.72
-4.75x + 1.13y + -1.78z <= 528.27
-6.09x + -0.65y + -7.91z <= 869.29
5.41x + 0.92y + -1.97z <= 306.69
5.23x + -9.31y + 4.71z <= 914.02
4.73x + 8.28y + 9.56z <= 133.0
0.17x + -8.47y + 7.45z <= 731.39
3.2x + 7.99y + -8.89z <= 550.94
5.67x + -6.01y + -6.05z <= 693.9
8.07x + 8.72y + -6.28z <= 832.19
2.49x + 5.49y + 4.7z <= 859.23
-6.53x + 0.82y + 6.22z <= 736.57
-0.2x + 7.19y + -7.0z <= 818.49
-4.15x + -5.39y + -9.4z <= 527.2
8.14x + -2.61y + 0.95z <= 980.94
-7.83x + -5.53y + -3.1z <= 291.36
-0.71x + -2.39y + 4.55z <= 238.93
-6.26x + -6.32y + 0.36z <= 217.34
3.96x + 4.95y + 8.39z <= 758.77
-8.76x + -7.76y + 0.96z <= 723.49
-5.01x + 6.08y + 3.4z <= 144.41
5.93x + 1.09y + -1.33z <= 123.84
-6.31x + -0.98y + 1.77z <= 903.75
-3.33x + 6.56y + 6.57z <= 523.35
1.55x + -9.27y + 3.13z <= 556.18
-7.95x + 7.75y + 7.33z <= 477.52
-7.03x + -6.63y + 0.85z <= 240.97
-4.89x + 4.24y + 8.38z <= 720.46
0.03x + 7.01y + 2.18z <= 313.33
-7.63x + -5.08y + -3.33z <= 620.27
-2.86x + 2.48y + 9.64z <= 105.74
7.58x + -0.61y + -2.79z <= 829.9
4.63x + 3.89y + -0.83z <= 911.26
-9.25x + 3.22y + 0.12z <= 939.98
3.99x + -7.67y + -0.54z <= 617.21
4.66x + 5.22y + 7.64z <= 290.32
8.83x + 8.28y + -0.25z <= 784.75
-1.84x + 7.9y + -4.04z <= 516.92
9.4x + 3.41y + 7.41z <= 807.04
2.59x + 1.3y + 3.04z <= 600.78
-8.56x + -2.39y + -6.67z <= 798.72
-5.23x + -8.17y + -9.34z <= 669.78
-1.49x + 7.61y + -9.89z <= 253.91
-8.82x + 9.64y + 9.31z <= 644.55
-5.39x + 9.59y + 6.03z <= 343.8
6.7x + 0.73y + 3.08z <= 734.52
-2.64x + -7.2y + -5.03z <= 478.02
-0.39x + -1.85y + -1.68z <= 482.44
5.41x + 8.41y + -6.1z <= 700.72
-3.65x + 9.69y + -8.17z <= 239.97
-5.48x + 7.13y + -6.45z <= 326.71
-2.89x + 4.05y + -8.94z <= 721.96
