max 7.17x + -0.93y + -4.52z
5.92x + -1.02y + -2.76z <= 520.17
1.07x + -2.19y + 8.79z <= 287.78
-8.04x + 6.24y + -4.3z <= 892.12
-0.62x + 8.16y + 2.97z <= 412.25
-9.01x + 8.06y + -8.13z <= 355.61
9.13x + 6.56y + -6.92z <= 443.47
5.3x + -0.66y + 2.84z <= 874.51
0.44x + -2.26y + 5.39z <= 410.64
-7.78x + 1.66y + 0.81z <= 388.1
-5.05x + -0.44y + -7.41z <= 792.28
0.49x + -5.63y + 9.6z <= 813.71
-0.79x + -1.6y + 1.97z <= 635.13
1.18x + -4.93y + -1.83z <= 570.13
2.73x + -3.85y + -4.54z <= 532.92
8.05x + -9.84y + 8.54z <= 882.18
0.73x + 6.97y + 3.58z <= 222.3
2.12x + -8.85y + 1.73z <= 104.93
1.28x + -1.0y + 1.22z <= 606.89
4.14x + -1.63y + -6.14z <= 528.18
-4.19x + -4.49y + 0.31z <= 614.01
9.73x + 5.59y + -3.4z <= 193.9
-9.27x + 8.08y + -0.36z <= 482.75
4.1x + -4.21y + -3.2z <= 228.88
-7.35x + -1.63y + 1.35z <= 513.49
9.54x + -0.36y + -5.96z <= 706.8
-9.2x + 0.04y + 5.29z <= 597.56
-2.02x + 9.0y + 7.3z <= 419.42
2.81x + -9.98y + 1.37z <= 766.22
-7.94x + -9.32y + -9.05z <= 945.59
1.23x + -4.54y + 1.18z <= 862.86
7.93x + -6.49y + -8.74z <= 509.38
-1.19x + 7.47y + 8.31z <= 705.77
1.99x + -8.06y + -8.34z <= 576.19
8.93x + -9.1y + 1.34z <= 299.5
-5.25x + 9.59y + -1.25z <= 432.2
-2.73x + 0.71y + -8.33z <= 260.95
0.68x + 8.75y + -8.04z <= 410.51
-8.76x + -6.3y + 5.41z <= 888.56
7.24x + 4.4y + -3.82z <= 250.01
-6.67x + 8.86y + -6.63z <= 838.46
-7.87x + 2.29y + -2.68z <= 582.88
5.46x + -4.46y + 0.96z <= 417.15
1.66x + -0.07y + 0.87z <= 976.99
-2.41x + -4.77y + -0.5z <= 433.79
6.28x + -2.14y + -6.39z <= 722.56
-8.07x + -2.8y + -4.8z <= 207.37
-0.23x + -5.77y + -8.55z <= 246.78
6.29x + -4.51y + -7.86z <= 531.33
-5.85x + -6.65y + -2.66z <= 140.39
-0.87x + -7.31y + 9.07z <= 505.7
-5.46x + 2.69y + 7.91z <= 253.09
-6.41x + -1.25y + -6.96z <= 993.21
5.72x + -5.99y + 9.22z <= 711.99
-1.06x + -3.84y + -0.82z <= 376.71
-0.52x + 1.05y + 5.93z <= 636.44
7.69x + 2.18y + 9.13z <= 416.58
6.14x + -5.07y + 9.64z <= 202.97
-8.28x + 9.06y + -6.43z <= 853.27
4.1x + 7.23y + 5.5z <= 661.94
6.54x + -9.74y + -3.1z <= 597.82
-6.78x + -2.85y + -4.58z <= 278.27
-5.47x + -4.81y + -9.47z <= 955.94
1.46x + 5.06y + 5.13z <= 635.81
-9.5x + -5.06y + 5.93z <= 585.71
-4.99x + -0.14y + 2.73z <= 673.76
6.04x + -3.24y + 3.01z <= 456.6
6.84x + 2.29y + 5.53z <= 285.95
3.52x + 6.21y + 3.23z <= 711.41
9.46x + -5.07y + 9.51z <= 185.57
7.37x + -9.21y + 8.66z <= 423.03
-3.67x + -4.38y + 1.54z <= 880.67
1.68x + 0.56y + 4.51z <= 155.73
2.37x + -2.6y + -0.66z <= 369.29
-5.67x + 9.77y + -3.27z <= 983.83
-4.06x + -4.37y + -3.02z <= 715.72
9.48x + -2.06y + 4.63z <= 656.55
0.69x + -4.86y + -1.06z <= 672.5
-0.94x + -0.35y + 6.8z <= 575.31
5.75x + -7.66y + 8.73z <= 923.9
5.68x + -5.87y + -7.55z <= 767.25
-0.3x + 7.69y + -4.03z <= 418.61
6.07x + 5.21y + -0.03z <= 554.44
-4.33x + 9.5y + 9.16z <= 399.77
-3.77x + -5.11y + -5.62z <= 767.28
-5.85x + -9.12y + 9.95z <= 283.83
0.7x + 9.16y + 3.71z <= 488.02
1.37x + -6.05y + 9.63z <= 708.35
4.02x + -5.61y + 7.09z <= 850.08
7.1x + 0.99y + 6.78z <= 264.41
2.14x + 2.09y + 2.24z <= 626.97
-9.27x + -7.77y + 0.53z <= 907.19
-7.16x + -0.42y + -8.92z <= 103.78
5.08x + -8.79y + -3.14z <= 853.8
-6.78x + 9.4y + 2.08z <= 252.36
7.55x + -8.4y + -1.43z <= 981.58
-2.39x + 4.91y + -6.1z <= 819.73
9.54x + -1.53y + -9.18z <= 828.78
0.62x + 4.79y + 8.09z <= 855.89
4.93x + -0.84y + -6.19z <= 106.75
-9.24x + -5.36y + -4.8z <= 676.36
-2.24x + 6.67y + -4.46z <= 833.25
0.57x + 3.09y + -1.32z <= 683.67
3.86x + -7.29y + 5.41z <= 467.89
-8.2x + -7.61y + -0.53z <= 742.75
9.38x + 1.95y + 8.11z <= 917.13
0.57x + -1.7y + 4.5z <= 751.77
9.39x + 1.93y + 4.56z <= 587.06
-4.69x + -4.0y + 9.42z <= 238.22
5.51x + 2.1y + -3.67z <= 779.56
0.01x + 5.24y + 3.94z <= 729.47
-3.27x + -0.25y + -9.95z <= 184.83
0.77x + 0.69y + -4.75z <= 599.24
-5.95x + -5.04y + 9.38z <= 602.85
3.93x + 3.58y + -1.58z <= 162.46
-3.22x + 2.69y + 2.69z <= 250.38
-2.47x + 3.89y + -3.21z <= 119.18
-9.42x + -5.59y + -5.41z <= 141.73
-6.27x + 8.02y + 5.79z <= 935.77
-4.46x + 7.68y + -9.0z <= 721.61
0.7x + 6.87y + 6.13z <= 345.55
8.56x + -7.02y + 7.13z <= 544.2
-0.28x + 7.09y + -4.08z <= 554.39
-5.64x + 0.9y + 3.74z <= 243.7
2.75x + 6.47y + -8.1z <= 998.4
8.0x + 2.38y + -9.69z <= 399.69
9.25x + 2.5y + 8.0z <= 159.0
-4.62x + 6.2y + 5.51z <= 815.71
-4.38x + -9.79y + -9.04z <= 831.34
-4.87x + -1.93y + -5.85z <= 896.8
3.69x + -3.49y + -8.63z <= 528.41
6.81x + 9.1y + -4.4z <= 401.69
-2.2x + 6.3y + 0.51z <= 423.21
-9.91x + -2.16y + -2.6z <= 702.21
-3.03x + -1.96y + 5.57z <= 392.17
-6.24x + -4.74y + -5.64z <= 779.32
-2.73x + -4.03y + 9.88z <= 317.3
-2.29x + 6.58y + -6.35z <= 289.61
9.92x + -9.02y + 4.1z <= 484.56
-7.13x + 2.15y + -5.2z <= 101.44
-5.64x + -9.04y + -8.31z <= 502.86
2.87x + -3.43y + -8.56z <= 528.97
6.36x + 2.91y + -1.54z <= 805.71
1.17x + -6.59y + 3.87z <= 973.65
2.62x + 8.13y + -1.44z <= 237.21
-7.16x + 0.34y + 9.29z <= 416.0
8.0x + 3.02y + 7.59z <= 837.16
-3.95x + 2.09y + -2.04z <= 602.43
9.77x + -2.0y + -9.99z <= 637.35
2.4x + 2.16y + -0.39z <= 881.37
4.57x + 9.66y + -2.2z <= 354.92
-5.54x + 0.12y + 5.12z <= 593.6
2.93x + -0.25y + -1.3z <= 700.53
-2.15x + 0.33y + 7.0z <= 511.83
4.96x + -2.39y + -1.59z <= 136.33
-1.36x + 0.89y + 4.77z <= 882.01
-9.4x + -0.28y + -2.89z <= 569.1
3.09x + 1.91y + -5.37z <= 123.82
-3.47x + -3.59y + 1.86z <= 460.26
-0.37x + 7.48y + -4.13z <= 999.87
5.49x + 5.7y + -7.48z <= 347.9
-2.42x + 3.58y + 7.35z <= 684.4
4.85x + -8.13y + -3.22z <= 138.46
-6.91x + 2.16y + -1.87z <= 189.45
0.67x + 3.7y + -4.0z <= 635.1
-9.28x + -4.58y + -0.61z <= 739.6
4.28x + -3.86y + 9.08z <= 224.91
-3.77x + -4.69y + -1.81z <= 832.43
-9.96x + -1.51y + 2.67z <= 520.92
-2.22x + 2.79y + 1.75z <= 841.73
0.46x + 1.96y + 8.71z <= 922.69
0.47x + 6.05y + 3.44z <= 803.24
-2.44x + -1.19y + -5.35z <= 624.75
-0.89x + -8.51y + -2.15z <= 126.17
0.09x + -0.22y + 9.91z <= 700.49
-7.91x + -9.26y + -2.01z <= 889.41
-9.35x + -5.93y + 4.12z <= 696.82
-1.8x + 9.75y + -9.09z <= 152.18
-4.84x + -7.3y + -7.38z <= 992.47
-5.86x + -0.73y + 3.97z <= 359.56
-3.56x + -9.28y + 3.54z <= 427.87
-2.44x + -2.55y + 7.78z <= 214.59
-8.56x + -9.2y + -6.77z <= 590.33
-7.33x + -0.11y + 4.86z <= 124.38
-8.93x + 5.25y + -4.0z <= 382.63
-8.28x + -6.91y + -7.37z <= 227.04
2.79x + -8.01y + -6.97z <= 883.99
4.65x + 8.0y + -9.44z <= 390.29
7.68x + 8.99y + -0.42z <= 657.01
-9.75x + -9.34y + -2.96z <= 665.0
2.26x + 7.86y + 6.19z <= 620.48
4.71x + 9.78y + -6.89z <= 511.92
-3.38x + -0.62y + -9.31z <= 602.97
4.91x + -1.48y + -4.56z <= 648.56
-0.26x + -8.89y + 5.25z <= 345.79
-5.8x + -6.34y + -6.08z <= 931.18
0.15x + -7.84y + 8.06z <= 136.18
2.23x + 5.52y + -0.74z <= 824.82
-2.9x + 6.48y + -1.59z <= 968.09
3.06x + 7.56y + 2.66z <= 184.21
9.83x + 0.26y + -1.35z <= 246.43
-8.46x + 2.05y + -3.67z <= 858.02
-0.82x + -7.67y + -6.25z <= 815.19
9.21x + -9.56y + 9.81z <= 958.3
-5.81x + -5.12y + 8.93z <= 660.17
7.25x + -1.97y + -3.81z <= 648.35
0.9x + 0.76y + 2.66z <= 734.55
-1.55x + 0.72y + -0.54z <= 731.64
0.1x + 7.13y + -7.42z <= 709.56
-0.59x + -0.88y + -9.4z <= 998.95
3.04x + -0.69y + -6.3z <= 301.85
9.94x + -8.98y + 2.12z <= 221.42
4.22x + 3.1y + 8.72z <= 162.71
3.98x + 5.27y + -0.22z <= 807.12
7.27x + 8.91y + 8.94z <= 601.06
4.76x + 4.72y + 2.58z <= 466.44
1.07x + -1.84y + 5.15z <= 764.03
-9.87x + 8.93y + -9.09z <= 466.59
-1.07x + -5.64y + 1.8z <= 337.55
-8.4x + -4.38y + 1.71z <= 639.47
-9.84x + -1.32y + 9.21z <= 607.0
4.6x + 1.89y + -4.7z <= 440.38
-4.11x + -6.62y + -5.26z <= 766.82
9.16x + -1.11y + 2.16z <= 653.46
-7.89x + -9.83y + -0.02z <= 980.18
9.78x + 5.49y + 6.54z <= 662.07
-4.56x + 6.53y + 4.36z <= 447.78
-7.39x + 7.15y + 8.55z <= 339.08
-6.98x + -5.65y + -3.61z <= 538.3
-2.9x + -9.33y + 7.76z <= 119.15
8.07x + 2.52y + 5.14z <= 858.05
7.86x + -3.09y + -9.39z <= 588.74
9.59x + 6.51y + -9.42z <= 738.54
3.28x + -7.43y + -4.07z <= 595.35
9.11x + 0.53y + 8.76z <= 729.99
0.18x + 8.73y + -7.01z <= 308.39
-4.95x + 7.43y + 0.4z <= 945.25
1.76x + -8.15y + -5.45z <= 263.2
-2.38x + -7.4y + 1.3z <= 490.99
0.13x + 3.82y + -7.66z <= 785.99
4.76x + -2.04y + 1.12z <= 437.88
2.68x + -2.73y + 3.6z <= 398.56
-8.06x + 7.85y + 0.55z <= 232.21
-5.91x + -5.51y + -9.03z <= 459.08
-3.17x + -8.24y + 1.22z <= 993.02
-6.51x + -2.52y + -4.12z <= 230.61
-6.91x + 9.86y + -0.65z <= 752.6
-8.54x + -0.66y + -6.24z <= 683.72
4.15x + 6.09y + 0.66z <= 552.65
7.1x + -1.85y + 5.67z <= 898.51
3.88x + -8.33y + 8.55z <= 912.22
-4.47x + 6.25y + 4.69z <= 506.37
-9.9x + 6.21y + -1.32z <= 754.67
4.95x + -1.65y + 9.82z <= 876.44
8.82x + -5.17y + -8.32z <= 520.45
-9.15x + 5.2y + 7.3z <= 664.28
-6.98x + 3.53y + 5.8z <= 352.73
9.18x + 7.03y + 1.2z <= 267.8
-8.73x + -6.67y + -4.47z <= 532.78
-7.8x + -7.09y + 6.1z <= 629.01
5.66x + 1.9y + -2.94z <= 527.53
5.98x + -5.43y + -3.63z <= 898.39
2.73x + 9.05y + 0.99z <= 588.27
8.77x + -0.53y + 6.07z <= 893.98
5.13x + 6.77y + -8.63z <= 502.42
2.16x + 2.64y + -4.39z <= 801.37
-3.06x + -6.86y + 3.71z <= 637.5
3.41x + 4.08y + 2.06z <= 542.98
4.4x + 0.99y + -3.95z <= 458.69
-6.36x + -8.99y + -7.36z <= 584.24
0.26x + 5.37y + 5.84z <= 305.72
-4.85x + 7.75y + 0.89z <= 139.25
-8.79x + 0.92y + -1.38z <= 381.57
-5.24x + -9.68y + -5.72z <= 912.73
5.73x + -7.78y + 8.8z <= 609.49
6.96x + -9.37y + 0.26z <= 135.01
1.08x + 6.45y + 2.91z <= 297.85
-2.49x + 1.17y + 7.03z <= 652.4
8.84x + -7.01y + -1.98z <= 259.52
5.27x + 0.45y + -9.62z <= 265.39
9.29x + -5.24y + 2.03z <= 832.82
-6.46x + -7.22y + 2.3z <= 336.75
0.41x + -5.05y + 6.05z <= 757.01
-3.34x + -9.59y + -1.92z <= 702.05
-5.34x + 0.45y + 7.99z <= 847.66
-8.75x + 2.98y + -0.32z <= 977.69
6.3x + 3.91y + -2.8z <= 846.59
-5.46x + -9.22y + 2.62z <= 503.72
-0.62x + 9.26y + -9.27z <= 560.54
-7.87x + -2.59y + 7.16z <= 499.17
-4.12x + -0.16y + -7.71z <= 342.91
4.92x + 0.7y + 2.31z <= 929.74
4.07x + 7.69y + -9.97z <= 309.73
5.04x + 2.75y + 5.2z <= 391.38
2.48x + 6.15y + -1.63z <= 988.71
-1.0x + 2.32y + 2.34z <= 409.86
-3.52x + -8.46y + -3.01z <= 991.9
7.75x + 2.24y + 0.39z <= 322.43
-6.58x + 8.59y + 8.55z <= 742.45
-7.81x + 3.89y + -8.72z <= 489.53
-2.01x + -0.57y + -7.91z <= 711.81
9.24x + 4.38y + -7.49z <= 142.1
0.42x + -1.04y + 2.53z <= 845.26
1.31x + -7.46y + 3.1z <= 510.03
-0.76x + -3.56y + 7.82z <= 332.43
2.46x + -8.53y + -9.16z <= 195.51
2.33x + -8.87y + -6.94z <= 516.8
-1.76x + 6.11y + -9.72z <= 778.39
-7.36x + 9.89y + 6.48z <= 439.31
-3.34x + -3.68y + 4.79z <= 460.96
3.81x + -6.56y + 2.91z <= 176.78
5.23x + -3.49y + 6.39z <= 271.85
9.17x + 3.43y + -8.61z <= 393.56
8.83x + -7.87y + 3.64z <= 989.37
-2.79x + -5.66y + -4.1z <= 689.31
-2.9x + 4.12y + -1.77z <= 205.35
7.53x + -6.77y + -3.43z <= 322.73
-2.52x + 6.3y + -6.87z <= 688.19
-8.14x + 6.18y + 6.81z <= 787.63
0.15x + -0.26y + -9.29z <= 203.81
-5.34x + -1.37y + 3.84z <= 743.72
7.35x + 1.47y + 6.4z <= 857.89
-5.75x + -2.21y + -4.32z <= 105.3
4.88x + 9.46y + -0.13z <= 701.4
4.31x + -5.18y + 5.91z <= 434.57
-3.54x + -8.76y + 0.79z <= 655.99
-1.94x + -3.5y + -4.43z <= 824.74
7.56x + -4.64y + 4.28z <= 475.57
6.34x + -3.29y + 5.82z <= 939.5
-6.71x + 6.19y + 0.86z <= 562.98
-0.39x + -5.59y + 2.96z <= 627.37
9.7x + -3.07y + -2.01z <= 987.39
3.45x + 7.13y + 0.81z <= 560.94
7.5x + -8.48y + 8.3z <= 247.47
3.85x + -5.92y + -1.06z <= 103.93
-4.22x + 0.02y + -3.07z <= 536.07
-2.77x + -6.31y + 6.84z <= 595.82
-9.72x + 9.53y + 4.33z <= 634.31
-0.68x + -2.63y + -3.72z <= 158.58
6.47x + -4.15y + 2.04z <= 680.89
1.15x + 8.03y + 2.89z <= 731.06
6.48x + -9.74y + 7.86z <= 795.1
7.83x + 0.69y + -6.45z <= 508.4
-2.04x + 7.54y + -4.31z <= 746.83
-7.76x + 2.5y + 8.89z <= 838.27
5.69x + -5.61y + -7.92z <= 561.19
6.5x + 1.74y + -2.55z <= 506.86
5.95x + 4.22y + 1.56z <= 510.71
-5.84x + -8.06y + 8.55z <= 666.79
1.82x + 2.14y + -9.04z <= 286.92
0.92x + 9.68y + -1.57z <= 353.43
-0.76x + -0.03y + -0.82z <= 379.7
-1.96x + -1.11y + -7.94z <= 462.48
6.76x + 2.62y + 9.26z <= 615.53
6.15x + -6.94y + -9.06z <= 197.54
-8.47x + -8.12y + 2.98z <= 846.79
8.62x + 4.15y + 4.36z <= 141.57
8.05x + -7.34y + 0.72z <= 873.65
5.62x + -3.6y + -9.74z <= 777.49
8.79x + -8.24y + 8.48z <= 560.23
-6.7x + 3.53y + 6.85z <= 791.29
1.47x + 9.35y + -5.55z <= 696.01
-5.68x + 1.12y + -3.63z <= 316.18
-4.13x + -4.02y + -6.1z <= 490.02
5.76x + -7.82y + 2.63z <= 512.78
8.61x + -3.95y + 0.86z <= 714.31
-4.85x + -1.66y + 6.46z <= 813.36
2.55x + -1.58y + -6.25z <= 164.9
5.96x + -0.51y + -9.48z <= 735.12
5.25x + -0.14y + 7.3z <= 753.78
8.2x + 9.43y + -3.93z <= 446.82
-4.24x + 0.43y + -8.9z <= 818.36
-8.17x + 7.8y + -8.37z <= 867.63
-1.03x + -8.9y + 5.9z <= 594.29
9.83x + 5.89y + 9.42z <= 152.37
1.96x + -7.65y + -7.26z <= 997.67
-2.15x + 5.22y + 9.24z <= 670.75
7.04x + 9.41y + -7.25z <= 661.93
-9.49x + -9.92y + 0.05z <= 920.58
0.25x + -0.62y + -1.53z <= 379.49
-6.78x + -5.4y + 8.11z <= 516.0
-8.13x + 1.71y + 1.79z <= 888.5
8.58x + 7.14y + -9.55z <= 515.35
-5.25x + -3.04y + -8.95z <= 207.69
-1.71x + -5.67y + -1.53z <= 730.98
4.16x + 9.49y + -9.27z <= 291.87
-2.75x + -9.96y + -3.99z <= 566.61
3.18x + 0.15y + -3.44z <= 290.44
5.46x + 5.31y + -9.05z <= 352.08
6.28x + -3.12y + 3.18z <= 386.69
4.81x + -2.2y + 1.4z <= 957.15
-4.16x + -3.82y + -8.11z <= 614.35
-1.53x + -6.66y + 9.93z <= 713.54
-7.22x + -3.5y + -4.38z <= 388.35
-6.3x + 8.61y + 2.44z <= 163.4
-2.59x + -3.5y + -4.29z <= 348.3
6.33x + -4.38y + -7.08z <= 820.08
-3.96x + 4.0y + -4.36z <= 225.86
2.78x + 2.11y + -1.05z <= 887.19
-8.25x + -9.54y + 7.02z <= 368.62
-3.18x + -9.61y + -7.11z <= 763.66
7.95x + 7.14y + -2.3z <= 365.92
-6.37x + 1.07y + -3.06z <= 975.62
5.93x + 1.89y + 2.07z <= 218.04
9.95x + 3.24y + -4.99z <= 410.64
4.51x + 8.83y + -4.22z <= 817.89
4.17x + -1.35y + -5.86z <= 364.43
-9.94x + 0.38y + -6.46z <= 728.34
4.13x + -6.88y + -1.73z <= 393.76
6.09x + -5.73y + -7.7z <= 555.51
8.57x + -8.49y + -2.55z <= 642.45
-9.17x + -7.4y + 4.11z <= 336.8
9.01x + 1.05y + 1.36z <= 971.16
2.33x + -4.87y + -6.71z <= 441.53
-2.75x + 3.9y + -3.51z <= 338.34
-6.7x + -2.31y + -0.17z <= 531.71
-8.65x + -5.5y + -4.12z <= 139.99
8.42x + -7.43y + -0.18z <= 606.12
8.07x + -0.03y + 4.4z <= 863.37
-5.79x + 0.87y + -1.59z <= 437.15
3.24x + -2.32y + -7.17z <= 568.28
-1.74x + -2.77y + -8.82z <= 119.24
-8.56x + 1.08y + -1.5z <= 173.36
5.68x + 9.78y + 1.36z <= 551.41
-9.73x + 6.03y + -3.84z <= 871.77
5.92x + 3.93y + -3.16z <= 266.02
0.46x + -9.88y + -2.86z <= 716.1
-9.87x + 1.74y + -4.99z <= 793.47
0.7x + 1.82y + -9.46z <= 753.3
3.93x + 8.81y + -4.35z <= 911.21
3.71x + 3.44y + -4.35z <= 661.61
3.94x + 6.21y + -9.59z <= 478.53
9.58x + -7.9y + -6.65z <= 784.8
-3.47x + 0.09y + 7.29z <= 306.48
8.38x + 1.6y + -3.71z <= 392.4
0.67x + -6.88y + -4.26z <= 760.24
3.94x + -4.13y + -8.42z <= 640.8
-3.77x + 1.84y + 0.42z <= 220.71
5.01x + -0.66y + -5.0z <= 171.72
-6.79x + 7.8y + -0.87z <= 123.49
2.62x + 6.96y + -5.77z <= 638.58
2.11x + 1.34y + -3.09z <= 863.58
-4.79x + 3.34y + -7.05z <= 219.67
-5.38x + -8.6y + -9.07z <= 193.02
-5.23x + -1.86y + 9.34z <= 682.4
6.23x + 7.83y + 7.23z <= 229.25
1.41x + 9.78y + 8.84z <= 643.63
-6.57x + -2.69y + 8.33z <= 858.81
0.08x + 0.44y + 0.94z <= 962.07
4.13x + -0.88y + 5.98z <= 410.87
-9.07x + -2.12y + 1.74z <= 202.07
-9.94x + 6.86y + -1.64z <= 740.84
-2.83x + -5.28y + 7.32z <= 458.36
-9.25x + -8.12y + 5.11z <= 287.3
-9.03x + -4.93y + -9.78z <= 429.16
-5.12x + -4.73y + -5.04z <= 561.73
3.22x + -5.26y + 1.29z <= 691.17
1.28x + -8.3y + 6.25z <= 550.5
3.18x + -4.47y + -9.18z <= 354.17
-0.59x + 8.69y + 8.33z <= 219.42
-3.67x + -2.53y + 0.36z <= 638.37
-9.92x + 5.39y + -6.69z <= 323.38
7.34x + -3.63y + -9.35z <= 534.31
7.62x + -7.96y + 5.38z <= 294.96
6.29x + 4.02y + -3.83z <= 536.2
4.87x + 7.13y + 3.87z <= 810.41
-3.42x + 8.35y + -6.46z <= 760.17
-1.13x + -8.6y + -5.14z <= 398.74
8.87x + 9.95y + 4.64z <= 317.6
1.42x + -7.73y + -8.68z <= 520.14
-0.75x + 5.98y + 7.98z <= 125.43
1.25x + 2.04y + 3.32z <= 803.72
9.97x + 6.59y + 6.83z <= 689.32
4.16x + -6.74y + 0.9z <= 801.83
0.54x + 8.29y + 0.85z <= 428.82
8.64x + 3.03y + 1.97z <= 365.09
-3.77x + 0.84y + -0.46z <= 782.8
-8.86x + 5.54y + -4.02z <= 289.18
2.72x + -4.02y + -5.39z <= 824.16
2.05x + -0.51y + 5.26z <= 160.9
0.19x + 3.31y + -6.9z <= 796.14
0.93x + -3.03y + 9.21z <= 479.68
-7.56x + -2.41y + -3.37z <= 560.93
3.65x + -1.05y + -1.01z <= 627.17
-1.25x + -1.1y + -9.17z <= 468.54
-0.43x + -2.46y + -4.96z <= 750.46
-0.57x + 1.26y + 5.11z <= 511.23
-7.81x + -3.62y + 9.26z <= 995.63
-6.52x + -3.35y + 3.66z <= 497.62
6.36x + 4.63y + -0.97z <= 519.27
-1.54x + -9.73y + 3.42z <= 548.37
9.63x + 5.87y + 5.21z <= 972.69
-7.35x + -4.2y + -7.82z <= 579.86
-7.88x + -6.35y + 5.33z <= 419.29
-0.43x + 6.21y + 8.99z <= 227.89
-5.96x + -9.29y + -1.87z <= 115.76
5.79x + -2.62y + 5.77z <= 701.29
5.55x + 6.24y + 0.99z <= 271.24
-1.3x + -7.38y + -8.94z <= 635.38
8.24x + -4.13y + -6.39z <= 212.71
7.32x + 4.43y + -0.36z <= 385.58
-8.51x + -8.69y + 2.43z <= 840.2
6.62x + -3.7y + -5.51z <= 497.04
-4.4x + -9.22y + -2.22z <= 480.88
-9.02x + -4.17y + 1.42z <= 831.41
3.34x + -0.2y + 1.67z <= 582.66
-0.77x + 7.81y + -8.16z <= 649.66
8.49x + -8.57y + 5.36z <= 578.0
-7.62x + 7.52y + -3.94z <= 595.05
-9.36x + 4.69y + -6.82z <= 535.2
-1.5x + -0.33y + 0.83z <= 487.95
-8.99x + 9.7y + 6.88z <= 305.35
1.54x + -0.41y + 4.2z <= 884.71
9.15x + -6.33y + 6.86z <= 317.65
-7.9x + 2.15y + -3.88z <= 123.49
9.11x + -7.58y + 0.56z <= 618.46
-2.26x + 7.81y + -3.73z <= 257.36
6.73x + 2.69y + -4.24z <= 127.72
-2.67x + -3.9y + 0.98z <= 273.11
6.59x + 2.64y + -2.5z <= 423.59
7.88x + 1.3y + -4.03z <= 910.51
-0.71x + 9.07y + 2.95z <= 183.16
3.74x + 1.44y + -4.21z <= 137.57
4.21x + 4.51y + 8.14z <= 658.66
-3.92x + -3.1y + 0.99z <= 182.13
-3.8x + 3.71y + 6.66z <= 207.19
0.73x + -9.83y + 3.87z <= 654.93
6.34x + -9.72y + 6.34z <= 601.19
2.65x + -7.26y + -5.82z <= 768.34
-7.92x + 7.44y + -4.89z <= 261.86
-6.3x + -2.0y + 4.69z <= 425.03
-0.45x + 8.03y + -0.42z <= 668.29
-6.88x + 1.23y + -7.21z <= 295.93
1.53x + -2.06y + 6.11z <= 588.92
8.21x + -2.85y + 9.51z <= 706.29
1.97x + -4.61y + -6.79z <= 703.07
1.85x + -1.95y + 1.51z <= 715.3
-3.76x + 6.88y + -2.99z <= 386.29
1.85x + 7.16y + -0.41z <= 258.27
-9.23x + -4.78y + 1.55z <= 186.3
-8.25x + 4.4y + 9.52z <= 863.93
-7.77x + 4.91y + -5.51z <= 209.71
0.34x + 0.09y + -8.71z <= 424.88
-2.64x + 7.63y + -3.16z <= 970.18
-3.35x + 2.55y + 4.88z <= 882.04
-9.58x + -3.02y + -0.37z <= 130.27
4.34x + -8.78y + -0.04z <= 487.16
-2.94x + 6.9y + -8.34z <= 469.72
-5.7x + 5.23y + 8.37z <= 432.34
8.96x + -1.5y + -8.26z <= 887.18
8.01x + 9.44y + -4.66z <= 124.07
3.37x + 5.85y + -2.78z <= 672.76
9.49x + -2.04y + 4.56z <= 892.61
-9.25x + 7.62y + -4.12z <= 792.81
-0.37x + 2.0y + 9.24z <= 666.14
9.75x + -0.58y + 3.57z <= 271.36
-4.02x + 7.05y + 6.09z <= 749.83
1.9x + 7.9y + 1.57z <= 732.92
2.22x + 5.91y + 1.65z <= 175.34
0.38x + -0.49y + -8.34z <= 797.06
-7.42x + -1.21y + 2.53z <= 760.02
9.01x + -0.31y + 5.55z <= 429.85
1.96x + -8.27y + -6.11z <= 138.92
3.36x + 9.14y + -1.26z <= 791.83
-3.55x + -2.81y + -9.17z <= 418.79
2.37x + -7.64y + -1.14z <= 132.83
-7.26x + -1.23y + 2.45z <= 277.6
-3.73x + 7.68y + -0.08z <= 870.02
-9.46x + -1.05y + -6.43z <= 574.94
-6.72x + -3.49y + -6.05z <= 847.03
-8.58x + 3.47y + 3.04z <= 814.76
-8.0x + 7.25y + 3.11z <= 537.69
8.83x + -0.21y + -1.94z <= 568.13
6.14x + -1.66y + -4.7z <= 755.35
4.32x + -3.1y + -9.56z <= 458.7
-4.73x + -2.14y + -8.94z <= 465.02
1.72x + -1.03y + 6.16z <= 540.23
-0.34x + 4.85y + -6.99z <= 384.15
7.99x + 4.57y + 5.91z <= 751.37
-3.56x + -4.45y + 2.54z <= 408.04
4.65x + -6.04y + 3.73z <= 301.21
1.1x + -2.95y + 4.63z <= 364.14
5.14x + -7.14y + 6.49z <= 976.24
-1.05x + -9.62y + -9.28z <= 572.43
-3.45x + -6.94y + 1.32z <= 976.83
-0.87x + 8.77y + 1.35z <= 744.79
-8.88x + -6.54y + 7.51z <= 533.36
7.71x + -7.04y + 2.51z <= 596.27
-9.31x + -1.43y + 7.24z <= 954.93
3.87x + -5.81y + -8.76z <= 270.88
9.79x + 4.03y + 2.17z <= 942.06
8.64x + -7.63y + 1.35z <= 358.49
5.74x + -6.07y + -7.95z <= 869.06
3.46x + 8.84y + -4.78z <= 501.04
4.65x + 6.52y + -0.77z <= 451.14
5.62x + 1.45y + -8.98z <= 404.6
