max -7.92x + -0.77y + -8.39z
9.21x + 4.66y + 7.45z <= 224.04
6.65x + -2.65y + 1.03z <= 774.47
1.03x + 7.8y + 3.04z <= 243.82
-4.74x + 8.02y + 1.01z <= 384.52
-2.62x + 1.19y + -8.95z <= 911.34
-5.22x + -4.05y + 0.97z <= 113.09
7.59x + -7.26y + 2.29z <= 660.87
-0.79x + 9.48y + 7.03z <= 587.11
-9.45x + 1.92y + -6.25z <= 971.94
-3.08x + -9.33y + -0.58z <= 494.14
8.39x + 4.17y + -5.67z <= 625.39
-0.48x + -3.28y + 3.29z <= 666.48
-5.23x + -9.5y + -7.67z <= 178.53
-9.62x + 7.56y + -3.33z <= 910.5
7.09x + -4.43y + -3.47z <= 294.63
6.21x + -7.51y + 7.23z <= 636.52
2.67x + 7.8y + 1.17z <= 126.86
4.5x + 4.34y + 8.85z <= 397.9
5.4x + -6.03y + -9.19z <= 545.48
-8.11x + 1.08y + -5.11z <= 777.71
2.92x + -8.21y + -0.34z <= 439.01
7.53x + 0.82y + 5.71z <= 612.51
-8.19x + -5.46y + 7.0z <= 506.28
-8.0x + 2.06y + -3.91z <= 177.52
-4.26x + 0.99y + 5.51z <= 136.41
3.66x + 0.17y + 1.12z <= 856.03
-4.18x + 9.84y + 3.31z <= 269.4
8.26x + -8.97y + 8.11z <= 473.57
5.02x + 6.56y + -2.79z <= 798.99
3.54x + -3.42y + -2.56z <= 513.29
6.57x + -9.77y + -2.41z <= 744.78
-4.98x + 5.6y + -8.14z <= 180.72
1.21x + 8.19y + 8.51z <= 565.83
2.24x + -8.41y + -9.87z <= 243.11
3.46x + -1.48y + -9.05z <= 119.26
-1.93x + 5.62y + 6.91z <= 828.81
2.73x + 3.26y + 5.23z <= 132.35
-6.55x + -0.52y + -6.47z <= 405.59
7.26x + 2.66y + 4.04z <= 515.36
1.3x + -6.34y + -7.73z <= 254.07
-3.89x + -5.32y + 0.19z <= 941.45
-6.48x + -8.71y + 2.84z <= 299.71
-5.03x + 6.51y + 9.51z <= 307.28
5.25x + -4.81y + 9.04z <= 984.9
-2.47x + 0.86y + -1.67z <= 313.47
-0.97x + 6.87y + -5.22z <= 427.54
8.27x + -0.36y + -1.17z <= 485.04
-2.68x + -9.32y + 8.04z <= 921.26
-7.87x + 8.38y + -4.18z <= 924.18
-7.37x + -5.26y + 3.08z <= 694.98
-7.92x + -7.5y + 1.78z <= 107.7
2.85x + 9.93y + -1.01z <= 933.44
-8.54x + 3.62y + 1.0z <= 198.6
-8.58x + -0.4y + -8.86z <= 441.93
3.22x + 0.09y + -7.48z <= 801.51
4.3x + 8.14y + -8.13z <= 785.93
-0.57x + -5.99y + 4.91z <= 574.34
-2.41x + -8.46y + -0.87z <= 498.52
0.62x + 4.53y + -4.75z <= 708.93
9.91x + -4.2y + -9.08z <= 981.94
-4.63x + 1.6y + 7.52z <= 868.32
0.43x + 9.52y + 1.3z <= 519.94
5.28x + 9.39y + 6.29z <= 919.47
7.89x + 0.36y + 3.47z <= 288.28
2.32x + 0.5y + -9.06z <= 239.95
1.55x + -0.11y + -0.83z <= 337.7
-2.96x + -4.62y + 4.95z <= 650.03
5.42x + -2.6y + 9.48z <= 624.61
-9.38x + 5.26y + 0.74z <= 734.15
-3.83x + 7.1y + -6.61z <= 416.53
-5.52x + 4.35y + 6.71z <= 893.41
-6.93x + 7.72y + -8.56z <= 749.53
3.77x + 9.62y + -4.42z <= 508.56
9.78x + 4.94y + 1.68z <= 817.81
5.83x + -6.59y + -6.47z <= 468.19
-9.4x + -0.61y + -6.64z <= 187.18
-2.75x + 9.27y + -1.04z <= 611.02
6.24x + -8.74y + 3.65z <= 802.26
2.59x + -1.83y + -5.15z <= 245.43
5.36x + 9.11y + 5.36z <= 130.61
4.94x + -9.01y + 9.13z <= 270.08
-6.12x + 1.41y + 1.57z <= 575.63
2.53x + 0.01y + -0.05z <= 703.28
-6.02x + -7.14y + -3.16z <= 354.88
-3.11x + 9.04y + -9.77z <= 512.85
5.25x + -1.3y + -8.52z <= 373.35
1.54x + -4.54y + 2.91z <= 637.23
-7.81x + 2.64y + -7.71z <= 346.73
-1.91x + 8.12y + -5.54z <= 833.01
0.57x + -2.9y + 8.42z <= 808.62
2.72x + -1.45y + -5.26z <= 108.85
2.51x + -7.33y + -2.14z <= 204.79
1.1x + -5.47y + -2.57z <= 433.45
-5.73x + 5.7y + 7.29z <= 434.38
-3.9x + -9.8y + 7.74z <= 884.97
-4.5x + -4.08y + -8.2z <= 966.8
-5.69x + -3.52y + -5.62z <= 429.55
3.67x + -3.59y + -0.75z <= 801.45
-3.83x + -9.73y + 1.56z <= 385.29
-7.79x + -6.31y + 1.54z <= 472.61
3.13x + -3.7y + -0.54z <= 180.73
1.46x + 4.75y + -9.1z <= 362.18
-8.27x + -1.6y + -9.7z <= 884.93
0.13x + -6.5y + 3.56z <= 675.42
3.36x + -2.82y + -2.29z <= 954.35
5.45x + -7.85y + 5.26z <= 836.04
-3.31x + 6.96y + -5.81z <= 707.36
4.98x + -6.52y + 3.57z <= 645.61
-9.59x + 4.39y + -7.48z <= 295.99
-1.69x + -9.92y + -8.89z <= 304.11
-7.63x + -4.85y + 7.32z <= 100.56
-1.77x + -4.15y + 3.39z <= 285.18
-3.46x + -1.34y + 1.27z <= 570.36
2.54x + -9.6y + 5.42z <= 685.55
-3.41x + 7.98y + -8.16z <= 337.62
2.29x + 3.92y + -4.64z <= 946.76
-2.96x + -8.1y + 5.02z <= 379.14
-6.7x + 1.42y + 5.42z <= 532.57
6.99x + -4.22y + -3.57z <= 793.44
7.72x + -9.86y + 4.18z <= 678.41
7.82x + 1.6y + -9.45z <= 599.02
7.74x + -2.21y + -6.97z <= 648.99
8.73x + -6.67y + -0.72z <= 413.77
-1.43x + 4.91y + -7.75z <= 417.14
-1.26x + 9.53y + -0.84z <= 181.81
2.59x + -6.38y + 3.37z <= 716.66
7.45x + -6.45y + 7.65z <= 644.01
-3.68x + 6.65y + -7.77z <= 184.65
-6.42x + 0.84y + 3.28z <= 249.79
1.41x + 2.82y + -4.65z <= 345.38
1.5x + 3.76y + -8.31z <= 146.72
-4.41x + -3.19y + 1.09z <= 840.79
-6.1x + 7.39y + -6.82z <= 657.96
-9.4x + -7.03y + 0.61z <= 877.85
-4.15x + 3.34y + 0.59z <= 521.71
-9.87x + 3.92y + 3.6z <= 922.83
-6.91x + 7.75y + 1.14z <= 946.3
7.31x + -6.54y + -9.15z <= 573.58
7.32x + -9.77y + -7.51z <= 421.11
7.99x + -1.41y + 4.86z <= 220.35
-4.86x + 2.8y + -0.71z <= 485.76
4.3x + 5.37y + 6.13z <= 483.69
6.65x + -3.92y + 1.68z <= 336.23
-0.22x + -9.28y + 6.8z <= 198.01
-9.75x + -6.96y + -4.44z <= 577.93
6.4x + -5.61y + -5.31z <= 283.02
-0.94x + -8.55y + 6.4z <= 159.33
-1.5x + 2.52y + 9.9z <= 559.88
0.92x + 9.78y + 1.63z <= 998.72
-2.35x + -0.26y + -7.07z <= 410.57
-7.33x + 8.02y + -0.49z <= 115.14
0.12x + 1.35y + 2.49z <= 917.11
-0.27x + -4.36y + -0.52z <= 208.39
-3.59x + -5.83y + 2.6z <= 520.19
-9.29x + -1.07y + -1.26z <= 109.96
-7.59x + -4.25y + 8.41z <= 759.13
-6.66x + -2.29y + 1.68z <= 232.48
7.49x + -5.65y + 8.44z <= 433.45
2.32x + 6.3y + 4.77z <= 984.0
-8.32x + -2.57y + -3.23z <= 142.19
-7.15x + 7.85y + -4.73z <= 962.64
-9.97x + -1.06y + -8.41z <= 561.51
-3.74x + -5.17y + 2.9z <= 112.83
-0.93x + 7.72y + -4.6z <= 704.4
4.44x + 1.14y + -2.48z <= 840.55
-5.16x + 5.13y + 1.84z <= 666.82
1.72x + -7.42y + 5.23z <= 202.43
-4.65x + 1.98y + 0.55z <= 524.31
-6.23x + -1.14y + 4.52z <= 181.29
9.56x + 8.52y + 9.07z <= 176.75
-2.77x + -1.36y + -3.72z <= 451.64
-7.4x + 6.73y + -6.46z <= 607.57
3.82x + 1.91y + -7.16z <= 136.26
-3.26x + -0.08y + -4.87z <= 408.36
-3.28x + 6.18y + 8.72z <= 744.67
5.19x + 0.63y + -1.46z <= 284.26
3.53x + 0.95y + -0.57z <= 746.59
2.68x + 3.1y + 1.35z <= 430.31
8.66x + -0.32y + -0.66z <= 411.65
-5.22x + 8.02y + 0.02z <= 187.66
0.63x + 6.25y + 1.16z <= 721.6
-1.38x + 3.92y + 1.89z <= 933.71
1.69x + -3.22y + 8.69z <= 899.58
-5.53x + 6.09y + 5.11z <= 781.96
0.81x + -8.89y + -3.66z <= 305.78
-1.05x + -3.44y + 3.99z <= 611.01
7.91x + -2.86y + -9.73z <= 370.62
4.37x + -4.84y + -6.51z <= 432.85
6.28x + 6.31y + -1.81z <= 233.62
-6.05x + -5.14y + 9.24z <= 965.25
5.53x + 7.87y + -4.41z <= 554.41
0.12x + -2.12y + 0.81z <= 434.51
-7.38x + 4.16y + 6.42z <= 123.86
3.0x + 1.18y + 5.48z <= 483.17
8.3x + 0.54y + 5.27z <= 482.2
0.77x + 2.71y + -8.97z <= 879.22
-4.23x + -2.97y + -4.06z <= 575.03
-1.04x + 2.61y + -7.49z <= 509.79
-7.04x + 4.0y + 3.52z <= 350.18
0.14x + -7.21y + -3.0z <= 256.95
-6.86x + 2.27y + 5.17z <= 900.41
0.27x + -8.65y + 5.11z <= 330.99
-4.56x + -6.57y + -1.19z <= 163.91
3.1x + 4.54y + 2.32z <= 930.7
5.27x + -7.96y + -1.86z <= 458.15
1.34x + 1.26y + 0.83z <= 334.23
-4.0x + 6.93y + -7.36z <= 953.67
-5.36x + 3.39y + -1.68z <= 200.54
-5.47x + -3.46y + 2.57z <= 226.61
6.66x + -4.53y + 1.22z <= 916.54
2.12x + -3.53y + 2.8z <= 782.65
-3.5x + -8.76y + -5.74z <= 717.82
-0.96x + 5.44y + 3.23z <= 473.33
-6.73x + -0.64y + -3.05z <= 145.51
-1.56x + 3.63y + 9.82z <= 630.86
-0.88x + -0.47y + -8.11z <= 508.55
-3.14x + -6.7y + -4.12z <= 848.17
-8.61x + -6.66y + -6.59z <= 572.78
-3.24x + 9.41y + 6.63z <= 944.73
1.51x + 6.55y + -8.96z <= 448.28
0.37x + -9.12y + 4.96z <= 479.87
-3.69x + -9.52y + -1.07z <= 369.23
5.67x + 9.06y + 8.23z <= 467.19
3.95x + 6.94y + 1.52z <= 206.93
4.89x + -7.46y + 3.21z <= 849.48
6.75x + 3.8y + 7.63z <= 631.37
-5.26x + 0.63y + -7.89z <= 763.42
-6.66x + 3.28y + 1.77z <= 850.05
-4.66x + -3.28y + -2.75z <= 924.86
0.34x + 9.08y + -4.11z <= 214.5
-5.19x + -9.89y + 5.43z <= 725.54
-6.04x + -0.36y + 8.76z <= 142.84
6.09x + -0.3y + 6.79z <= 302.25
8.68x + -5.05y + 9.21z <= 211.07
-3.9x + -1.08y + -7.62z <= 867.37
-4.7x + 3.48y + -8.64z <= 882.98
1.86x + 2.43y + -5.6z <= 185.85
8.03x + 9.82y + -0.97z <= 263.99
-2.7x + 8.47y + -7.68z <= 471.29
-5.42x + -9.77y + 8.81z <= 791.72
-1.91x + -1.05y + 1.5z <= 224.28
6.78x + -0.99y + -8.08z <= 621.05
-5.88x + 6.48y + 1.42z <= 777.17
-4.23x + -7.02y + -7.58z <= 380.19
-4.38x + -2.11y + -0.09z <= 319.75
7.34x + 2.11y + -1.97z <= 334.19
-9.72x + -9.65y + 9.24z <= 739.62
9.04x + -2.68y + 6.07z <= 665.43
2.31x + -2.55y + 4.39z <= 498.76
5.73x + 1.45y + -0.41z <= 455.19
9.83x + -0.23y + 0.3z <= 709.63
8.29x + -2.46y + -3.27z <= 209.4
2.57x + 2.68y + 9.84z <= 244.96
4.48x + -0.93y + 1.59z <= 150.11
1.3x + 8.67y + -7.77z <= 311.92
7.12x + 5.31y + -2.97z <= 986.43
3.36x + -5.58y + 9.78z <= 907.37
5.96x + -7.35y + -4.65z <= 147.92
4.58x + -5.91y + 8.87z <= 652.04
3.37x + 5.99y + 8.5z <= 457.17
8.52x + 4.5y + 6.64z <= 149.46
-1.59x + -0.06y + 9.35z <= 302.36
-5.47x + -6.0y + 1.51z <= 605.5
0.71x + -4.98y + 3.22z <= 980.15
1.98x + 8.06y + -9.81z <= 980.59
-1.46x + -9.47y + 8.45z <= 198.82
0.29x + 3.75y + -9.23z <= 230.66
1.03x + -3.44y + -7.04z <= 817.54
5.92x + 7.16y + -9.26z <= 313.87
1.87x + -1.65y + 9.96z <= 892.65
-0.62x + -9.24y + -7.38z <= 253.48
-5.1x + -8.73y + 8.86z <= 554.17
3.06x + 0.74y + -9.83z <= 290.87
4.85x + -7.87y + -2.53z <= 556.71
-2.21x + -3.63y + -2.86z <= 930.78
5.17x + -4.55y + -6.71z <= 341.34
-1.41x + 5.06y + -4.13z <= 879.12
-1.31x + -0.22y + 6.2z <= 271.58
-4.95x + 7.24y + 1.13z <= 455.19
6.99x + -9.83y + 1.61z <= 197.35
-9.63x + 7.41y + 7.66z <= 873.07
9.66x + -0.59y + -8.93z <= 197.77
-6.79x + -6.84y + 8.72z <= 109.62
4.96x + 0.43y + 1.43z <= 600.54
-2.25x + 8.54y + 9.5z <= 197.35
0.4x + 9.41y + 3.9z <= 875.81
2.95x + -7.62y + 5.14z <= 257.34
-3.54x + -4.44y + 8.14z <= 471.98
-4.29x + -2.38y + 3.92z <= 150.25
-1.9x + 4.56y + -4.21z <= 582.68
8.9x + 6.68y + -5.11z <= 892.17
-8.34x + 4.34y + -8.86z <= 458.42
-6.31x + -8.32y + -3.07z <= 186.72
2.49x + 5.87y + -4.91z <= 103.55
-3.89x + -2.74y + 4.87z <= 696.38
8.83x + 5.46y + -7.78z <= 702.47
8.7x + -5.0y + -4.16z <= 583.74
-6.48x + 7.97y + -5.78z <= 804.81
4.15x + -5.69y + 4.04z <= 738.1
0.54x + -6.68y + 3.13z <= 837.0
-7.52x + -6.92y + 6.85z <= 952.97
5.86x + -4.58y + -1.59z <= 647.63
6.51x + 7.35y + -7.31z <= 411.38
2.68x + 7.54y + -3.52z <= 424.57
-5.04x + -2.71y + 8.46z <= 654.59
-6.45x + -5.67y + -2.42z <= 771.96
-0.09x + 7.84y + -5.69z <= 667.94
-2.05x + 6.82y + 4.5z <= 858.97
3.47x + 8.04y + -7.52z <= 101.26
-7.63x + 8.87y + -2.61z <= 942.57
6.46x + -8.85y + -0.08z <= 431.52
5.64x + -6.65y + 8.24z <= 805.47
-0.02x + 5.19y + 7.29z <= 170.56
8.6x + -5.61y + -6.69z <= 118.84
6.62x + -5.48y + -7.68z <= 774.99
7.94x + -3.79y + -7.7z <= 110.32
-1.15x + -8.66y + -9.05z <= 264.27
5.2x + -9.23y + -9.62z <= 224.49
5.36x + 1.13y + 3.26z <= 284.27
8.81x + 8.65y + 4.7z <= 775.49
0.62x + -3.03y + 1.22z <= 451.94
0.4x + -4.02y + 8.35z <= 239.5
-7.55x + 3.8y + 4.28z <= 412.16
8.63x + -2.85y + -2.65z <= 591.22
-5.97x + 4.28y + 5.36z <= 171.81
4.82x + -5.65y + -7.32z <= 738.1
-8.13x + -5.82y + 2.62z <= 436.74
9.6x + 0.88y + 9.89z <= 555.87
-3.46x + -6.91y + 3.95z <= 781.94
-8.18x + 0.57y + 0.08z <= 856.48
7.18x + 8.85y + 1.11z <= 263.29
6.81x + 2.88y + 0.77z <= 755.1
4.11x + -2.36y + -3.19z <= 689.45
-7.54x + -4.09y + 9.54z <= 325.3
2.17x + 3.72y + -4.63z <= 433.47
-1.69x + 7.04y + -6.11z <= 586.25
-4.51x + -5.89y + 4.3z <= 410.69
-4.76x + -0.39y + -1.75z <= 178.4
-0.81x + -9.64y + -5.39z <= 613.11
4.69x + -8.6y + 7.11z <= 880.14
-7.68x + 7.72y + 3.55z <= 334.48
-7.72x + 4.89y + -6.86z <= 521.76
1.1x + -5.49y + -7.89z <= 107.25
-2.66x + 1.33y + 8.28z <= 375.22
-6.44x + -9.19y + 4.57z <= 829.24
4.7x + 0.73y + -0.29z <= 786.98
-5.83x + -5.69y + 8.65z <= 935.3
8.06x + -1.61y + 0.11z <= 551.62
7.11x + 8.07y + -3.17z <= 495.64
-4.0x + -9.88y + -0.23z <= 177.9
-4.33x + -7.54y + 9.35z <= 172.34
5.31x + 9.49y + -7.39z <= 330.72
8.32x + 8.97y + -7.73z <= 561.56
7.73x + 1.02y + 4.96z <= 773.37
6.51x + -2.95y + 4.38z <= 625.26
-0.27x + 5.01y + 3.3z <= 549.79
6.94x + 0.75y + -8.73z <= 347.47
-5.54x + -8.06y + 5.55z <= 924.07
3.48x + -5.32y + 0.04z <= 257.19
0.54x + 5.44y + 5.56z <= 215.21
2.91x + -4.44y + -4.01z <= 323.28
-5.84x + -0.59y + 9.19z <= 993.28
5.95x + 8.34y + -6.75z <= 163.65
8.13x + -8.99y + 6.59z <= 312.09
8.17x + -0.98y + 0.26z <= 897.82
8.62x + -9.01y + -4.96z <= 787.71
1.97x + -5.82y + 8.57z <= 981.94
9.8x + -1.22y + -3.65z <= 700.14
8.95x + 1.54y + -5.85z <= 331.33
-1.41x + 2.33y + 5.74z <= 208.16
-2.6x + -1.52y + 4.87z <= 831.07
5.67x + -4.75y + -5.2z <= 645.34
-5.29x + 1.21y + 4.79z <= 517.45
5.46x + 8.95y + 5.76z <= 476.14
6.74x + 7.78y + 2.67z <= 636.44
6.02x + 4.89y + -3.58z <= 545.8
0.9x + 1.43y + -8.35z <= 992.42
4.3x + -7.99y + -6.68z <= 116.6
0.75x + -8.31y + 5.03z <= 155.34
6.06x + -9.78y + 1.86z <= 507.93
-5.29x + -2.59y + 0.82z <= 939.0
-2.23x + 5.57y + 0.64z <= 330.67
-5.78x + -4.92y + -7.16z <= 399.23
-7.03x + 5.18y + 4.37z <= 484.3
4.27x + -4.69y + -8.63z <= 279.83
7.61x + -4.87y + 2.72z <= 757.8
5.37x + -5.9y + -1.76z <= 441.49
-6.73x + -1.16y + 0.2z <= 744.06
-4.54x + -4.77y + 4.02z <= 581.0
-6.27x + 4.38y + -8.06z <= 978.61
-7.37x + 1.57y + 7.33z <= 526.57
4.03x + 6.41y + -9.75z <= 116.34
3.72x + -1.0y + 5.73z <= 839.38
3.13x + 0.89y + -8.38z <= 751.1
2.38x + -8.93y + 9.69z <= 916.05
6.94x + 2.08y + -6.98z <= 900.87
3.36x + -5.37y + 6.5z <= 352.08
-2.96x + 9.7y + 0.78z <= 303.66
-3.13x + 4.23y + 9.65z <= 743.17
-0.32x + -4.77y + 10.0z <= 337.73
-1.73x + 4.84y + 0.9z <= 175.41
4.0x + 0.43y + 9.71z <= 528.31
-7.94x + -5.54y + -3.67z <= 119.41
-0.56x + 0.46y + -5.48z <= 101.37
-1.97x + -9.47y + -1.8z <= 562.98
-9.99x + 7.71y + 0.28z <= 328.55
-4.18x + -8.82y + -4.07z <= 182.53
-3.47x + -6.87y + -0.22z <= 618.9
-4.07x + 5.04y + -3.43z <= 386.9
5.27x + 8.15y + -7.9z <= 157.32
-3.74x + 5.13y + 6.86z <= 553.4
1.16x + -9.58y + -4.12z <= 189.86
9.29x + 8.55y + 5.63z <= 761.41
-3.54x + 6.89y + -8.24z <= 608.55
6.69x + 1.66y + -4.33z <= 940.64
-9.75x + -8.5y + 1.66z <= 192.5
5.43x + 4.31y + -1.77z <= 742.78
0.59x + 9.25y + -6.85z <= 439.89
-8.62x + -4.85y + -7.21z <= 994.18
-4.87x + -3.95y + 0.45z <= 817.64
-0.33x + -1.29y + 9.44z <= 667.52
-4.59x + 2.69y + -9.19z <= 773.03
8.02x + -4.23y + 4.06z <= 913.96
-4.98x + -8.11y + 3.23z <= 800.43
-4.55x + 8.19y + 9.03z <= 705.22
-4.79x + 7.34y + -2.33z <= 989.87
-0.77x + 3.42y + -6.07z <= 820.9
2.39x + 7.44y + 5.47z <= 982.02
8.05x + -8.63y + -4.46z <= 740.96
-5.48x + 3.43y + -8.87z <= 864.68
8.17x + 7.29y + 2.82z <= 242.46
-3.23x + 9.17y + -4.7z <= 670.97
-4.07x + -4.86y + -7.07z <= 889.92
-1.3x + 8.41y + 2.22z <= 448.14
-6.6x + 5.11y + -3.88z <= 817.84
2.62x + 2.48y + 0.28z <= 995.3
-2.22x + -7.79y + -0.06z <= 112.79
9.34x + -4.33y + 6.45z <= 420.79
-7.14x + 8.79y + 4.65z <= 286.6
-0.1x + -7.35y + 1.15z <= 429.6
-9.34x + 7.63y + -1.92z <= 915.14
8.37x + 0.89y + -1.72z <= 144.95
-5.88x + -9.3y + -9.56z <= 349.87
-1.51x + 8.72y + 6.49z <= 422.78
-3.05x + -8.12y + -4.57z <= 841.83
2.92x + 1.43y + -4.82z <= 681.47
2.42x + 6.24y + 7.11z <= 418.15
-6.42x + 4.43y + -6.08z <= 135.82
-3.56x + 3.36y + -2.9z <= 527.36
0.91x + -2.66y + 7.78z <= 823.09
0.56x + -7.66y + 0.05z <= 566.24
-0.4x + 5.9y + -8.57z <= 860.59
-7.13x + 2.19y + 5.04z <= 932.19
6.14x + 6.39y + 3.75z <= 936.89
-6.76x + -2.43y + 0.56z <= 776.77
1.16x + 3.81y + -5.48z <= 530.27
-9.93x + 1.5y + -8.41z <= 485.14
-4.08x + 9.26y + -0.87z <= 534.69
-5.12x + -5.59y + 9.92z <= 201.29
-3.63x + 1.97y + 3.54z <= 752.15
8.57x + 8.93y + 0.73z <= 455.85
-6.6x + -4.61y + 2.5z <= 459.77
0.98x + -5.4y + -4.27z <= 445.24
-5.38x + 9.34y + -9.19z <= 165.98
3.14x + -2.96y + -6.5z <= 667.55
-7.31x + -7.82y + 7.08z <= 689.6
1.28x + 8.12y + 6.51z <= 660.23
-2.88x + 4.0y + -0.7z <= 416.02
4.14x + -9.63y + 3.83z <= 648.79
6.83x + -4.09y + 8.53z <= 522.28
-1.03x + 3.09y + 6.56z <= 726.25
-2.39x + -2.17y + -0.07z <= 638.63
6.8x + -4.71y + -0.22z <= 589.03
-8.73x + -3.85y + -0.27z <= 933.14
3.22x + 0.26y + 6.1z <= 979.03
-3.39x + 6.49y + -0.84z <= 121.62
3.77x + 2.56y + 1.41z <= 155.86
2.45x + -5.35y + 1.5z <= 823.27
-9.22x + 0.04y + 8.34z <= 224.33
9.43x + -0.12y + -9.17z <= 697.36
4.43x + 3.17y + 3.59z <= 572.01
1.5x + -3.25y + -9.78z <= 325.82
-3.72x + 0.31y + -3.09z <= 892.77
-1.91x + -3.41y + 7.19z <= 870.25
-4.81x + -6.09y + 9.81z <= 206.98
-4.41x + 7.15y + 3.24z <= 349.11
-0.23x + 6.68y + -3.49z <= 531.62
-9.34x + 2.22y + 6.67z <= 459.46
8.12x + -5.03y + 7.85z <= 919.49
4.5x + 8.22y + 3.05z <= 168.28
4.11x + -4.77y + -4.92z <= 544.1
2.55x + 7.69y + 5.61z <= 496.11
-9.67x + 6.78y + -6.78z <= 571.16
-3.09x + -9.13y + -7.04z <= 955.07
-5.99x + 1.71y + -7.1z <= 605.18
8.18x + -6.75y + 6.65z <= 290.59
7.72x + 9.95y + -0.36z <= 995.99
-1.7x + -2.9y + -2.96z <= 253.61
-5.24x + -7.09y + -7.86z <= 720.93
0.5x + -4.81y + -1.97z <= 152.57
-1.65x + 6.28y + -8.72z <= 800.17
2.77x + -3.67y + 0.72z <= 983.51
2.15x + 2.23y + 8.57z <= 278.71
-0.57x + -2.66y + -1.0z <= 224.58
-9.64x + -7.75y + -9.43z <= 249.47
9.75x + -2.26y + -9.0z <= 130.32
9.28x + 6.81y + -0.74z <= 624.09
8.47x + 6.22y + 1.36z <= 454.62
9.91x + 6.42y + 0.39z <= 790.57
-4.96x + -7.97y + -8.76z <= 870.66
7.56x + 5.64y + -3.45z <= 782.8
-5.76x + -0.32y + -8.84z <= 347.23
9.76x + -4.85y + -4.68z <= 107.02
1.42x + -8.34y + -6.43z <= 764.61
-3.61x + 3.8y + 8.76z <= 406.15
0.29x + -4.9y + 0.72z <= 408.12
2.7x + 7.97y + -7.85z <= 260.42
2.39x + 6.56y + -0.83z <= 900.25
2.92x + -8.49y + -9.47z <= 546.97
-9.13x + 5.35y + 5.56z <= 923.22
0.94x + -5.47y + -7.56z <= 534.31
1.87x + 5.1y + -7.96z <= 749.62
-3.62x + 6.3y + 5.48z <= 657.85
-6.77x + -5.33y + -4.67z <= 720.43
9.65x + 5.4y + 5.12z <= 147.52
8.32x + 9.39y + -6.02z <= 649.28
-4.6x + -7.63y + -0.86z <= 155.11
-5.72x + -0.61y + -3.08z <= 422.87
-6.61x + 9.43y + 2.24z <= 652.51
6.7x + -3.5y + 4.04z <= 615.05
-5.7x + -8.79y + -1.88z <= 519.15
1.15x + -0.91y + -7.68z <= 374.58
-4.09x + 3.54y + 1.47z <= 359.13
-3.28x + 1.87y + -7.38z <= 825.87
4.54x + 2.72y + -7.16z <= 484.95
-1.57x + 8.2y + 2.21z <= 275.44
-7.83x + -7.69y + -6.6z <= 333.88
8.18x + 0.68y + 3.93z <= 711.91
1.86x + -7.12y + 5.22z <= 499.01
5.12x + -4.44y + 9.85z <= 294.39
-4.17x + -5.75y + -1.28z <= 395.44
2.6x + 0.79y + -5.27z <= 246.98
-7.96x + -9.78y + 9.05z <= 410.14
3.85x + 2.38y + 5.57z <= 178.97
-2.29x + 0.21y + 3.78z <= 243.04
8.93x + -5.67y + -9.28z <= 310.52
-6.28x + 6.67y + -8.49z <= 253.71
0.52x + -8.46y + 5.89z <= 690.03
2.28x + 6.02y + 1.14z <= 701.99
-2.35x + -9.48y + -9.93z <= 886.57
1.63x + -7.12y + 6.33z <= 228.68
-9.32x + 4.66y + -5.79z <= 333.23
1.7x + -4.17y + 7.07z <= 804.9
8.67x + 9.87y + 0.89z <= 580.02
0.29x + 0.54y + -3.01z <= 825.62
5.85x + -0.37y + -7.61z <= 178.56
-8.01x + 6.94y + 1.86z <= 480.02
6.97x + -7.68y + 2.46z <= 724.5
-5.73x + -5.66y + -9.59z <= 625.43
9.06x + 8.01y + -6.15z <= 563.96
7.53x + 2.01y + -6.04z <= 580.15
3.08x + -6.42y + -9.11z <= 385.11
7.7x + 3.78y + 6.61z <= 899.75
8.18x + 0.9y + -1.82z <= 133.2
-9.5x + -0.35y + -4.04z <= 498.39
-2.29x + -2.87y + 3.09z <= 491.76
-4.58x + -9.94y + 6.36z <= 587.69
1.81x + -0.44y + 4.99z <= 522.53
8.94x + -4.05y + 9.57z <= 654.42
-8.02x + 9.7y + -9.15z <= 338.7
3.16x + -3.82y + -2.17z <= 704.64
-7.03x + -5.44y + 6.01z <= 639.77
-7.11x + -0.54y + -7.67z <= 465.66
2.76x + 2.18y + -5.0z <= 247.93
-6.95x + 9.23y + 9.02z <= 630.54
1.27x + -3.31y + -3.92z <= 709.4
-0.86x + 6.09y + -6.65z <= 468.82
0.1x + -4.86y + 1.27z <= 902.79
9.33x + 7.42y + -6.31z <= 704.69
-9.83x + -9.86y + -3.25z <= 263.24
6.4x + -7.74y + 9.06z <= 578.78
-3.69x + -6.32y + 4.96z <= 828.46
-0.77x + -4.97y + -8.67z <= 788.69
-0.08x + -7.5y + 2.84z <= 260.26
2.35x + 5.37y + -9.44z <= 868.67
-8.16x + 7.58y + 5.91z <= 617.78
1.22x + -4.45y + -4.63z <= 204.42
0.78x + -9.47y + 2.53z <= 878.73
6.22x + 5.97y + 8.68z <= 904.63
6.43x + -5.84y + -8.57z <= 687.93
5.63x + 8.64y + -5.95z <= 836.24
4.63x + 4.94y + 8.86z <= 566.16
2.59x + 2.01y + -5.24z <= 484.69
0.5x + -3.45y + -1.17z <= 879.24
-3.46x + -7.47y + 9.39z <= 954.63
