max 0.77x + -8.0y + 2.98z
6.33x + 9.57y + 6.54z <= 695.11
4.61x + -9.06y + -2.08z <= 274.56
-6.06x + 0.13y + 7.64z <= 606.86
-1.25x + 1.83y + 6.93z <= 840.55
-1.6x + -9.22y + 3.69z <= 223.71
1.86x + 3.36y + -6.43z <= 450.55
5.75x + -8.59y + -6.2z <= 744.01
-8.87x + 7.7y + -0.51z <= 702.81
0.47x + -3.81y + 3.28z <= 734.12
-2.72x + 6.49y + -9.27z <= 915.84
9.38x + -2.33y + -0.11z <= 621.16
9.52x + 1.51y + -9.31z <= 868.46
5.5x + -4.32y + 1.8z <= 653.51
0.63x + 0.61y + -4.42z <= 958.95
-8.38x + -4.71y + 5.17z <= 231.23
0.05x + 8.03y + 3.76z <= 528.88
7.33x + 8.75y + 1.52z <= 392.2
-1.72x + 4.78y + 0.35z <= 880.35
-1.27x + -3.11y + -0.66z <= 890.56
-2.71x + 0.81y + -6.02z <= 278.95
1.2x + -5.36y + 5.0z <= 195.82
4.45x + -3.95y + 6.9z <= 441.53
-7.01x + 8.5y + 7.98z <= 262.36
7.35x + -6.88y + 3.33z <= 148.91
4.96x + 0.32y + -9.06z <= 890.69
0.33x + 6.92y + 4.03z <= 133.85
8.69x + 9.81y + -5.6z <= 425.52
4.15x + 5.46y + 2.9z <= 941.07
3.07x + -4.16y + -8.97z <= 771.05
-4.13x + 6.81y + -5.36z <= 475.3
0.86x + -5.13y + 1.87z <= 959.61
-3.07x + -9.38y + 4.95z <= 561.68
5.57x + -4.53y + -7.34z <= 938.56
-4.55x + -3.38y + -7.68z <= 310.34
-7.42x + 9.23y + -4.59z <= 211.49
7.62x + -1.75y + 7.27z <= 835.99
4.81x + -1.82y + 8.49z <= 923.84
-5.65x + 7.72y + -1.56z <= 589.63
-0.01x + -4.97y + 2.56z <= 885.4
-1.41x + -8.8y + -0.79z <= 911.4
-8.29x + 7.48y + -7.16z <= 249.7
1.34x + 5.9y + -1.9z <= 369.43
2.59x + -2.78y + -0.04z <= 518.48
8.86x + 1.11y + -7.89z <= 651.25
-7.77x + 8.06y + -5.84z <= 511.58
7.75x + -9.88y + -9.84z <= 127.83
7.46x + -1.68y + 1.03z <= 455.0
6.56x + -0.18y + -9.51z <= 623.18
-9.15x + -1.64y + 0.95z <= 218.16
7.48x + 3.16y + 1.65z <= 381.19
2.91x + 5.04y + 9.66z <= 622.76
-6.89x + -4.75y + -9.56z <= 781.61
-9.71x + -2.08y + 1.9z <= 193.78
-2.17x + -2.44y + 5.25z <= 683.7
1.24x + -6.27y + -2.59z <= 227.49
4.21x + -5.14y + -7.89z <= 294.32
-2.14x + -8.19y + 5.98z <= 481.46
-5.64x + -1.09y + 8.58z <= 542.34
7.2x + 1.21y + -9.65z <= 543.6
-2.82x + -6.74y + -7.19z <= 743.03
-4.19x + 0.25y + 8.51z <= 275.04
-8.31x + 5.85y + -9.32z <= 120.89
-3.62x + 4.09y + -5.02z <= 703.59
0.48x + 5.48y + 4.03z <= 541.64
-2.02x + 4.37y + 4.71z <= 620.97
3.11x + -8.94y + 4.5z <= 551.34
3.83x + -5.34y + -3.16z <= 946.7
-8.56x + 8.29y + -1.06z <= 201.85
2.44x + 2.54y + 6.63z <= 114.76
-5.75x + 2.63y + -8.61z <= 460.23
-9.28x + -5.44y + -9.7z <= 778.17
8.54x + -8.61y + 4.0z <= 649.6
7.04x + 0.41y + -8.47z <= 661.95
2.07x + -8.62y + 5.93z <= 690.59
-7.12x + -3.16y + -6.3z <= 852.58
-7.98x + 8.23y + 9.99z <= 952.39
-6.72x + -3.65y + 0.71z <= 683.67
4.82x + 5.86y + -1.48z <= 378.09
3.33x + -7.47y + 8.09z <= 263.3
-7.24x + 3.2y + -2.92z <= 483.64
1.69x + 7.31y + 5.56z <= 846.21
3.16x + -3.98y + 0.24z <= 494.35
-3.81x + 5.52y + -5.17z <= 197.16
-9.71x + -0.45y + 6.24z <= 330.52
-6.72x + 3.85y + 0.83z <= 808.73
2.7x + 9.09y + -8.4z <= 156.3
0.53x + 7.8y + -8.8z <= 303.35
6.75x + -5.85y + 7.1z <= 665.92
-3.53x + 6.49y + -3.56z <= 501.5
-7.96x + -1.12y + -6.87z <= 878.46
-7.78x + -8.16y + 1.61z <= 585.4
-0.66x + -6.66y + 1.29z <= 399.58
1.41x + -8.99y + 3.18z <= 753.92
3.19x + -4.57y + -7.33z <= 809.53
3.69x + -1.0y + -4.21z <= 123.95
-3.74x + 2.17y + 0.26z <= 823.18
-0.87x + 7.54y + 6.95z <= 183.12
-1.04x + 0.1y + -3.92z <= 354.67
3.07x + -7.83y + 8.6z <= 768.09
6.24x + 0.79y + 3.4z <= 839.3
5.82x + -1.92y + 6.08z <= 150.72
-0.41x + -7.43y + -3.66z <= 495.38
-5.4x + -0.2y + 7.35z <= 165.48
9.14x + -7.62y + -8.17z <= 294.03
8.87x + -2.67y + -0.67z <= 321.57
-9.25x + 9.22y + -1.84z <= 667.51
1.29x + 7.92y + 7.56z <= 543.59
9.61x + -7.57y + -9.36z <= 589.66
2.58x + 5.53y + 5.95z <= 649.05
-9.32x + 2.16y + 9.48z <= 975.09
5.1x + -3.51y + -8.9z <= 833.46
4.1x + -6.3y + 7.49z <= 167.78
-5.39x + 3.89y + -3.19z <= 457.74
-2.13x + 7.33y + 2.74z <= 655.04
1.2x + -0.59y + -8.89z <= 453.69
-2.53x + 2.49y + -6.48z <= 679.17
0.45x + -6.0y + -4.22z <= 653.68
3.83x + -2.81y + -4.35z <= 522.24
-8.11x + -1.79y + 4.28z <= 749.4
-5.41x + -5.72y + -3.66z <= 812.46
0.61x + 4.78y + -6.16z <= 748.62
-1.7x + 3.28y + -2.14z <= 130.3
7.16x + -0.16y + 6.53z <= 867.98
-8.98x + -6.53y + -9.38z <= 988.84
0.44x + -9.7y + 3.17z <= 245.63
9.61x + -6.57y + 4.45z <= 423.18
8.77x + -1.65y + -8.55z <= 142.31
-6.49x + 0.45y + 3.24z <= 204.87
8.97x + 4.07y + 3.43z <= 173.53
9.01x + 6.1y + 8.93z <= 827.31
-2.79x + -1.18y + -8.63z <= 687.87
-3.07x + 8.08y + 3.35z <= 946.46
1.78x + 2.22y + -9.91z <= 142.22
-2.46x + -9.64y + 8.68z <= 278.28
-2.1x + 2.63y + -1.09z <= 576.6
-5.54x + -4.04y + 5.43z <= 419.98
-8.1x + -2.48y + 8.5z <= 706.23
-8.59x + -0.05y + -7.75z <= 916.31
5.49x + 8.82y + 8.71z <= 817.82
-0.06x + 3.15y + -0.93z <= 792.66
-8.84x + 2.91y + 9.56z <= 249.63
-2.1x + 5.24y + 0.45z <= 542.3
1.98x + 7.77y + -8.82z <= 950.95
0.48x + -8.74y + 6.68z <= 741.08
5.12x + 3.16y + 6.27z <= 236.42
-5.05x + -5.58y + 9.01z <= 790.81
-7.59x + -9.83y + -6.03z <= 501.72
0.65x + -3.32y + -7.49z <= 702.37
-0.67x + -1.41y + -3.5z <= 270.09
7.83x + 4.51y + -5.33z <= 176.62
7.38x + 2.67y + 3.97z <= 980.33
-2.74x + -5.55y + -2.46z <= 512.24
-5.84x + 2.27y + 7.31z <= 989.44
-9.11x + 0.06y + 5.56z <= 756.95
3.27x + 4.42y + 6.37z <= 134.38
-0.52x + -9.44y + 7.17z <= 149.9
-4.87x + -0.77y + -6.76z <= 676.94
8.57x + 7.79y + 4.78z <= 312.91
-1.35x + 4.85y + -4.45z <= 384.83
-1.41x + -3.76y + 1.98z <= 124.0
2.52x + 2.6y + -6.29z <= 893.43
-6.18x + 1.92y + -7.57z <= 536.45
-6.03x + -7.97y + 8.46z <= 859.7
6.36x + 2.97y + -2.74z <= 177.45
6.27x + 5.05y + -4.08z <= 630.59
-2.68x + 0.45y + -7.39z <= 883.53
1.6x + 1.88y + 2.96z <= 524.26
0.51x + -0.8y + 1.17z <= 716.39
-6.68x + 4.32y + -6.7z <= 212.68
-7.02x + 5.45y + -5.76z <= 544.48
0.8x + -3.24y + -7.32z <= 119.65
-6.96x + 9.55y + 6.05z <= 497.62
-5.89x + 9.14y + -0.85z <= 603.56
-3.47x + 7.82y + 0.31z <= 440.12
-3.44x + -6.8y + 9.44z <= 183.38
3.87x + -9.31y + -4.34z <= 114.19
9.42x + -5.29y + 1.43z <= 372.95
-1.21x + 9.83y + -7.5z <= 838.54
0.28x + -5.04y + -1.91z <= 682.53
-4.69x + -4.55y + -3.94z <= 566.91
6.52x + 4.68y + -4.63z <= 517.68
4.56x + -3.29y + 3.03z <= 117.08
7.15x + 7.22y + -8.69z <= 574.53
6.37x + 6.14y + 4.11z <= 655.78
-5.06x + -5.2y + 2.83z <= 246.57
-2.06x + 6.69y + 9.11z <= 917.53
-6.61x + -1.61y + 0.5z <= 314.92
3.04x + 5.89y + 5.39z <= 777.44
8.57x + 6.23y + -8.93z <= 211.52
-0.05x + 5.7y + -8.77z <= 881.55
2.44x + 0.34y + -2.84z <= 355.43
-9.48x + 6.72y + 2.16z <= 235.3
9.1x + 8.13y + -9.29z <= 247.51
-3.69x + 9.25y + 4.19z <= 754.9
2.9x + -5.1y + -1.35z <= 395.62
-0.5x + 9.67y + 8.44z <= 184.5
3.43x + -2.48y + -5.68z <= 778.34
1.96x + 2.93y + -6.47z <= 782.7
-0.57x + 8.67y + -4.09z <= 940.05
-2.49x + 5.86y + -3.56z <= 102.25
-7.22x + 2.73y + 1.27z <= 325.9
-7.28x + -8.77y + 1.05z <= 729.85
8.42x + 7.99y + -4.63z <= 698.77
-6.0x + 6.48y + -3.65z <= 171.56
1.06x + 5.99y + -3.75z <= 447.99
5.62x + 7.67y + 4.94z <= 610.81
-5.91x + -9.95y + 9.82z <= 754.79
-0.68x + -7.5y + -2.06z <= 868.78
-9.62x + -9.77y + 0.46z <= 758.98
-8.83x + 2.25y + 7.74z <= 356.64
-0.23x + 4.11y + -1.1z <= 178.95
-7.78x + -6.12y + 6.86z <= 948.23
-4.86x + -6.46y + -4.11z <= 405.46
6.38x + -3.68y + 6.72z <= 362.81
-5.08x + 1.19y + 1.15z <= 683.81
-7.78x + -2.45y + -5.03z <= 241.77
4.8x + -7.52y + 0.81z <= 594.98
2.27x + 8.37y + 1.07z <= 257.4
-8.5x + 3.25y + 9.7z <= 895.08
2.67x + -8.8y + -5.96z <= 631.56
2.98x + 7.26y + 7.64z <= 866.96
-0.28x + -5.4y + -9.6z <= 745.6
4.88x + -6.08y + 3.39z <= 116.6
-4.68x + -2.36y + -1.28z <= 353.7
5.26x + -1.83y + 9.87z <= 909.14
-0.58x + 5.44y + 7.06z <= 144.59
8.14x + 8.62y + -2.71z <= 664.67
3.62x + 6.21y + 9.66z <= 646.63
9.55x + -3.3y + -9.37z <= 270.54
-3.23x + 1.76y + 5.76z <= 147.37
9.88x + 7.08y + 7.66z <= 624.12
-7.6x + -9.32y + -9.04z <= 706.75
-7.14x + -1.91y + -3.3z <= 111.31
-0.77x + 2.78y + 5.0z <= 676.36
5.73x + 1.12y + 1.25z <= 326.9
0.68x + 8.63y + 4.64z <= 522.62
5.08x + -0.12y + -2.83z <= 904.36
1.7x + 2.72y + 4.25z <= 922.14
2.47x + 2.8y + -4.26z <= 466.07
5.15x + 0.17y + -3.0z <= 826.22
-0.5x + 3.42y + -1.26z <= 975.69
-3.2x + -5.14y + 4.49z <= 593.94
1.03x + -5.78y + -1.39z <= 726.94
2.86x + 8.8y + 7.84z <= 457.79
-9.63x + 2.84y + -4.01z <= 838.99
4.9x + 3.57y + -9.25z <= 787.54
-3.43x + -0.67y + -8.81z <= 785.22
-0.65x + -6.73y + 2.59z <= 446.54
2.96x + -8.0y + -3.42z <= 448.81
9.04x + -3.83y + 3.34z <= 657.2
-4.49x + -6.57y + -9.79z <= 796.25
-10.0x + 4.89y + -9.07z <= 573.01
-3.02x + 1.85y + -4.06z <= 415.39
1.37x + 2.26y + -4.26z <= 472.36
-1.8x + -2.18y + 8.42z <= 560.14
3.04x + -4.59y + 2.69z <= 737.48
0.17x + -0.5y + -0.57z <= 666.51
-3.71x + 1.45y + 2.61z <= 151.64
0.66x + -2.87y + -6.96z <= 775.76
-8.55x + 2.86y + 3.9z <= 173.71
-9.5x + 2.67y + -0.88z <= 392.97
2.92x + 3.26y + -0.84z <= 239.21
5.91x + 9.82y + -7.36z <= 866.75
-6.06x + 1.94y + -5.76z <= 139.13
8.74x + 0.41y + 8.52z <= 692.49
4.41x + -0.71y + 9.1z <= 642.47
-2.98x + -9.22y + 5.63z <= 317.18
9.69x + -9.63y + 1.16z <= 969.14
7.2x + 2.24y + -0.95z <= 955.53
8.82x + -7.68y + 4.95z <= 672.76
9.51x + -0.75y + -6.09z <= 709.03
-0.96x + -2.2y + 8.69z <= 473.6
-8.5x + -9.94y + 5.08z <= 827.17
6.22x + 0.1y + 5.25z <= 955.26
4.25x + -2.26y + 0.89z <= 552.15
7.11x + -3.38y + -3.0z <= 448.18
9.92x + -4.29y + 9.9z <= 139.0
-5.87x + 6.48y + -1.85z <= 787.92
6.2x + 9.15y + -4.3z <= 948.69
-4.56x + -7.08y + -7.97z <= 287.98
-6.54x + 8.23y + 1.07z <= 958.04
5.52x + -8.9y + 5.12z <= 324.0
7.37x + 4.05y + 5.68z <= 175.79
9.79x + -9.13y + -6.28z <= 624.82
0.19x + -0.89y + -6.54z <= 293.16
2.34x + -8.51y + 6.92z <= 395.31
-8.76x + -6.14y + 7.06z <= 146.39
-1.46x + 0.14y + 9.41z <= 527.38
0.28x + -2.87y + 8.96z <= 514.59
-3.28x + -4.27y + -7.63z <= 895.7
2.13x + -0.95y + -0.7z <= 948.33
-4.63x + -9.8y + -9.22z <= 974.75
9.44x + -5.97y + -8.02z <= 268.07
2.32x + 0.71y + 5.02z <= 244.0
9.95x + 5.19y + 6.52z <= 683.28
-3.53x + 0.64y + 3.78z <= 835.23
-9.81x + -2.47y + -0.31z <= 858.92
4.08x + 6.54y + -2.56z <= 544.31
-3.8x + -5.36y + 6.51z <= 844.05
-4.53x + -5.17y + 6.47z <= 633.36
5.46x + -6.26y + 6.3z <= 758.84
3.03x + 7.39y + 7.8z <= 665.03
6.14x + -5.59y + -6.26z <= 269.29
0.86x + 5.16y + 9.83z <= 614.51
5.36x + 5.59y + 5.09z <= 612.58
-3.23x + 9.58y + 0.55z <= 188.65
3.74x + -9.23y + 3.21z <= 475.56
-7.84x + -6.02y + 1.71z <= 604.92
-3.91x + 9.36y + -6.46z <= 489.96
-7.34x + -9.56y + -6.74z <= 632.86
-3.73x + -5.05y + -4.23z <= 886.0
-0.93x + -8.19y + 8.73z <= 340.64
-6.04x + 5.7y + -3.65z <= 252.72
-2.83x + -3.54y + 2.9z <= 393.56
5.02x + -7.34y + -6.7z <= 661.79
4.26x + -6.54y + 0.27z <= 758.48
8.28x + -5.18y + 6.34z <= 703.64
-1.49x + -3.82y + -3.62z <= 566.05
-4.98x + -4.56y + -6.45z <= 655.09
7.74x + 0.15y + 7.76z <= 411.26
-0.17x + -7.04y + 4.07z <= 164.68
-8.07x + 5.24y + -4.78z <= 768.23
8.0x + -5.41y + 3.5z <= 496.39
0.22x + -3.82y + -0.64z <= 517.98
-3.96x + 2.98y + -0.65z <= 868.1
6.46x + -4.54y + 8.03z <= 714.27
-6.46x + 3.73y + 6.6z <= 855.28
7.51x + 6.05y + 1.68z <= 387.46
-6.65x + 5.94y + -9.36z <= 833.39
6.18x + 8.12y + -2.41z <= 304.29
-2.12x + -5.26y + 3.55z <= 602.74
-3.72x + -5.07y + 5.44z <= 783.87
9.23x + -0.26y + 0.89z <= 172.93
-0.87x + -0.89y + -4.97z <= 197.77
8.89x + -6.84y + -9.8z <= 355.8
5.43x + 5.09y + -0.31z <= 939.54
-1.73x + 3.39y + 5.43z <= 669.62
2.38x + 5.98y + -6.74z <= 891.56
-3.98x + 0.25y + 7.81z <= 375.39
0.72x + 0.9y + 3.98z <= 325.9
-4.1x + -8.37y + -3.13z <= 843.23
2.62x + -7.54y + -5.0z <= 115.91
4.32x + -7.89y + -7.51z <= 368.46
0.19x + 7.04y + 1.5z <= 891.97
-6.46x + 6.68y + 2.88z <= 137.15
-8.86x + -0.58y + 2.55z <= 756.48
-3.66x + -4.42y + -2.83z <= 463.41
8.5x + -1.63y + 2.15z <= 460.07
6.95x + 8.22y + 5.64z <= 786.56
4.59x + 5.71y + 7.83z <= 449.75
4.61x + 0.85y + 4.32z <= 410.0
-4.5x + 9.66y + 5.7z <= 216.56
-9.07x + -3.52y + 9.88z <= 420.16
1.58x + -9.19y + 5.38z <= 260.45
-4.29x + 5.15y + 5.5z <= 356.06
-0.07x + -0.31y + 6.59z <= 539.64
4.29x + -1.05y + -2.51z <= 689.3
8.61x + -2.62y + -1.26z <= 218.31
-8.24x + 8.68y + -4.0z <= 979.15
2.8x + 4.61y + 6.63z <= 529.45
6.6x + 6.51y + 8.2z <= 461.33
-2.92x + 7.4y + 2.35z <= 850.92
3.76x + -8.73y + -7.62z <= 841.86
-8.24x + -6.65y + -9.09z <= 845.7
4.75x + -5.59y + 5.75z <= 751.28
7.85x + 8.72y + -5.38z <= 975.95
-8.25x + -5.72y + 6.15z <= 292.0
1.06x + 0.43y + -1.51z <= 716.85
2.44x + -5.15y + -0.79z <= 650.04
-7.93x + 6.46y + -7.99z <= 636.14
-4.25x + -0.09y + -2.2z <= 426.34
9.14x + 3.44y + 5.22z <= 217.43
3.03x + -9.37y + -8.09z <= 985.65
4.21x + -6.26y + -7.72z <= 501.59
-9.99x + -7.4y + 0.43z <= 671.03
-7.91x + -0.55y + 6.14z <= 859.1
-3.65x + 9.9y + -2.77z <= 487.04
-4.02x + 9.9y + 6.88z <= 682.25
-2.35x + -3.14y + -0.65z <= 267.47
-2.99x + 7.33y + 6.2z <= 662.94
9.34x + 9.4y + 5.46z <= 998.01
3.54x + -1.55y + 0.13z <= 731.18
-1.78x + 9.64y + 6.92z <= 362.68
-0.82x + -7.71y + 6.77z <= 697.42
9.41x + 8.48y + -0.23z <= 208.55
-2.3x + 7.03y + -2.58z <= 893.79
-4.87x + 4.21y + -6.62z <= 993.63
-7.84x + 7.32y + 6.69z <= 631.84
9.9x + -9.72y + 0.31z <= 301.71
-9.03x + -1.53y + -3.47z <= 314.26
-0.29x + 8.46y + -8.56z <= 347.53
3.71x + -1.54y + -8.39z <= 215.16
-2.95x + -2.71y + -2.79z <= 534.06
-0.64x + -7.15y + 9.84z <= 880.52
6.51x + 4.35y + 5.69z <= 250.52
-0.52x + 3.83y + 5.45z <= 255.93
2.91x + 3.96y + 3.38z <= 752.79
-7.68x + -3.54y + -5.45z <= 246.43
-6.24x + 5.38y + 3.9z <= 562.69
-1.15x + 3.4y + 1.69z <= 266.96
-8.26x + -9.13y + -2.97z <= 404.91
-6.07x + 7.09y + 5.14z <= 305.46
-2.81x + 4.22y + 3.41z <= 346.32
-7.68x + 6.57y + 8.44z <= 206.05
2.33x + -7.95y + 5.95z <= 696.77
-2.34x + 9.56y + 9.74z <= 694.68
-6.82x + -1.45y + -0.38z <= 141.63
6.63x + 6.98y + -0.33z <= 473.46
1.29x + 6.2y + -2.72z <= 499.69
5.83x + 7.64y + -2.78z <= 401.86
-6.16x + 5.18y + -8.12z <= 296.26
-4.36x + 9.6y + 4.93z <= 504.54
1.03x + -2.59y + -1.88z <= 383.4
-7.29x + 0.33y + 4.76z <= 781.71
5.23x + 8.02y + -2.31z <= 389.49
6.37x + 8.73y + -7.87z <= 917.0
-0.4x + -2.08y + 6.2z <= 670.23
-3.2x + 0.97y + -2.35z <= 175.94
3.39x + 1.73y + 6.71z <= 911.04
1.69x + 3.68y + 3.45z <= 475.33
-6.08x + 3.46y + 5.5z <= 547.19
2.09x + 6.89y + 3.18z <= 645.39
-6.57x + 0.81y + 0.13z <= 267.94
5.77x + 3.01y + 3.47z <= 855.82
-1.03x + 0.7y + -8.26z <= 578.07
1.67x + 6.48y + 3.83z <= 619.64
-9.61x + 9.0y + -6.71z <= 720.44
7.02x + 0.46y + -9.76z <= 472.66
-0.59x + 0.4y + 9.98z <= 730.04
-8.06x + -5.41y + -7.87z <= 574.78
-5.59x + 0.78y + 1.51z <= 398.26
-4.7x + 2.83y + -6.17z <= 612.44
-0.46x + 5.09y + 3.28z <= 129.05
1.39x + 7.29y + 6.02z <= 652.21
8.99x + 9.31y + -1.88z <= 835.22
1.06x + 6.44y + 5.3z <= 586.96
-7.72x + -5.18y + 6.64z <= 925.42
-1.65x + -3.18y + -8.96z <= 333.26
-3.13x + 1.77y + 6.79z <= 340.27
6.0x + -7.65y + -4.34z <= 174.0
-6.35x + -2.71y + -1.17z <= 110.24
2.03x + -2.08y + 6.05z <= 157.81
-9.13x + 5.66y + 2.91z <= 990.31
-9.25x + -9.55y + 9.36z <= 262.23
0.94x + -2.49y + 3.2z <= 826.2
7.53x + -9.05y + -8.66z <= 459.5
-3.04x + 5.67y + 1.74z <= 237.6
0.1x + -8.61y + 7.52z <= 152.53
-1.17x + -9.09y + -4.73z <= 547.15
2.72x + 5.3y + 8.71z <= 369.8
8.47x + 8.37y + -0.45z <= 740.09
6.75x + -3.02y + -5.2z <= 336.48
9.57x + -1.17y + -6.93z <= 487.45
0.86x + -0.99y + 2.7z <= 172.84
0.96x + 4.71y + -2.95z <= 907.3
1.96x + 4.94y + 3.42z <= 699.32
9.53x + 4.35y + 4.05z <= 150.21
-1.36x + 6.94y + 8.69z <= 329.14
-6.39x + -2.85y + -5.47z <= 611.54
-1.22x + 6.24y + 3.9z <= 647.5
-3.93x + -1.58y + -4.23z <= 449.2
5.35x + -0.76y + 6.24z <= 180.44
-2.73x + 6.68y + 7.31z <= 485.61
5.99x + 5.79y + 4.44z <= 424.18
5.2x + -9.8y + -4.85z <= 935.79
8.68x + 2.87y + 7.45z <= 423.97
-7.19x + 7.49y + 0.04z <= 831.85
-0.24x + 4.78y + -7.22z <= 492.28
8.12x + 4.51y + 6.89z <= 119.39
-2.12x + -0.13y + -4.11z <= 103.7
-2.2x + -5.27y + 9.22z <= 114.34
3.04x + -9.73y + 8.52z <= 991.07
1.94x + 9.14y + 3.6z <= 154.83
-7.46x + -5.77y + 4.75z <= 652.36
2.28x + 6.23y + -6.48z <= 685.83
1.63x + 0.6y + 7.59z <= 657.59
-8.12x + 8.38y + -9.31z <= 771.35
0.34x + -8.05y + -5.54z <= 261.37
8.57x + 7.63y + -6.03z <= 337.1
-4.55x + -8.62y + 8.5z <= 981.84
0.29x + 8.21y + -9.17z <= 993.05
7.27x + -9.06y + 5.9z <= 197.68
-6.31x + -7.92y + 4.36z <= 465.35
8.78x + -5.46y + -7.34z <= 919.28
9.54x + 2.85y + -5.19z <= 172.36
-5.78x + 4.63y + 2.46z <= 524.81
3.36x + 2.03y + -1.18z <= 768.88
9.67x + 0.94y + 3.45z <= 453.98
-9.0x + -3.15y + -5.73z <= 256.94
5.08x + 9.91y + 3.88z <= 600.82
-5.02x + -8.43y + 9.25z <= 874.1
2.93x + 7.53y + -2.99z <= 855.07
-0.83x + -5.42y + -5.08z <= 561.55
-3.7x + 2.49y + 7.12z <= 224.26
8.14x + 7.34y + -7.27z <= 327.56
1.42x + 4.53y + -7.23z <= 930.89
5.57x + -4.1y + -3.71z <= 666.31
-5.54x + -0.91y + 5.2z <= 231.46
3.13x + -9.72y + 0.24z <= 241.06
-3.59x + 0.2y + 2.32z <= 921.42
-5.39x + 3.26y + -0.65z <= 701.04
4.91x + -9.49y + 4.92z <= 250.94
-3.41x + 6.62y + -1.49z <= 531.32
-4.37x + -3.46y + -6.31z <= 312.68
5.75x + -1.6y + 9.39z <= 579.42
-1.49x + -6.5y + -4.86z <= 212.23
-0.22x + 2.32y + -7.25z <= 623.19
-9.35x + 2.21y + 2.42z <= 564.39
5.66x + 4.55y + 9.08z <= 288.47
9.51x + -8.78y + -4.33z <= 530.69
4.95x + 8.09y + 3.85z <= 313.49
0.74x + -3.68y + -1.81z <= 100.25
6.63x + -2.25y + -5.54z <= 544.77
7.82x + -3.92y + -1.65z <= 627.79
-1.72x + 8.57y + -2.91z <= 580.16
-7.44x + 4.91y + -4.25z <= 582.77
-7.77x + -0.69y + -7.65z <= 612.17
-1.6x + 2.23y + 0.38z <= 115.32
6.73x + -9.35y + -2.38z <= 608.91
2.89x + -9.06y + -6.68z <= 996.29
2.8x + 2.51y + 2.15z <= 101.44
-9.83x + 2.16y + -5.64z <= 371.98
-8.91x + 8.0y + 1.33z <= 301.85
-0.57x + 8.83y + 2.21z <= 469.56
-2.33x + -1.09y + 4.71z <= 422.19
9.54x + -6.25y + -3.64z <= 949.01
-9.63x + -5.98y + -4.5z <= 312.57
-8.03x + 3.54y + -4.99z <= 729.18
-3.19x + -8.5y + -4.05z <= 864.84
-0.23x + 8.7y + -8.88z <= 358.92
-7.12x + 9.28y + -0.6z <= 239.16
4.96x + 8.46y + -2.05z <= 578.72
-1.12x + 2.4y + 5.41z <= 311.52
-9.84x + -5.71y + -4.81z <= 562.94
9.17x + -5.58y + -8.52z <= 383.7
-2.78x + 7.93y + -6.11z <= 941.99
9.57x + -5.26y + -3.69z <= 950.58
-1.55x + 9.49y + 5.36z <= 663.36
-8.48x + 2.4y + 5.11z <= 701.1
-3.78x + 0.03y + -3.74z <= 242.27
5.36x + 2.87y + -5.43z <= 757.0
-2.64x + 1.19y + 9.14z <= 449.72
2.93x + 1.67y + 1.96z <= 820.23
-7.81x + 2.95y + 3.69z <= 598.94
-4.97x + 1.48y + -0.03z <= 852.14
5.74x + 9.04y + -5.18z <= 800.18
7.55x + 5.56y + 2.09z <= 319.54
-0.72x + 1.21y + 1.22z <= 399.58
2.4x + -0.76y + -1.44z <= 268.96
7.49x + 5.22y + 3.43z <= 232.88
-3.65x + -5.84y + -9.51z <= 448.52
-7.49x + 7.67y + -8.39z <= 752.61
-2.02x + 4.53y + 0.56z <= 461.67
6.32x + 0.68y + 5.87z <= 199.41
-5.16x + 5.97y + -6.81z <= 967.61
3.52x + -2.18y + -6.74z <= 803.17
4.21x + 1.68y + -2.85z <= 588.97
-2.41x + -6.5y + 7.79z <= 430.33
-6.58x + 8.72y + -5.7z <= 772.16
-2.49x + 7.56y + 7.44z <= 861.39
0.88x + -8.29y + 0.8z <= 758.0
-0.35x + 7.94y + 2.18z <= 381.69
4.85x + -8.61y + -2.71z <= 940.65
0.5x + 5.52y + 6.08z <= 225.41
-9.8x + -0.68y + 3.96z <= 290.41
3.96x + -1.21y + 6.54z <= 554.86
-7.37x + -4.87y + 9.49z <= 291.94
-4.49x + 1.11y + 0.14z <= 632.04
9.02x + 1.2y + 8.66z <= 924.46
-9.17x + -2.0y + -1.12z <= 110.48
-8.1x + 7.25y + 0.28z <= 316.02
1.2x + 5.5y + 2.93z <= 723.45
-0.73x + -8.37y + 4.23z <= 227.24
-4.02x + -3.33y + -3.46z <= 719.91
-5.33x + 5.05y + -2.37z <= 518.59
3.38x + -6.38y + -1.28z <= 441.43
9.36x + 3.11y + 4.92z <= 505.75
6.51x + -4.34y + 4.71z <= 888.54
-4.43x + 4.46y + -0.15z <= 565.45
-5.25x + -9.83y + 4.25z <= 304.13
-6.93x + 7.69y + 3.57z <= 713.19
-2.44x + 6.47y + -8.17z <= 484.56
-0.82x + 9.54y + 8.71z <= 223.17
-2.61x + 9.23y + -9.3z <= 166.98
-4.3x + -8.1y + 2.26z <= 527.47
-0.47x + 3.79y + -4.25z <= 809.15
-0.92x + 7.23y + 4.17z <= 933.03
7.21x + 8.66y + -0.33z <= 102.31
5.55x + -4.06y + 4.02z <= 421.35
-2.41x + -4.29y + 4.01z <= 155.11
4.43x + -8.64y + 4.63z <= 139.39
-2.66x + 0.81y + -0.91z <= 210.17
-2.82x + -5.7y + -2.09z <= 101.3
-1.59x + -0.16y + -5.83z <= 531.51
