max 7.72x + -4.04y + 3.37z
-2.03x + -0.59y + 1.35z <= 959.5
-1.59x + -9.15y + -4.89z <= 477.62
-1.21x + 7.49y + -0.3z <= 599.45
-8.14x + -7.49y + 4.59z <= 437.54
-8.26x + -2.69y + -1.76z <= 921.52
-1.89x + -8.38y + -3.0z <= 423.03
6.69x + -3.66y + 4.67z <= 868.76
2.38x + 4.54y + 5.13z <= 199.12
-8.56x + 9.68y + 4.87z <= 785.08
5.64x + 9.79y + -9.23z <= 895.97
6.38x + 4.37y + -4.15z <= 326.12
5.32x + -4.5y + 1.0z <= 796.55
-7.98x + 5.87y + 7.87z <= 784.95
4.8x + -4.09y + 7.04z <= 197.73
2.83x + -6.8y + 4.48z <= 213.52
-2.15x + 9.63y + -7.32z <= 164.73
-9.87x + -6.66y + 3.44z <= 965.07
-9.07x + -7.07y + -4.82z <= 556.49
0.75x + -8.13y + 2.73z <= 847.94
9.59x + -6.44y + -2.02z <= 804.88
3.43x + 7.44y + 6.54z <= 809.48
-5.98x + -2.85y + -9.17z <= 477.17
4.28x + -1.09y + 2.26z <= 723.52
9.58x + -4.4y + 7.63z <= 914.21
-7.95x + 3.11y + -0.9z <= 232.6
3.13x + 1.65y + 1.02z <= 101.74
9.64x + -5.32y + -2.05z <= 584.9
7.83x + 1.57y + -8.11z <= 584.19
-3.11x + -7.98y + -4.92z <= 193.32
1.75x + 6.93y + 9.01z <= 721.79
4.89x + -1.08y + -1.83z <= 857.67
-7.65x + 9.42y + -6.09z <= 149.82
2.55x + 9.88y + -0.76z <= 994.22
0.68x + -4.47y + 1.65z <= 498.87
-0.93x + -1.1y + 2.77z <= 571.68
3.68x + 5.09y + -2.63z <= 711.31
-5.17x + -9.38y + 2.86z <= 589.39
3.96x + 6.01y + -4.7z <= 463.9
-4.8x + 7.64y + -7.53z <= 957.27
6.58x + 0.64y + 2.85z <= 634.7
8.7x + -2.46y + 9.16z <= 734.21
-4.45x + -3.37y + -7.68z <= 177.76
6.25x + 3.39y + -2.74z <= 105.94
1.67x + 6.6y + 5.9z <= 477.59
-5.39x + -8.71y + -5.96z <= 232.55
-4.0x + -4.84y + -2.92z <= 249.24
-4.1x + -5.22y + -3.79z <= 386.19
-5.85x + 3.17y + 8.43z <= 386.45
-1.41x + 3.41y + -0.12z <= 817.03
1.71x + -5.28y + 2.26z <= 407.74
9.71x + -2.0y + 5.06z <= 565.55
9.12x + -3.1y + -4.04z <= 501.39
1.96x + -2.82y + 3.29z <= 646.13
4.83x + -8.56y + 8.77z <= 904.94
2.26x + -9.84y + -6.7z <= 768.18
2.91x + 7.09y + -5.15z <= 803.11
-0.36x + -7.55y + -9.55z <= 494.26
5.35x + -1.63y + -0.96z <= 228.07
-9.26x + 4.3y + 1.37z <= 315.47
9.36x + 6.64y + 3.33z <= 889.69
8.78x + 0.24y + -6.57z <= 445.76
-2.46x + -6.78y + -1.42z <= 984.69
-9.58x + 1.9y + 1.91z <= 975.95
-1.16x + -2.65y + -3.82z <= 619.31
-3.18x + 1.78y + -8.68z <= 894.26
-1.7x + 4.2y + -0.31z <= 255.77
-6.79x + 4.98y + 9.21z <= 119.88
-6.26x + -2.33y + 6.11z <= 322.84
3.22x + 6.51y + 8.03z <= 206.69
-4.57x + -9.61y + 5.06z <= 875.5
-2.88x + 6.71y + 8.74z <= 594.73
2.3x + 9.91y + -0.35z <= 449.0
-3.36x + -3.26y + 2.85z <= 572.47
4.32x + 7.92y + -3.79z <= 976.14
7.45x + 6.67y + -9.32z <= 488.26
1.83x + 0.11y + -0.87z <= 167.17
4.07x + -6.92y + -9.1z <= 695.64
-4.8x + -2.73y + -9.66z <= 913.04
-4.57x + -4.23y + 2.06z <= 266.53
-7.15x + 7.69y + 9.91z <= 438.73
-9.68x + 3.91y + -3.46z <= 492.84
3.02x + 1.66y + 1.15z <= 580.19
4.42x + 6.63y + 3.83z <= 391.66
-9.97x + 4.57y + 7.28z <= 159.31
4.58x + -0.9y + -0.95z <= 813.32
-9.45x + -8.77y + -1.02z <= 372.37
3.7x + 1.91y + 5.03z <= 981.65
0.92x + -8.51y + 2.0z <= 597.06
2.25x + -2.62y + 1.05z <= 684.53
-0.73x + 2.36y + -7.33z <= 587.84
8.08x + 5.49y + -9.32z <= 388.07
6.36x + -4.68y + 1.23z <= 659.78
5.77x + -1.57y + -4.1z <= 123.25
-8.1x + -9.68y + -9.97z <= 555.65
0.71x + 1.57y + 9.78z <= 525.1
2.04x + -3.39y + -6.9z <= 909.16
-5.44x + -8.72y + 4.77z <= 329.14
-5.37x + -2.39y + 2.02z <= 888.79
0.8x + -2.55y + -9.3z <= 956.87
1.89x + -7.7y + 2.09z <= 391.21
-8.82x + -3.15y + 7.28z <= 525.58
0.31x + -6.92y + -8.71z <= 482.2
0.36x + -1.69y + -5.35z <= 307.61
-9.97x + -0.12y + -5.3z <= 575.69
9.69x + -8.78y + -6.2z <= 757.37
0.44x + 5.43y + -6.93z <= 806.24
-4.94x + -5.84y + 8.88z <= 393.75
3.61x + -6.55y + 3.68z <= 668.53
-0.87x + -9.37y + 4.0z <= 821.15
3.97x + 5.86y + 1.8z <= 306.31
3.92x + 7.81y + -7.44z <= 328.55
-9.74x + 0.2y + 5.78z <= 963.95
-3.38x + 0.86y + 2.41z <= 820.97
-7.33x + -2.12y + 3.04z <= 333.02
-8.45x + -7.32y + 2.83z <= 353.02
4.94x + 9.59y + 2.31z <= 264.36
4.54x + -1.07y + 9.73z <= 143.18
-9.44x + -8.49y + -7.73z <= 365.92
-2.83x + -7.37y + -0.05z <= 498.64
-1.95x + -4.13y + 2.95z <= 348.51
2.54x + -4.63y + -8.7z <= 283.86
4.57x + -4.28y + -2.16z <= 736.78
8.08x + 4.4y + -8.64z <= 355.1
0.87x + -8.62y + -8.86z <= 299.15
-2.98x + -3.85y + 3.81z <= 798.14
-1.22x + 7.35y + -1.84z <= 321.35
-1.22x + 8.78y + -9.75z <= 752.65
7.09x + -8.75y + -0.9z <= 658.31
-9.96x + 7.19y + -6.2z <= 640.71
-1.64x + 3.51y + -3.52z <= 422.36
-3.86x + -9.59y + 6.58z <= 178.52
7.15x + 2.12y + 5.7z <= 872.4
-5.35x + 5.09y + 1.37z <= 279.64
-1.03x + -9.73y + 4.6z <= 798.46
-5.03x + 2.97y + -7.25z <= 783.52
0.77x + -7.28y + -8.22z <= 385.64
6.7x + -6.2y + 1.97z <= 526.92
-1.25x + -0.62y + 0.34z <= 867.84
6.8x + 7.55y + 4.54z <= 745.02
-2.31x + -5.13y + 3.95z <= 619.94
-5.13x + 8.21y + -1.9z <= 168.71
0.82x + 3.05y + -3.18z <= 220.52
-6.8x + -0.74y + -1.74z <= 735.42
1.98x + -8.46y + -4.47z <= 477.18
-6.19x + 6.14y + -2.94z <= 267.39
-8.01x + 6.0y + 5.28z <= 511.33
-7.85x + 7.31y + 3.63z <= 774.27
9.37x + 7.28y + -9.78z <= 103.85
4.46x + -8.87y + -2.63z <= 797.46
4.6x + 3.55y + 5.21z <= 879.0
9.83x + 8.81y + 4.86z <= 693.44
7.98x + -0.41y + 1.38z <= 336.95
-6.3x + 2.93y + 8.42z <= 163.61
6.24x + -6.66y + 7.66z <= 251.94
5.33x + -1.84y + 3.72z <= 647.32
-6.07x + -0.7y + -4.0z <= 996.15
7.37x + -9.88y + -6.09z <= 188.46
4.8x + 6.54y + -2.65z <= 369.48
-5.48x + -3.91y + 6.04z <= 106.98
7.63x + -5.12y + -2.5z <= 622.24
-0.71x + 1.03y + 8.76z <= 871.8
0.39x + -6.43y + -1.93z <= 948.1
-8.4x + -8.52y + 2.98z <= 175.55
-3.97x + -7.21y + 0.02z <= 528.18
-2.16x + -6.97y + -1.1z <= 213.42
-6.26x + -7.6y + 8.6z <= 904.48
-6.83x + 7.32y + -1.18z <= 937.78
-5.36x + -1.3y + 6.77z <= 397.68
9.0x + 2.25y + -3.93z <= 320.42
-6.95x + 4.93y + 1.98z <= 122.35
2.44x + 2.42y + 8.22z <= 248.26
-9.6x + 7.24y + -6.79z <= 426.23
-5.84x + 5.09y + 3.69z <= 889.78
7.98x + -1.53y + 9.87z <= 339.0
-2.76x + 0.38y + -5.27z <= 639.58
1.84x + 2.28y + -2.65z <= 893.3
7.74x + -1.61y + -1.25z <= 231.34
3.03x + -1.2y + -9.13z <= 132.41
-0.33x + -1.11y + -3.49z <= 316.23
5.48x + 5.06y + 1.83z <= 267.99
3.66x + -5.62y + -4.85z <= 387.78
8.05x + -2.58y + 7.81z <= 818.71
-5.94x + 5.01y + -0.81z <= 263.73
5.21x + 0.12y + -6.67z <= 250.88
-6.51x + 0.66y + 8.44z <= 551.23
-3.43x + 7.23y + 7.36z <= 816.23
-6.97x + 4.73y + -4.52z <= 938.3
-1.79x + 4.96y + -8.81z <= 939.37
9.1x + -4.12y + 2.28z <= 785.39
-2.35x + 7.79y + -1.06z <= 200.24
5.69x + -1.53y + -1.56z <= 474.68
0.13x + -3.75y + -9.69z <= 749.37
-2.65x + -8.47y + 0.35z <= 363.27
-4.95x + 6.85y + 0.24z <= 593.32
9.49x + 9.76y + -0.81z <= 596.49
2.95x + 5.84y + 2.81z <= 472.58
-1.66x + -4.14y + -1.4z <= 925.38
5.79x + 0.24y + -2.54z <= 337.44
-3.45x + -1.4y + 2.78z <= 636.65
3.8x + -2.24y + 4.41z <= 883.94
-0.33x + 3.83y + -6.77z <= 148.52
-0.22x + -6.2y + 9.74z <= 634.34
-0.54x + -2.79y + 2.77z <= 135.19
-6.16x + 6.11y + -6.65z <= 845.95
-2.06x + -4.54y + -5.9z <= 743.75
-7.51x + 4.83y + 6.46z <= 994.08
-6.72x + 5.56y + -8.57z <= 566.63
2.61x + -3.77y + -3.0z <= 707.5
5.12x + 8.34y + 7.86z <= 464.81
-9.39x + 8.04y + 2.72z <= 807.41
-5.02x + 1.61y + 0.15z <= 587.94
0.05x + -3.06y + -0.76z <= 405.45
-4.01x + 0.78y + -4.26z <= 124.57
-4.61x + 5.66y + -9.13z <= 827.26
-5.16x + -4.26y + 7.3z <= 428.07
-7.89x + -0.18y + -1.09z <= 265.9
9.28x + -4.88y + -1.98z <= 392.47
-0.61x + 1.4y + -3.58z <= 225.32
-8.89x + 9.67y + -4.76z <= 402.68
2.23x + -1.47y + 5.65z <= 947.28
0.86x + 4.4y + -9.51z <= 527.81
-4.72x + -1.29y + 1.37z <= 121.47
3.51x + 6.28y + 1.9z <= 585.31
-1.13x + 5.66y + 1.18z <= 703.16
-6.05x + 2.56y + 0.74z <= 891.1
7.91x + 0.92y + 4.91z <= 857.88
7.56x + 3.65y + -6.41z <= 621.26
-3.5x + -3.85y + 1.28z <= 108.14
8.8x + -6.1y + 4.39z <= 817.63
2.77x + 4.12y + 6.69z <= 960.61
9.05x + -4.96y + -7.49z <= 962.09
0.55x + -3.98y + -3.82z <= 184.46
6.39x + 8.14y + -5.61z <= 800.22
9.46x + 2.03y + -3.07z <= 775.25
2.03x + -6.53y + -9.47z <= 519.51
-6.68x + 2.54y + 8.04z <= 824.12
4.56x + -2.27y + 9.23z <= 808.96
-4.14x + 0.71y + -2.56z <= 154.33
6.98x + -7.41y + -1.54z <= 911.37
0.77x + 3.82y + -9.42z <= 477.39
-0.12x + -0.86y + -1.1z <= 637.37
9.46x + -7.31y + 5.75z <= 204.45
-7.38x + -8.57y + -9.8z <= 642.66
3.78x + -4.49y + 7.19z <= 947.9
3.89x + -2.46y + -9.46z <= 507.87
-2.17x + -6.23y + -2.3z <= 885.73
1.28x + -7.51y + 2.63z <= 839.94
-9.95x + 2.32y + -3.17z <= 344.68
-8.4x + 8.68y + -5.3z <= 378.82
-6.53x + -8.29y + -0.48z <= 248.32
-6.3x + -2.34y + -0.94z <= 742.21
-8.38x + 4.51y + -1.05z <= 666.38
2.13x + 6.04y + 8.69z <= 921.26
4.72x + 4.28y + 9.5z <= 914.88
9.19x + 2.48y + 8.98z <= 922.79
-2.81x + -2.21y + 0.99z <= 493.04
-9.78x + -1.06y + -3.17z <= 574.55
3.11x + -6.43y + 8.48z <= 420.14
-9.4x + -4.02y + -0.87z <= 779.89
4.4x + 6.9y + -8.07z <= 393.09
-1.53x + -4.23y + -1.98z <= 136.85
-3.79x + -6.14y + -3.54z <= 873.98
3.22x + -4.22y + 0.58z <= 723.99
-5.4x + 0.22y + -4.93z <= 941.81
2.49x + 0.95y + -3.71z <= 857.19
1.36x + 5.42y + -9.47z <= 490.97
0.29x + -4.88y + -3.18z <= 519.31
-8.09x + -9.72y + 4.08z <= 253.13
5.28x + 5.88y + 3.32z <= 999.81
-6.8x + -7.27y + -5.46z <= 243.43
5.49x + 2.67y + 2.33z <= 314.41
8.52x + -5.33y + -2.75z <= 781.75
-1.77x + -5.1y + 6.08z <= 372.64
1.72x + 3.09y + -9.52z <= 457.93
-2.79x + -1.51y + 6.99z <= 327.4
1.93x + 9.92y + 3.9z <= 365.31
3.18x + -8.54y + 0.17z <= 594.58
6.1x + 3.61y + -5.73z <= 832.93
2.48x + 7.02y + -9.79z <= 155.23
1.23x + -5.98y + 5.31z <= 269.26
-1.73x + 5.51y + -9.52z <= 134.69
-4.84x + -0.06y + 1.31z <= 994.01
-8.76x + 5.6y + -6.64z <= 403.11
5.69x + 2.74y + 6.97z <= 396.21
3.72x + -2.71y + 9.75z <= 226.01
-6.46x + -5.04y + 1.73z <= 570.39
-7.88x + 3.49y + -0.69z <= 603.66
-4.16x + -4.94y + -5.92z <= 721.24
-3.33x + -4.91y + 8.39z <= 117.77
4.94x + 5.01y + -5.62z <= 225.71
-1.57x + 8.46y + -2.55z <= 385.79
3.29x + 0.5y + -5.71z <= 225.13
-5.5x + 2.4y + 3.22z <= 798.33
8.77x + -6.53y + 3.56z <= 804.02
0.91x + -8.74y + 5.8z <= 935.83
9.83x + -6.76y + 7.5z <= 975.66
-1.29x + 2.62y + 6.94z <= 416.15
-8.58x + -0.44y + 7.66z <= 781.71
-1.79x + 8.41y + 3.43z <= 498.96
7.05x + 1.92y + -6.65z <= 446.27
-3.8x + -4.25y + 3.42z <= 626.23
9.23x + -8.41y + 9.06z <= 846.81
-6.41x + -7.3y + 8.36z <= 398.66
-3.64x + 5.69y + 9.33z <= 753.36
6.08x + -8.26y + 8.08z <= 374.51
-1.52x + 5.25y + -6.51z <= 214.13
1.84x + 8.69y + 4.58z <= 699.44
3.58x + 9.53y + -0.23z <= 117.66
9.88x + 3.59y + 2.67z <= 568.67
-2.52x + 1.07y + 0.87z <= 939.83
-1.43x + 6.29y + 2.38z <= 329.2
4.73x + 8.51y + 5.06z <= 719.49
6.21x + 0.19y + -1.81z <= 802.25
0.42x + -0.45y + 2.27z <= 200.65
3.53x + 6.99y + -4.78z <= 102.39
9.76x + 7.26y + 2.8z <= 324.5
-8.31x + -5.76y + -9.84z <= 711.91
4.25x + -3.11y + -9.49z <= 884.57
-3.64x + 5.98y + 8.37z <= 923.9
-6.32x + 6.61y + -8.76z <= 343.58
8.38x + 1.19y + -1.82z <= 670.49
7.72x + 6.63y + -1.87z <= 474.99
1.19x + 0.09y + -0.34z <= 900.61
-4.82x + -3.04y + -0.49z <= 347.36
7.39x + 3.11y + 9.5z <= 318.81
7.02x + 1.59y + 1.64z <= 764.73
-5.89x + 9.86y + 5.82z <= 688.04
0.69x + 3.83y + -6.42z <= 524.54
1.46x + 5.48y + -9.75z <= 323.8
-4.17x + -3.79y + -5.51z <= 531.6
-3.8x + -1.96y + 6.74z <= 263.06
8.23x + -5.3y + -6.23z <= 408.5
7.66x + -2.84y + 6.34z <= 684.38
0.34x + 6.15y + -8.14z <= 993.41
-5.27x + -8.59y + -5.43z <= 412.42
-2.88x + 4.83y + 5.94z <= 495.56
2.27x + -7.12y + -0.83z <= 227.52
-8.43x + 4.21y + 6.54z <= 215.79
9.6x + -5.71y + -5.24z <= 438.59
7.8x + -1.01y + 4.07z <= 689.44
-4.22x + -3.63y + 4.96z <= 624.71
3.26x + -4.82y + -2.62z <= 508.55
8.26x + 0.46y + -0.37z <= 512.81
-4.06x + 7.87y + 5.48z <= 386.51
0.44x + -9.97y + -6.21z <= 286.5
7.06x + 6.82y + 2.33z <= 426.7
6.4x + 3.98y + -9.76z <= 718.82
0.85x + 4.53y + -2.48z <= 984.8
7.79x + -6.64y + -5.86z <= 147.64
-0.17x + -6.33y + -3.13z <= 240.91
-2.14x + -0.04y + 9.55z <= 592.59
2.96x + -9.66y + 4.3z <= 777.55
7.13x + -0.02y + 1.69z <= 573.96
-5.58x + -8.44y + -3.14z <= 251.6
0.87x + 0.4y + 8.79z <= 119.19
4.2x + -5.22y + 8.65z <= 224.17
-1.89x + -4.72y + -1.35z <= 780.48
-4.93x + -9.94y + 4.91z <= 422.3
-4.59x + 1.32y + 8.46z <= 314.55
8.47x + -4.11y + -6.13z <= 393.42
4.04x + 8.19y + 9.88z <= 253.26
4.88x + -7.14y + -1.54z <= 270.92
4.86x + -3.66y + 1.29z <= 160.91
-0.06x + -9.98y + -4.33z <= 684.13
-6.91x + -5.22y + -2.72z <= 627.14
-1.67x + -3.76y + -4.96z <= 179.41
0.02x + 3.34y + -8.39z <= 128.15
5.25x + 4.31y + -4.07z <= 225.02
3.15x + 3.15y + -6.75z <= 308.17
5.36x + 7.09y + 5.63z <= 144.08
-6.99x + 3.13y + 8.34z <= 379.6
-5.15x + 0.68y + 2.52z <= 238.51
4.73x + -6.83y + -6.4z <= 418.87
2.13x + -3.61y + 5.27z <= 904.29
-7.83x + 4.16y + -1.83z <= 674.58
-2.3x + -1.9y + -8.72z <= 362.21
6.15x + -8.23y + -5.46z <= 282.17
-1.86x + 3.85y + -8.11z <= 449.7
-5.56x + -7.42y + -8.53z <= 586.6
0.09x + -1.83y + -8.39z <= 263.79
-4.72x + -7.34y + 9.57z <= 840.73
-6.2x + 3.16y + -2.85z <= 366.13
1.01x + 2.74y + 2.8z <= 412.51
4.61x + 8.14y + 5.92z <= 212.08
2.75x + -8.32y + -1.53z <= 311.0
0.54x + -4.21y + 1.94z <= 391.95
8.5x + 9.95y + 4.64z <= 592.3
-5.31x + 0.93y + 0.62z <= 195.2
-2.03x + -9.95y + 1.28z <= 812.36
7.45x + -4.84y + -7.85z <= 998.1
6.83x + -3.77y + 5.05z <= 325.05
-1.06x + -4.32y + 3.62z <= 889.52
-2.07x + 3.57y + -7.29z <= 992.73
-5.54x + -6.89y + -9.79z <= 570.05
-3.78x + 0.42y + -0.32z <= 639.03
8.54x + -0.68y + 8.6z <= 744.9
-0.08x + -4.58y + -9.86z <= 278.09
6.37x + 3.75y + -3.53z <= 518.71
-6.24x + -8.04y + -4.34z <= 475.42
-4.88x + -6.61y + 2.01z <= 379.27
9.38x + -7.49y + -2.33z <= 777.26
-5.79x + 4.04y + 4.15z <= 445.22
-9.42x + -9.67y + -5.6z <= 943.99
-9.89x + 5.53y + -4.56z <= 988.31
-5.69x + 5.54y + 2.27z <= 850.4
-1.12x + 7.62y + -5.54z <= 659.35
5.22x + 3.89y + -0.59z <= 325.61
-8.73x + 9.11y + -6.66z <= 298.63
8.73x + -9.2y + -1.44z <= 790.4
-8.52x + 8.05y + -2.05z <= 871.73
4.97x + 9.68y + -5.12z <= 431.04
0.97x + 2.5y + 9.11z <= 629.11
-0.56x + -9.28y + -4.37z <= 665.28
2.69x + 8.38y + 0.92z <= 356.1
-6.64x + 3.67y + -7.97z <= 533.48
-1.95x + -2.69y + -3.43z <= 182.24
1.06x + 5.18y + 2.36z <= 205.82
1.98x + -5.46y + 8.98z <= 697.46
6.96x + -0.45y + 0.82z <= 501.19
3.88x + 4.45y + -5.2z <= 315.94
5.49x + -3.69y + 4.05z <= 501.13
3.03x + 3.23y + 7.98z <= 497.74
-3.78x + 6.37y + -3.64z <= 887.11
-5.01x + -7.11y + -5.8z <= 103.01
6.69x + -4.56y + 1.81z <= 208.76
-9.96x + 2.06y + -0.17z <= 862.95
4.06x + -9.89y + -2.2z <= 579.06
-1.84x + 1.07y + -7.99z <= 784.25
1.14x + -9.92y + 9.12z <= 359.65
-1.59x + 0.17y + -7.8z <= 936.11
-9.4x + -8.46y + -8.2z <= 491.21
-4.34x + 4.93y + -9.1z <= 501.01
8.15x + 8.43y + 3.06z <= 314.98
6.6x + 3.42y + 5.09z <= 309.73
-5.45x + -5.08y + 6.76z <= 119.24
-3.26x + 8.16y + 0.17z <= 990.1
-4.12x + -4.35y + 1.51z <= 849.35
-0.8x + -8.55y + 1.57z <= 140.55
9.27x + 0.87y + 5.32z <= 605.23
0.99x + -6.71y + 6.93z <= 294.96
-4.64x + -0.32y + -0.78z <= 206.24
6.42x + -8.0y + 5.35z <= 966.22
4.4x + -2.1y + 4.95z <= 537.83
7.57x + 5.03y + 4.65z <= 259.0
-9.23x + -3.1y + 0.75z <= 868.74
-4.31x + 1.64y + -1.74z <= 792.05
-4.84x + -0.65y + -2.46z <= 814.31
1.76x + -7.72y + 8.47z <= 280.8
2.67x + 3.59y + -7.63z <= 125.69
9.54x + 4.46y + -0.43z <= 932.57
-0.51x + -9.39y + 5.68z <= 285.45
-3.77x + 5.18y + -7.22z <= 489.21
4.1x + -9.89y + 7.26z <= 906.37
-2.66x + -7.06y + -5.22z <= 546.78
8.33x + -0.16y + -4.01z <= 648.89
-1.09x + 7.17y + 1.87z <= 487.74
2.72x + 7.72y + 7.57z <= 676.31
6.08x + -9.95y + 2.8z <= 454.92
8.52x + -6.85y + -6.44z <= 649.12
-1.0x + -2.79y + 0.13z <= 884.34
-5.44x + 8.71y + 0.94z <= 835.46
-2.11x + -5.93y + 7.76z <= 535.91
-8.15x + -8.63y + 0.03z <= 283.15
-9.84x + -1.83y + 9.58z <= 286.28
-7.44x + 4.54y + -0.63z <= 800.72
-8.45x + -4.9y + -1.74z <= 203.95
-3.33x + 0.43y + 3.7z <= 599.25
-6.71x + -9.71y + -3.6z <= 608.76
-3.38x + -3.44y + -4.26z <= 145.45
6.38x + 8.18y + 4.09z <= 717.23
-0.29x + 7.79y + 5.69z <= 606.68
-8.71x + 8.75y + 9.73z <= 325.46
-7.85x + -4.27y + -1.69z <= 473.09
4.28x + -0.37y + -8.58z <= 555.62
1.28x + -2.79y + 9.16z <= 483.54
-9.21x + -1.28y + 2.75z <= 672.13
-2.19x + -0.93y + -8.38z <= 527.64
5.21x + 4.55y + -3.83z <= 917.54
2.99x + -7.71y + -9.75z <= 156.65
-4.75x + -5.17y + 1.22z <= 550.51
-5.23x + -8.06y + -9.46z <= 573.92
-0.21x + -9.85y + 5.68z <= 632.09
-7.89x + -5.17y + 3.21z <= 710.65
4.69x + -6.44y + -9.41z <= 133.83
-4.26x + -6.83y + -7.32z <= 207.81
-1.93x + -7.56y + 1.53z <= 479.61
1.84x + -3.12y + -6.26z <= 632.34
-8.6x + -4.83y + 5.48z <= 248.77
-1.97x + 2.84y + 8.98z <= 846.74
-8.94x + -5.08y + 4.04z <= 716.09
0.49x + 1.51y + 9.55z <= 407.08
-9.33x + -9.7y + 2.8z <= 545.57
4.13x + 3.3y + -2.85z <= 827.19
1.06x + -1.84y + -4.78z <= 114.73
-2.75x + -4.65y + -6.58z <= 738.45
4.93x + -3.84y + -8.37z <= 877.6
-3.49x + 2.89y + 7.93z <= 185.69
0.2x + 9.01y + 4.74z <= 340.04
3.63x + -2.82y + 0.71z <= 445.26
-3.35x + -5.54y + -4.08z <= 321.4
-8.5x + 6.0y + 3.08z <= 645.13
-4.49x + 0.94y + -6.23z <= 993.28
1.93x + -3.98y + 3.7z <= 252.11
2.18x + -9.76y + 8.45z <= 612.3
-0.54x + -9.81y + -0.23z <= 291.69
7.49x + 8.96y + 1.62z <= 949.34
3.74x + -7.13y + 7.58z <= 783.73
7.65x + -7.23y + -6.04z <= 191.97
-5.51x + 8.39y + 0.17z <= 902.45
-9.86x + -6.94y + 8.21z <= 428.76
8.44x + 0.2y + -2.8z <= 320.59
3.07x + -6.04y + 9.5z <= 374.77
-7.66x + 5.71y + -7.82z <= 965.28
-5.62x + -8.54y + 5.38z <= 357.27
-8.49x + -8.89y + -4.55z <= 946.97
-5.5x + -3.37y + -8.92z <= 175.01
9.78x + 7.26y + -4.98z <= 200.46
3.03x + -0.68y + 8.67z <= 301.63
1.91x + -4.25y + -4.53z <= 776.92
6.73x + -5.66y + -3.36z <= 686.06
-1.16x + 0.63y + -7.85z <= 274.46
-7.26x + 0.15y + -0.43z <= 370.55
-7.85x + 0.14y + 5.12z <= 129.59
-3.01x + 5.76y + -2.37z <= 491.44
1.2x + -0.16y + 5.81z <= 769.25
-4.38x + 3.31y + 6.31z <= 140.62
1.7x + 8.44y + 7.87z <= 434.89
-0.49x + -0.06y + 3.1z <= 320.94
-0.86x + 5.55y + -1.33z <= 416.57
-8.07x + 5.07y + -3.6z <= 552.77
7.91x + -3.9y + 3.57z <= 467.28
-7.33x + -7.52y + 0.87z <= 602.04
5.22x + 7.49y + -5.87z <= 958.41
8.03x + 8.78y + 6.9z <= 169.69
8.46x + 6.39y + -5.29z <= 120.89
-2.36x + 6.88y + 7.69z <= 200.9
2.45x + 3.66y + -6.93z <= 188.76
-6.63x + 8.69y + -8.89z <= 877.7
-1.48x + 1.57y + 5.61z <= 692.32
3.27x + -9.61y + 6.47z <= 518.5
3.58x + 1.15y + -0.05z <= 349.87
8.38x + -0.78y + 4.92z <= 948.72
-4.44x + 1.4y + 1.35z <= 369.32
9.63x + -1.52y + 3.25z <= 793.9
8.29x + -1.13y + -6.64z <= 444.11
-0.55x + -3.12y + 1.87z <= 331.09
7.44x + -9.01y + 2.04z <= 630.71
-6.47x + -5.07y + -2.41z <= 288.62
-5.3x + 1.08y + 5.3z <= 680.41
7.29x + 1.66y + 3.17z <= 407.89
5.24x + 9.88y + -4.04z <= 945.08
1.73x + 1.43y + 9.73z <= 505.92
7.26x + -1.35y + 9.85z <= 289.93
1.75x + 4.63y + 5.23z <= 687.18
-6.0x + -0.99y + -1.4z <= 252.64
-8.89x + -4.83y + -2.42z <= 553.92
-7.35x + -0.88y + 3.94z <= 236.73
5.41x + -3.61y + 3.2z <= 485.71
-7.34x + -8.22y + 6.01z <= 697.16
-2.98x + -5.33y + 4.6z <= 132.23
6.95x + -0.99y + 7.91z <= 693.45
4.5x + 1.42y + 7.41z <= 429.0
0.46x + -0.57y + -8.83z <= 244.53
-3.93x + -6.91y + -8.51z <= 218.55
8.72x + -8.23y + -3.01z <= 699.58
3.6x + -6.58y + 1.67z <= 259.83
6.26x + 2.25y + 2.78z <= 351.26
-8.4x + -8.07y + 1.97z <= 339.75
5.85x + -9.84y + -9.13z <= 484.67
-1.75x + -1.28y + -3.12z <= 614.11
9.66x + 3.88y + -5.11z <= 675.78
5.16x + 0.02y + -6.31z <= 168.79
3.63x + -6.95y + 6.18z <= 312.3
-2.77x + -9.44y + -8.18z <= 553.6
9.04x + -0.72y + 6.22z <= 329.68
-8.79x + -7.39y + 1.93z <= 549.77
-3.32x + -3.3y + 8.87z <= 402.43
8.63x + 2.87y + 7.01z <= 401.96
4.37x + 6.12y + -4.03z <= 878.95
-5.4x + 8.99y + 5.17z <= 134.82
-2.8x + 0.69y + -3.14z <= 188.74
7.07x + 3.13y + 8.2z <= 372.69
9.01x + -1.13y + -2.94z <= 491.27
7.43x + 0.34y + -9.02z <= 527.88
9.8x + 3.77y + -4.5z <= 797.46
-1.49x + -6.75y + 3.06z <= 508.57
-2.83x + 5.14y + 8.32z <= 185.56
-1.38x + -5.0y + -3.65z <= 310.08
4.46x + -4.4y + 7.78z <= 513.97
8.04x + 7.32y + 3.67z <= 859.33
0.7x + -4.4y + 7.08z <= 827.64
-2.2x + 9.49y + -4.9z <= 489.35
3.26x + 4.15y + -5.27z <= 781.97
-9.1x + -0.63y + 0.75z <= 320.26
-3.77x + -0.23y + -8.92z <= 591.14
