max 5.36x + 8.96y + 6.0z
8.2x + 9.16y + -8.14z <= 109.08
-7.89x + 0.51y + 1.57z <= 972.68
-3.71x + -9.92y + -0.54z <= 875.7
-9.7x + -4.59y + -4.36z <= 273.7
9.21x + 6.37y + 6.86z <= 268.45
-2.2x + -2.94y + 5.53z <= 973.03
4.42x + 0.85y + -6.58z <= 295.08
-0.9x + -0.88y + 2.24z <= 359.59
-6.59x + 5.78y + -8.51z <= 489.05
-2.2x + -1.91y + -2.59z <= 162.36
8.66x + -4.45y + -3.29z <= 205.59
-9.48x + 7.48y + -2.61z <= 277.49
-0.53x + 6.28y + 5.44z <= 555.13
1.08x + -3.64y + -6.42z <= 657.96
6.54x + 7.83y + 2.79z <= 299.19
-8.87x + -7.24y + -6.28z <= 706.92
5.9x + -5.2y + 4.75z <= 839.07
-0.42x + 4.06y + 2.36z <= 787.63
0.23x + 7.86y + 8.0z <= 704.95
-7.6x + -2.61y + -8.8z <= 686.03
6.56x + 2.65y + 5.94z <= 157.91
-5.22x + -8.13y + -2.13z <= 608.64
-1.84x + 2.27y + 8.13z <= 513.01
-3.18x + -5.63y + -8.56z <= 343.02
6.08x + 1.82y + 9.86z <= 677.52
-1.37x + 7.39y + 4.85z <= 585.96
-1.74x + -3.09y + -1.91z <= 868.79
4.8x + 4.87y + -4.05z <= 389.63
-6.45x + 3.34y + -4.82z <= 297.29
8.29x + -1.74y + 0.14z <= 536.73
6.41x + 0.46y + -2.62z <= 627.64
-7.35x + 6.91y + 2.36z <= 525.43
-6.82x + 6.6y + 7.24z <= 792.29
3.69x + 6.78y + -7.86z <= 870.57
5.72x + -4.2y + 9.11z <= 936.48
-6.05x + -9.34y + -7.61z <= 494.01
7.55x + 0.94y + 0.19z <= 880.68
2.52x + 5.04y + 8.99z <= 974.46
1.04x + -4.69y + -9.48z <= 363.03
2.88x + 6.37y + 8.32z <= 533.79
5.54x + -6.3y + 5.09z <= 243.59
5.84x + 3.64y + -8.03z <= 501.14
2.59x + -9.71y + -2.67z <= 960.43
-0.35x + -9.35y + -1.13z <= 639.9
-2.89x + -9.56y + 4.1z <= 599.35
-0.91x + -6.97y + -3.92z <= 585.7
2.34x + -2.8y + 8.53z <= 433.95
-8.02x + -2.71y + -5.21z <= 936.15
-2.5x + -9.95y + -3.43z <= 935.1
5.42x + -5.42y + -6.34z <= 110.88
4.14x + -5.42y + -5.28z <= 133.61
-2.13x + 9.03y + 0.63z <= 119.94
-7.88x + -7.31y + 1.75z <= 386.11
-3.08x + -9.24y + -3.96z <= 315.71
9.74x + 3.42y + -0.87z <= 424.42
-3.03x + 1.41y + -4.26z <= 709.25
-4.75x + 9.82y + -9.21z <= 747.6
3.63x + 2.2y + -5.75z <= 498.69
-8.32x + -1.76y + -8.52z <= 181.8
4.51x + 6.57y + -7.62z <= 141.35
3.13x + -1.44y + -4.75z <= 992.48
0.09x + 9.07y + -0.44z <= 627.55
-1.35x + -8.13y + -5.16z <= 716.01
8.15x + -5.33y + 3.32z <= 658.73
-2.48x + 9.61y + -0.25z <= 365.39
9.06x + 3.86y + 2.4z <= 543.25
8.43x + 9.32y + -0.47z <= 458.05
8.2x + -1.07y + -7.76z <= 769.29
-2.29x + -0.46y + 1.18z <= 432.65
0.55x + 9.65y + 6.56z <= 185.11
-5.64x + 0.25y + -3.48z <= 914.74
2.73x + -9.83y + -6.49z <= 525.61
-2.38x + 0.14y + -8.22z <= 115.1
-5.3x + 8.83y + -3.66z <= 434.65
0.86x + -5.45y + -6.9z <= 187.23
2.87x + 8.25y + -5.34z <= 742.4
-4.29x + 9.88y + -0.1z <= 408.04
-4.21x + 6.02y + -3.24z <= 206.91
4.02x + -8.35y + 2.36z <= 532.62
-2.8x + -8.19y + 6.64z <= 915.4
3.68x + 1.9y + 3.04z <= 604.13
-2.22x + -9.21y + 5.07z <= 362.36
9.91x + 2.71y + -8.35z <= 676.84
1.33x + -5.28y + 5.16z <= 939.24
-0.32x + 4.63y + -9.85z <= 799.17
-6.46x + 7.54y + -5.68z <= 618.86
0.36x + -3.5y + -4.73z <= 257.23
7.06x + -8.91y + -0.38z <= 756.93
-7.21x + -3.56y + 0.67z <= 943.94
8.7x + 6.9y + -3.43z <= 875.41
-6.52x + 7.44y + -2.73z <= 388.88
3.95x + 9.42y + -2.26z <= 407.3
1.94x + -6.62y + 8.87z <= 177.11
-8.74x + 1.02y + 3.68z <= 368.02
8.23x + -0.9y + 2.79z <= 987.63
0.3x + -6.86y + 6.87z <= 960.44
3.24x + -6.06y + -2.45z <= 385.01
-7.57x + -3.62y + 4.45z <= 385.62
8.21x + 7.15y + -9.15z <= 702.98
1.66x + 6.57y + 5.74z <= 526.05
-1.41x + -8.59y + -0.96z <= 350.41
-6.63x + -0.5y + -9.48z <= 865.14
-2.96x + 6.9y + -9.09z <= 832.84
-1.81x + 9.68y + -6.59z <= 892.66
-6.58x + -4.35y + -6.53z <= 139.87
-8.35x + -4.74y + -8.96z <= 491.03
-5.13x + -7.6y + -6.71z <= 370.78
-7.07x + 5.42y + -0.63z <= 779.93
-8.4x + -1.81y + -2.8z <= 447.88
-0.15x + -9.82y + -9.78z <= 382.0
5.07x + -2.52y + -3.0z <= 892.8
3.39x + -5.89y + -0.73z <= 727.43
2.99x + -1.84y + -8.02z <= 553.9
-4.36x + 7.39y + -3.54z <= 687.52
8.11x + -4.72y + -6.72z <= 316.19
-1.65x + -2.97y + -9.32z <= 914.05
4.02x + -3.02y + -1.09z <= 995.77
-2.43x + 8.06y + 2.05z <= 877.61
-1.46x + 8.94y + -5.82z <= 654.44
-1.6x + 8.4y + 0.87z <= 133.15
-1.76x + -3.76y + -0.54z <= 816.31
6.5x + 8.08y + 2.73z <= 671.36
-3.29x + -7.61y + -4.3z <= 560.22
5.26x + 2.31y + 7.89z <= 479.25
2.14x + -1.96y + -8.65z <= 465.67
-4.13x + 3.01y + -5.23z <= 721.37
-9.43x + -1.62y + -8.53z <= 482.38
2.33x + -9.93y + 1.45z <= 673.59
-3.72x + -3.66y + -6.19z <= 508.75
-0.91x + 7.86y + -4.3z <= 903.31
-3.17x + -4.84y + 2.3z <= 531.18
-6.6x + 9.13y + 9.8z <= 449.22
9.25x + 5.26y + 2.97z <= 947.74
9.45x + -6.56y + -6.62z <= 845.91
4.39x + 4.42y + 2.29z <= 547.84
8.9x + -0.41y + 1.47z <= 627.76
9.52x + 7.09y + 6.32z <= 364.48
4.16x + -9.89y + -2.05z <= 398.37
2.93x + -7.51y + -4.42z <= 496.32
-5.43x + -7.91y + -7.8z <= 465.6
-7.11x + 7.89y + -2.93z <= 349.42
-8.69x + -3.36y + 7.52z <= 295.74
2.01x + 0.35y + 6.21z <= 557.12
-7.57x + 6.11y + -6.74z <= 166.3
9.28x + -7.12y + 9.11z <= 313.26
2.38x + -4.15y + 3.11z <= 972.5
-4.39x + 8.68y + -7.26z <= 288.53
0.64x + -9.69y + -0.9z <= 287.06
-0.11x + 8.5y + 3.35z <= 167.77
-2.07x + -8.38y + -5.59z <= 247.97
-1.11x + -1.96y + -6.65z <= 615.69
-2.26x + -2.29y + 8.14z <= 542.34
9.23x + 6.3y + 9.12z <= 370.09
2.01x + -3.64y + 1.58z <= 389.94
8.93x + -4.9y + -2.35z <= 826.49
-3.55x + -8.93y + 0.6z <= 535.39
-5.99x + -1.83y + 4.86z <= 748.31
1.64x + 9.4y + 1.95z <= 496.95
-2.6x + -9.87y + -5.83z <= 183.96
2.16x + 4.44y + -1.43z <= 775.96
4.61x + -5.49y + -1.81z <= 916.86
-6.81x + 9.1y + -9.88z <= 820.3
-1.23x + -0.82y + 1.85z <= 300.82
6.81x + -0.4y + -0.93z <= 816.33
9.42x + -9.06y + -9.85z <= 559.42
-9.2x + 7.17y + -3.96z <= 272.8
-9.88x + -6.94y + -3.38z <= 805.38
8.06x + 2.01y + -5.58z <= 742.1
1.86x + -4.37y + 0.42z <= 224.53
-0.93x + -1.55y + 2.0z <= 697.31
9.04x + 1.42y + 5.46z <= 362.64
5.45x + 3.3y + -4.6z <= 717.16
1.67x + 9.41y + 3.97z <= 481.29
0.16x + 5.12y + 0.19z <= 882.22
-3.13x + 2.56y + 8.22z <= 789.01
-2.12x + 2.81y + 5.12z <= 821.91
2.5x + -5.11y + -1.04z <= 909.83
9.87x + 6.63y + -0.32z <= 405.89
-8.28x + 7.22y + 7.38z <= 799.16
-1.82x + 7.49y + 2.43z <= 160.57
-0.61x + 0.32y + 8.56z <= 172.64
2.45x + 3.9y + 5.26z <= 990.4
-8.89x + -8.17y + -3.83z <= 766.88
1.13x + 3.79y + 1.42z <= 365.73
-9.9x + 8.58y + 9.39z <= 125.64
7.1x + 4.34y + 7.53z <= 866.07
-1.92x + 4.05y + -7.68z <= 286.6
-7.16x + -4.05y + 3.87z <= 934.24
8.93x + 4.49y + 8.17z <= 794.64
6.38x + 6.68y + 2.08z <= 596.06
-3.29x + 2.36y + -0.16z <= 607.21
-8.83x + -9.6y + 4.37z <= 953.47
-9.76x + -7.98y + -8.36z <= 331.55
3.83x + 4.18y + 6.81z <= 982.39
3.34x + 3.51y + 1.4z <= 745.72
-8.3x + -7.69y + -8.97z <= 480.99
2.1x + -0.14y + 3.75z <= 762.68
-5.84x + 2.82y + 8.01z <= 946.15
0.7x + -9.72y + -6.97z <= 961.19
2.15x + -7.9y + 9.82z <= 277.4
8.81x + -5.86y + -6.8z <= 650.43
7.46x + 4.76y + 2.6z <= 729.57
-5.41x + 5.76y + 3.95z <= 634.93
-2.65x + 0.85y + 3.8z <= 924.42
-5.58x + -9.51y + 7.98z <= 138.18
-6.31x + 5.49y + 0.13z <= 581.59
-8.86x + 8.2y + 9.05z <= 224.79
-2.87x + -2.09y + 4.88z <= 928.1
3.39x + -3.8y + -4.97z <= 459.77
7.66x + 7.69y + -7.71z <= 824.93
-0.32x + 3.74y + -8.55z <= 121.62
2.67x + 6.16y + 4.53z <= 373.49
-5.75x + 1.56y + -4.59z <= 270.77
9.58x + 8.97y + 3.07z <= 292.14
-4.98x + 9.83y + -1.6z <= 565.42
-8.53x + 3.73y + 4.19z <= 363.14
0.76x + -4.19y + 1.33z <= 647.42
-6.24x + -6.94y + 9.95z <= 336.48
8.85x + 8.22y + 9.47z <= 521.86
9.63x + -8.06y + -3.0z <= 531.5
-4.87x + 7.78y + 9.22z <= 811.67
0.41x + -1.0y + 1.92z <= 960.39
6.26x + -5.47y + -5.79z <= 421.5
-7.37x + 6.07y + 7.19z <= 963.43
2.64x + 5.89y + -4.8z <= 507.53
-5.8x + 9.57y + 2.16z <= 831.09
6.14x + -6.04y + -4.33z <= 581.33
-0.4x + -0.47y + 0.53z <= 165.95
-2.01x + 2.66y + -0.65z <= 244.63
9.56x + 5.94y + -2.09z <= 824.57
7.93x + -7.74y + 9.68z <= 781.85
4.58x + 3.48y + -5.3z <= 129.86
6.23x + 2.87y + 9.31z <= 488.4
-1.37x + 1.23y + 2.65z <= 435.39
1.25x + 5.81y + -0.67z <= 998.3
-6.59x + -8.15y + -9.78z <= 744.48
7.07x + 4.04y + 7.69z <= 668.53
8.93x + -7.51y + -8.49z <= 157.71
0.49x + -5.75y + -2.5z <= 500.24
-8.74x + -5.42y + -0.24z <= 602.18
-1.78x + -3.68y + -8.25z <= 145.25
-8.57x + 7.41y + 1.75z <= 508.73
9.15x + -9.96y + 7.07z <= 334.92
6.33x + 6.89y + -4.67z <= 667.34
-5.21x + 7.29y + -4.39z <= 458.63
6.53x + 1.32y + 0.43z <= 984.72
4.74x + 8.44y + 4.33z <= 638.73
-7.99x + 6.46y + -5.26z <= 216.9
-6.33x + -3.91y + 8.69z <= 518.49
4.02x + -1.42y + -4.6z <= 762.35
-1.28x + -9.49y + 8.49z <= 303.02
-1.56x + -4.62y + 5.28z <= 296.11
5.68x + 2.87y + -7.27z <= 297.75
5.17x + 4.82y + 8.61z <= 630.38
-1.25x + 0.29y + -1.37z <= 590.84
-7.73x + -5.68y + -7.9z <= 589.05
-2.89x + 3.45y + -5.23z <= 542.25
-2.75x + -5.42y + -8.54z <= 786.4
7.34x + -2.39y + 8.57z <= 528.79
3.52x + 4.89y + -0.2z <= 190.61
3.55x + -0.95y + 1.73z <= 965.65
3.2x + -6.23y + -3.42z <= 862.83
-6.45x + -1.13y + -1.43z <= 265.91
8.19x + 9.9y + -9.11z <= 565.37
-0.77x + -2.17y + -2.07z <= 385.12
-0.12x + 2.63y + 3.79z <= 341.22
6.84x + 5.76y + 4.74z <= 230.36
-8.65x + -3.51y + -7.83z <= 280.49
2.6x + 2.48y + -1.85z <= 871.66
5.97x + 6.28y + -6.99z <= 962.79
6.73x + -5.74y + -9.08z <= 834.95
7.15x + 2.21y + -2.21z <= 516.15
-9.46x + -2.8y + 1.23z <= 437.53
8.86x + -8.58y + 3.37z <= 809.87
3.84x + 0.2y + 7.29z <= 376.77
8.45x + 5.45y + -9.94z <= 374.28
-9.18x + -2.11y + 2.12z <= 300.49
5.72x + 0.05y + 6.41z <= 964.02
1.99x + -7.04y + 0.88z <= 816.75
-8.52x + -0.71y + 5.01z <= 173.12
0.6x + 4.44y + 0.03z <= 357.55
-3.16x + 4.43y + -6.01z <= 448.53
3.06x + 7.77y + 9.78z <= 638.64
9.62x + -6.94y + 2.12z <= 465.98
4.9x + -1.32y + -4.84z <= 109.76
-0.28x + 4.88y + -8.75z <= 953.56
-5.14x + 6.38y + -7.65z <= 965.69
4.87x + 0.9y + 8.98z <= 973.01
-7.91x + 1.84y + -5.36z <= 470.26
-5.45x + -1.46y + -6.32z <= 258.64
7.25x + 2.22y + 4.19z <= 198.96
-9.89x + 1.28y + 1.76z <= 564.97
4.65x + 9.86y + 5.05z <= 309.19
-4.57x + 3.1y + 4.14z <= 218.21
-0.54x + -2.32y + 7.47z <= 998.94
4.95x + -0.19y + 0.76z <= 767.44
1.64x + -6.47y + 2.28z <= 920.67
-2.48x + -4.33y + 8.84z <= 886.24
-5.91x + -7.24y + 5.77z <= 187.62
0.51x + 5.75y + 2.9z <= 568.45
-0.69x + 8.68y + -4.23z <= 973.92
9.32x + -7.61y + 5.07z <= 909.62
5.36x + -8.32y + -0.49z <= 392.52
8.06x + -6.83y + 2.32z <= 602.16
0.32x + -8.91y + 1.73z <= 210.76
-2.05x + 7.44y + 3.11z <= 546.8
0.35x + -0.58y + -3.87z <= 136.51
-3.33x + -8.45y + -8.12z <= 882.55
-2.46x + 4.01y + -3.32z <= 928.1
5.97x + 9.73y + -1.46z <= 120.71
7.88x + -1.39y + -1.46z <= 714.18
-4.29x + 0.86y + 9.23z <= 675.42
-2.61x + -6.51y + 0.01z <= 858.18
8.47x + 1.78y + -8.73z <= 289.96
6.83x + 2.88y + 4.5z <= 284.66
-6.9x + 9.25y + -0.29z <= 611.05
-7.0x + -8.9y + 5.9z <= 386.86
-9.18x + -7.61y + -8.61z <= 232.31
-3.58x + -1.77y + 7.61z <= 364.78
-3.19x + -4.69y + -2.64z <= 959.96
0.85x + 6.97y + -0.55z <= 259.61
3.52x + 0.74y + 7.93z <= 528.98
8.88x + -9.89y + -6.76z <= 857.39
4.0x + 1.8y + 2.49z <= 358.04
2.88x + -7.95y + 8.16z <= 585.14
-9.43x + -9.84y + -4.25z <= 121.41
0.25x + -8.37y + 4.87z <= 475.83
5.57x + -1.06y + 2.69z <= 628.32
-3.69x + -8.96y + 3.06z <= 913.77
6.75x + -9.78y + -3.03z <= 175.58
-8.17x + -3.26y + -7.96z <= 633.35
-3.45x + -0.73y + 5.55z <= 811.64
-0.96x + -0.22y + -8.44z <= 128.21
7.15x + -1.19y + -4.95z <= 142.77
1.84x + 7.81y + 3.75z <= 812.35
0.12x + 0.22y + -9.4z <= 622.03
3.56x + 6.48y + 5.43z <= 472.58
2.6x + -5.49y + -6.31z <= 344.96
2.95x + 6.16y + -5.81z <= 164.76
0.43x + 2.09y + -5.26z <= 883.64
-6.45x + 4.4y + 9.16z <= 941.74
-9.01x + -1.83y + 4.74z <= 520.85
-5.47x + -8.44y + 3.27z <= 936.29
8.93x + 5.7y + -6.45z <= 336.17
7.98x + -1.12y + -3.08z <= 513.92
-9.03x + -3.9y + -4.02z <= 457.65
3.05x + 9.91y + -5.72z <= 959.34
8.63x + 4.31y + -2.5z <= 918.97
1.4x + 1.97y + -6.34z <= 606.46
-5.55x + 4.74y + -1.44z <= 562.01
-8.21x + 2.54y + 5.04z <= 290.65
7.5x + -8.61y + -2.62z <= 618.78
9.19x + -9.93y + 4.42z <= 461.92
-9.77x + -2.83y + 5.65z <= 470.59
7.39x + 5.88y + 2.19z <= 860.19
-3.51x + 5.02y + 6.05z <= 893.31
2.1x + 3.52y + -8.41z <= 895.27
8.39x + -5.85y + -3.77z <= 178.07
5.68x + -2.5y + 6.2z <= 597.73
-0.09x + 3.09y + -4.87z <= 730.42
-4.5x + -6.4y + 8.59z <= 545.44
5.19x + 0.54y + 1.57z <= 873.0
-8.02x + 0.17y + 2.07z <= 388.26
6.98x + 1.66y + 6.94z <= 432.62
-6.3x + -6.03y + 7.51z <= 503.07
7.34x + -5.22y + 0.92z <= 953.98
-3.03x + -9.45y + -5.87z <= 151.69
6.59x + -5.43y + -2.83z <= 633.39
-0.5x + -5.99y + -6.96z <= 338.57
-0.24x + 4.45y + -5.76z <= 168.76
0.12x + 8.1y + 7.78z <= 280.09
5.75x + 2.53y + 5.33z <= 506.07
5.27x + 1.56y + 6.98z <= 147.32
-4.49x + -0.41y + -5.69z <= 581.03
9.31x + 9.67y + 9.59z <= 425.05
-7.89x + -4.4y + -7.74z <= 682.28
1.84x + -6.45y + 9.76z <= 989.21
-0.86x + 2.82y + 9.49z <= 972.63
-9.46x + -2.37y + -3.09z <= 538.12
-9.76x + -8.7y + -6.88z <= 350.63
5.36x + -4.52y + 4.32z <= 500.77
8.09x + 4.95y + -5.6z <= 754.5
0.32x + 7.22y + 4.06z <= 209.31
2.35x + 6.98y + -6.82z <= 770.33
-7.16x + 5.61y + 6.19z <= 807.39
-5.7x + 9.32y + -3.08z <= 348.04
7.61x + 9.1y + -5.87z <= 855.34
-4.87x + 0.22y + -7.79z <= 235.56
-6.79x + 1.11y + 4.79z <= 441.22
7.1x + 3.86y + -1.13z <= 874.83
7.62x + 2.88y + -0.77z <= 229.13
1.1x + 6.03y + -1.38z <= 574.55
5.14x + -8.44y + -5.77z <= 272.68
5.84x + -3.88y + -0.74z <= 330.51
-5.17x + -5.34y + -8.59z <= 208.63
-3.07x + 6.7y + -2.2z <= 158.22
2.76x + 8.99y + -3.04z <= 734.95
-8.79x + -0.04y + 4.67z <= 343.54
-6.62x + 0.36y + 4.79z <= 173.46
8.96x + 2.53y + 6.77z <= 436.82
4.92x + -3.02y + 5.74z <= 656.21
3.76x + -1.62y + -7.7z <= 496.12
4.09x + 7.07y + -4.59z <= 797.22
8.24x + 8.42y + 0.11z <= 463.07
7.89x + 4.9y + 5.49z <= 761.62
6.0x + 5.71y + -8.7z <= 422.51
0.75x + 4.6y + -7.28z <= 360.07
-8.52x + 1.48y + -4.99z <= 803.83
-0.23x + 7.63y + 2.34z <= 886.67
-3.28x + -5.03y + 8.44z <= 937.76
-8.65x + 0.77y + 7.9z <= 286.14
-0.91x + -6.7y + 9.5z <= 440.59
-1.31x + 2.79y + -9.33z <= 368.84
-4.86x + -0.52y + -1.97z <= 807.86
2.31x + 0.27y + 5.52z <= 671.74
9.32x + 5.55y + -6.08z <= 995.74
8.09x + 5.18y + 5.65z <= 480.92
8.8x + 1.23y + -9.44z <= 854.24
3.78x + 3.74y + 0.04z <= 141.92
-7.92x + -6.01y + -6.64z <= 195.61
2.98x + -3.1y + 2.46z <= 504.99
5.4x + -0.11y + 4.46z <= 669.33
-7.33x + 3.6y + 6.52z <= 692.02
-8.97x + 9.17y + -4.88z <= 397.6
-7.88x + 3.34y + 6.77z <= 136.53
-2.23x + 7.67y + -4.46z <= 411.87
4.68x + 8.1y + 6.79z <= 476.99
9.6x + 1.12y + 8.46z <= 760.84
-8.35x + 0.11y + -1.43z <= 880.12
7.43x + 9.38y + 6.76z <= 316.8
3.72x + 8.05y + -9.85z <= 641.91
-1.48x + -7.61y + 4.56z <= 626.45
8.62x + 1.85y + 4.52z <= 312.52
2.8x + -6.22y + -5.42z <= 365.85
-5.36x + 9.48y + -4.47z <= 590.07
-8.71x + 2.52y + 0.28z <= 529.98
5.28x + 2.19y + -6.12z <= 336.64
-0.65x + 7.33y + -3.99z <= 960.24
9.15x + -2.04y + -0.38z <= 331.93
-0.51x + -4.32y + -6.04z <= 248.86
9.18x + 7.66y + 0.04z <= 382.38
0.4x + -3.6y + 2.88z <= 914.99
3.08x + 2.39y + -1.84z <= 620.5
-2.17x + -6.52y + -0.55z <= 286.37
-0.16x + -9.26y + -3.01z <= 487.4
4.53x + 8.68y + 6.54z <= 131.54
8.21x + 1.08y + 1.06z <= 445.31
5.93x + -9.24y + 9.28z <= 418.18
-9.84x + -7.15y + -2.53z <= 664.75
0.11x + -2.16y + -8.38z <= 902.32
6.53x + 6.1y + -1.81z <= 383.05
6.6x + 5.51y + 6.46z <= 297.67
8.1x + -2.15y + 6.01z <= 451.58
4.13x + 9.32y + -7.89z <= 425.57
7.04x + -1.87y + 8.79z <= 814.45
3.06x + -6.46y + -5.09z <= 683.02
3.18x + -3.28y + 5.2z <= 730.16
-7.61x + 1.26y + -7.81z <= 957.23
-1.98x + -2.24y + 7.37z <= 564.36
-7.31x + -7.8y + 3.02z <= 117.19
9.09x + 3.43y + 0.01z <= 831.42
-8.24x + -9.84y + 6.87z <= 263.52
6.99x + -3.24y + 2.96z <= 201.06
8.95x + -3.47y + -1.35z <= 850.6
1.93x + -0.64y + 8.92z <= 614.93
-7.73x + -9.57y + -8.0z <= 191.58
7.7x + 7.99y + -0.72z <= 904.03
6.52x + 6.6y + -1.64z <= 112.25
-5.61x + 7.85y + 9.09z <= 603.31
6.81x + 3.17y + -3.56z <= 575.06
4.65x + 0.12y + -6.25z <= 462.69
-8.65x + -3.09y + 6.63z <= 798.35
7.92x + -4.47y + -5.19z <= 660.81
9.8x + 3.61y + -9.69z <= 724.33
-8.21x + -4.4y + 9.06z <= 467.49
-9.29x + -1.41y + 5.59z <= 274.19
-9.8x + 4.71y + 8.0z <= 594.49
-7.98x + 1.54y + -7.35z <= 171.05
-5.8x + 0.91y + -3.93z <= 575.37
3.27x + 8.84y + 4.02z <= 606.41
-4.52x + 5.7y + 7.09z <= 657.79
8.31x + 1.52y + -1.02z <= 977.29
2.43x + 0.9y + 5.28z <= 197.19
-1.59x + -7.69y + 8.72z <= 664.79
-6.46x + 3.0y + -1.34z <= 745.23
7.29x + 5.65y + 2.97z <= 426.55
-4.24x + -1.67y + -0.54z <= 617.55
-1.46x + 7.09y + -1.26z <= 104.43
-2.74x + -9.67y + 2.13z <= 187.64
-7.26x + -6.43y + -7.56z <= 447.71
5.48x + 7.13y + -7.06z <= 140.58
-5.82x + 1.98y + -6.24z <= 751.4
0.76x + -9.53y + -8.09z <= 168.19
-5.04x + -3.77y + 7.39z <= 882.3
5.12x + -8.31y + 4.19z <= 739.38
5.54x + 2.17y + -8.94z <= 330.56
-1.31x + -1.02y + 4.69z <= 995.15
-1.63x + -5.92y + -8.06z <= 699.2
-6.42x + 3.86y + -9.05z <= 880.7
3.27x + -9.54y + -5.75z <= 670.41
-0.86x + 1.46y + -6.64z <= 299.63
3.79x + -6.25y + -7.17z <= 100.9
-2.71x + -1.19y + 6.7z <= 954.47
3.5x + -4.74y + 8.29z <= 269.27
2.02x + -3.32y + 2.16z <= 753.61
8.17x + 6.07y + 6.96z <= 654.2
4.7x + -8.49y + 2.68z <= 529.32
5.74x + -1.53y + -8.59z <= 110.0
-7.07x + -0.38y + -5.2z <= 628.4
8.53x + 7.42y + -1.89z <= 646.83
-4.74x + -9.97y + 2.1z <= 174.78
-0.04x + 9.47y + 7.17z <= 628.22
2.65x + 4.7y + 1.37z <= 403.86
1.67x + -7.16y + -7.92z <= 477.69
2.75x + -8.88y + 1.6z <= 265.1
-8.86x + 1.67y + 3.18z <= 348.48
1.19x + -0.02y + -5.26z <= 711.81
9.99x + -6.48y + -9.84z <= 403.48
-5.69x + -6.31y + 9.25z <= 997.78
2.16x + 1.03y + -4.56z <= 717.49
-6.08x + -5.53y + 6.17z <= 462.44
-6.47x + 5.98y + 9.44z <= 109.19
1.45x + 4.86y + 4.25z <= 340.88
9.01x + 0.11y + -6.5z <= 216.55
-5.82x + 0.66y + 2.36z <= 394.81
-6.25x + -4.19y + 2.22z <= 614.2
-1.26x + 3.79y + 1.33z <= 772.52
-1.86x + -8.95y + -8.45z <= 967.75
-1.17x + 5.2y + -7.92z <= 412.56
-8.49x + -5.64y + -7.03z <= 838.64
-7.78x + -4.73y + 3.75z <= 525.8
-7.62x + 8.64y + -1.19z <= 595.11
7.54x + -6.87y + 8.88z <= 228.2
7.2x + -3.6y + -8.88z <= 334.8
6.91x + 2.99y + -6.63z <= 460.35
2.35x + 9.01y + -9.64z <= 597.14
-4.59x + -1.56y + 3.95z <= 776.56
0.8x + -7.74y + 7.16z <= 677.59
-5.91x + 1.21y + -0.06z <= 998.77
8.15x + -2.46y + -6.15z <= 250.62
6.81x + 3.6y + -6.19z <= 820.91
9.8x + 3.83y + -7.8z <= 954.48
-6.5x + -4.59y + 4.26z <= 556.14
-4.32x + -8.02y + -3.81z <= 402.46
-2.07x + -6.28y + 0.16z <= 378.22
5.52x + -4.05y + -3.32z <= 413.77
2.03x + -8.22y + 3.75z <= 121.19
-3.75x + -9.95y + 0.16z <= 494.43
1.85x + -4.19y + -7.69z <= 288.86
2.92x + 5.79y + -5.33z <= 999.72
-9.42x + -2.41y + 9.69z <= 688.99
-4.89x + 0.8y + 8.99z <= 554.85
0.88x + 2.05y + -0.45z <= 680.5
-9.39x + 4.48y + 2.45z <= 368.06
2.23x + 4.35y + 9.19z <= 342.2
5.76x + -8.3y + -4.08z <= 112.87
-5.07x + -6.63y + 0.74z <= 481.96
7.25x + -2.05y + -4.95z <= 398.81
6.1x + 1.02y + 6.22z <= 963.55
-2.61x + -6.24y + 3.23z <= 231.03
8.09x + -2.35y + 6.3z <= 685.09
-7.22x + 1.79y + 1.47z <= 467.64
-1.18x + 7.78y + 3.22z <= 728.25
-2.69x + -8.87y + -9.38z <= 784.98
-6.25x + -0.18y + -9.04z <= 787.79
-0.76x + 2.01y + -3.15z <= 738.78
-2.68x + 8.64y + -5.23z <= 992.2
8.24x + -2.24y + -1.67z <= 709.54
-0.5x + 1.54y + 1.62z <= 587.56
1.55x + 5.05y + 0.85z <= 666.63
9.37x + 8.62y + 4.12z <= 617.14
0.97x + -6.18y + 7.22z <= 136.57
-3.05x + -6.7y + -6.46z <= 145.07
1.07x + -7.46y + -3.33z <= 920.77
-3.22x + -2.37y + 7.24z <= 678.87
2.91x + 4.6y + 1.09z <= 581.46
3.56x + 3.25y + -7.82z <= 659.74
2.52x + -1.12y + 0.88z <= 961.14
-8.53x + 8.5y + 1.17z <= 507.72
-3.86x + -0.71y + -7.94z <= 363.93
8.68x + -1.46y + 2.93z <= 221.84
7.85x + -1.63y + 7.43z <= 999.26
-1.11x + -9.41y + 8.92z <= 349.04
-2.46x + -9.52y + 3.02z <= 318.55
-5.89x + -2.98y + 0.81z <= 226.63
-5.08x + 0.46y + -0.7z <= 697.49
-3.34x + -4.32y + 5.89z <= 614.34
-6.6x + -8.72y + 8.3z <= 928.71
1.7x + 5.37y + 5.9z <= 568.6
5.58x + -1.86y + -9.08z <= 692.67
-9.57x + -5.4y + -6.47z <= 298.37
-5.94x + 8.52y + -4.14z <= 477.01
6.06x + 6.88y + 8.02z <= 358.67
-9.51x + -3.34y + 1.48z <= 213.86
8.5x + -5.18y + 5.54z <= 456.88
