max 4.55x + -7.4y + -9.62z
0.99x + -1.13y + 0.56z <= 980.39
7.72x + -6.37y + 3.7z <= 448.72
3.66x + 2.32y + -7.89z <= 754.99
6.93x + -5.25y + 8.1z <= 281.53
8.69x + -2.82y + -2.82z <= 214.38
7.77x + 8.69y + -7.8z <= 130.1
-3.64x + 2.37y + 5.7z <= 193.07
-2.57x + -5.34y + -8.01z <= 437.51
5.72x + 8.44y + 3.14z <= 119.72
-0.74x + 0.34y + -4.14z <= 978.05
6.8x + -7.15y + 4.66z <= 187.12
-3.32x + -6.44y + -5.88z <= 741.09
2.85x + -1.18y + 8.34z <= 221.56
-5.34x + 2.53y + -5.29z <= 145.61
-2.77x + -2.08y + -2.79z <= 607.67
9.99x + 7.99y + 1.14z <= 520.17
1.22x + 8.67y + 4.53z <= 399.34
-1.65x + -9.46y + 1.72z <= 967.3
9.89x + -0.92y + 8.34z <= 848.87
-8.05x + 0.53y + -9.12z <= 123.16
-3.77x + 8.25y + 3.96z <= 390.65
-9.28x + -2.16y + -4.1z <= 929.3
-3.44x + 3.52y + 7.69z <= 441.73
6.13x + 4.22y + -3.95z <= 789.8
0.12x + 4.37y + -5.99z <= 327.58
0.13x + 8.93y + 5.71z <= 826.55
2.5x + 5.41y + 1.04z <= 366.16
-8.96x + -8.98y + -5.71z <= 214.19
3.87x + 3.69y + 3.94z <= 743.69
0.85x + -1.23y + -8.1z <= 242.63
-2.35x + 5.04y + -3.46z <= 993.63
-9.41x + -1.25y + 7.05z <= 978.88
-4.17x + 6.56y + -2.9z <= 575.0
5.61x + -5.56y + 5.68z <= 940.99
8.93x + 8.38y + 0.44z <= 380.29
-2.94x + 1.27y + -6.19z <= 821.77
0.9x + 6.73y + 0.27z <= 474.48
1.17x + -8.49y + 3.59z <= 420.34
2.57x + -7.56y + -8.53z <= 661.45
-5.76x + 1.67y + -0.77z <= 600.9
-0.23x + 4.35y + -4.34z <= 317.42
-9.34x + 7.29y + -8.64z <= 529.97
5.66x + 3.87y + -7.44z <= 811.68
5.81x + 2.8y + 7.57z <= 823.38
-6.12x + 8.98y + -5.4z <= 281.37
2.05x + 4.94y + -4.23z <= 618.54
3.35x + -9.22y + 8.58z <= 935.8
-8.13x + -8.61y + 3.98z <= 383.89
-6.51x + 5.98y + 8.57z <= 687.22
7.32x + 2.18y + 8.37z <= 356.99
0.82x + -0.45y + -6.86z <= 719.19
-7.0x + 8.18y + 6.18z <= 839.03
2.29x + -9.29y + 3.52z <= 570.98
7.55x + 7.88y + -4.5z <= 534.83
4.45x + 4.81y + -1.93z <= 129.47
1.7x + -5.06y + 1.98z <= 604.6
5.18x + 1.17y + -7.51z <= 144.98
-9.28x + 8.58y + -3.17z <= 116.91
2.57x + 3.64y + -9.18z <= 921.27
3.27x + 3.23y + 0.48z <= 777.02
1.6x + 2.78y + -4.1z <= 208.94
-1.54x + 5.34y + 2.65z <= 771.36
-5.53x + 6.44y + -8.99z <= 693.58
9.89x + 7.65y + 4.78z <= 254.74
-0.62x + 2.3y + -5.33z <= 804.3
-3.41x + -2.52y + -6.03z <= 717.41
7.32x + -4.53y + 5.82z <= 198.1
-3.84x + 0.79y + 7.88z <= 682.19
-2.13x + 0.95y + 3.25z <= 227.98
5.7x + -7.75y + 9.94z <= 794.58
9.74x + 2.87y + -5.98z <= 687.82
-9.04x + -3.4y + -1.74z <= 710.69
-1.86x + 2.52y + -8.32z <= 767.33
-0.45x + 3.87y + 2.4z <= 323.8
9.54x + 7.28y + 9.99z <= 596.4
2.54x + 1.46y + -1.44z <= 632.61
8.21x + -3.8y + 5.41z <= 666.42
5.68x + 5.46y + -3.04z <= 566.54
-1.45x + -6.71y + -5.03z <= 325.78
8.92x + -1.01y + 0.63z <= 692.04
-6.78x + -8.95y + -7.59z <= 781.89
6.55x + 1.24y + 3.12z <= 289.22
-1.23x + -4.19y + -2.65z <= 484.0
4.55x + 9.42y + -7.59z <= 102.62
0.18x + -2.07y + 9.02z <= 502.45
4.3x + 6.74y + 3.23z <= 979.68
1.67x + -6.0y + 2.89z <= 164.36
9.37x + 8.86y + 8.28z <= 754.19
3.34x + -8.87y + -2.33z <= 527.5
2.76x + 1.81y + -1.58z <= 434.02
-7.78x + -9.02y + 9.93z <= 888.89
5.46x + 3.19y + -1.24z <= 607.43
-3.36x + 3.52y + -1.15z <= 464.07
6.15x + 8.43y + 2.38z <= 143.55
-8.48x + 6.82y + -2.08z <= 546.01
-0.76x + 8.11y + 2.08z <= 333.75
-4.89x + -5.83y + 3.59z <= 635.79
-7.81x + -1.93y + 4.29z <= 871.48
-7.34x + 4.8y + 9.94z <= 426.03
3.87x + 6.2y + -3.03z <= 119.75
-0.91x + 9.91y + 0.98z <= 969.57
-5.95x + -9.25y + 9.79z <= 797.52
-0.01x + -5.68y + 4.31z <= 423.54
-0.09x + 5.66y + -8.59z <= 460.6
-9.01x + 0.65y + 0.84z <= 171.65
-2.68x + 1.45y + 2.76z <= 859.73
4.67x + -4.23y + 3.22z <= 396.0
-0.05x + 2.37y + 3.76z <= 703.2
4.97x + 0.44y + 8.23z <= 622.38
-4.54x + 8.89y + -9.39z <= 658.21
-2.0x + 5.71y + -0.42z <= 657.94
-1.8x + 9.37y + 1.34z <= 402.06
-9.35x + -7.21y + 5.69z <= 654.85
-6.31x + -3.47y + -7.92z <= 595.62
-8.54x + -9.81y + 0.72z <= 390.02
-9.03x + -5.84y + 0.38z <= 263.27
9.71x + -4.32y + 0.65z <= 795.73
8.95x + 5.16y + 3.46z <= 610.0
2.73x + 4.62y + -0.94z <= 461.11
5.42x + -4.49y + -4.72z <= 589.66
3.65x + -4.9y + -2.96z <= 554.35
8.51x + -7.63y + -7.14z <= 767.13
-4.93x + 1.61y + -4.3z <= 914.54
4.08x + -0.26y + 9.46z <= 417.83
4.39x + 3.06y + 3.21z <= 659.48
-4.72x + -4.42y + -5.1z <= 665.47
-2.73x + -1.56y + 4.72z <= 832.48
9.83x + -5.37y + -9.36z <= 699.28
-6.62x + -2.24y + 1.9z <= 842.03
-8.02x + 6.14y + 5.38z <= 631.63
-4.69x + 0.29y + 5.9z <= 143.56
3.75x + 4.13y + -1.4z <= 734.37
2.44x + 4.57y + 1.31z <= 788.55
-1.9x + -1.96y + -4.65z <= 873.9
-8.34x + 7.59y + -4.13z <= 445.82
7.79x + -0.3y + -2.58z <= 707.24
-9.01x + -8.21y + 2.8z <= 392.72
-0.43x + 2.21y + -6.62z <= 549.51
-3.25x + 3.74y + -8.62z <= 546.31
-7.57x + 1.99y + -5.4z <= 937.68
-3.29x + -7.95y + 1.66z <= 344.32
9.29x + -9.08y + 1.06z <= 556.53
1.96x + 8.83y + 6.16z <= 378.74
-7.06x + -7.36y + -0.15z <= 828.76
-2.11x + 8.94y + 3.86z <= 182.87
1.86x + -7.39y + -6.26z <= 883.89
-9.67x + 6.27y + 7.75z <= 769.41
8.09x + 9.02y + -8.4z <= 242.39
1.21x + -2.99y + 6.95z <= 490.41
-0.89x + 8.04y + -9.84z <= 739.01
0.94x + -6.8y + 1.74z <= 267.65
-1.94x + -3.17y + -0.2z <= 598.18
-4.85x + 8.13y + 7.19z <= 732.45
5.71x + -9.42y + -2.54z <= 477.96
5.32x + -6.99y + 1.37z <= 657.2
6.94x + -6.83y + -8.54z <= 665.54
-9.38x + 8.38y + -0.71z <= 248.82
-4.57x + 1.38y + -0.33z <= 192.8
-3.19x + -4.67y + 3.78z <= 669.45
1.16x + -6.42y + 8.82z <= 485.33
0.21x + 2.02y + 7.18z <= 770.27
-4.03x + -0.53y + 3.09z <= 247.92
8.75x + -2.62y + 6.08z <= 985.74
-4.46x + -7.01y + -3.95z <= 525.99
1.58x + 0.1y + -6.85z <= 982.96
-0.2x + -8.61y + 6.96z <= 845.32
-7.77x + 5.56y + -8.52z <= 322.93
-4.51x + 1.34y + 4.58z <= 783.79
3.82x + 6.32y + 3.18z <= 311.2
-1.2x + 2.24y + 6.68z <= 201.21
-9.02x + -2.72y + -5.18z <= 692.58
8.26x + 3.37y + 8.01z <= 982.4
2.35x + -9.07y + 8.06z <= 829.41
-6.47x + -6.91y + -6.53z <= 616.17
1.63x + 6.81y + -8.46z <= 436.67
8.42x + 9.41y + -9.57z <= 302.1
2.86x + 4.64y + 9.9z <= 231.31
-2.12x + 1.41y + 9.48z <= 917.26
-0.42x + 6.64y + 3.16z <= 222.2
-5.35x + 8.27y + -2.7z <= 278.65
-0.59x + -2.95y + -8.65z <= 974.06
-2.27x + 1.13y + 9.47z <= 637.92
-3.18x + 9.37y + 7.8z <= 705.63
-7.08x + -1.97y + 4.69z <= 660.62
-2.87x + 3.09y + 3.94z <= 334.29
0.84x + 4.44y + 2.64z <= 258.62
-7.07x + -7.96y + -5.64z <= 221.55
8.15x + 4.49y + -3.59z <= 133.69
-1.52x + 3.4y + -5.47z <= 801.11
9.12x + -2.65y + -9.64z <= 475.41
5.38x + 6.7y + -2.12z <= 724.52
-3.35x + 2.17y + 3.54z <= 907.38
6.4x + -9.21y + 9.71z <= 885.17
-0.12x + 1.95y + 9.34z <= 277.8
-1.76x + -3.26y + -6.47z <= 253.36
-1.94x + -3.36y + -4.55z <= 548.72
6.47x + 2.69y + 5.42z <= 501.14
-3.37x + -7.83y + 1.64z <= 825.08
1.62x + -4.43y + 0.69z <= 614.94
0.82x + 1.2y + -1.01z <= 871.73
8.65x + -3.24y + -1.0z <= 385.0
-8.83x + 9.65y + -2.64z <= 991.81
2.42x + 1.67y + 1.91z <= 507.37
5.04x + -6.92y + 2.3z <= 812.98
-1.92x + 4.69y + -7.87z <= 326.49
-2.68x + 5.94y + 8.6z <= 795.63
-7.92x + 0.84y + 3.93z <= 163.5
2.83x + -3.15y + -8.87z <= 949.83
0.87x + 8.38y + -3.71z <= 269.38
9.57x + 4.69y + -7.21z <= 506.51
-4.85x + 8.56y + -2.23z <= 756.85
-3.03x + 9.76y + 8.27z <= 364.2
1.21x + 7.53y + 8.96z <= 894.89
-9.49x + -4.59y + -3.18z <= 573.55
-2.71x + 1.94y + -0.5z <= 865.64
6.77x + 9.99y + 3.25z <= 267.1
0.88x + 0.82y + 1.61z <= 321.57
-6.16x + -4.65y + 6.76z <= 953.71
7.9x + -9.63y + -6.31z <= 522.28
-9.89x + 8.93y + 1.48z <= 174.62
7.34x + -1.4y + -3.62z <= 416.96
7.75x + 6.3y + 8.84z <= 203.27
4.08x + -9.37y + -8.43z <= 696.01
-4.68x + 5.92y + -1.95z <= 964.49
-3.74x + -8.71y + -4.14z <= 252.08
6.67x + 0.65y + 0.99z <= 900.06
-5.95x + -9.91y + 5.9z <= 429.74
4.63x + -4.27y + -8.4z <= 745.05
7.11x + 0.03y + 0.28z <= 652.62
8.85x + 8.21y + -2.86z <= 915.72
-7.22x + 3.77y + -4.63z <= 932.3
5.11x + 0.34y + 5.01z <= 898.7
-3.71x + -6.36y + -5.42z <= 172.69
-3.33x + 2.53y + -2.85z <= 264.68
4.16x + 6.93y + -4.24z <= 635.96
-4.58x + 4.01y + 8.85z <= 676.03
-6.62x + 3.68y + 6.41z <= 765.76
-4.03x + 2.94y + 6.72z <= 870.4
-6.35x + 4.7y + 7.46z <= 552.54
-1.72x + -9.92y + 7.77z <= 846.56
0.47x + -2.91y + 7.31z <= 240.32
7.31x + -8.91y + 2.89z <= 160.29
4.09x + -6.47y + -7.12z <= 755.44
3.36x + 3.6y + -0.69z <= 915.68
-4.89x + 6.31y + -8.32z <= 766.05
6.39x + 0.82y + -7.34z <= 193.49
7.93x + -1.76y + 5.34z <= 889.91
-1.29x + -9.29y + 5.83z <= 868.68
-1.26x + 0.61y + -3.69z <= 561.35
7.02x + -0.46y + 6.6z <= 866.6
-9.65x + 4.58y + 2.31z <= 447.53
-0.55x + 5.53y + 7.01z <= 716.6
-9.56x + -7.7y + -0.92z <= 496.37
-1.25x + 5.38y + 0.74z <= 394.64
7.04x + 3.02y + -8.48z <= 277.42
8.43x + 9.85y + -2.52z <= 380.56
-8.71x + -1.2y + -7.17z <= 319.55
-9.56x + 5.86y + 0.65z <= 819.45
-9.18x + 9.51y + -9.28z <= 281.32
7.33x + 4.34y + -3.67z <= 478.7
-3.88x + -5.8y + -6.97z <= 527.53
-2.5x + 7.1y + -1.25z <= 423.65
-9.71x + -8.8y + -4.41z <= 607.78
5.79x + -4.47y + -7.77z <= 153.33
-2.7x + -0.48y + -5.56z <= 539.04
-1.13x + 9.9y + -7.34z <= 559.1
9.43x + -4.56y + -8.59z <= 512.48
3.92x + 4.93y + -7.4z <= 849.33
1.13x + -8.68y + -6.81z <= 615.74
-4.62x + 2.83y + -1.33z <= 635.46
-7.97x + -0.46y + -8.16z <= 820.11
-7.47x + 8.49y + -8.49z <= 522.35
-7.71x + -7.51y + -3.79z <= 996.81
-8.61x + 7.03y + -7.99z <= 122.88
4.14x + -0.08y + -6.13z <= 441.53
-0.59x + 0.57y + -1.92z <= 508.27
8.76x + -3.48y + -2.51z <= 580.35
3.11x + -8.84y + -9.28z <= 873.85
4.79x + 1.05y + 0.44z <= 706.18
7.31x + 4.4y + 5.31z <= 312.44
5.57x + 1.39y + 5.51z <= 969.51
2.02x + 4.22y + 6.64z <= 705.02
-1.81x + -2.04y + -1.8z <= 841.04
8.9x + 0.99y + -1.03z <= 274.85
7.51x + 1.21y + 0.03z <= 768.64
9.38x + 0.29y + 0.97z <= 602.96
4.24x + 0.87y + 2.66z <= 391.23
5.46x + 6.94y + 5.44z <= 204.7
7.04x + 8.68y + 7.27z <= 892.45
6.65x + -0.72y + 3.62z <= 333.21
4.88x + -3.63y + 3.62z <= 780.55
6.47x + -0.64y + -6.22z <= 340.86
5.07x + -1.39y + 4.72z <= 893.85
0.45x + 7.21y + 4.97z <= 556.46
-8.27x + 9.84y + -3.59z <= 420.87
6.64x + 0.4y + -2.99z <= 380.12
-4.96x + 8.22y + -1.75z <= 108.66
-2.82x + -3.41y + 0.53z <= 818.56
-5.83x + -0.41y + 2.08z <= 390.5
-7.45x + -8.94y + -7.77z <= 945.28
9.01x + -1.96y + -1.52z <= 258.17
-4.23x + -5.95y + 9.28z <= 892.1
0.44x + 5.72y + 1.3z <= 522.3
-4.71x + 0.39y + 1.22z <= 279.17
8.6x + -6.57y + -0.29z <= 859.55
-6.83x + -0.02y + -0.53z <= 491.46
7.26x + 9.04y + 1.3z <= 408.28
1.06x + 6.81y + 4.05z <= 698.02
-6.03x + 8.97y + 2.47z <= 198.9
-4.12x + -2.78y + -5.62z <= 153.78
7.02x + 6.24y + -3.48z <= 274.5
-4.53x + 3.41y + 9.03z <= 777.68
8.79x + -5.06y + -7.06z <= 338.28
-9.42x + 5.91y + 7.85z <= 713.54
-1.91x + -2.03y + -0.07z <= 196.16
3.25x + 5.61y + -2.16z <= 526.42
4.68x + -9.32y + -1.78z <= 454.89
5.35x + -5.55y + -8.04z <= 987.38
-8.81x + 3.21y + 4.63z <= 353.0
-4.55x + -3.58y + -1.15z <= 990.03
-3.02x + -7.86y + -6.89z <= 553.92
8.36x + 0.03y + 4.63z <= 768.65
4.49x + 6.71y + -4.59z <= 831.88
-0.35x + 9.64y + -9.94z <= 926.55
-2.72x + 4.71y + 8.09z <= 450.31
8.21x + 3.38y + 4.51z <= 828.34
9.91x + 5.85y + 7.62z <= 209.43
0.47x + -2.48y + -4.11z <= 975.78
1.96x + -6.41y + 0.06z <= 239.3
4.11x + 0.64y + 1.12z <= 854.72
1.8x + 3.91y + -9.48z <= 336.08
5.83x + -1.86y + 9.59z <= 263.41
9.45x + -7.23y + -4.35z <= 395.83
2.25x + -1.6y + 6.69z <= 245.83
5.11x + 7.93y + -5.45z <= 441.44
4.66x + -5.02y + 3.29z <= 519.18
-7.36x + -5.95y + -0.21z <= 271.65
8.63x + -3.61y + -0.5z <= 299.65
5.72x + 7.98y + -1.01z <= 745.41
9.34x + 2.19y + 5.8z <= 382.79
4.81x + 6.75y + 7.76z <= 138.71
-6.65x + -5.42y + 3.55z <= 687.57
0.59x + -4.34y + -3.45z <= 501.17
-3.75x + -2.34y + -2.39z <= 301.1
5.54x + -5.19y + 8.22z <= 158.64
7.74x + -2.45y + -8.18z <= 315.47
-8.62x + -3.49y + 9.02z <= 234.96
1.57x + 0.97y + -7.64z <= 155.57
-0.71x + 9.38y + -3.43z <= 486.33
6.27x + -3.65y + -1.44z <= 434.47
9.38x + -1.39y + -4.8z <= 294.54
-7.08x + -4.64y + -7.52z <= 542.51
9.08x + -3.24y + -8.39z <= 840.79
-8.29x + 9.28y + -0.04z <= 363.39
-1.33x + 9.32y + -8.89z <= 739.9
-5.4x + 0.93y + -4.66z <= 872.66
-0.92x + 4.37y + 0.47z <= 525.51
-1.91x + 3.45y + -8.67z <= 495.56
2.58x + -6.11y + 0.94z <= 498.35
-0.79x + 3.55y + -0.7z <= 140.99
-2.24x + -4.7y + 4.11z <= 366.77
9.54x + 4.77y + -7.39z <= 504.93
2.11x + -9.1y + 8.65z <= 936.02
-5.28x + -9.04y + 2.6z <= 582.03
-7.65x + 2.01y + -1.56z <= 958.41
-4.85x + 1.42y + 7.07z <= 492.8
3.47x + 7.91y + -2.5z <= 406.07
-4.65x + -3.16y + 9.48z <= 727.79
5.27x + 9.01y + 8.29z <= 950.92
6.72x + 7.97y + -0.1z <= 721.23
5.28x + 1.84y + 6.75z <= 974.24
5.83x + -0.61y + -1.11z <= 638.05
-6.92x + 5.19y + -5.63z <= 831.36
-5.14x + 8.39y + -9.12z <= 213.9
-5.85x + 6.4y + -4.61z <= 340.58
-2.95x + 2.15y + -3.5z <= 601.28
-2.12x + -2.0y + -8.75z <= 193.13
1.31x + 6.85y + -1.84z <= 801.49
-7.87x + 2.99y + -8.3z <= 409.45
5.05x + 9.06y + -6.96z <= 256.52
-3.52x + -0.71y + 5.88z <= 856.95
-8.13x + -0.97y + -2.71z <= 542.84
-5.01x + -0.22y + -5.08z <= 648.79
0.46x + -0.75y + 7.06z <= 558.1
-1.7x + 5.68y + -9.37z <= 273.61
9.78x + -2.32y + 6.13z <= 499.82
-0.34x + 2.95y + 4.09z <= 718.68
-7.17x + -3.4y + -5.05z <= 933.9
1.36x + 2.58y + -8.03z <= 671.33
4.1x + 3.17y + -7.84z <= 873.72
2.31x + 3.52y + -2.08z <= 191.71
8.46x + -4.77y + -6.55z <= 854.75
-7.77x + 8.17y + 5.03z <= 857.07
-7.89x + 3.68y + 0.02z <= 251.48
-3.5x + 6.5y + -0.73z <= 753.8
-1.46x + 3.95y + -8.48z <= 636.35
-4.09x + 3.69y + -2.67z <= 945.71
6.91x + 7.51y + -0.28z <= 587.56
7.63x + -3.68y + -3.78z <= 797.76
5.75x + 4.03y + -4.66z <= 269.51
-3.54x + 0.7y + 7.11z <= 185.75
8.25x + -2.84y + -6.54z <= 301.07
5.32x + 9.38y + -9.06z <= 725.16
5.52x + 4.93y + -7.94z <= 407.5
3.95x + -5.85y + 5.07z <= 511.96
-2.59x + 0.7y + 2.41z <= 808.85
-0.77x + -5.36y + -8.9z <= 289.98
-4.48x + 3.34y + 2.56z <= 499.63
2.92x + 6.1y + -0.34z <= 897.19
6.37x + 5.89y + 7.79z <= 885.62
7.36x + 9.15y + 1.1z <= 368.79
6.81x + 5.43y + 7.04z <= 719.71
5.87x + 3.52y + 8.83z <= 598.88
-9.14x + 7.18y + 8.88z <= 114.83
-2.4x + 5.29y + -8.43z <= 331.72
-5.35x + -2.93y + 2.49z <= 590.01
-2.06x + 7.23y + -7.81z <= 404.17
-1.85x + 5.46y + 1.59z <= 633.44
-6.59x + 4.78y + 1.01z <= 327.45
0.53x + -8.89y + -3.14z <= 447.81
1.95x + -8.03y + -2.17z <= 527.61
2.52x + -6.03y + -2.22z <= 511.65
-6.5x + -4.81y + -5.88z <= 741.44
0.81x + -1.7y + 3.57z <= 363.4
-1.4x + -1.2y + 9.6z <= 193.41
2.24x + 7.53y + -3.75z <= 923.45
-0.65x + -7.13y + -2.46z <= 699.55
-4.9x + 6.06y + 4.17z <= 327.15
-6.36x + -1.68y + -8.11z <= 417.04
8.46x + 2.26y + -4.24z <= 251.11
-2.35x + 1.82y + 1.7z <= 125.66
3.81x + -5.93y + -7.7z <= 921.11
-9.66x + 6.7y + -9.31z <= 568.06
-7.37x + 5.12y + 1.07z <= 475.06
2.95x + 6.16y + -5.27z <= 936.77
9.28x + 2.53y + -7.29z <= 274.42
7.2x + -2.58y + -4.54z <= 676.97
-6.03x + 2.5y + -1.79z <= 249.54
-1.14x + 2.33y + -1.45z <= 815.3
-4.38x + 6.73y + -3.61z <= 879.85
2.27x + 2.48y + 2.44z <= 226.76
4.03x + -6.09y + -3.78z <= 182.6
0.68x + 2.24y + -0.31z <= 866.4
-1.32x + -7.06y + 7.18z <= 605.2
-7.76x + 4.5y + 9.32z <= 203.3
-7.84x + 1.6y + 6.45z <= 323.72
-7.36x + 7.94y + -0.61z <= 187.65
-3.64x + -9.77y + 2.64z <= 626.52
0.91x + 1.13y + 9.42z <= 790.81
-3.64x + 4.17y + 9.75z <= 393.12
1.6x + -3.71y + 5.47z <= 402.62
-3.72x + -0.42y + -7.01z <= 226.27
4.51x + 0.39y + 9.82z <= 358.43
-8.23x + -4.15y + -1.16z <= 534.32
-4.11x + 5.21y + 3.1z <= 301.26
-7.86x + -9.21y + -8.37z <= 884.94
-0.54x + 5.08y + 5.86z <= 259.19
-8.9x + 5.51y + 9.05z <= 803.0
-1.27x + -1.83y + -2.8z <= 971.61
-4.9x + 1.27y + -5.48z <= 550.07
-2.16x + 0.64y + -4.28z <= 611.67
6.63x + 6.02y + 9.36z <= 880.84
8.29x + -0.07y + -0.95z <= 939.58
9.82x + -4.15y + -8.81z <= 521.88
-7.46x + -5.27y + 4.61z <= 966.7
6.33x + 3.03y + 6.72z <= 865.99
-3.07x + -5.27y + 6.53z <= 643.51
4.88x + -2.07y + 0.4z <= 832.93
4.21x + -1.13y + 2.0z <= 358.4
7.95x + 0.09y + 0.39z <= 163.29
6.48x + -1.37y + 1.8z <= 306.61
-8.35x + 9.25y + -3.13z <= 330.39
0.15x + 7.84y + -4.42z <= 358.21
7.33x + 0.43y + -1.73z <= 889.2
7.6x + -3.82y + -1.06z <= 898.65
-3.51x + 6.55y + 7.18z <= 360.04
9.06x + -6.24y + 8.49z <= 377.79
-8.24x + -7.55y + 3.74z <= 279.43
-9.34x + -7.76y + -3.82z <= 379.97
-3.02x + 2.63y + 8.31z <= 497.95
-6.49x + -9.74y + 4.21z <= 480.04
3.37x + -9.07y + -2.7z <= 843.03
3.74x + -3.6y + 5.54z <= 828.02
2.93x + -6.94y + -5.74z <= 110.31
-9.29x + -8.45y + -8.44z <= 273.35
-3.86x + -2.67y + -7.55z <= 611.95
-4.49x + 7.12y + -6.45z <= 587.96
6.51x + -4.67y + 8.46z <= 621.33
-7.88x + -9.31y + 0.89z <= 900.77
9.38x + -0.46y + 0.77z <= 246.79
-6.2x + 8.93y + 8.52z <= 844.05
-6.65x + 0.1y + -4.08z <= 788.05
8.54x + -5.84y + 5.2z <= 968.15
-2.78x + -9.15y + -1.78z <= 616.76
4.76x + -9.73y + -0.55z <= 890.66
-1.53x + 2.0y + 7.37z <= 496.24
-7.12x + -0.08y + 8.27z <= 821.7
8.59x + -7.24y + 6.51z <= 608.26
8.67x + -6.21y + -8.71z <= 490.48
-2.96x + 3.1y + -3.9z <= 440.67
4.78x + -1.08y + -7.33z <= 943.58
-4.62x + 9.45y + 0.77z <= 634.71
8.13x + -6.27y + 6.23z <= 217.36
-2.7x + 1.15y + -0.47z <= 242.8
-0.23x + -3.93y + 1.68z <= 211.88
-5.4x + -0.15y + 3.83z <= 508.69
2.63x + 4.2y + 3.38z <= 562.22
-0.16x + 0.42y + 7.48z <= 414.93
-5.91x + -4.46y + -8.9z <= 872.48
-2.71x + 2.24y + -3.7z <= 831.64
-8.79x + -0.96y + 6.73z <= 542.65
-0.23x + 2.33y + 7.45z <= 201.58
8.09x + -8.7y + -7.99z <= 226.06
0.05x + -5.1y + -5.75z <= 447.32
-1.74x + 2.06y + -9.7z <= 838.08
-0.4x + 6.31y + 7.91z <= 934.74
8.76x + -4.83y + 0.55z <= 889.92
7.5x + 1.12y + 6.34z <= 494.18
-0.92x + 4.59y + 1.52z <= 280.48
0.8x + 6.67y + -9.44z <= 550.93
-6.32x + 7.75y + -5.47z <= 310.58
-8.76x + 1.42y + 7.55z <= 751.99
6.65x + 2.99y + 6.11z <= 387.62
9.34x + -3.19y + 1.24z <= 871.27
-7.12x + -4.29y + -1.68z <= 182.76
-2.41x + 9.9y + -6.87z <= 990.83
-8.9x + 0.9y + -4.75z <= 429.51
6.5x + -1.09y + 8.89z <= 413.75
-6.23x + -7.82y + -0.74z <= 867.2
2.03x + 7.04y + -5.8z <= 514.84
-2.15x + 1.18y + -8.17z <= 657.06
3.38x + 9.03y + 5.08z <= 740.6
-6.3x + -7.9y + -3.97z <= 204.99
-5.01x + -2.57y + -5.63z <= 922.94
-7.72x + -7.41y + -8.67z <= 653.38
5.06x + -4.77y + 6.04z <= 539.03
-6.92x + -6.77y + -3.32z <= 865.04
7.76x + -6.74y + -9.62z <= 878.91
3.19x + -8.22y + -5.04z <= 477.92
-2.73x + 1.06y + 5.46z <= 348.16
-5.77x + -3.89y + -3.84z <= 878.18
-2.91x + 5.33y + -5.85z <= 187.77
-1.75x + -5.55y + 0.94z <= 814.0
-0.13x + 8.14y + 1.5z <= 669.38
0.18x + 3.24y + 9.15z <= 187.68
9.41x + -0.58y + -6.99z <= 214.46
-4.33x + 1.49y + 8.14z <= 900.74
-4.85x + 2.51y + 1.14z <= 863.81
3.25x + 8.4y + 1.47z <= 115.88
-5.25x + 4.28y + -2.66z <= 529.95
-6.1x + -8.54y + 7.26z <= 677.96
-6.18x + 7.2y + -0.64z <= 390.56
0.48x + -5.43y + 8.08z <= 732.51
1.29x + 4.26y + -3.85z <= 695.81
3.0x + 3.81y + 6.91z <= 904.61
2.06x + -1.03y + -8.35z <= 312.15
7.13x + -5.42y + 1.87z <= 233.36
7.74x + -1.85y + 5.99z <= 500.8
0.77x + 4.04y + -8.9z <= 717.49
-6.88x + -8.7y + 0.61z <= 421.44
9.42x + 2.54y + 0.85z <= 846.01
-1.33x + 2.53y + 2.02z <= 313.22
2.85x + -4.89y + -7.26z <= 727.35
-0.27x + 5.57y + 1.55z <= 712.11
-8.93x + 4.91y + -4.85z <= 180.62
-8.32x + 2.7y + -3.87z <= 875.22
5.31x + -8.1y + -5.41z <= 869.98
1.5x + 6.81y + -5.0z <= 838.86
-9.37x + 1.78y + -0.22z <= 740.87
2.25x + 6.59y + -4.48z <= 715.2
-3.76x + -1.6y + -0.52z <= 252.81
-9.16x + 9.92y + -9.76z <= 527.39
0.42x + 0.83y + -1.68z <= 201.07
-1.34x + 4.58y + 4.09z <= 172.34
8.26x + -3.88y + -5.13z <= 549.29
7.75x + -8.32y + -2.06z <= 104.53
3.69x + -4.01y + -4.89z <= 350.19
-4.24x + 6.73y + -6.66z <= 605.78
3.28x + -7.32y + 0.68z <= 161.43
7.99x + 5.93y + -4.24z <= 967.51
9.53x + 8.98y + 8.24z <= 515.81
8.87x + -6.39y + -7.72z <= 945.9
-4.89x + -7.59y + 5.2z <= 324.29
0.95x + -3.83y + 9.13z <= 152.95
-8.55x + 6.51y + 3.09z <= 611.87
-8.77x + -5.81y + -8.22z <= 635.28
-9.81x + 2.62y + -6.67z <= 228.51
8.35x + 6.11y + -1.96z <= 530.22
4.85x + -1.99y + 5.56z <= 264.53
6.5x + -0.59y + 8.52z <= 100.56
-0.97x + 8.71y + -7.76z <= 925.87
-9.73x + 3.2y + 4.69z <= 562.32
6.64x + 4.25y + -3.24z <= 946.03
-6.33x + -5.05y + -9.08z <= 722.17
