#convex solver has no solution but os tool has
# convex result: None os tool result: (0.56844,10.91948)
max 1x + 1y
9.0812x + 0.7124y <= 968
1.2587x + 5.8404y <= 560
9.8282x + 5.1995y <= 147
0.8607x + 7.3578y <= 231
-6.7275x + 2.2116y <= 138
0.8006x + 5.6867y <= 448
-8.1543x + -6.6877y <= 257
-6.1364x + 8.228y <= 976
7.9988x + 1.1918y <= 160
4.367x + 4.0006y <= 982
0.4538x + 3.5397y <= 186
-0.4162x + 8.6107y <= 899
-7.0411x + 7.1792y <= 698
6.1875x + -4.4461y <= 491
-2.5539x + 6.1959y <= 715
-0.6226x + -7.6391y <= 403
6.14x + -7.2638y <= 383
-3.1987x + -8.4298y <= 788
-0.5529x + -1.364y <= 510
-7.6841x + 0.4571y <= 607
-3.1261x + -5.5973y <= 953
-5.0723x + 2.1364y <= 526
1.3668x + -3.1936y <= 852
-8.1656x + 7.4898y <= 990
7.0043x + -3.7384y <= 222
0.24x + -8.3055y <= 890
-3.8794x + 5.2069y <= 584
-3.6409x + -3.8207y <= 212
9.901x + 6.1769y <= 228
7.7744x + 4.2919y <= 836
9.1672x + 9.846y <= 206
7.9402x + 8.2206y <= 300
-7.3206x + 0.0008y <= 364
-4.5242x + -6.8938y <= 527
8.4056x + -5.7922y <= 207
-3.3076x + 7.8445y <= 561
9.5841x + -0.2111y <= 366
1.5947x + -8.6949y <= 359
4.5989x + -8.6589y <= 564
4.5437x + 0.7659y <= 613
-6.8336x + 0.321y <= 834
6.9323x + 6.32y <= 983
3.7787x + -4.2376y <= 209
7.5797x + 9.7531y <= 745
-6.4062x + -7.8305y <= 828
-2.6646x + 1.9809y <= 409
3.9314x + -5.9864y <= 746
-9.035x + 9.0681y <= 910
0.6848x + -9.0213y <= 952
-5.2779x + 8.7538y <= 130
-1.0272x + -7.7297y <= 143
-0.8519x + -3.669y <= 232
-9.7736x + 3.4071y <= 113
9.4043x + -9.7391y <= 504
5.5899x + -9.7518y <= 373
6.2459x + -5.2175y <= 432
-3.7737x + 2.0997y <= 436
1.5838x + -1.7855y <= 238
-5.3397x + 4.6362y <= 468
-4.5982x + 0.8156y <= 607
-7.9219x + -0.2249y <= 719
-0.1148x + -9.7659y <= 824
-2.862x + -7.987y <= 581
6.5205x + 5.592y <= 726
8.5791x + 8.0427y <= 465
4.3453x + 2.0457y <= 614
9.1565x + -3.2828y <= 113
1.087x + 3.8593y <= 720
2.0418x + -3.7703y <= 534
-8.8291x + 8.006y <= 736
-2.4379x + -4.0202y <= 401
-4.6295x + -9.6621y <= 113
-0.4044x + 6.0373y <= 459
-5.5774x + -0.9981y <= 187
6.8175x + 3.0158y <= 417
-4.6651x + -4.4117y <= 277
3.1851x + 0.186y <= 862
3.6327x + 7.6936y <= 856
0.5178x + 4.2762y <= 933
-8.1999x + 4.0339y <= 744
-0.8673x + -2.5556y <= 881
4.5761x + 8.4369y <= 233
1.3609x + -4.0927y <= 124
-3.4186x + 8.4241y <= 305
-7.4058x + 2.8389y <= 531
-7.0947x + -5.289y <= 596
-8.1714x + -7.2971y <= 220
-3.0574x + -3.7724y <= 674
7.3871x + -3.3333y <= 720
-1.7306x + -4.7631y <= 949
-5.0427x + 7.4993y <= 435
-8.2146x + 7.3571y <= 310
2.2315x + 4.6369y <= 715
5.0159x + -0.4833y <= 480
3.7018x + -1.2561y <= 928
-6.4717x + -8.0012y <= 301
-5.4333x + -3.286y <= 314
-6.2642x + 4.4342y <= 411
-5.418x + 5.5442y <= 619
6.7205x + 8.7267y <= 246
-2.1143x + 7.9561y <= 445
2.8555x + 0.8144y <= 919
4.9979x + 7.1593y <= 619
6.4688x + -3.4184y <= 983
-2.1561x + -2.4033y <= 949
-0.6523x + 8.5492y <= 475
6.5856x + 3.1823y <= 283
-3.8241x + -0.0343y <= 528
-4.5736x + -5.4447y <= 317
-3.7952x + 0.5801y <= 407
6.1623x + 2.3799y <= 390
0.1307x + -0.5698y <= 508
7.6785x + 2.2434y <= 400
3.0429x + 5.3213y <= 696
0.8734x + -2.1985y <= 434
4.7725x + 4.1332y <= 481
-5.6354x + -4.0687y <= 153
-4.9044x + 8.3672y <= 486
-2.2669x + -8.8352y <= 184
2.367x + -4.6006y <= 617
0.8717x + 6.0595y <= 714
-9.7901x + -4.6457y <= 254
3.276x + -9.8936y <= 983
-0.8217x + -6.1773y <= 765
4.1436x + -4.6889y <= 744
8.0548x + 4.4172y <= 751
2.5546x + -4.4399y <= 517
-0.1251x + 2.4339y <= 320
-6.3397x + -7.0982y <= 325
-9.263x + -5.1916y <= 760
7.5979x + 4.3727y <= 439
-2.6847x + -4.4194y <= 224
6.7106x + -4.9872y <= 775
4.4041x + -7.3702y <= 385
-9.5559x + 0.3956y <= 324
-8.1904x + -4.1574y <= 793
2.3695x + -1.5027y <= 577
-8.9677x + 5.8017y <= 606
-8.2404x + -4.9395y <= 374
-9.2738x + 6.2541y <= 381
-5.0353x + -6.0409y <= 329
7.7179x + 4.7787y <= 662
-1.4066x + 4.2125y <= 290
-7.3828x + -3.4882y <= 579
2.2395x + 7.0329y <= 814
8.6591x + -5.7621y <= 110
6.8121x + -8.8054y <= 644
-7.6939x + -6.0874y <= 466
-0.7114x + 9.0641y <= 493
7.1972x + 7.5773y <= 617
-5.3339x + -1.9122y <= 403
4.6221x + -7.9318y <= 774
-0.1987x + -4.1926y <= 905
5.8974x + -4.4749y <= 386
0.6698x + -6.6776y <= 222
-5.1661x + 5.5286y <= 246
-2.5753x + 6.89y <= 706
2.56x + -7.4238y <= 753
0.3984x + 6.1596y <= 537
5.8834x + -7.2056y <= 655
-0.3903x + -2.0838y <= 445
2.5378x + -3.6362y <= 395
6.167x + -2.0102y <= 903
-8.8725x + -5.1736y <= 756
-7.299x + 2.5642y <= 773
-1.4872x + -6.7796y <= 266
-4.5912x + -4.982y <= 371
-0.0712x + 2.8569y <= 238
-1.4366x + 9.288y <= 407
-9.1319x + 0.4459y <= 490
-6.3454x + -3.6782y <= 882
-1.2495x + 6.0243y <= 900
-8.1892x + -9.6042y <= 335
-5.4847x + -5.328y <= 507
-6.0558x + 1.8011y <= 436
-0.97x + 0.2728y <= 775
-8.5485x + -1.0451y <= 648
-3.6901x + 1.0357y <= 588
1.1312x + -0.0651y <= 705
4.6181x + -1.8999y <= 151
5.0134x + -5.3895y <= 975
9.3392x + -2.2225y <= 797
-9.9663x + 7.8492y <= 289
2.7375x + 1.7488y <= 392
6.9019x + 7.4583y <= 525
-4.5035x + -8.8324y <= 810
2.169x + -8.5945y <= 458
-1.5219x + -1.712y <= 311
-8.4132x + -1.0953y <= 414
3.0069x + 5.9958y <= 946
8.411x + 6.9419y <= 229
9.3214x + 1.5222y <= 681
0.1381x + -5.2906y <= 871
3.4713x + 1.3537y <= 872
-0.179x + 0.1564y <= 134
0.726x + -5.9794y <= 642
-4.9899x + -6.107y <= 207
-6.739x + 9.7389y <= 694
3.3323x + -8.3642y <= 948
-3.648x + 8.6591y <= 704
-2.8796x + -8.6312y <= 439
-2.7477x + -9.5653y <= 964
9.8482x + 1.7454y <= 305
-8.4146x + 8.2237y <= 375
-1.1635x + 3.9871y <= 392
-3.5288x + -3.0726y <= 620
4.2543x + -5.2364y <= 204
1.262x + 2.8349y <= 146
-8.8684x + -8.4635y <= 579
5.9545x + -9.8353y <= 451
1.3247x + -2.1155y <= 438
2.7415x + -1.1893y <= 292
-6.4671x + 6.1435y <= 321
2.7262x + -8.6214y <= 549
-2.0618x + 2.8925y <= 201
6.1463x + 2.2708y <= 812
-3.4361x + 8.2917y <= 409
-4.5225x + -4.3594y <= 179
4.5939x + -5.8136y <= 254
-4.4433x + -2.9821y <= 573
3.126x + -3.6691y <= 885
9.51x + 6.4189y <= 909
-4.3358x + -6.3182y <= 997
2.9026x + 9.205y <= 147
9.7499x + 8.1468y <= 554
8.3486x + 4.7773y <= 492
-8.4646x + -9.3642y <= 517
0.6213x + 6.0094y <= 914
-7.1106x + -0.4838y <= 143
-3.7185x + -5.9627y <= 429
-0.4577x + 0.5858y <= 669
5.6026x + -6.3384y <= 726
-7.7021x + 5.0797y <= 641
5.1886x + 2.911y <= 172
5.6716x + 8.8512y <= 548
8.4571x + 1.583y <= 868
0.3302x + 2.0115y <= 242
-4.115x + -7.0105y <= 428
2.6892x + -4.0907y <= 708
-4.2134x + -2.6662y <= 456
8.6792x + 2.7285y <= 799
-7.6782x + 7.4118y <= 359
8.0462x + 4.6985y <= 572
-3.9675x + -8.7756y <= 372
-4.9116x + 0.4943y <= 934
2.4794x + 1.1632y <= 763
-9.4715x + 6.5203y <= 237
6.8754x + -4.9716y <= 148
-8.6155x + 1.9075y <= 333
-4.7754x + 1.505y <= 248
4.919x + -4.6825y <= 799
1.0972x + -3.4235y <= 247
0.4401x + -6.3199y <= 106
9.3926x + -9.8485y <= 102
-8.9818x + -7.4655y <= 376
7.8046x + -6.8515y <= 441
7.6445x + 8.5293y <= 243
2.4076x + -6.7121y <= 357
0.0768x + -9.1336y <= 291
-9.9417x + 8.5892y <= 110
-4.2036x + -9.4043y <= 567
-3.4083x + -2.698y <= 346
-7.0392x + 1.4376y <= 250
-4.1302x + 9.5024y <= 169
-2.4396x + 0.3287y <= 470
0.7469x + -6.3991y <= 923
0.4957x + 0.4667y <= 196
5.4808x + -4.8273y <= 903
-2.9514x + -8.636y <= 390
-7.6717x + -3.8217y <= 666
-7.5298x + 0.3691y <= 737
7.3814x + 4.4619y <= 437
-7.4137x + -9.2978y <= 798
-0.6522x + 2.6085y <= 588
0.0693x + -4.4913y <= 536
-7.1195x + 4.9267y <= 705
-6.8073x + 4.5213y <= 583
5.5936x + 1.8178y <= 253
-2.7382x + -2.618y <= 843
-5.0967x + -7.2846y <= 755
6.8968x + -0.3387y <= 689
0.9776x + -8.0962y <= 148
9.4895x + -8.3049y <= 176
-0.6657x + 1.6828y <= 884
-1.2608x + -0.4573y <= 533
-2.2385x + 8.0856y <= 144
-8.3359x + 3.7229y <= 950
-4.5535x + 8.2566y <= 865
-2.8126x + -6.8816y <= 684
2.0333x + 3.2874y <= 995
-4.7274x + 6.5474y <= 297
-9.8975x + -1.2843y <= 568
9.209x + 2.3614y <= 583
8.9311x + 5.3805y <= 725
0.0575x + 9.8273y <= 533
0.578x + -8.678y <= 258
-2.0956x + 3.6569y <= 561
-0.9524x + 7.3057y <= 515
-6.9385x + 6.1931y <= 482
-6.5463x + -0.0067y <= 810
-5.4838x + -9.8492y <= 600
2.2572x + -3.5461y <= 661
1.7661x + 5.917y <= 571
2.361x + -2.4674y <= 609
-4.4169x + -0.8354y <= 247
-5.5567x + 4.7247y <= 893
8.6606x + 5.144y <= 952
-7.7192x + -2.1157y <= 966
6.7493x + 6.6255y <= 861
-5.435x + -0.6371y <= 222
1.0812x + -3.6569y <= 962
-2.1469x + -4.4554y <= 586
-5.6311x + 5.9386y <= 620
7.1529x + 9.2018y <= 681
4.05x + 2.2314y <= 330
8.0769x + 4.3649y <= 665
8.522x + -5.2568y <= 589
-5.0265x + -3.8494y <= 975
8.1177x + -6.9982y <= 236
-5.4231x + -8.2823y <= 507
4.533x + 5.0325y <= 754
9.074x + -7.3124y <= 227
-9.2743x + 8.7409y <= 314
-3.1439x + -6.3734y <= 870
-5.0362x + 7.8243y <= 368
0.6678x + -6.7855y <= 221
-2.693x + 2.3275y <= 407
4.312x + 8.0968y <= 893
2.6169x + -0.9398y <= 749
-7.3942x + -0.293y <= 158
-7.6236x + 6.2626y <= 609
6.1144x + -3.4171y <= 123
4.7716x + -9.3412y <= 403
9.704x + -6.924y <= 708
-8.4816x + 9.9961y <= 165
6.2419x + 7.7012y <= 746
0.7569x + -2.1086y <= 482
-7.2952x + 3.0556y <= 685
-6.5031x + 1.9213y <= 410
5.3476x + -7.3986y <= 919
2.9344x + 5.1354y <= 196
0.9292x + -7.6024y <= 988
-1.1144x + -3.002y <= 234
6.7005x + -7.6259y <= 667
-6.1802x + 6.6451y <= 307
-9.752x + 4.0249y <= 158
-6.4631x + 8.4152y <= 581
-6.2637x + 2.3502y <= 739
-2.4946x + -1.9149y <= 653
-1.7626x + -0.6383y <= 922
-3.3637x + -7.6942y <= 671
2.9272x + 7.7315y <= 621
-2.5069x + 3.5169y <= 266
7.9913x + 6.643y <= 627
2.49x + 3.7028y <= 275
6.7227x + -0.0203y <= 1000
-7.2854x + -5.8925y <= 260
7.9963x + -7.6496y <= 113
-5.0447x + -0.4553y <= 780
-1.0503x + -7.8323y <= 520
8.1451x + 1.2679y <= 538
-6.9324x + -2.4858y <= 193
-4.2922x + 4.4513y <= 146
-9.7254x + -2.2139y <= 736
-8.0405x + -5.3798y <= 783
4.4739x + -5.4745y <= 257
4.5839x + -6.4512y <= 730
9.5208x + 7.5657y <= 543
9.2339x + 0.8844y <= 937
4.5869x + -0.94y <= 326
-1.8706x + 2.2126y <= 947
-9.0375x + -4.6984y <= 163
-2.1363x + -3.5393y <= 334
2.5041x + 1.6704y <= 248
-2.6338x + -5.9133y <= 415
3.8169x + 2.5262y <= 669
-4.8436x + 3.3104y <= 334
0.7279x + 7.1295y <= 273
-5.2907x + -8.4507y <= 935
-6.2709x + -8.5226y <= 253
0.8354x + -7.3913y <= 492
4.6184x + -4.0415y <= 883
-3.9031x + 8.1252y <= 589
1.1069x + 6.7898y <= 994
-8.5134x + -6.8787y <= 268
8.505x + -9.81y <= 937
0.2102x + 2.958y <= 584
5.4798x + -2.5355y <= 201
-1.1936x + -3.5959y <= 889
8.2685x + 5.043y <= 462
-6.2981x + -1.629y <= 535
0.9785x + -2.4949y <= 606
-4.4168x + 5.7565y <= 147
-0.1617x + 9.9993y <= 361
-2.0093x + -4.387y <= 184
-0.8079x + 7.3285y <= 201
9.286x + -8.6557y <= 126
1.7036x + -7.1293y <= 202
9.0319x + 5.7163y <= 303
-8.6345x + -9.0601y <= 774
-9.4166x + 6.0312y <= 156
4.1514x + -3.0145y <= 141
8.8253x + 0.8691y <= 342
0.8044x + -7.3234y <= 125
-5.8334x + 8.7994y <= 765
-2.0025x + -7.5611y <= 680
9.9502x + 2.0451y <= 726
1.6497x + 2.2948y <= 370
7.3628x + 3.2055y <= 540
2.1162x + -5.7811y <= 408
-9.1213x + -2.3501y <= 812
-6.1127x + 7.4739y <= 329
1.7614x + -4.1703y <= 428
-7.4118x + -8.6235y <= 395
4.7979x + 6.1402y <= 599
2.6714x + 7.5793y <= 645
-2.5902x + -2.4643y <= 809
8.0187x + 0.0127y <= 570
4.0718x + 3.0171y <= 793
1.9544x + 3.1346y <= 735
7.7523x + 6.0038y <= 509
-6.8402x + 5.3133y <= 689
8.0411x + -2.1105y <= 499
2.292x + 8.6315y <= 919
-8.7329x + 6.1545y <= 581
-1.1346x + -1.4887y <= 684
-8.8054x + 1.553y <= 994
-6.8824x + 4.8514y <= 670
0.9861x + -8.4551y <= 244
-0.25x + -9.895y <= 466
8.1568x + -5.924y <= 371
-8.7685x + 8.4462y <= 598
-1.74x + 0.764y <= 381
0.9452x + -0.9004y <= 861
-5.4967x + 4.1501y <= 334
-0.3192x + -7.8336y <= 707
8.2567x + 1.0477y <= 187
-1.0755x + -3.1201y <= 600
5.4561x + 0.3843y <= 858
4.2428x + 7.2531y <= 297
-4.0378x + -4.2177y <= 918
1.7015x + 0.0031y <= 180
-5.1651x + -2.4415y <= 845
4.3452x + 4.9337y <= 409
9.101x + 6.866y <= 510
-2.8918x + 7.9943y <= 668
-9.5412x + -5.9577y <= 267
-6.1463x + 3.2494y <= 662
1.5555x + -9.7549y <= 256
-0.6399x + 6.4758y <= 597
1.0899x + -6.3367y <= 1000
-2.4725x + -9.7754y <= 629
-0.3489x + -8.5932y <= 880
-0.8961x + 5.1069y <= 945
4.9744x + -8.5533y <= 383
-8.8707x + -3.9749y <= 609
-2.0672x + -8.2288y <= 929
2.496x + 1.8442y <= 542
-7.5571x + -1.4812y <= 425
0.1993x + 0.4801y <= 958
-5.9433x + -4.4612y <= 592
-4.7906x + 2.8752y <= 816
-5.4569x + -1.6485y <= 810
8.2349x + -0.6913y <= 183
2.9373x + -9.1649y <= 848
-1.4232x + 4.7741y <= 882
-5.3171x + -6.4166y <= 536
-3.6012x + -1.2342y <= 423
-4.9565x + 8.6331y <= 590
0.9854x + 1.2406y <= 258
-5.241x + -2.839y <= 304
-4.6171x + -9.8252y <= 840
1.5766x + -3.857y <= 543
7.5786x + 9.4694y <= 289
-4.2021x + 4.5345y <= 452
3.4126x + -6.0101y <= 689
1.3326x + -4.8035y <= 110
4.2247x + -0.0504y <= 516
0.7126x + 7.0282y <= 608
9.6822x + 9.9241y <= 274
1.109x + -9.3511y <= 936
7.792x + -7.7719y <= 123
7.6341x + 0.0506y <= 976
4.2318x + 9.5483y <= 733
8.7579x + -3.353y <= 269
-3.3318x + -2.2057y <= 971
-5.2338x + 0.4151y <= 745
2.8154x + 2.386y <= 363
6.629x + 6.9716y <= 535
6.7617x + 7.9424y <= 103
3.5433x + 3.0638y <= 705
-0.5168x + 6.3604y <= 156
-3.4687x + -4.8586y <= 812
-7.1103x + 0.8742y <= 618
8.2626x + -0.6681y <= 474
9.5914x + -7.3564y <= 200
-5.7952x + 4.9164y <= 474
-6.3281x + -1.0685y <= 752
-0.7109x + 8.1994y <= 423
-9.788x + 1.0333y <= 483
-6.0699x + 9.6358y <= 296
-2.229x + -1.4188y <= 800
-2.4218x + 7.6506y <= 519
-6.831x + -8.5581y <= 477
-6.8231x + -5.4012y <= 933
8.9031x + -1.8863y <= 209
-8.4201x + 0.4486y <= 577
5.1684x + -8.5194y <= 481
5.0802x + -1.1356y <= 586
2.3541x + -6.8751y <= 125
-9.4888x + 4.6523y <= 465
3.2774x + 2.2615y <= 714
-0.5856x + -5.3128y <= 338
-0.184x + -6.099y <= 873
0.1076x + -9.1195y <= 929
0.4656x + 8.3256y <= 214
7.1692x + -3.2134y <= 947
-0.3284x + -2.1436y <= 664
3.6125x + -9.4147y <= 267
4.0896x + -9.7754y <= 601
-9.7686x + 2.6797y <= 231
4.0143x + -1.9596y <= 272
-2.4778x + 3.5634y <= 468
-0.9877x + 8.378y <= 122
-4.0937x + -3.3777y <= 730
1.871x + 4.3487y <= 508
-4.3161x + 9.039y <= 324
9.8412x + 2.3144y <= 652
4.9683x + 4.5457y <= 760
-1.8205x + -2.8665y <= 155
8.0504x + -4.8942y <= 881
6.3676x + -6.2761y <= 522
8.5929x + 7.6509y <= 213
4.0724x + 9.7613y <= 428
-8.0405x + -6.2736y <= 959
-4.4125x + 1.7939y <= 477
1.8167x + 6.3686y <= 996
7.0511x + -1.9849y <= 305
-3.8892x + 8.048y <= 130
-3.6199x + 1.3064y <= 593
-1.2203x + -1.8306y <= 129
7.4346x + -1.1269y <= 463
-3.8766x + 9.802y <= 707
-8.5809x + -3.8212y <= 310
-3.5283x + -0.9751y <= 182
8.3689x + 1.8716y <= 624
-8.1514x + 5.5192y <= 681
-1.2684x + -9.2155y <= 224
-1.1325x + 9.1896y <= 556
6.1658x + 7.6387y <= 548
-0.1479x + -7.9827y <= 869
5.2917x + -9.254y <= 381
-4.2922x + -8.6066y <= 800
9.6481x + 7.5211y <= 101
4.6931x + 1.044y <= 283
7.8199x + -2.1349y <= 428
-6.9768x + -1.376y <= 665
-7.254x + -1.0562y <= 234
-4.8085x + -5.7044y <= 608
4.4266x + -6.8024y <= 177
8.2665x + 8.5872y <= 512
-2.2178x + 3.1661y <= 539
4.9727x + 7.1135y <= 853
4.2123x + 0.5022y <= 865
2.4835x + -9.6792y <= 828
-9.7655x + 2.6172y <= 640
6.9665x + 2.7658y <= 400
-9.0047x + -7.7273y <= 875
-7.4454x + 1.2248y <= 509
9.6083x + 9.1591y <= 461
-2.5984x + -1.298y <= 145
8.1206x + 1.614y <= 968
2.5443x + -9.5906y <= 443
-0.9691x + -5.4359y <= 495
-1.5811x + -3.8827y <= 737
-5.3168x + -1.4555y <= 413
7.724x + -1.5107y <= 979
4.0339x + -9.6885y <= 287
1.3336x + 4.6245y <= 977
0.8541x + 1.9502y <= 692
2.8448x + -1.4225y <= 457
-4.0927x + -2.5191y <= 638
0.6075x + 1.5511y <= 123
5.7732x + -2.6263y <= 873
9.6195x + 9.4452y <= 591
-8.512x + -4.3522y <= 958
-0.4213x + -0.4447y <= 519
5.0718x + 6.209y <= 159
-3.4468x + 4.987y <= 397
-1.1758x + 3.2616y <= 999
-2.1015x + -7.6556y <= 527
-5.6761x + 0.0158y <= 896
1.981x + 5.9356y <= 218
0.024x + 1.8987y <= 799
7.4987x + 2.8046y <= 457
-0.8203x + 3.1117y <= 958
8.2142x + -4.9041y <= 212
4.6363x + 3.2999y <= 163
3.7378x + -3.8386y <= 959
-8.5783x + -1.4328y <= 908
5.7872x + -4.6434y <= 858
-2.6172x + 6.0436y <= 725
3.057x + -2.4966y <= 666
-8.4529x + 6.7235y <= 136
-7.9359x + -9.7723y <= 675
-1.2219x + 8.0225y <= 278
8.2082x + 9.7817y <= 666
9.0922x + 1.2024y <= 818
6.1459x + 4.2841y <= 638
-3.8697x + 6.1702y <= 863
9.2729x + -7.6199y <= 420
1.2392x + 2.2273y <= 123
2.0169x + -4.8383y <= 477
-0.3899x + -9.7229y <= 861
-9.9615x + -6.9815y <= 511
2.853x + -6.596y <= 617
9.6997x + -2.7338y <= 837
0.3875x + 8.6151y <= 966
-3.639x + -4.7601y <= 347
4.0044x + 5.5928y <= 270
1.3502x + -9.2287y <= 292
4.9347x + -3.8925y <= 555
9.4122x + -9.456y <= 318
-2.7172x + -1.5145y <= 173
0.9927x + -6.2819y <= 466
-0.4991x + 1.9025y <= 411
-4.3773x + -2.9704y <= 611
-9.9731x + -6.065y <= 836
-5.8164x + -8.1607y <= 110
5.729x + -4.6722y <= 373
2.2659x + -4.728y <= 238
8.1059x + 4.6702y <= 739
2.8592x + -6.6328y <= 497
-3.9601x + 0.3288y <= 867
-2.4106x + 8.5763y <= 482
-7.7027x + 8.9599y <= 352
-3.2245x + -8.7007y <= 617
-0.9905x + -0.8212y <= 571
-6.1695x + -0.7477y <= 187
-9.499x + 3.29y <= 654
8.2158x + -0.7933y <= 339
8.5401x + 3.7449y <= 103
-2.7809x + 7.4073y <= 811
9.0782x + -2.218y <= 379
-4.5363x + -4.4352y <= 627
1.5993x + -8.3563y <= 893
0.9531x + 7.3725y <= 924
7.0515x + 6.6463y <= 265
-1.7858x + -5.95y <= 366
-8.2298x + -1.3642y <= 695
-0.0126x + 1.855y <= 384
-3.8771x + -2.1025y <= 831
9.1359x + 6.0443y <= 291
-7.4429x + -8.2295y <= 914
-4.5411x + 5.5421y <= 822
-2.4961x + -8.7699y <= 155
7.834x + 0.1513y <= 411
6.5532x + -5.4036y <= 439
6.3046x + 5.725y <= 298
-3.7159x + -4.6782y <= 875
-9.977x + 6.3784y <= 344
7.9357x + -1.7189y <= 862
6.2626x + 7.0466y <= 752
9.525x + -5.0352y <= 562
-0.2413x + -5.1111y <= 404
5.0875x + -7.1416y <= 311
-9.9397x + -0.4952y <= 901
-8.0269x + 5.5777y <= 118
5.9126x + -7.0439y <= 569
4.4587x + -4.4669y <= 150
-5.7328x + -0.4435y <= 343
4.0766x + -1.6946y <= 442
2.444x + -6.8396y <= 984
5.6575x + -1.2582y <= 880
-8.9753x + -6.7364y <= 408
-4.2832x + 7.5943y <= 550
-9.8899x + -4.3073y <= 402
1.7987x + 6.8064y <= 255
6.2235x + 5.2478y <= 229
8.4492x + -2.2257y <= 327
7.6626x + -1.7831y <= 883
-4.8229x + -5.7019y <= 675
5.7237x + 0.2087y <= 610
0.3345x + -0.3611y <= 962
6.1735x + -2.1173y <= 696
-0.9288x + 7.0208y <= 670
-7.8956x + 0.7102y <= 156
-5.7239x + -7.823y <= 861
-2.9414x + -1.3609y <= 339
-5.3015x + -3.8453y <= 362
-1.1003x + 4.3958y <= 236
6.3262x + 5.1481y <= 699
6.1154x + 8.0063y <= 201
6.5157x + 8.0892y <= 419
-4.4692x + 1.6014y <= 936
-5.5382x + -5.6529y <= 852
7.1227x + 9.0132y <= 353
-5.5656x + 3.3409y <= 248
-9.6518x + -9.7763y <= 504
2.7973x + -2.9857y <= 814
0.0587x + 1.8736y <= 808
7.3219x + 6.7123y <= 584
6.8539x + 8.4058y <= 261
6.0631x + 0.9818y <= 995
-7.7646x + -6.6552y <= 734
-9.9276x + 5.4031y <= 644
9.655x + -8.2606y <= 471
4.3905x + 8.6839y <= 727
-4.5606x + -1.9567y <= 175
-8.4079x + -3.8045y <= 356
7.0688x + 1.2916y <= 877
6.2405x + 2.6364y <= 268
1.865x + -6.6128y <= 845
-6.4158x + 8.7683y <= 313
-6.5968x + -7.3075y <= 546
-3.1537x + -1.0699y <= 592
9.3583x + -5.015y <= 809
-6.2455x + 5.4167y <= 193
2.3679x + 0.1716y <= 409
-1.2012x + 8.1632y <= 131
-1.199x + -6.2904y <= 613
-6.5005x + 3.9441y <= 974
-0.0153x + -9.2153y <= 315
-7.8953x + -1.0109y <= 374
6.0399x + -9.3751y <= 535
-6.3501x + 1.0009y <= 250
9.8579x + 9.1532y <= 203
5.2754x + 1.3052y <= 895
2.8715x + 4.6901y <= 802
-7.912x + -2.3692y <= 193
8.6368x + -2.4591y <= 604
9.2528x + -0.389y <= 113
-1.9547x + 1.5448y <= 900
-0.068x + -0.0078y <= 345
1.7095x + -3.4864y <= 642
3.057x + 5.614y <= 919
-3.4106x + 9.5373y <= 892
8.5808x + 7.0505y <= 987
6.1427x + -7.5817y <= 176
-4.6249x + 8.667y <= 413
6.1739x + -7.1759y <= 728
8.0887x + 5.8405y <= 486
4.3479x + -7.6816y <= 349
5.1529x + 1.2993y <= 716
9.0789x + 5.9818y <= 794
8.806x + -0.7589y <= 780
6.565x + 7.676y <= 659
-9.3042x + 0.1338y <= 217
9.1237x + 7.6596y <= 526
1.0009x + -4.5291y <= 417
-5.9332x + 6.2153y <= 701
5.7346x + 4.899y <= 910
-0.5505x + 9.6117y <= 443
8.9912x + -8.7435y <= 410
-8.1242x + 5.9902y <= 961
-8.4739x + -8.2042y <= 891
-9.662x + -8.3127y <= 459
4.7125x + -1.6826y <= 170
4.2573x + 3.4496y <= 840
8.6391x + 5.3574y <= 356
1.0491x + 8.575y <= 606
5.2385x + 8.0024y <= 781
9.1529x + -0.7979y <= 160
-1.8569x + 9.1431y <= 377
-9.9031x + 2.132y <= 531
-0.805x + 2.9533y <= 500
-8.9082x + -2.1307y <= 615
-4.7015x + 1.5421y <= 124
0.1677x + 2.9495y <= 729
6.2467x + -2.3876y <= 682
-9.8889x + 7.0834y <= 558
-2.0334x + 5.2419y <= 136
-2.6066x + -5.8437y <= 676
5.4795x + -1.3279y <= 446
-6.728x + -8.7731y <= 852
-8.9845x + 6.5986y <= 464
-7.8615x + -0.9147y <= 927
1.4163x + 4.1928y <= 807
-2.1682x + -6.8322y <= 990
7.434x + -4.5271y <= 663
-2.0662x + -2.8322y <= 577
0.7867x + -2.731y <= 417
-2.6568x + 8.7389y <= 638
-3.0385x + 4.9876y <= 656
-4.5326x + 3.5938y <= 589
2.6302x + -2.418y <= 458
8.9734x + -7.614y <= 674
6.5758x + 2.8556y <= 974
6.7702x + 1.5018y <= 517
3.5808x + 2.0995y <= 357
9.9836x + 7.2691y <= 516
3.6132x + 8.4454y <= 579
0.5072x + 8.2609y <= 901
3.1231x + -7.2514y <= 873
-4.1467x + -3.8002y <= 778
-9.2686x + -4.4982y <= 757
-7.7607x + 1.6057y <= 236
3.3407x + -0.9979y <= 161
7.1826x + -7.5953y <= 107
5.0589x + 5.8639y <= 818
0.965x + -1.8412y <= 675
-6.9039x + 7.2684y <= 457
6.6642x + 5.0516y <= 151
7.4224x + -0.3699y <= 598
2.2755x + 5.5332y <= 440
6.5946x + -8.2736y <= 527
